trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,target_x,target_y,clue_locations,first_clue_robot,first_clue_x,first_clue_y,robot_start_locations,robot_end_locations,clues_detected_by_robot,target_found_by_robot,trial_status
10,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,ideal,1.0,25,625,13,50.0,48.076923,pi_g25_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,18,13,"(14,23);(19,13);(22,9);(13,10)",05,13,10,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)","00:(18,3);01:(17,0);02:(20,5);03:(18,13);04:(19,8);05:(21,23);06:(17,15);07:(20,19);08:(12,14);09:(8,24);10:(18,18);11:(17,18);12:(14,16)",00:0;01:0;02:0;03:1;04:0;05:1;06:0;07:1;08:0;09:0;10:0;11:0;12:0,03,completed
11,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,ideal,1.0,25,625,13,50.0,48.076923,pi_g25_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,18,10,"(15,19);(15,10);(18,9);(12,7)",05,15,10,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)","00:(16,1);01:(13,3);02:(15,7);03:(17,9);04:(14,11);05:(18,10);06:(18,11);07:(17,15);08:(14,13);09:(17,17);10:(11,19);11:(17,20);12:(16,24)",00:0;01:0;02:0;03:0;04:0;05:1;06:0;07:0;08:0;09:0;10:1;11:0;12:0,05,completed
12,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,ideal,1.0,25,625,13,50.0,48.076923,pi_g25_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,14,19,"(15,17);(6,20);(15,5);(7,18)",10,6,20,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)","00:(1,10);01:(10,0);02:(12,7);03:(15,15);04:(15,16);05:(1,6);06:(14,19);07:(3,5);08:(14,22);09:(15,20);10:(11,23);11:(10,24);12:(15,22)",00:0;01:0;02:0;03:0;04:0;05:0;06:1;07:1;08:1;09:0;10:1;11:0;12:0,06,completed
13,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,ideal,1.0,25,625,13,50.0,48.076923,pi_g25_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,4,15,"(10,6);(3,12);(6,22);(7,17)",06,3,12,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)","00:(3,1);01:(3,3);02:(4,4);03:(4,6);04:(4,8);05:(3,11);06:(3,13);07:(4,14);08:(4,15);09:(4,18);10:(4,20);11:(3,21);12:(3,23)",00:0;01:0;02:0;03:0;04:0;05:0;06:1;07:0;08:0;09:0;10:0;11:0;12:0,08,completed
14,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,ideal,1.0,25,625,13,50.0,48.076923,pi_g25_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,1,10,"(4,8);(2,12);(6,8);(20,8)",,,,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)","00:(0,0);01:(1,2);02:(1,4);03:(1,6);04:(1,8);05:(1,10);06:(0,12);07:(1,14);08:(1,16);09:(0,18);10:(1,20);11:(0,22);12:(1,24)",00:0;01:0;02:0;03:0;04:0;05:0;06:0;07:0;08:0;09:0;10:0;11:0;12:0,05,completed
15,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,ideal,1.0,25,625,13,50.0,48.076923,pi_g25_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,23,1,"(7,8);(18,17);(10,7);(18,11)",04,7,8,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)","00:(23,1);01:(22,1);02:(24,5);03:(21,9);04:(24,16);05:(22,17);06:(23,8);07:(23,0);08:(23,23);09:(24,12);10:(23,15);11:(22,18);12:(22,24)",00:0;01:0;02:0;03:1;04:2;05:0;06:2;07:0;08:0;09:0;10:0;11:0;12:0,00,completed
16,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,ideal,1.0,25,625,13,50.0,48.076923,pi_g25_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,9,3,"(9,2);(4,7);(7,5);(14,3)",01,9,2,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)","00:(9,0);01:(9,3);02:(9,4);03:(10,6);04:(9,7);05:(8,9);06:(9,11);07:(9,13);08:(9,15);09:(9,17);10:(8,19);11:(9,21);12:(9,23)",00:0;01:1;02:0;03:0;04:0;05:0;06:0;07:0;08:0;09:0;10:0;11:0;12:0,01,completed
17,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,ideal,1.0,25,625,13,50.0,48.076923,pi_g25_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,1,19,"(15,11);(21,18);(8,16);(8,19)",08,8,16,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)","00:(2,6);01:(0,7);02:(3,7);03:(11,2);04:(0,14);05:(3,11);06:(11,5);07:(11,15);08:(0,17);09:(1,19);10:(12,23);11:(0,21);12:(10,24)",00:0;01:0;02:0;03:0;04:0;05:0;06:0;07:0;08:1;09:0;10:0;11:1;12:0,09,completed
18,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,ideal,1.0,25,625,13,50.0,48.076923,pi_g25_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,24,21,"(20,14);(16,11);(24,20);(24,24)",07,20,14,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)","00:(21,5);01:(3,3);02:(24,5);03:(23,7);04:(12,9);05:(8,11);06:(24,14);07:(23,15);08:(12,13);09:(12,17);10:(24,21);11:(12,19);12:(23,21)",00:0;01:0;02:0;03:0;04:1;05:0;06:0;07:1;08:0;09:0;10:1;11:0;12:0,10,completed
19,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,ideal,1.0,25,625,13,50.0,48.076923,pi_g25_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,16,4,"(16,6);(5,6);(4,3);(17,9)",03,5,6,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)","00:(13,2);01:(15,1);02:(16,4);03:(14,3);04:(11,3);05:(0,18);06:(7,0);07:(12,7);08:(12,11);09:(2,22);10:(12,19);11:(12,24);12:(1,22)",00:1;01:0;02:0;03:1;04:0;05:0;06:0;07:0;08:0;09:0;10:0;11:0;12:0,02,completed
20,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,ideal,1.0,25,625,13,50.0,48.076923,pi_g25_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,7,23,"(7,24);(10,19);(11,23);(9,1)",12,7,24,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)","00:(7,0);01:(6,3);02:(6,5);03:(7,6);04:(6,9);05:(6,11);06:(6,13);07:(6,15);08:(6,17);09:(8,18);10:(7,20);11:(7,23);12:(8,24)",00:0;01:0;02:0;03:0;04:0;05:0;06:0;07:0;08:0;09:0;10:0;11:0;12:1,11,completed
21,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,ideal,1.0,25,625,13,50.0,48.076923,pi_g25_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,3,11,"(8,9);(3,8);(12,11);(1,13)",04,3,8,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)","00:(4,1);01:(3,3);02:(4,6);03:(2,7);04:(4,7);05:(4,9);06:(3,11);07:(4,13);08:(3,15);09:(2,17);10:(2,19);11:(1,21);12:(2,23)",00:0;01:0;02:0;03:0;04:1;05:0;06:0;07:0;08:0;09:0;10:0;11:0;12:0,06,completed
22,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,ideal,1.0,25,625,13,50.0,48.076923,pi_g25_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,21,23,"(8,13);(23,22);(20,12);(17,9)",06,20,12,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)","00:(18,1);01:(21,0);02:(19,6);03:(20,9);04:(22,12);05:(18,11);06:(21,14);07:(18,13);08:(17,15);09:(17,17);10:(22,17);11:(21,23);12:(15,23)",00:0;01:0;02:0;03:0;04:0;05:0;06:1;07:1;08:0;09:0;10:0;11:0;12:0,11,completed
23,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,ideal,1.0,25,625,13,50.0,48.076923,pi_g25_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,15,3,"(12,2);(7,6);(2,12);(13,7)",06,2,12,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)","00:(11,2);01:(13,1);02:(15,3);03:(0,2);04:(13,2);05:(17,10);06:(17,6);07:(18,11);08:(16,17);09:(16,13);10:(12,20);11:(3,24);12:(13,21)",00:0;01:1;02:1;03:0;04:2;05:0;06:1;07:0;08:0;09:0;10:0;11:0;12:0,02,completed
24,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,ideal,1.0,25,625,13,50.0,48.076923,pi_g25_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,20,24,"(9,11);(21,24);(11,24);(12,19)",12,11,24,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)","00:(1,1);01:(1,2);02:(21,2);03:(16,5);04:(22,18);05:(21,7);06:(21,8);07:(22,0);08:(23,18);09:(20,24);10:(22,1);11:(19,23);12:(19,0)",00:0;01:0;02:0;03:0;04:0;05:1;06:0;07:1;08:0;09:1;10:0;11:0;12:1,09,completed
25,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,ideal,1.0,25,625,13,50.0,48.076923,pi_g25_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,3,8,"(17,8);(14,9);(3,9);(6,5)",,,,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)","00:(2,0);01:(2,2);02:(2,4);03:(2,6);04:(3,8);05:(2,10);06:(2,12);07:(3,14);08:(2,16);09:(2,18);10:(2,20);11:(2,22);12:(2,24)",00:0;01:0;02:0;03:0;04:0;05:0;06:0;07:0;08:0;09:0;10:0;11:0;12:0,04,completed
26,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,ideal,1.0,25,625,13,50.0,48.076923,pi_g25_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,17,18,"(12,19);(6,7);(15,4);(9,11)",02,15,4,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)","00:(13,1);01:(18,0);02:(8,9);03:(18,17);04:(17,18);05:(12,9);06:(2,11);07:(17,22);08:(13,13);09:(0,17);10:(0,19);11:(0,21);12:(0,23)",00:1;01:0;02:1;03:0;04:0;05:0;06:1;07:0;08:0;09:0;10:1;11:0;12:0,04,completed
27,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,ideal,1.0,25,625,13,50.0,48.076923,pi_g25_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,11,6,"(22,11);(8,7);(13,2);(11,14)",07,11,14,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)","00:(11,1);01:(11,3);02:(11,6);03:(11,7);04:(11,9);05:(11,11);06:(11,13);07:(11,15);08:(10,16);09:(12,18);10:(11,19);11:(11,21);12:(11,23)",00:0;01:0;02:0;03:0;04:0;05:0;06:0;07:1;08:0;09:0;10:0;11:0;12:0,02,completed
28,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,ideal,1.0,25,625,13,50.0,48.076923,pi_g25_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,22,10,"(15,8);(19,13);(16,11);(4,15)",04,15,8,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)","00:(0,1);01:(5,7);02:(19,15);03:(0,9);04:(21,9);05:(17,6);06:(0,11);07:(22,10);08:(2,13);09:(0,15);10:(0,18);11:(21,11);12:(17,18)",00:0;01:0;02:0;03:0;04:1;05:1;06:1;07:1;08:0;09:0;10:0;11:0;12:0,07,completed
29,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,ideal,1.0,25,625,13,50.0,48.076923,pi_g25_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,14,10,"(15,21);(5,8);(19,19);(9,6)",04,5,8,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)","00:(17,7);01:(12,10);02:(17,2);03:(17,6);04:(15,0);05:(16,4);06:(16,9);07:(12,0);08:(13,19);09:(13,9);10:(14,17);11:(14,10);12:(13,17)",00:0;01:0;02:0;03:2;04:1;05:0;06:0;07:0;08:0;09:0;10:0;11:0;12:0,11,completed
