trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,blocked_task_quarantines,blocked_task_quarantine_time_s,maximum_quarantine_level,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,benchmark_suite,num_targets,num_robots,commitment_horizon
309,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,02,22,2,0,23,0,1,2,2,0,0.0,0,0,49,49,0,114,44,known_visit_core_500,10,4,8
309,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,03,26,2,0,24,3,0,0,0,0,0.0,0,0,53,53,0,97,57,known_visit_core_500,10,4,8
310,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,00,25,3,0,26,0,1,0,0,0,0.0,0,0,53,53,0,89,72,known_visit_core_500,10,4,8
310,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,01,26,0,2,21,6,0,0,0,0,0.0,0,0,53,53,0,108,53,known_visit_core_500,10,4,8
310,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,02,27,5,0,28,0,0,0,0,0,0.0,0,0,55,55,0,98,61,known_visit_core_500,10,4,8
310,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,03,26,2,1,23,4,0,0,0,0,0.0,0,0,53,53,0,91,70,known_visit_core_500,10,4,8
311,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,00,30,4,0,31,0,0,0,0,0,0.0,0,0,61,61,0,110,75,known_visit_core_500,10,4,8
311,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,01,29,0,2,19,11,1,3,3,0,0.0,0,0,62,62,0,123,61,known_visit_core_500,10,4,8
311,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,02,30,2,3,26,5,0,0,0,0,0.0,0,0,61,61,0,123,63,known_visit_core_500,10,4,8
311,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,03,31,4,1,24,8,0,0,0,0,0.0,0,0,63,63,0,112,72,known_visit_core_500,10,4,8
312,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,00,31,3,2,23,9,0,0,0,0,0.0,0,0,63,63,0,104,88,known_visit_core_500,10,4,8
