trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,robot_id,steps_total,steps_after_first_clue,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,messages_sent,protected_messages_sent,unprotected_messages_sent,core_messages_sent,allocation_messages_sent,post_clue_messages_sent,messages_sent_by_topic,messages_delivered_to_robot,messages_dropped_to_robot,trial_status,stage,environment,algorithm_key,commitment_horizon,dga_iterations,comm_label,out_dir,run_id
20,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,00,10,1,11,0,0,0,0,22,11,11,22,0,4,clue:1;collision_intent:10;state:10;target:1,0,0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
21,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,00,164,124,153,12,0,0,0,332,165,167,332,0,252,clue:3;collision_intent:164;state:164;target:1,0,0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
22,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,00,151,130,143,9,0,0,0,306,152,154,306,0,264,clue:3;collision_intent:151;state:151;target:1,0,0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
23,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,00,127,92,121,7,0,0,0,258,128,130,258,0,188,clue:3;collision_intent:127;state:127;target:1,0,0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
24,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,00,136,47,123,14,0,0,0,274,137,137,274,0,96,clue:1;collision_intent:136;state:136;target:1,0,0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
25,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,00,71,70,67,5,0,0,0,145,72,73,145,0,143,clue:2;collision_intent:71;state:71;target:1,0,0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
26,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,00,15,0,16,0,0,0,0,31,16,15,31,0,0,collision_intent:15;state:15;target:1,0,0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
27,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,00,5,1,6,0,0,0,0,12,6,6,12,0,4,clue:1;collision_intent:5;state:5;target:1,0,0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
28,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,00,186,177,167,20,0,0,0,377,187,190,377,0,359,clue:4;collision_intent:186;state:186;target:1,0,0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
29,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,00,87,7,88,0,0,0,0,177,88,89,177,0,17,clue:2;collision_intent:87;state:87;target:1,0,0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
30,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,00,25,0,26,0,0,0,0,51,26,25,51,0,0,collision_intent:25;state:25;target:1,0,0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
31,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,00,124,94,123,2,0,0,0,252,125,127,252,0,192,clue:3;collision_intent:124;state:124;target:1,0,0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
32,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,00,154,97,144,11,0,0,0,312,155,157,312,0,198,clue:3;collision_intent:154;state:154;target:1,0,0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
33,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,00,66,1,67,0,0,0,0,134,67,67,134,0,4,clue:1;collision_intent:66;state:66;target:1,0,0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
34,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,00,144,98,138,7,0,0,0,292,145,147,292,0,200,clue:3;collision_intent:144;state:144;target:1,0,0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
35,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,00,160,123,150,11,0,0,0,323,161,162,323,0,249,clue:2;collision_intent:160;state:160;target:1,0,0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
36,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,00,203,158,184,20,0,0,0,411,204,207,411,0,321,clue:4;collision_intent:203;state:203;target:1,0,0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
37,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,00,46,44,45,2,0,0,0,96,47,49,96,0,92,clue:3;collision_intent:46;state:46;target:1,0,0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
38,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,00,74,56,75,0,0,0,0,153,75,78,153,0,117,clue:4;collision_intent:74;state:74;target:1,0,0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
39,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,00,199,194,190,10,0,0,0,403,200,203,403,0,393,clue:4;collision_intent:199;state:199;target:1,0,0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
40,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,00,52,8,53,0,0,0,0,106,53,53,106,0,18,clue:1;collision_intent:52;state:52;target:1,0,0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
41,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,00,219,156,196,24,0,0,0,443,220,223,443,0,317,clue:4;collision_intent:219;state:219;target:1,0,0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
42,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,00,137,128,130,8,0,0,0,278,138,140,278,0,260,clue:3;collision_intent:137;state:137;target:1,0,0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
43,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,00,91,52,92,0,0,0,0,184,92,92,184,0,106,clue:1;collision_intent:91;state:91;target:1,0,0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
