trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,benchmark_suite,num_targets,num_robots,commitment_horizon,blocked_task_quarantines,blocked_task_quarantine_time_s,maximum_quarantine_level
5,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,00,27,1,3,19,9,1,1,1,0,103,55,48,132,113,known_visit_core_500,10,4,8,0,0.0,0
5,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,01,27,6,0,28,0,1,0,0,0,83,55,28,125,140,known_visit_core_500,10,4,8,0,0.0,0
5,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,02,27,1,3,22,6,2,1,1,0,91,56,35,130,127,known_visit_core_500,10,4,8,0,0.0,0
5,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,03,17,2,0,18,0,1,0,0,0,71,36,35,135,141,known_visit_core_500,10,4,8,0,0.0,0
6,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,00,40,3,1,22,19,0,1,1,0,117,81,36,171,130,known_visit_core_500,10,4,8,0,0.0,0
6,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,01,40,5,0,39,2,1,0,0,0,118,81,37,164,136,known_visit_core_500,10,4,8,0,0.0,0
6,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,02,31,1,2,29,3,0,0,0,0,85,64,21,174,159,known_visit_core_500,10,4,8,0,0.0,0
6,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,03,38,1,3,30,9,0,3,3,0,98,77,21,173,147,known_visit_core_500,10,4,8,0,0.0,0
7,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,00,27,5,0,28,0,0,0,0,0,103,55,48,138,154,known_visit_core_500,10,4,8,0,0.0,0
7,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,01,25,1,3,14,12,0,8,1,0,115,53,62,148,132,known_visit_core_500,10,4,8,0,0.0,0
7,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,02,27,1,3,18,10,0,0,0,0,88,55,33,140,166,known_visit_core_500,10,4,8,0,0.0,0
7,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,03,26,3,0,27,0,0,0,0,0,89,53,36,134,171,known_visit_core_500,10,4,8,0,0.0,0
8,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,00,41,3,2,25,17,0,1,1,0,122,84,38,192,174,known_visit_core_500,10,4,8,0,0.0,0
8,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,01,41,0,4,25,17,1,1,1,0,122,84,38,193,173,known_visit_core_500,10,4,8,0,0.0,0
8,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,02,40,3,2,32,9,0,3,1,0,134,83,51,190,164,known_visit_core_500,10,4,8,0,0.0,0
8,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,03,42,4,1,40,3,0,0,0,0,111,85,26,211,166,known_visit_core_500,10,4,8,0,0.0,0
9,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,00,39,4,2,37,3,0,1,1,0,137,81,56,272,236,known_visit_core_500,10,4,8,0,0.0,0
9,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,01,47,2,3,29,19,2,41,4,0,199,100,99,240,207,known_visit_core_500,10,4,8,0,0.0,0
9,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,02,67,2,4,47,21,1,2,2,0,189,135,54,240,217,known_visit_core_500,10,4,8,0,0.0,0
9,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,03,41,2,2,35,7,1,3,3,0,121,89,32,270,255,known_visit_core_500,10,4,8,0,0.0,0
10,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,00,51,4,1,40,12,0,2,2,0,151,104,47,204,152,known_visit_core_500,10,4,8,0,0.0,0
10,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,01,24,2,1,21,4,0,1,1,0,82,51,31,227,198,known_visit_core_500,10,4,8,0,0.0,0
10,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,02,43,3,1,35,9,1,0,0,0,137,88,49,205,165,known_visit_core_500,10,4,8,0,0.0,0
10,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,03,49,1,5,32,18,0,3,3,0,137,102,35,184,185,known_visit_core_500,10,4,8,0,0.0,0
11,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,00,36,6,2,27,10,0,0,0,0,117,73,44,150,132,known_visit_core_500,10,4,8,0,0.0,0
11,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,01,34,1,3,23,12,1,0,0,0,103,70,33,144,152,known_visit_core_500,10,4,8,0,0.0,0
11,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,02,26,3,0,27,0,0,0,0,0,72,54,18,178,149,known_visit_core_500,10,4,8,0,0.0,0
11,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,03,35,0,2,21,15,1,2,1,0,108,73,35,152,140,known_visit_core_500,10,4,8,0,0.0,0
12,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,00,39,4,0,40,0,1,0,0,0,109,79,30,185,132,known_visit_core_500,10,4,8,0,0.0,0
12,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,01,36,4,2,26,11,0,2,1,0,114,75,39,166,145,known_visit_core_500,10,4,8,0,0.0,0
12,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,02,39,2,1,30,10,0,0,0,0,106,79,27,166,154,known_visit_core_500,10,4,8,0,0.0,0
12,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,03,34,0,5,20,15,0,0,0,0,97,70,27,178,150,known_visit_core_500,10,4,8,0,0.0,0
13,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,00,38,4,1,34,5,0,1,1,0,120,78,42,196,167,known_visit_core_500,10,4,8,0,0.0,0
13,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,01,37,0,4,22,16,1,2,2,0,113,76,37,189,182,known_visit_core_500,10,4,8,0,0.0,0
13,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,02,38,6,0,38,1,0,0,0,0,141,77,64,176,167,known_visit_core_500,10,4,8,0,0.0,0
13,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,03,38,0,4,18,21,3,0,0,0,110,77,33,184,190,known_visit_core_500,10,4,8,0,0.0,0
14,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,00,52,5,1,43,10,0,1,1,0,168,105,63,240,204,known_visit_core_500,10,4,8,0,0.0,0
14,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,01,42,1,3,24,19,1,1,1,0,126,86,40,251,233,known_visit_core_500,10,4,8,0,0.0,0
14,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,02,51,1,3,42,10,3,0,0,0,151,103,48,245,215,known_visit_core_500,10,4,8,0,0.0,0
14,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,03,51,3,2,43,9,0,1,1,0,167,104,63,222,223,known_visit_core_500,10,4,8,0,0.0,0
15,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,00,65,2,5,48,18,0,3,3,0,177,133,44,252,190,known_visit_core_500,10,4,8,0,0.0,0
15,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,01,44,2,2,38,7,0,3,3,0,141,92,49,269,209,known_visit_core_500,10,4,8,0,0.0,0
15,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,02,41,5,1,40,2,0,0,0,0,120,84,36,276,222,known_visit_core_500,10,4,8,0,0.0,0
15,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,03,62,1,4,33,30,3,3,2,0,181,128,53,234,204,known_visit_core_500,10,4,8,0,0.0,0
16,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,00,26,4,0,27,0,0,0,0,0,103,53,50,134,132,known_visit_core_500,10,4,8,0,0.0,0
16,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,01,24,0,4,15,10,1,0,0,0,104,49,55,126,138,known_visit_core_500,10,4,8,0,0.0,0
16,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,02,24,2,1,24,1,0,0,0,0,81,50,31,145,142,known_visit_core_500,10,4,8,0,0.0,0
16,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,03,24,4,0,20,5,2,0,0,0,81,50,31,134,154,known_visit_core_500,10,4,8,0,0.0,0
17,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,00,37,3,2,32,6,2,1,1,0,136,76,60,177,163,known_visit_core_500,10,4,8,0,0.0,0
17,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,01,40,2,4,32,9,1,0,0,0,123,81,42,189,165,known_visit_core_500,10,4,8,0,0.0,0
17,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,02,33,3,1,32,2,3,5,5,0,100,71,29,197,180,known_visit_core_500,10,4,8,0,0.0,0
17,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,03,41,2,2,36,6,2,0,0,0,118,83,35,190,169,known_visit_core_500,10,4,8,0,0.0,0
18,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,00,36,2,2,26,11,1,1,1,0,124,73,51,176,147,known_visit_core_500,10,4,8,0,0.0,0
18,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,01,38,5,0,39,0,1,0,0,0,108,77,31,181,158,known_visit_core_500,10,4,8,0,0.0,0
18,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,02,37,1,3,27,11,0,1,1,0,104,76,28,184,158,known_visit_core_500,10,4,8,0,0.0,0
18,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,03,37,2,4,27,11,0,0,0,0,111,76,35,164,172,known_visit_core_500,10,4,8,0,0.0,0
19,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,00,39,1,2,31,9,0,2,1,0,117,81,36,192,169,known_visit_core_500,10,4,8,0,0.0,0
19,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,01,40,1,4,29,12,1,1,1,0,143,82,61,172,162,known_visit_core_500,10,4,8,0,0.0,0
19,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,02,36,6,0,37,0,0,0,0,0,113,74,39,188,177,known_visit_core_500,10,4,8,0,0.0,0
19,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,03,40,2,1,36,5,1,2,2,0,105,82,23,195,178,known_visit_core_500,10,4,8,0,0.0,0
20,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,00,28,1,1,20,9,0,0,0,0,82,57,25,142,133,known_visit_core_500,10,4,8,0,0.0,0
20,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,01,28,4,0,28,1,0,0,0,0,96,57,39,136,126,known_visit_core_500,10,4,8,0,0.0,0
20,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,02,28,4,0,29,0,0,0,0,0,96,57,39,130,131,known_visit_core_500,10,4,8,0,0.0,0
20,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,03,26,1,1,24,3,1,5,3,0,84,56,28,142,132,known_visit_core_500,10,4,8,0,0.0,0
21,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,00,38,5,1,33,6,0,0,0,0,131,77,54,162,134,known_visit_core_500,10,4,8,0,0.0,0
21,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,01,35,1,2,26,10,2,0,0,0,104,72,32,170,153,known_visit_core_500,10,4,8,0,0.0,0
21,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,02,19,1,2,15,5,1,7,2,0,76,47,29,186,165,known_visit_core_500,10,4,8,0,0.0,0
21,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,03,32,3,1,32,1,2,3,1,0,116,69,47,159,152,known_visit_core_500,10,4,8,0,0.0,0
22,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,00,32,5,0,33,0,0,0,0,0,111,65,46,134,139,known_visit_core_500,10,4,8,0,0.0,0
22,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,01,31,3,3,24,8,1,3,3,0,116,66,50,128,141,known_visit_core_500,10,4,8,0,0.0,0
22,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,02,17,2,0,18,0,0,1,1,0,73,37,36,159,152,known_visit_core_500,10,4,8,0,0.0,0
22,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,03,26,0,4,17,10,0,0,0,0,85,54,31,153,147,known_visit_core_500,10,4,8,0,0.0,0
23,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,00,38,3,1,34,5,1,0,0,0,129,78,51,176,142,known_visit_core_500,10,4,8,0,0.0,0
23,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,01,38,1,3,26,13,0,0,0,0,117,77,40,168,162,known_visit_core_500,10,4,8,0,0.0,0
23,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,02,24,4,1,22,3,0,4,2,0,90,52,38,177,180,known_visit_core_500,10,4,8,0,0.0,0
23,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,03,35,2,1,34,2,1,3,1,0,111,73,38,168,167,known_visit_core_500,10,4,8,0,0.0,0
24,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,00,38,3,4,25,14,0,1,1,0,132,77,55,187,162,known_visit_core_500,10,4,8,0,0.0,0
24,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,01,38,1,1,36,3,1,1,1,0,115,78,37,180,186,known_visit_core_500,10,4,8,0,0.0,0
24,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,02,38,2,2,29,10,0,3,3,0,122,80,42,201,157,known_visit_core_500,10,4,8,0,0.0,0
24,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,03,38,4,0,34,5,0,1,1,0,112,79,33,196,173,known_visit_core_500,10,4,8,0,0.0,0
25,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,00,50,4,2,40,11,0,1,1,0,156,102,54,162,136,known_visit_core_500,10,4,8,0,0.0,0
25,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,01,38,4,1,36,3,0,0,0,0,116,78,38,181,157,known_visit_core_500,10,4,8,0,0.0,0
25,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,02,31,2,5,26,6,0,2,1,0,95,66,29,195,164,known_visit_core_500,10,4,8,0,0.0,0
25,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,03,33,0,4,25,9,2,0,0,0,87,68,19,204,162,known_visit_core_500,10,4,8,0,0.0,0
26,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,00,30,6,0,31,0,0,0,0,0,119,61,58,135,120,known_visit_core_500,10,4,8,0,0.0,0
26,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,01,20,1,2,17,4,1,0,0,0,67,42,25,157,150,known_visit_core_500,10,4,8,0,0.0,0
26,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,02,30,2,1,29,2,2,0,0,0,95,61,34,137,141,known_visit_core_500,10,4,8,0,0.0,0
26,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,03,25,1,1,21,5,0,0,0,0,93,52,41,132,148,known_visit_core_500,10,4,8,0,0.0,0
27,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,00,53,3,4,43,11,1,1,1,0,162,108,54,150,119,known_visit_core_500,10,4,8,0,0.0,0
27,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,01,16,4,1,15,2,1,1,1,0,64,36,28,214,153,known_visit_core_500,10,4,8,0,0.0,0
27,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,02,30,1,3,23,8,1,1,1,0,93,64,29,191,146,known_visit_core_500,10,4,8,0,0.0,0
27,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,03,34,2,4,17,18,0,2,2,0,112,74,38,166,153,known_visit_core_500,10,4,8,0,0.0,0
28,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,00,35,3,3,28,8,0,3,3,0,103,72,31,172,134,known_visit_core_500,10,4,8,0,0.0,0
28,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,01,35,3,2,25,11,0,0,0,0,96,72,24,173,141,known_visit_core_500,10,4,8,0,0.0,0
28,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,02,33,1,1,22,12,1,6,6,0,106,70,36,169,134,known_visit_core_500,10,4,8,0,0.0,0
28,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,03,33,3,1,28,6,1,4,4,0,105,71,34,152,152,known_visit_core_500,10,4,8,0,0.0,0
29,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,00,35,3,2,29,7,0,0,0,0,118,72,46,211,166,known_visit_core_500,10,4,8,0,0.0,0
29,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,01,36,0,4,21,16,1,12,1,0,103,74,29,210,181,known_visit_core_500,10,4,8,0,0.0,0
