trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_index,target_x,target_y,first_completion_time_s,first_completion_sim_time_s,first_found_by_robot,first_finder_robot_id,total_visits,duplicate_visits,completed,sensitivity_suite,sensitivity_parameter,sensitivity_value,sensitivity_label,num_targets,num_robots
3,known_visit,PI,rayleigh_style,-50.66,19,361,4,10,pi_h1_rayleigh_m50_66,known_visit_10target_300.csv,5,10,5,21.45464139653726,21.45464139653726,01,01,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
3,known_visit,PI,rayleigh_style,-50.66,19,361,4,10,pi_h1_rayleigh_m50_66,known_visit_10target_300.csv,6,0,15,3.9507523470703068,3.9507523470703068,03,03,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
3,known_visit,PI,rayleigh_style,-50.66,19,361,4,10,pi_h1_rayleigh_m50_66,known_visit_10target_300.csv,7,0,13,0.40496188023516,0.40496188023516,02,02,2,1,True,known_visit_horizon,commitment_horizon,1,h1,10,4
3,known_visit,PI,rayleigh_style,-50.66,19,361,4,10,pi_h1_rayleigh_m50_66,known_visit_10target_300.csv,8,1,12,24.72217246160269,24.72217246160269,00,00,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
3,known_visit,PI,rayleigh_style,-50.66,19,361,4,10,pi_h1_rayleigh_m50_66,known_visit_10target_300.csv,9,3,14,7.41912146515289,7.41912146515289,02,02,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
3,known_visit,PI,rayleigh_style,-50.66,19,361,4,10,pi_h1_rayleigh_m50_66,known_visit_10target_300.csv,10,2,7,3.927451937454409,3.927451937454409,01,01,2,1,True,known_visit_horizon,commitment_horizon,1,h1,10,4
4,known_visit,PI,rayleigh_style,-50.66,19,361,4,10,pi_h1_rayleigh_m50_66,known_visit_10target_300.csv,1,13,1,23.086858903256818,23.086858903256818,00,00,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
4,known_visit,PI,rayleigh_style,-50.66,19,361,4,10,pi_h1_rayleigh_m50_66,known_visit_10target_300.csv,2,17,14,41.85759574358208,41.85759574358208,02,02,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
4,known_visit,PI,rayleigh_style,-50.66,19,361,4,10,pi_h1_rayleigh_m50_66,known_visit_10target_300.csv,3,8,0,12.445641086525992,12.445641086525992,00,00,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
4,known_visit,PI,rayleigh_style,-50.66,19,361,4,10,pi_h1_rayleigh_m50_66,known_visit_10target_300.csv,4,10,2,22.57719039030059,22.57719039030059,01,01,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
