experiment,algorithm,task_load,outcome,unit_of_analysis,terminal_jobs,completed_jobs,mean,median,p95,minimum,maximum
experiment2,CBAA,10,maximum_robot_allocator_calls,scenario_trial,100,100,30.35,29.0,49.0,11.0,60.0
experiment2,CBAA,10,median_of_robot_call_medians_ms,scenario_trial,100,100,0.16202149999999998,0.16397499999999998,0.215425,0.045325000000000004,0.28047500000000003
experiment2,CBAA,10,maximum_robot_call_p95_ms,scenario_trial,100,100,0.375208,0.35905,0.4817,0.2248,0.812
experiment2,CBAA,25,cumulative_team_allocator_time_ms,scenario_trial,50,50,31.703841999999998,29.5792,49.9357,18.3012,98.1016
experiment2,CBAA,25,maximum_cumulative_robot_allocator_time_ms,scenario_trial,50,50,10.288208,9.5739,18.4741,5.316,31.0917
experiment2,CBAA,25,allocator_calls_total,scenario_trial,50,50,111.4,103.5,161.0,78.0,326.0
experiment2,CBAA,25,maximum_robot_allocator_calls,scenario_trial,50,50,34.92,32.0,52.0,22.0,103.0
experiment2,CBAA,25,median_of_robot_call_medians_ms,scenario_trial,50,50,0.19903700000000002,0.198,0.31584999999999996,0.06525,0.33475
experiment2,CBAA,25,maximum_robot_call_p95_ms,scenario_trial,50,50,0.977566,0.8756999999999999,1.2927,0.5898,5.2217
experiment2,CBAA,50,cumulative_team_allocator_time_ms,scenario_trial,25,25,86.97134,87.2509,105.493,64.8377,116.1252
experiment2,CBAA,50,maximum_cumulative_robot_allocator_time_ms,scenario_trial,25,25,27.0771,25.3062,43.7793,18.1626,45.7151
experiment2,CBAA,50,allocator_calls_total,scenario_trial,25,25,177.44,176.0,226.0,140.0,236.0
experiment2,CBAA,50,maximum_robot_allocator_calls,scenario_trial,25,25,52.88,51.0,80.0,37.0,89.0
experiment2,CBAA,50,median_of_robot_call_medians_ms,scenario_trial,25,25,0.268867,0.2672,0.41400000000000003,0.121875,0.42025
experiment2,CBAA,50,maximum_robot_call_p95_ms,scenario_trial,25,25,1.86928,1.8668,2.2388,1.5922,2.456
experiment2,DGA,5,cumulative_team_allocator_time_ms,scenario_trial,50,50,9814.332476,9869.22595,15827.7868,1946.19,18050.8754
experiment2,DGA,5,maximum_cumulative_robot_allocator_time_ms,scenario_trial,50,50,5443.965512,5832.34175,9242.8338,888.4246,9408.715
experiment2,DGA,5,allocator_calls_total,scenario_trial,50,50,95.98,93.0,148.0,26.0,165.0
experiment2,DGA,5,maximum_robot_allocator_calls,scenario_trial,50,50,47.84,51.0,70.0,11.0,73.0
experiment2,DGA,5,median_of_robot_call_medians_ms,scenario_trial,50,50,86.97526400000001,92.21912499999999,113.88322500000001,30.958325000000002,115.065275
experiment2,DGA,5,maximum_robot_call_p95_ms,scenario_trial,50,50,157.366846,163.049,192.0185,121.5871,195.9725
experiment2,DGA,10,cumulative_team_allocator_time_ms,scenario_trial,100,100,9602.328727,7794.730949999999,19855.8937,2357.3717,48359.6195
experiment2,DGA,10,maximum_cumulative_robot_allocator_time_ms,scenario_trial,100,100,4989.8938880000005,3693.5151,12947.5673,766.7112,20733.5819
experiment2,DGA,10,allocator_calls_total,scenario_trial,100,100,91.76,78.0,146.0,37.0,1100.0
experiment2,DGA,10,maximum_robot_allocator_calls,scenario_trial,100,100,37.95,31.0,68.0,11.0,300.0
experiment2,DGA,10,median_of_robot_call_medians_ms,scenario_trial,100,100,75.0905205,76.817575,155.5704,0.058399999999999994,204.517525
experiment2,DGA,10,maximum_robot_call_p95_ms,scenario_trial,100,100,277.822688,279.05764999999997,334.7845,115.9633,375.3623
experiment2,DGA,25,cumulative_team_allocator_time_ms,scenario_trial,50,50,14849.691192,13450.36595,23750.5958,5820.5771,27615.8867
experiment2,DGA,25,maximum_cumulative_robot_allocator_time_ms,scenario_trial,50,50,4687.546134,4270.30615,8138.2405,1945.4222,9135.1885
experiment2,DGA,25,allocator_calls_total,scenario_trial,50,50,100.12,93.5,120.0,78.0,252.0
experiment2,DGA,25,maximum_robot_allocator_calls,scenario_trial,50,50,29.86,25.0,47.0,20.0,83.0
experiment2,DGA,25,median_of_robot_call_medians_ms,scenario_trial,50,50,5.861581,0.177425,42.247299999999996,0.1028,113.83125000000001
experiment2,DGA,25,maximum_robot_call_p95_ms,scenario_trial,50,50,935.781896,960.5998999999999,1058.3362,631.3142,1089.2068
experiment2,DGA,50,cumulative_team_allocator_time_ms,scenario_trial,25,25,36920.704084,34940.1306,53987.2088,23871.3303,57802.8376
experiment2,DGA,50,maximum_cumulative_robot_allocator_time_ms,scenario_trial,25,25,12246.66598,13122.6738,17890.4569,6891.1596,19816.1111
experiment2,DGA,50,allocator_calls_total,scenario_trial,25,25,159.04,156.0,190.0,125.0,206.0
experiment2,DGA,50,maximum_robot_allocator_calls,scenario_trial,25,25,47.0,44.0,70.0,36.0,90.0
experiment2,DGA,50,median_of_robot_call_medians_ms,scenario_trial,25,25,0.272003,0.28312499999999996,0.3617,0.13,0.40197499999999997
experiment2,DGA,50,maximum_robot_call_p95_ms,scenario_trial,25,25,2628.15014,2683.1305,2925.5904,2065.1667,2954.1449
experiment2,DMCHBA,5,cumulative_team_allocator_time_ms,scenario_trial,50,50,26.999807999999998,25.92015,47.0902,5.313,48.0162
experiment2,DMCHBA,5,maximum_cumulative_robot_allocator_time_ms,scenario_trial,50,50,15.042898000000001,14.9003,26.0389,1.7163,30.6074
experiment2,DMCHBA,5,allocator_calls_total,scenario_trial,50,50,69.68,64.5,129.0,14.0,151.0
experiment2,DMCHBA,5,maximum_robot_allocator_calls,scenario_trial,50,50,34.8,35.0,59.0,4.0,61.0
experiment2,DMCHBA,5,median_of_robot_call_medians_ms,scenario_trial,50,50,0.228797,0.2228,0.33709999999999996,0.04535,0.490025
experiment2,DMCHBA,5,maximum_robot_call_p95_ms,scenario_trial,50,50,1.018798,1.041,1.1684,0.642,1.7713
experiment2,DMCHBA,10,cumulative_team_allocator_time_ms,scenario_trial,100,100,25.154035,24.12995,39.4791,8.7114,56.9471
experiment2,DMCHBA,10,maximum_cumulative_robot_allocator_time_ms,scenario_trial,100,100,11.017676,10.451450000000001,19.0936,3.0971,27.9538
experiment2,DMCHBA,10,allocator_calls_total,scenario_trial,100,100,66.61,65.5,105.0,29.0,131.0
experiment2,DMCHBA,10,maximum_robot_allocator_calls,scenario_trial,100,100,26.18,26.0,40.0,8.0,57.0
experiment2,DMCHBA,10,median_of_robot_call_medians_ms,scenario_trial,100,100,0.13834475,0.12515,0.25479999999999997,0.032525,0.34457499999999996
experiment2,DMCHBA,10,maximum_robot_call_p95_ms,scenario_trial,100,100,1.843221,1.8956499999999998,2.2222,1.0748,2.4324
experiment2,DMCHBA,25,cumulative_team_allocator_time_ms,scenario_trial,50,50,104.58188,100.40084999999999,139.1637,66.8892,148.6753
experiment2,DMCHBA,25,maximum_cumulative_robot_allocator_time_ms,scenario_trial,50,50,34.66415,33.31115,48.2544,22.9827,57.1229
experiment2,DMCHBA,25,allocator_calls_total,scenario_trial,50,50,121.94,106.0,187.0,69.0,235.0
experiment2,DMCHBA,25,maximum_robot_allocator_calls,scenario_trial,50,50,41.06,37.0,71.0,19.0,76.0
experiment2,DMCHBA,25,median_of_robot_call_medians_ms,scenario_trial,50,50,0.119818,0.11935000000000001,0.1931,0.05545,0.24322500000000002
experiment2,DMCHBA,25,maximum_robot_call_p95_ms,scenario_trial,50,50,10.422734,10.3414,16.8955,3.2065,18.1093
experiment2,DMCHBA,50,cumulative_team_allocator_time_ms,scenario_trial,25,25,959.64224,975.1117,1111.4058,810.2324,1182.9898
experiment2,DMCHBA,50,maximum_cumulative_robot_allocator_time_ms,scenario_trial,25,25,300.332304,285.458,382.6698,229.4599,418.6449
experiment2,DMCHBA,50,allocator_calls_total,scenario_trial,25,25,189.2,175.0,292.0,138.0,298.0
experiment2,DMCHBA,50,maximum_robot_allocator_calls,scenario_trial,25,25,58.92,52.0,94.0,37.0,96.0
experiment2,DMCHBA,50,median_of_robot_call_medians_ms,scenario_trial,25,25,0.207021,0.195975,0.27454999999999996,0.12685000000000002,0.28132500000000005
experiment2,DMCHBA,50,maximum_robot_call_p95_ms,scenario_trial,25,25,55.65342,55.0994,73.6646,40.7957,74.8894
experiment2,HIPC,5,cumulative_team_allocator_time_ms,scenario_trial,50,50,45.432794,45.329,70.1799,7.3114,81.8524
experiment2,HIPC,5,maximum_cumulative_robot_allocator_time_ms,scenario_trial,50,50,21.60367,22.48755,31.1951,4.0272,36.2383
experiment2,HIPC,5,allocator_calls_total,scenario_trial,50,50,148.72,140.5,251.0,26.0,265.0
experiment2,HIPC,5,maximum_robot_allocator_calls,scenario_trial,50,50,65.72,68.0,94.0,15.0,96.0
experiment2,HIPC,5,median_of_robot_call_medians_ms,scenario_trial,50,50,0.292437,0.27205,0.42867500000000003,0.200175,0.4471
experiment2,HIPC,5,maximum_robot_call_p95_ms,scenario_trial,50,50,0.620386,0.61015,0.8518,0.3446,1.0585
experiment2,HIPC,10,cumulative_team_allocator_time_ms,scenario_trial,100,100,59.242851,59.06655,83.6725,33.0507,92.4955
experiment2,HIPC,10,maximum_cumulative_robot_allocator_time_ms,scenario_trial,100,100,24.347833,24.5895,37.5702,10.7349,48.2727
experiment2,HIPC,10,allocator_calls_total,scenario_trial,100,100,116.36,112.5,173.0,51.0,213.0
experiment2,HIPC,10,maximum_robot_allocator_calls,scenario_trial,100,100,49.35,50.0,71.0,20.0,77.0
experiment2,HIPC,10,median_of_robot_call_medians_ms,scenario_trial,100,100,0.41800550000000003,0.398775,0.610475,0.2272,0.89405
experiment2,HIPC,10,maximum_robot_call_p95_ms,scenario_trial,100,100,1.6423949999999998,1.56515,2.3207,0.9331,3.2009
experiment2,HIPC,25,cumulative_team_allocator_time_ms,scenario_trial,50,50,278.301722,282.619,327.4001,217.8718,401.717
experiment2,HIPC,25,maximum_cumulative_robot_allocator_time_ms,scenario_trial,50,50,80.95348200000001,78.90854999999999,101.1318,62.5006,156.0704
experiment2,HIPC,25,allocator_calls_total,scenario_trial,50,50,134.2,134.5,185.0,94.0,216.0
experiment2,HIPC,25,maximum_robot_allocator_calls,scenario_trial,50,50,46.0,46.0,67.0,27.0,78.0
experiment2,HIPC,25,median_of_robot_call_medians_ms,scenario_trial,50,50,1.0222795,0.8789625000000001,1.8195000000000001,0.4365,2.02845
experiment2,HIPC,25,maximum_robot_call_p95_ms,scenario_trial,50,50,8.601952,8.2455,11.2137,6.4518,16.9998
experiment2,HIPC,50,cumulative_team_allocator_time_ms,scenario_trial,25,25,1033.081796,1023.9481,1201.7149,805.6214,1219.4102
experiment2,HIPC,50,maximum_cumulative_robot_allocator_time_ms,scenario_trial,25,25,300.24080399999997,300.0155,330.9613,251.8947,343.593
experiment2,HIPC,50,allocator_calls_total,scenario_trial,25,25,192.64,183.0,243.0,145.0,328.0
experiment2,HIPC,50,maximum_robot_allocator_calls,scenario_trial,25,25,60.36,59.0,84.0,39.0,114.0
experiment2,HIPC,50,median_of_robot_call_medians_ms,scenario_trial,25,25,2.495873,2.4754,4.3111999999999995,0.490525,6.013175
experiment2,HIPC,50,maximum_robot_call_p95_ms,scenario_trial,25,25,22.337016,22.5331,25.8364,17.4752,26.1812
experiment2,PI,5,cumulative_team_allocator_time_ms,scenario_trial,50,50,63.084874,61.98725,91.8629,27.5824,118.5695
experiment2,PI,5,maximum_cumulative_robot_allocator_time_ms,scenario_trial,50,50,27.7437,26.3466,42.0752,11.8306,44.4675
experiment2,PI,5,allocator_calls_total,scenario_trial,50,50,155.68,155.0,258.0,68.0,318.0
experiment2,PI,5,maximum_robot_allocator_calls,scenario_trial,50,50,66.26,66.5,103.0,30.0,113.0
experiment2,PI,5,median_of_robot_call_medians_ms,scenario_trial,50,50,0.378143,0.37805,0.49115,0.26554999999999995,0.581
