trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,robot_id,steps_total,steps_after_first_clue,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,messages_sent,protected_messages_sent,unprotected_messages_sent,core_messages_sent,allocation_messages_sent,post_clue_messages_sent,messages_sent_by_topic,messages_delivered_to_robot,messages_dropped_to_robot,trial_status,failure_type,failure_message
69,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,01,125,0,111,15,0,0,0,778,128,650,253,525,0,cbaa_entry:525;collision_intent:128;state:125,1998,377,completed,,
69,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,02,125,0,69,57,0,0,0,812,130,682,255,557,0,cbaa_entry:557;collision_intent:130;state:125,1975,364,completed,,
69,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,03,128,0,122,7,0,0,0,791,129,662,257,534,0,cbaa_entry:534;collision_intent:129;state:128,2019,343,completed,,
70,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,00,152,0,49,104,0,0,0,923,156,767,308,615,0,cbaa_entry:615;collision_intent:156;state:152,2144,547,completed,,
70,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,01,155,0,118,38,0,0,0,892,157,735,312,580,0,cbaa_entry:580;collision_intent:157;state:155,2327,393,completed,,
70,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,02,152,0,97,56,0,0,0,896,161,735,313,583,0,cbaa_entry:583;collision_intent:161;state:152,2236,483,completed,,
70,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,03,154,0,97,58,0,0,0,905,160,745,314,591,0,cbaa_entry:591;collision_intent:160;state:154,2217,490,completed,,
71,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,00,142,0,49,94,0,0,0,902,149,753,291,611,0,cbaa_entry:611;collision_intent:149;state:142,2133,493,completed,,
71,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,01,150,0,105,46,0,0,0,896,151,745,301,595,0,cbaa_entry:595;collision_intent:151;state:150,2226,406,completed,,
71,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,02,144,0,113,32,0,0,0,852,148,704,292,560,0,cbaa_entry:560;collision_intent:148;state:144,2231,447,completed,,
