trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
33,known_visit,ACBBA,ideal,1.0,25,625,8,10,acbba_g25_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(4,3);(4,12);(23,0);(12,7);(3,14);(8,4);(20,8);(9,24);(23,6);(5,20)",10,True,65.81856170241237,65.81856170241237,00:1;01:2;02:1;03:1;04:2;05:0;06:2;07:1,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(23,0);(8,6);(12,7);(20,8);(7,12);(3,13);(23,6);(9,24)",879,0,completed
34,known_visit,ACBBA,ideal,1.0,25,625,8,10,acbba_g25_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(9,4);(12,5);(19,3);(8,0);(14,6);(17,10);(10,8);(20,10);(11,24);(3,3)",10,True,54.72233502260958,54.72233502260958,00:1;01:4;02:2;03:1;04:0;05:1;06:0;07:1,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(10,4);(19,3);(14,6);(17,10);(15,14);(20,10);(10,21);(13,24)",697,0,completed
35,known_visit,ACBBA,ideal,1.0,25,625,8,10,acbba_g25_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(8,20);(7,3);(14,16);(17,5);(9,24);(16,11);(14,8);(22,20);(17,7);(6,3)",10,True,45.52740576903173,45.52740576903173,00:0;01:2;02:2;03:2;04:0;05:2;06:1;07:1,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(7,1);(8,3);(17,5);(16,11);(7,14);(22,20);(8,20);(9,24)",586,0,completed
36,known_visit,ACBBA,ideal,1.0,25,625,8,10,acbba_g25_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(6,11);(19,8);(15,15);(17,18);(18,8);(23,12);(18,18);(15,12);(15,13);(24,12)",10,True,42.965205473047924,42.965205473047924,00:0;01:0;02:2;03:1;04:4;05:1;06:1;07:1,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(16,0);(18,4);(19,8);(14,12);(24,12);(17,18);(15,15);(18,18)",475,0,completed
37,known_visit,ACBBA,ideal,1.0,25,625,8,10,acbba_g25_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(8,4);(13,14);(23,2);(22,11);(13,5);(6,16);(5,11);(18,23);(19,8);(24,5)",10,True,55.499665038955236,55.499665038955236,00:0;01:2;02:1;03:3;04:1;05:2;06:0;07:1,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(11,0);(13,5);(16,11);(23,2);(13,14);(22,11);(9,21);(18,23)",696,0,completed
38,known_visit,ACBBA,ideal,1.0,25,625,8,10,acbba_g25_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(7,18);(5,2);(14,18);(3,13);(21,11);(1,15);(24,10);(3,12);(9,15);(8,20)",10,True,51.29135397829791,51.29135397829791,00:1;01:1;02:1;03:3;04:1;05:1;06:2;07:0,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(5,4);(9,18);(1,16);(24,10);(9,13);(11,15);(14,18);(9,24)",665,0,completed
39,known_visit,ACBBA,ideal,1.0,25,625,8,10,acbba_g25_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(23,8);(8,1);(3,22);(17,10);(19,19);(3,16);(10,17);(24,11);(13,18);(12,16)",10,True,48.78494672206033,48.78494672206033,00:1;01:0;02:0;03:3;04:1;05:2;06:2;07:1,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(8,1);(5,4);(17,7);(24,11);(7,16);(12,16);(19,19);(3,22)",638,0,completed
40,known_visit,ACBBA,ideal,1.0,25,625,8,10,acbba_g25_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(10,10);(17,3);(11,0);(9,10);(13,12);(22,5);(5,4);(3,13);(12,21);(22,20)",10,True,47.04160752998257,47.04160752998257,00:1;01:2;02:2;03:2;04:1;05:0;06:2;07:0,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(11,0);(13,12);(22,5);(11,10);(3,12);(4,16);(22,20);(11,24)",602,0,completed
41,known_visit,ACBBA,ideal,1.0,25,625,8,10,acbba_g25_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(7,24);(11,6);(8,12);(22,21);(11,22);(11,9);(12,17);(4,23);(12,12);(7,14)",10,True,43.9623187894625,43.9623187894625,00:2;01:2;02:0;03:0;04:1;05:1;06:3;07:1,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(11,9);(12,12);(8,7);(9,10);(8,14);(12,15);(22,21);(9,24)",553,0,completed
42,known_visit,ACBBA,ideal,1.0,25,625,8,10,acbba_g25_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(22,22);(1,8);(3,12);(18,15);(4,21);(1,20);(18,3);(24,3);(8,20);(16,23)",10,True,40.04922632396706,40.04922632396706,00:1;01:2;02:0;03:1;04:1;05:1;06:2;07:2,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(1,8);(24,3);(3,7);(3,12);(18,15);(1,20);(8,20);(22,22)",515,0,completed
43,known_visit,ACBBA,ideal,1.0,25,625,8,10,acbba_g25_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(5,8);(24,15);(12,20);(20,16);(15,8);(14,15);(8,19);(17,2);(8,20);(4,11)",10,True,52.67172931851732,52.67172931851732,00:0;01:1;02:2;03:4;04:0;05:1;06:1;07:1,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(16,0);(17,2);(15,10);(24,15);(15,13);(8,19);(8,20);(12,20)",672,0,completed
44,known_visit,ACBBA,ideal,1.0,25,625,8,10,acbba_g25_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(22,11);(9,7);(22,21);(7,23);(11,21);(24,19);(16,14);(24,0);(21,0);(4,11)",10,True,43.11642175903963,43.11642175903963,00:2;01:0;02:1;03:1;04:2;05:0;06:3;07:1,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(24,0);(3,3);(10,7);(4,12);(22,11);(13,17);(24,19);(7,22)",539,0,completed
45,known_visit,ACBBA,ideal,1.0,25,625,8,10,acbba_g25_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(2,5);(2,11);(10,7);(23,20);(2,9);(20,8);(19,12);(19,10);(2,22);(3,21)",10,True,60.80745054407612,60.80745054407612,00:0;01:3;02:2;03:1;04:1;05:0;06:1;07:2,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(2,3);(19,10);(20,8);(13,11);(19,12);(4,17);(14,21);(23,20)",798,0,completed
46,known_visit,ACBBA,ideal,1.0,25,625,8,10,acbba_g25_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(9,6);(14,5);(17,10);(10,17);(19,6);(11,15);(15,5);(23,14);(14,2);(22,19)",10,True,50.21801253316254,50.21801253316254,00:1;01:3;02:1;03:1;04:1;05:3;06:0;07:0,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(14,2);(19,6);(9,6);(17,10);(11,15);(23,14);(9,21);(11,21)",634,0,completed
47,known_visit,ACBBA,ideal,1.0,25,625,8,10,acbba_g25_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(24,21);(19,12);(8,23);(16,24);(15,4);(9,0);(13,4);(12,21);(14,15);(8,7)",10,True,44.77918982441698,44.77918982441698,00:1;01:2;02:1;03:1;04:2;05:0;06:1;07:2,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(14,0);(15,4);(11,7);(12,21);(19,12);(12,19);(10,23);(24,21)",535,0,completed
48,known_visit,ACBBA,ideal,1.0,25,625,8,10,acbba_g25_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(15,1);(24,12);(22,14);(1,6);(23,6);(3,2);(19,21);(14,12);(9,9);(20,17)",10,True,66.45301744469157,66.45301744469157,00:2;01:1;02:2;03:2;04:1;05:1;06:0;07:1,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(23,6);(3,2);(9,9);(24,12);(24,14);(20,20);(4,21);(19,21)",871,0,completed
49,known_visit,ACBBA,ideal,1.0,25,625,8,10,acbba_g25_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(3,12);(23,14);(12,1);(5,11);(20,3);(14,1);(22,13);(15,16);(16,22);(14,3)",10,True,41.87423686694353,41.87423686694353,00:2;01:2;02:0;03:1;04:2;05:1;06:1;07:1,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(14,1);(20,3);(11,7);(5,11);(23,14);(3,12);(15,16);(16,22)",507,0,completed
