trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,target_x,target_y,clue_locations,first_clue_robot,first_clue_x,first_clue_y,robot_start_locations,robot_end_locations,clues_detected_by_robot,target_found_by_robot,trial_status,stage,environment,algorithm_key,commitment_horizon,dga_iterations,comm_label,out_dir,run_id,failure_type,failure_message
45,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
46,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
47,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
48,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
49,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
0,dcta_parity_v1,custom,,66e6bf052dd3763a64e69360004fd9b94223d8edb9fccf9a141f3ddbf416e409,ACBBA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_acbba,,coverage,,,,,,,"00:(0,6)","00:(6,13)",00:0,,completed,grid_coverage,coverage,acbba,5,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/acbba,coverage_g14_d220_ideal_acbba,,
1,dcta_parity_v1,custom,,66e6bf052dd3763a64e69360004fd9b94223d8edb9fccf9a141f3ddbf416e409,ACBBA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_acbba,,coverage,,,,,,,"00:(0,6)","00:(6,13)",00:0,,completed,grid_coverage,coverage,acbba,5,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/acbba,coverage_g14_d220_ideal_acbba,,
2,dcta_parity_v1,custom,,66e6bf052dd3763a64e69360004fd9b94223d8edb9fccf9a141f3ddbf416e409,ACBBA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_acbba,,coverage,,,,,,,"00:(0,6)","00:(6,13)",00:0,,completed,grid_coverage,coverage,acbba,5,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/acbba,coverage_g14_d220_ideal_acbba,,
3,dcta_parity_v1,custom,,66e6bf052dd3763a64e69360004fd9b94223d8edb9fccf9a141f3ddbf416e409,ACBBA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_acbba,,coverage,,,,,,,"00:(0,6)","00:(6,13)",00:0,,completed,grid_coverage,coverage,acbba,5,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/acbba,coverage_g14_d220_ideal_acbba,,
4,dcta_parity_v1,custom,,66e6bf052dd3763a64e69360004fd9b94223d8edb9fccf9a141f3ddbf416e409,ACBBA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_acbba,,coverage,,,,,,,"00:(0,6)","00:(6,13)",00:0,,completed,grid_coverage,coverage,acbba,5,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/acbba,coverage_g14_d220_ideal_acbba,,
5,dcta_parity_v1,custom,,66e6bf052dd3763a64e69360004fd9b94223d8edb9fccf9a141f3ddbf416e409,ACBBA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_acbba,,coverage,,,,,,,"00:(0,6)","00:(6,13)",00:0,,completed,grid_coverage,coverage,acbba,5,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/acbba,coverage_g14_d220_ideal_acbba,,
6,dcta_parity_v1,custom,,66e6bf052dd3763a64e69360004fd9b94223d8edb9fccf9a141f3ddbf416e409,ACBBA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_acbba,,coverage,,,,,,,"00:(0,6)","00:(6,13)",00:0,,completed,grid_coverage,coverage,acbba,5,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/acbba,coverage_g14_d220_ideal_acbba,,
7,dcta_parity_v1,custom,,66e6bf052dd3763a64e69360004fd9b94223d8edb9fccf9a141f3ddbf416e409,ACBBA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_acbba,,coverage,,,,,,,"00:(0,6)","00:(6,13)",00:0,,completed,grid_coverage,coverage,acbba,5,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/acbba,coverage_g14_d220_ideal_acbba,,
8,dcta_parity_v1,custom,,66e6bf052dd3763a64e69360004fd9b94223d8edb9fccf9a141f3ddbf416e409,ACBBA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_acbba,,coverage,,,,,,,"00:(0,6)","00:(6,13)",00:0,,completed,grid_coverage,coverage,acbba,5,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/acbba,coverage_g14_d220_ideal_acbba,,
9,dcta_parity_v1,custom,,66e6bf052dd3763a64e69360004fd9b94223d8edb9fccf9a141f3ddbf416e409,ACBBA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_acbba,,coverage,,,,,,,"00:(0,6)","00:(6,13)",00:0,,completed,grid_coverage,coverage,acbba,5,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/acbba,coverage_g14_d220_ideal_acbba,,
10,dcta_parity_v1,custom,,f2cc81506a77e9d4a8965b3c39a603e659726131d490ff4046f59fc99088bbb5,ACBBA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_acbba,,coverage,,,,,,,"00:(0,6)","00:(6,13)",00:0,,completed,grid_coverage,coverage,acbba,5,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/acbba,coverage_g14_d220_ideal_acbba,,
