trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,robot_id,steps_total,steps_after_first_clue,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,messages_sent,protected_messages_sent,unprotected_messages_sent,core_messages_sent,allocation_messages_sent,post_clue_messages_sent,messages_sent_by_topic,messages_delivered_to_robot,messages_dropped_to_robot,trial_status
45,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,03,130,0,102,29,0,0,0,373,133,240,263,110,0,collision_intent:133;pi_clear_path:2;pi_entry:108;state:130,1036,42,completed
46,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,00,112,0,97,16,0,0,0,320,112,208,224,96,0,collision_intent:112;pi_entry:96;state:112,939,16,completed
46,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,01,112,0,100,13,0,0,0,325,113,212,225,100,0,collision_intent:113;pi_entry:100;state:112,943,8,completed
46,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,02,111,0,69,43,0,0,0,309,114,195,225,84,0,collision_intent:114;pi_entry:84;state:111,938,28,completed
46,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,03,111,0,95,17,0,0,0,322,113,209,224,98,0,collision_intent:113;pi_entry:98;state:111,915,38,completed
47,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,00,109,0,102,8,0,0,0,322,109,213,218,104,0,collision_intent:109;pi_entry:104;state:109,872,61,completed
47,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,01,107,0,100,8,0,0,0,316,108,208,215,101,0,collision_intent:108;pi_entry:101;state:107,907,32,completed
47,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,02,102,0,72,31,0,0,0,304,109,195,211,93,0,collision_intent:109;pi_entry:93;state:102,924,27,completed
47,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,03,106,0,87,20,0,0,0,314,109,205,215,99,0,collision_intent:109;pi_clear_path:1;pi_entry:98;state:106,912,30,completed
48,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,00,114,0,109,6,0,0,0,340,116,224,230,110,0,collision_intent:116;pi_entry:110;state:114,938,30,completed
