algorithm,folder,model,label,level,run_id,out_dir
ACBBA,rayleigh_style_sens_neg52_15,rayleigh_style,sens_-52.15,-52.15,acbba_rayleigh_style_sens_neg52_15,runs/known_visit_core_500/raw/acbba/rayleigh_style_sens_neg52_15
ACBBA,rayleigh_style_sens_neg56_04,rayleigh_style,sens_-56.04,-56.04,acbba_rayleigh_style_sens_neg56_04,runs/known_visit_core_500/raw/acbba/rayleigh_style_sens_neg56_04
ACBBA,rayleigh_style_sens_neg59_4,rayleigh_style,sens_-59.4,-59.4,acbba_rayleigh_style_sens_neg59_4,runs/known_visit_core_500/raw/acbba/rayleigh_style_sens_neg59_4
PI,ideal_1_0,ideal,1.0,,pi_ideal_1_0,runs/known_visit_core_500/raw/pi/ideal_1_0
PI,bernoulli_drop_0_05,bernoulli,drop_0.05,0.05,pi_bernoulli_drop_0_05,runs/known_visit_core_500/raw/pi/bernoulli_drop_0_05
PI,bernoulli_drop_0_1,bernoulli,drop_0.1,0.1,pi_bernoulli_drop_0_1,runs/known_visit_core_500/raw/pi/bernoulli_drop_0_1
PI,bernoulli_drop_0_2,bernoulli,drop_0.2,0.2,pi_bernoulli_drop_0_2,runs/known_visit_core_500/raw/pi/bernoulli_drop_0_2
PI,bernoulli_drop_0_3,bernoulli,drop_0.3,0.3,pi_bernoulli_drop_0_3,runs/known_visit_core_500/raw/pi/bernoulli_drop_0_3
PI,bernoulli_drop_0_4,bernoulli,drop_0.4,0.4,pi_bernoulli_drop_0_4,runs/known_visit_core_500/raw/pi/bernoulli_drop_0_4
PI,bernoulli_drop_0_5,bernoulli,drop_0.5,0.5,pi_bernoulli_drop_0_5,runs/known_visit_core_500/raw/pi/bernoulli_drop_0_5
PI,bernoulli_drop_0_6,bernoulli,drop_0.6,0.6,pi_bernoulli_drop_0_6,runs/known_visit_core_500/raw/pi/bernoulli_drop_0_6
PI,bernoulli_drop_0_7,bernoulli,drop_0.7,0.7,pi_bernoulli_drop_0_7,runs/known_visit_core_500/raw/pi/bernoulli_drop_0_7
PI,gilbert_elliot_pGG_0_3_pBB_0_7,gilbert_elliot,pGG_0.3_pBB_0.7,0.3,pi_gilbert_elliot_pGG_0_3_pBB_0_7,runs/known_visit_core_500/raw/pi/gilbert_elliot_pGG_0_3_pBB_0_7
PI,gilbert_elliot_pGG_0_4_pBB_0_6,gilbert_elliot,pGG_0.4_pBB_0.6,0.4,pi_gilbert_elliot_pGG_0_4_pBB_0_6,runs/known_visit_core_500/raw/pi/gilbert_elliot_pGG_0_4_pBB_0_6
PI,gilbert_elliot_pGG_0_5_pBB_0_5,gilbert_elliot,pGG_0.5_pBB_0.5,0.5,pi_gilbert_elliot_pGG_0_5_pBB_0_5,runs/known_visit_core_500/raw/pi/gilbert_elliot_pGG_0_5_pBB_0_5
PI,gilbert_elliot_pGG_0_6_pBB_0_4,gilbert_elliot,pGG_0.6_pBB_0.4,0.6,pi_gilbert_elliot_pGG_0_6_pBB_0_4,runs/known_visit_core_500/raw/pi/gilbert_elliot_pGG_0_6_pBB_0_4
PI,gilbert_elliot_pGG_0_7_pBB_0_3,gilbert_elliot,pGG_0.7_pBB_0.3,0.7,pi_gilbert_elliot_pGG_0_7_pBB_0_3,runs/known_visit_core_500/raw/pi/gilbert_elliot_pGG_0_7_pBB_0_3
PI,gilbert_elliot_pGG_0_8_pBB_0_2,gilbert_elliot,pGG_0.8_pBB_0.2,0.8,pi_gilbert_elliot_pGG_0_8_pBB_0_2,runs/known_visit_core_500/raw/pi/gilbert_elliot_pGG_0_8_pBB_0_2
