trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_index,target_x,target_y,first_completion_time_s,first_completion_sim_time_s,first_found_by_robot,first_finder_robot_id,total_visits,duplicate_visits,completed,trial_status,stage,environment,algorithm_key,commitment_horizon,dga_iterations,comm_label,out_dir,run_id
47,known_visit,HIPC,gilbert_elliot,0.4,19,361,4,10,hipc_gilbert_elliott_drop_0_60_rho_0_8,scenarios/known_visit_g19_t10_n500.csv,4,9,12,13.447476576759147,13.447476576759147,02,02,2,1,True,completed,known_core,known,hipc,3,,gilbert_elliott_drop_0_60_rho_0_8,runs/known_visit_core_500_ge_bursty_rho08/raw/hipc/gilbert_elliott_drop_0_60_rho_0_8,hipc_gilbert_elliott_drop_0_60_rho_0_8
47,known_visit,HIPC,gilbert_elliot,0.4,19,361,4,10,hipc_gilbert_elliott_drop_0_60_rho_0_8,scenarios/known_visit_g19_t10_n500.csv,5,16,12,36.86096007402784,36.86096007402784,02,02,1,0,True,completed,known_core,known,hipc,3,,gilbert_elliott_drop_0_60_rho_0_8,runs/known_visit_core_500_ge_bursty_rho08/raw/hipc/gilbert_elliott_drop_0_60_rho_0_8,hipc_gilbert_elliott_drop_0_60_rho_0_8
47,known_visit,HIPC,gilbert_elliot,0.4,19,361,4,10,hipc_gilbert_elliott_drop_0_60_rho_0_8,scenarios/known_visit_g19_t10_n500.csv,6,14,15,27.72494376552536,27.72494376552536,02,02,1,0,True,completed,known_core,known,hipc,3,,gilbert_elliott_drop_0_60_rho_0_8,runs/known_visit_core_500_ge_bursty_rho08/raw/hipc/gilbert_elliott_drop_0_60_rho_0_8,hipc_gilbert_elliott_drop_0_60_rho_0_8
47,known_visit,HIPC,gilbert_elliot,0.4,19,361,4,10,hipc_gilbert_elliott_drop_0_60_rho_0_8,scenarios/known_visit_g19_t10_n500.csv,7,10,3,20.794855486391807,20.794855486391807,01,01,1,0,True,completed,known_core,known,hipc,3,,gilbert_elliott_drop_0_60_rho_0_8,runs/known_visit_core_500_ge_bursty_rho08/raw/hipc/gilbert_elliott_drop_0_60_rho_0_8,hipc_gilbert_elliott_drop_0_60_rho_0_8
47,known_visit,HIPC,gilbert_elliot,0.4,19,361,4,10,hipc_gilbert_elliott_drop_0_60_rho_0_8,scenarios/known_visit_g19_t10_n500.csv,8,4,0,5.410253843243926,5.410253843243926,00,00,1,0,True,completed,known_core,known,hipc,3,,gilbert_elliott_drop_0_60_rho_0_8,runs/known_visit_core_500_ge_bursty_rho08/raw/hipc/gilbert_elliott_drop_0_60_rho_0_8,hipc_gilbert_elliott_drop_0_60_rho_0_8
47,known_visit,HIPC,gilbert_elliot,0.4,19,361,4,10,hipc_gilbert_elliott_drop_0_60_rho_0_8,scenarios/known_visit_g19_t10_n500.csv,9,18,6,39.95244545755551,39.95244545755551,01,01,1,0,True,completed,known_core,known,hipc,3,,gilbert_elliott_drop_0_60_rho_0_8,runs/known_visit_core_500_ge_bursty_rho08/raw/hipc/gilbert_elliott_drop_0_60_rho_0_8,hipc_gilbert_elliott_drop_0_60_rho_0_8
47,known_visit,HIPC,gilbert_elliot,0.4,19,361,4,10,hipc_gilbert_elliott_drop_0_60_rho_0_8,scenarios/known_visit_g19_t10_n500.csv,10,3,18,3.5460211963772363,3.5460211963772363,03,03,1,0,True,completed,known_core,known,hipc,3,,gilbert_elliott_drop_0_60_rho_0_8,runs/known_visit_core_500_ge_bursty_rho08/raw/hipc/gilbert_elliott_drop_0_60_rho_0_8,hipc_gilbert_elliott_drop_0_60_rho_0_8
48,known_visit,HIPC,gilbert_elliot,0.4,19,361,4,10,hipc_gilbert_elliott_drop_0_60_rho_0_8,scenarios/known_visit_g19_t10_n500.csv,1,18,5,53.341285604397996,53.341285604397996,00,00,1,0,True,completed,known_core,known,hipc,3,,gilbert_elliott_drop_0_60_rho_0_8,runs/known_visit_core_500_ge_bursty_rho08/raw/hipc/gilbert_elliott_drop_0_60_rho_0_8,hipc_gilbert_elliott_drop_0_60_rho_0_8
48,known_visit,HIPC,gilbert_elliot,0.4,19,361,4,10,hipc_gilbert_elliott_drop_0_60_rho_0_8,scenarios/known_visit_g19_t10_n500.csv,2,7,6,24.933800767825513,24.933800767825513,00,00,1,0,True,completed,known_core,known,hipc,3,,gilbert_elliott_drop_0_60_rho_0_8,runs/known_visit_core_500_ge_bursty_rho08/raw/hipc/gilbert_elliott_drop_0_60_rho_0_8,hipc_gilbert_elliott_drop_0_60_rho_0_8
48,known_visit,HIPC,gilbert_elliot,0.4,19,361,4,10,hipc_gilbert_elliott_drop_0_60_rho_0_8,scenarios/known_visit_g19_t10_n500.csv,3,1,1,2.0730911245055,2.0730911245055,00,00,2,1,True,completed,known_core,known,hipc,3,,gilbert_elliott_drop_0_60_rho_0_8,runs/known_visit_core_500_ge_bursty_rho08/raw/hipc/gilbert_elliott_drop_0_60_rho_0_8,hipc_gilbert_elliott_drop_0_60_rho_0_8
