trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status
20,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,ideal,1.0,14,196,3,85.0,65.333333,pi_g14_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,140,5,135,117,26,1,8,7,452,900,0,150,302,296,156,442,156,0.0,3.8632478632478633,3.274074074074074,1.1142857142857143,1.1555555555555554,1.3333333333333333,clue:6;collision_intent:149;pi_clear_path:1;pi_entry:155;state:140;target:1,47,154,0.05128205128205132,completed
21,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,ideal,1.0,14,196,3,85.0,65.333333,pi_g14_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,220,47,173,180,43,1,2,2,652,1302,0,223,429,452,200,557,200,0.0,3.6222222222222222,3.2196531791907512,0.9090909090909091,1.1560693641618498,1.1111111111111112,clue:9;collision_intent:222;pi_clear_path:1;pi_entry:199;state:220;target:1,74,229,0.07037037037037042,completed
22,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,ideal,1.0,14,196,3,85.0,65.333333,pi_g14_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,105,20,85,91,17,0,3,3,318,633,0,109,209,223,95,277,95,0.0,3.4945054945054945,3.2588235294117647,0.9047619047619048,1.1176470588235294,1.043956043956044,clue:9;collision_intent:108;pi_entry:95;state:105;target:1,35,111,0.06593406593406592,completed
23,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,ideal,1.0,14,196,3,85.0,65.333333,pi_g14_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,121,62,59,120,4,1,0,0,329,656,0,122,207,252,77,205,77,0.0,2.7416666666666667,3.4745762711864407,0.6363636363636364,1.305084745762712,0.6416666666666667,clue:9;collision_intent:121;pi_entry:77;state:121;target:1,41,113,0.022222222222222365,completed
24,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,ideal,1.0,14,196,3,85.0,65.333333,pi_g14_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,208,86,122,142,69,0,34,34,549,1096,0,243,306,457,92,376,92,0.0,3.8661971830985915,3.081967213114754,0.4423076923076923,0.7540983606557377,0.647887323943662,clue:6;collision_intent:242;pi_entry:92;state:208;target:1,75,232,0.1737089201877935,completed
25,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,ideal,1.0,14,196,3,85.0,65.333333,pi_g14_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,81,18,63,71,13,0,2,2,240,479,0,85,155,172,68,204,68,0.0,3.380281690140845,3.238095238095238,0.8395061728395061,1.0793650793650793,0.9577464788732394,clue:6;collision_intent:84;pi_clear_path:1;pi_entry:67;state:81;target:1,27,86,0.04694835680751175,completed
26,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,ideal,1.0,14,196,3,85.0,65.333333,pi_g14_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,38,38,0,41,0,0,0,0,77,151,0,39,38,77,0,0,0,0.0,1.8780487804878048,0.0,0.0,0.0,0.0,collision_intent:38;state:38;target:1,13,27,0.016260162601626105,completed
27,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,ideal,1.0,14,196,3,85.0,65.333333,pi_g14_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,96,41,55,94,5,1,0,0,269,537,0,97,172,199,70,187,70,0.0,2.8617021276595747,3.4,0.7291666666666666,1.2727272727272727,0.7446808510638298,clue:6;collision_intent:96;pi_entry:70;state:96;target:1,33,94,0.042553191489361764,completed
28,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,ideal,1.0,14,196,3,85.0,65.333333,pi_g14_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,206,99,107,187,22,0,0,0,553,1105,0,207,346,425,128,355,128,0.0,2.9572192513368982,3.317757009345794,0.6213592233009708,1.1962616822429906,0.6844919786096256,clue:12;collision_intent:206;pi_clear_path:2;pi_entry:126;state:206;target:1,70,193,0.03921568627450989,completed
29,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,ideal,1.0,14,196,3,85.0,65.333333,pi_g14_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,28,1,27,28,3,1,0,0,86,171,0,29,57,60,26,82,26,0.0,3.0714285714285716,3.037037037037037,0.9285714285714286,0.9629629629629629,0.9285714285714286,clue:3;collision_intent:28;pi_entry:26;state:28;target:1,10,37,0.0714285714285714,completed
