stage,environment,algorithm_key,algorithm,commitment_horizon,dga_iterations,comm_label,comm_model,comm_level,grid_size,target_cells_per_robot,robot_count,scenario_file,out_dir,run_id,expected_trials,command
grid_known,known,cbaa,CBAA,,,ideal,ideal,1.0,19,85,5,scenarios/grid_known/g19_d85_t10_ideal_cbaa/task_0987_g19_d85_t10_ideal_cbaa_t25_49.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid19/density85/ideal/cbaa,g19_d85_t10_ideal_cbaa,50,
grid_known,known,acbba,ACBBA,3,,ideal,ideal,1.0,19,85,5,scenarios/grid_known/g19_d85_t10_ideal_acbba/task_0988_g19_d85_t10_ideal_acbba_t00_09.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid19/density85/ideal/acbba,g19_d85_t10_ideal_acbba,50,
grid_known,known,dmchba,DMCHBA,3,,ideal,ideal,1.0,19,85,5,scenarios/grid_known/g19_d85_t10_ideal_dmchba/task_1007_g19_d85_t10_ideal_dmchba_t40_49.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid19/density85/ideal/dmchba,g19_d85_t10_ideal_dmchba,50,
grid_known,known,hipc,HIPC,8,,ideal,ideal,1.0,19,85,5,scenarios/grid_known/g19_d85_t10_ideal_hipc/task_1002_g19_d85_t10_ideal_hipc_t40_49.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid19/density85/ideal/hipc,g19_d85_t10_ideal_hipc,50,
grid_known,known,pi,PI,5,,ideal,ideal,1.0,19,85,5,scenarios/grid_known/g19_d85_t10_ideal_pi/task_0997_g19_d85_t10_ideal_pi_t40_49.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid19/density85/ideal/pi,g19_d85_t10_ideal_pi,50,
grid_known,known,dga,DGA,3,25,ideal,ideal,1.0,19,85,5,scenarios/grid_known/g19_d85_t10_ideal_dga/task_1012_g19_d85_t10_ideal_dga_t40_49.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid19/density85/ideal/dga,g19_d85_t10_ideal_dga,50,
grid_known,known,cbaa,CBAA,,,bernoulli_025,bernoulli,0.25,19,85,5,scenarios/grid_known/g19_d85_t10_bernoulli_025_cbaa/task_1014_g19_d85_t10_bernoulli_025_cbaa_t25_49.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid19/density85/bernoulli_025/cbaa,g19_d85_t10_bernoulli_025_cbaa,50,
grid_known,known,acbba,ACBBA,3,,bernoulli_025,bernoulli,0.25,19,85,5,scenarios/grid_known/g19_d85_t10_bernoulli_025_acbba/task_1015_g19_d85_t10_bernoulli_025_acbba_t00_09.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid19/density85/bernoulli_025/acbba,g19_d85_t10_bernoulli_025_acbba,50,
grid_known,known,dmchba,DMCHBA,3,,bernoulli_025,bernoulli,0.25,19,85,5,scenarios/grid_known/g19_d85_t10_bernoulli_025_dmchba/task_1034_g19_d85_t10_bernoulli_025_dmchba_t40_49.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid19/density85/bernoulli_025/dmchba,g19_d85_t10_bernoulli_025_dmchba,50,
grid_known,known,hipc,HIPC,8,,bernoulli_025,bernoulli,0.25,19,85,5,scenarios/grid_known/g19_d85_t10_bernoulli_025_hipc/task_1025_g19_d85_t10_bernoulli_025_hipc_t00_09.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid19/density85/bernoulli_025/hipc,g19_d85_t10_bernoulli_025_hipc,50,
grid_known,known,pi,PI,5,,bernoulli_025,bernoulli,0.25,19,85,5,scenarios/grid_known/g19_d85_t10_bernoulli_025_pi/task_1022_g19_d85_t10_bernoulli_025_pi_t20_29.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid19/density85/bernoulli_025/pi,g19_d85_t10_bernoulli_025_pi,50,
