stage,condition_id,grid_size,target_cells_per_robot,robot_count,comm_label,algorithm_key,expected_trials,completed_trials,failed_trials,reported_failures,incomplete_trials,missing_trials,failure_types,failed_trial_ids
grid_known,g25_d50_t10_bernoulli_025_cbaa,25,50,13,bernoulli_025,cbaa,50,50,0,0,0,0,{},
grid_known,g25_d50_t10_bernoulli_025_acbba,25,50,13,bernoulli_025,acbba,50,50,0,0,0,0,{},
grid_known,g25_d50_t10_bernoulli_025_dmchba,25,50,13,bernoulli_025,dmchba,50,49,1,1,0,0,"{""RuntimeError"": 1}",33
grid_known,g25_d50_t10_bernoulli_025_hipc,25,50,13,bernoulli_025,hipc,50,49,1,1,0,0,"{""RuntimeError"": 1}",12
grid_known,g25_d50_t10_bernoulli_025_pi,25,50,13,bernoulli_025,pi,50,50,0,0,0,0,{},
grid_known,g25_d50_t10_bernoulli_025_dga,25,50,13,bernoulli_025,dga,50,50,0,0,0,0,{},
grid_known,g34_d220_t10_ideal_cbaa,34,220,6,ideal,cbaa,50,50,0,0,0,0,{},
grid_known,g34_d220_t10_ideal_acbba,34,220,6,ideal,acbba,50,50,0,0,0,0,{},
grid_known,g34_d220_t10_ideal_dmchba,34,220,6,ideal,dmchba,50,50,0,0,0,0,{},
grid_known,g34_d220_t10_ideal_hipc,34,220,6,ideal,hipc,50,50,0,0,0,0,{},
grid_known,g34_d220_t10_ideal_pi,34,220,6,ideal,pi,50,50,0,0,0,0,{},
grid_known,g34_d220_t10_ideal_dga,34,220,6,ideal,dga,50,50,0,0,0,0,{},
grid_known,g34_d220_t10_bernoulli_025_cbaa,34,220,6,bernoulli_025,cbaa,50,50,0,0,0,0,{},
grid_known,g34_d220_t10_bernoulli_025_acbba,34,220,6,bernoulli_025,acbba,50,50,0,0,0,0,{},
grid_known,g34_d220_t10_bernoulli_025_dmchba,34,220,6,bernoulli_025,dmchba,50,50,0,0,0,0,{},
grid_known,g34_d220_t10_bernoulli_025_hipc,34,220,6,bernoulli_025,hipc,50,50,0,0,0,0,{},
grid_known,g34_d220_t10_bernoulli_025_pi,34,220,6,bernoulli_025,pi,50,50,0,0,0,0,{},
grid_known,g34_d220_t10_bernoulli_025_dga,34,220,6,bernoulli_025,dga,50,50,0,0,0,0,{},
grid_known,g34_d140_t10_ideal_cbaa,34,140,9,ideal,cbaa,50,50,0,0,0,0,{},
grid_known,g34_d140_t10_ideal_acbba,34,140,9,ideal,acbba,50,50,0,0,0,0,{},
grid_known,g34_d140_t10_ideal_dmchba,34,140,9,ideal,dmchba,50,50,0,0,0,0,{},
grid_known,g34_d140_t10_ideal_hipc,34,140,9,ideal,hipc,50,50,0,0,0,0,{},
grid_known,g34_d140_t10_ideal_pi,34,140,9,ideal,pi,50,50,0,0,0,0,{},
grid_known,g34_d140_t10_ideal_dga,34,140,9,ideal,dga,50,50,0,0,0,0,{},
grid_known,g34_d140_t10_bernoulli_025_cbaa,34,140,9,bernoulli_025,cbaa,50,50,0,0,0,0,{},
grid_known,g34_d140_t10_bernoulli_025_acbba,34,140,9,bernoulli_025,acbba,50,50,0,0,0,0,{},
grid_known,g34_d140_t10_bernoulli_025_dmchba,34,140,9,bernoulli_025,dmchba,50,50,0,0,0,0,{},
grid_known,g34_d140_t10_bernoulli_025_hipc,34,140,9,bernoulli_025,hipc,50,50,0,0,0,0,{},
grid_known,g34_d140_t10_bernoulli_025_pi,34,140,9,bernoulli_025,pi,50,50,0,0,0,0,{},
grid_known,g34_d140_t10_bernoulli_025_dga,34,140,9,bernoulli_025,dga,50,50,0,0,0,0,{},
grid_known,g34_d85_t10_ideal_cbaa,34,85,14,ideal,cbaa,50,50,0,0,0,0,{},
grid_known,g34_d85_t10_ideal_acbba,34,85,14,ideal,acbba,50,50,0,0,0,0,{},
grid_known,g34_d85_t10_ideal_dmchba,34,85,14,ideal,dmchba,50,50,0,0,0,0,{},
grid_known,g34_d85_t10_ideal_hipc,34,85,14,ideal,hipc,50,50,0,0,0,0,{},
grid_known,g34_d85_t10_ideal_pi,34,85,14,ideal,pi,50,50,0,0,0,0,{},
grid_known,g34_d85_t10_ideal_dga,34,85,14,ideal,dga,50,50,0,0,0,0,{},
grid_known,g34_d85_t10_bernoulli_025_cbaa,34,85,14,bernoulli_025,cbaa,50,50,0,0,0,0,{},
grid_known,g34_d85_t10_bernoulli_025_acbba,34,85,14,bernoulli_025,acbba,50,50,0,0,0,0,{},
grid_known,g34_d85_t10_bernoulli_025_dmchba,34,85,14,bernoulli_025,dmchba,50,50,0,0,0,0,{},
grid_known,g34_d85_t10_bernoulli_025_hipc,34,85,14,bernoulli_025,hipc,50,44,6,6,0,0,"{""RuntimeError"": 6}",3 4 9 13 25 49
grid_known,g34_d85_t10_bernoulli_025_pi,34,85,14,bernoulli_025,pi,50,50,0,0,0,0,{},
grid_known,g34_d85_t10_bernoulli_025_dga,34,85,14,bernoulli_025,dga,50,50,0,0,0,0,{},
grid_known,g34_d50_t10_ideal_cbaa,34,50,24,ideal,cbaa,50,50,0,0,0,0,{},
grid_known,g34_d50_t10_ideal_acbba,34,50,24,ideal,acbba,50,49,1,1,0,0,"{""RuntimeError"": 1}",7
