trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,sensitivity_suite,sensitivity_parameter,sensitivity_value,sensitivity_label,num_targets,num_robots
10,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,42.13731806647669,42.13731806647669,2,2,2,89,25,90,3,2,1,1,232,0,226,579,95,91,135,184,42,0.23690773067331672,22.6,4.2,collision_intent:91;pi_clear_path:3;pi_entry:39;state:93,0.10000000000000009,0.07777777777777772,known_visit_horizon,commitment_horizon,2,h2,10,4
11,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,61.922403657908255,61.922403657908255,4,4,4,115,36,91,28,1,27,3,331,0,298,750,141,121,177,240,58,0.26704545454545453,29.8,5.8,collision_intent:121;pi_clear_path:2;pi_entry:56;state:119,0.25,0.07967032967032961,known_visit_horizon,commitment_horizon,2,h2,10,4
12,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,45.41924058246174,45.41924058246174,1,1,1,78,27,80,2,0,0,0,266,0,198,510,81,80,118,162,36,0.23076923076923078,19.8,3.6,collision_intent:80;pi_clear_path:2;pi_entry:34;state:82,0.25,0.2124999999999999,known_visit_horizon,commitment_horizon,2,h2,10,4
13,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,45.10305259026534,45.10305259026534,2,2,2,101,26,88,17,3,3,3,238,0,251,639,112,106,145,211,40,0.2586605080831409,25.1,4.0,collision_intent:106;pi_clear_path:3;pi_entry:37;state:105,0.30000000000000004,0.10227272727272729,known_visit_horizon,commitment_horizon,2,h2,10,4
14,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,43.547082926940924,43.547082926940924,3,3,3,89,25,87,6,2,6,1,239,0,232,583,111,91,141,184,48,0.26365795724465557,23.2,4.8,collision_intent:91;pi_clear_path:1;pi_entry:47;state:93,0.10000000000000009,0.09482758620689657,known_visit_horizon,commitment_horizon,2,h2,10,4
15,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,33.32029537256145,33.32029537256145,3,3,3,70,20,68,6,1,1,1,184,0,186,474,81,73,113,147,39,0.24107142857142858,18.6,3.9,collision_intent:73;pi_clear_path:3;pi_entry:36;state:74,0.30000000000000004,0.08823529411764697,known_visit_horizon,commitment_horizon,2,h2,10,4
16,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,33.702302326538764,33.702302326538764,1,1,1,78,20,80,2,2,0,0,175,0,200,492,102,80,120,162,38,0.2857142857142857,20.0,3.8,collision_intent:80;pi_clear_path:1;pi_entry:37;state:82,0.1499999999999999,0.018750000000000044,known_visit_horizon,commitment_horizon,2,h2,10,4
17,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,56.856877869511635,56.856877869511635,3,3,3,95,33,86,13,0,2,2,339,0,243,614,112,100,143,199,44,0.26291079812206575,24.3,4.4,collision_intent:100;pi_clear_path:4;pi_entry:40;state:99,0.55,0.17441860465116288,known_visit_horizon,commitment_horizon,2,h2,10,4
18,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,41.761530873278474,41.761530873278474,1,1,1,88,25,91,1,4,0,0,223,0,237,601,107,91,146,183,54,0.24597701149425288,23.7,5.4,collision_intent:91;pi_clear_path:5;pi_entry:49;state:92,0.10000000000000009,0.052197802197802234,known_visit_horizon,commitment_horizon,2,h2,10,4
19,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,50.52522228219639,50.52522228219639,2,2,2,104,29,103,5,1,2,2,273,0,254,647,111,107,147,215,39,0.25227272727272726,25.4,3.9,collision_intent:107;pi_clear_path:1;pi_entry:38;state:108,0.1499999999999999,0.08495145631067968,known_visit_horizon,commitment_horizon,2,h2,10,4
20,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,42.54938956079314,42.54938956079314,2,2,2,80,25,79,5,1,1,1,241,0,212,520,113,84,128,168,44,0.29658792650918636,21.2,4.4,collision_intent:84;pi_clear_path:3;pi_entry:41;state:84,0.1499999999999999,0.09810126582278489,known_visit_horizon,commitment_horizon,2,h2,10,4
21,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,50.5479758454945,50.5479758454945,4,4,4,111,29,104,11,1,1,1,265,0,273,702,115,113,160,228,45,0.2405857740585774,27.3,4.5,collision_intent:113;pi_clear_path:1;pi_entry:44;state:115,0.3999999999999999,0.07211538461538458,known_visit_horizon,commitment_horizon,2,h2,10,4
22,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,68.7663059621059,68.7663059621059,4,4,4,130,40,112,22,3,2,2,380,0,312,797,137,133,179,267,45,0.2560747663551402,31.2,4.5,collision_intent:133;pi_clear_path:2;pi_entry:43;state:134,0.10000000000000009,0.1428571428571428,known_visit_horizon,commitment_horizon,2,h2,10,4
23,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,35.46837640843489,35.46837640843489,1,1,1,82,21,84,2,2,0,0,179,0,197,500,90,83,114,169,28,0.26392961876832843,19.7,2.8,collision_intent:83;pi_clear_path:2;pi_entry:26;state:86,0.1499999999999999,0.023809523809523725,known_visit_horizon,commitment_horizon,2,h2,10,4
24,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,33.87900849185916,33.87900849185916,0,0,0,71,20,73,2,3,0,0,187,0,188,481,80,73,115,148,40,0.23391812865497075,18.8,4.0,collision_intent:73;pi_clear_path:2;pi_entry:38;state:75,0.1499999999999999,0.08561643835616439,known_visit_horizon,commitment_horizon,2,h2,10,4
25,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,23.01712773939062,23.01712773939062,1,1,1,46,14,49,1,0,0,0,131,0,125,313,59,49,76,99,26,0.26222222222222225,12.5,2.6,collision_intent:49;pi_clear_path:3;pi_entry:23;state:50,0.30000000000000004,0.07653061224489788,known_visit_horizon,commitment_horizon,2,h2,10,4
26,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,41.42532587752631,41.42532587752631,2,2,2,89,25,86,7,1,0,0,225,0,228,580,101,92,136,185,43,0.24938271604938272,22.8,4.3,collision_intent:92;pi_clear_path:1;pi_entry:42;state:93,0.1499999999999999,0.08720930232558133,known_visit_horizon,commitment_horizon,2,h2,10,4
27,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,34.89244910747383,34.89244910747383,3,3,3,67,20,61,10,2,5,3,197,0,187,483,77,73,114,144,43,0.22580645161290322,18.7,4.3,collision_intent:73;pi_clear_path:2;pi_entry:41;state:71,0.3500000000000001,0.11885245901639352,known_visit_horizon,commitment_horizon,2,h2,10,4
28,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,45.443747199818176,45.443747199818176,3,3,3,99,27,88,15,1,0,0,242,0,238,600,108,100,138,203,35,0.2647058823529412,23.8,3.5,collision_intent:100;pi_clear_path:1;pi_entry:34;state:103,0.25,0.08522727272727271,known_visit_horizon,commitment_horizon,2,h2,10,4
29,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,45.2501129416569,45.2501129416569,2,2,2,92,27,89,7,1,2,1,248,0,229,584,100,95,134,191,38,0.2506265664160401,22.9,3.8,collision_intent:95;pi_clear_path:1;pi_entry:37;state:96,0.25,0.1095505617977528,known_visit_horizon,commitment_horizon,2,h2,10,4
30,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,43.8711911264576,43.8711911264576,1,1,1,102,26,103,3,2,0,0,227,0,243,617,107,102,141,208,35,0.25598086124401914,24.3,3.5,collision_intent:102;pi_entry:35;state:106,0.1499999999999999,0.02184466019417486,known_visit_horizon,commitment_horizon,2,h2,10,4
31,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,50.506501910809874,50.506501910809874,1,1,1,87,30,89,2,0,1,1,297,0,210,548,80,91,119,182,28,0.22535211267605634,21.0,2.8,collision_intent:91;pi_clear_path:3;pi_entry:25;state:91,0.10000000000000009,0.1432584269662922,known_visit_horizon,commitment_horizon,2,h2,10,4
32,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,37.14688527269104,37.14688527269104,0,0,0,87,22,86,5,3,2,2,196,0,225,558,115,91,134,182,43,0.2875,22.5,4.3,collision_intent:91;pi_clear_path:3;pi_entry:40;state:91,0.25,0.04069767441860472,known_visit_horizon,commitment_horizon,2,h2,10,4
33,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,43.85628402271641,43.85628402271641,2,2,2,98,26,95,7,1,3,3,231,0,245,626,107,102,143,204,41,0.2505854800936768,24.5,4.1,collision_intent:102;pi_clear_path:1;pi_entry:40;state:102,0.10000000000000009,0.044736842105263186,known_visit_horizon,commitment_horizon,2,h2,10,4
34,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,47.558062488736255,47.558062488736255,2,2,2,97,28,91,10,2,0,0,255,0,239,634,81,99,140,200,39,0.1937799043062201,23.9,3.9,collision_intent:99;pi_clear_path:3;pi_entry:36;state:101,0.3500000000000001,0.1291208791208791,known_visit_horizon,commitment_horizon,2,h2,10,4
35,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,91.10318870394548,91.10318870394548,8,8,8,137,51,99,42,3,14,11,554,0,348,883,158,151,197,292,56,0.2687074829931973,34.8,5.6,collision_intent:151;pi_clear_path:5;pi_entry:51;state:141,0.1499999999999999,0.19444444444444442,known_visit_horizon,commitment_horizon,2,h2,10,4
36,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,36.6565606016859,36.6565606016859,0,0,0,74,22,76,2,0,0,0,204,0,193,494,83,76,117,154,39,0.23782234957020057,19.3,3.9,collision_intent:76;pi_clear_path:1;pi_entry:38;state:78,0.10000000000000009,0.13815789473684204,known_visit_horizon,commitment_horizon,2,h2,10,4
37,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,50.50569475479639,50.50569475479639,2,2,2,115,30,104,15,2,5,5,264,0,289,745,120,119,170,238,51,0.23622047244094488,28.9,5.1,collision_intent:119;pi_clear_path:2;pi_entry:49;state:119,0.10000000000000009,0.05769230769230771,known_visit_horizon,commitment_horizon,2,h2,10,4
38,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,62.10399875084702,62.10399875084702,7,7,7,139,36,121,22,2,6,4,316,0,344,892,138,146,198,289,55,0.23310810810810811,34.4,5.5,collision_intent:146;pi_clear_path:2;pi_entry:53;state:143,0.25,0.08057851239669422,known_visit_horizon,commitment_horizon,2,h2,10,4
39,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,58.47681769927793,58.47681769927793,7,7,7,99,33,84,19,1,0,0,341,0,256,640,126,103,153,206,50,0.27571115973741794,25.6,5.0,collision_intent:103;pi_clear_path:4;pi_entry:46;state:103,0.25,0.15476190476190466,known_visit_horizon,commitment_horizon,2,h2,10,4
40,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,39.433422561844004,39.433422561844004,3,3,3,91,23,80,15,3,1,1,210,0,224,568,103,92,132,187,37,0.2607594936708861,22.4,3.7,collision_intent:92;pi_entry:37;state:95,0.1499999999999999,0.09375,known_visit_horizon,commitment_horizon,2,h2,10,4
41,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,30.78491608298723,30.78491608298723,0,0,0,70,18,72,2,0,0,0,159,0,179,459,76,71,108,145,34,0.2360248447204969,17.9,3.4,collision_intent:71;pi_clear_path:1;pi_entry:33;state:74,0.44999999999999996,0.04166666666666674,known_visit_horizon,commitment_horizon,2,h2,10,4
42,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,102.02280624768166,102.02280624768166,2,2,2,114,59,109,9,1,206,5,434,0,438,1086,226,120,318,238,200,0.23739495798319327,43.8,20.0,collision_intent:120;pi_clear_path:1;pi_entry:199;state:118,0.3500000000000001,0.42889908256880727,known_visit_horizon,commitment_horizon,2,h2,10,4
43,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,72.68526917855866,72.68526917855866,6,6,6,149,42,125,28,3,6,4,387,0,371,946,164,157,214,310,61,0.2566510172143975,37.1,6.1,collision_intent:157;pi_clear_path:6;pi_entry:55;state:153,0.30000000000000004,0.10200000000000009,known_visit_horizon,commitment_horizon,2,h2,10,4
44,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,41.70473158270613,41.70473158270613,1,1,1,87,25,85,6,1,0,0,224,0,215,539,104,88,127,179,36,0.27440633245382584,21.5,3.6,collision_intent:88;pi_clear_path:4;pi_entry:32;state:91,0.25,0.09705882352941186,known_visit_horizon,commitment_horizon,2,h2,10,4
45,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,46.09789212291892,46.09789212291892,1,1,1,103,27,104,3,0,0,0,240,0,255,637,126,107,148,214,41,0.2850678733031674,25.5,4.1,collision_intent:107;pi_clear_path:3;pi_entry:38;state:107,0.30000000000000004,0.04326923076923084,known_visit_horizon,commitment_horizon,2,h2,10,4
46,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,68.55537725568092,68.55537725568092,6,6,6,121,40,108,17,0,2,2,399,0,290,747,122,126,164,251,39,0.2484725050916497,29.0,3.9,collision_intent:126;pi_clear_path:3;pi_entry:36;state:125,0.1499999999999999,0.14814814814814814,known_visit_horizon,commitment_horizon,2,h2,10,4
47,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,45.9096931546876,45.9096931546876,4,4,4,101,27,89,16,1,0,0,239,0,255,662,100,103,152,208,47,0.22075055187637968,25.5,4.7,collision_intent:103;pi_clear_path:3;pi_entry:44;state:105,0.25,0.0870786516853932,known_visit_horizon,commitment_horizon,2,h2,10,4
48,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,42.79237693105881,42.79237693105881,2,2,2,82,25,82,4,1,1,1,241,0,206,542,74,85,121,171,35,0.20498614958448755,20.6,3.5,collision_intent:85;pi_clear_path:1;pi_entry:34;state:86,0.1499999999999999,0.16463414634146334,known_visit_horizon,commitment_horizon,2,h2,10,4
49,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,42.21839571277485,42.21839571277485,3,3,3,98,25,91,11,0,0,0,217,0,238,608,104,98,140,200,38,0.24880382775119617,23.8,3.8,collision_intent:98;pi_entry:38;state:102,0.30000000000000004,0.08516483516483508,known_visit_horizon,commitment_horizon,2,h2,10,4
50,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,56.16049924460531,56.16049924460531,5,5,5,83,32,76,11,5,1,1,348,0,220,550,107,87,133,174,46,0.2702020202020202,22.0,4.6,collision_intent:87;pi_clear_path:6;pi_entry:40;state:87,0.44999999999999996,0.2171052631578947,known_visit_horizon,commitment_horizon,2,h2,10,4
51,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,54.734880895562,54.734880895562,2,2,2,105,32,102,7,0,0,0,304,0,257,655,115,107,150,216,41,0.2561247216035635,25.7,4.1,collision_intent:107;pi_clear_path:2;pi_entry:39;state:109,0.10000000000000009,0.0980392156862746,known_visit_horizon,commitment_horizon,2,h2,10,4
52,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,40.15919881745514,40.15919881745514,3,3,3,85,24,81,8,0,0,0,215,0,208,528,94,87,121,176,32,0.26038781163434904,20.8,3.2,collision_intent:87;pi_clear_path:2;pi_entry:30;state:89,0.1499999999999999,0.10185185185185186,known_visit_horizon,commitment_horizon,2,h2,10,4
53,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,63.68886583158001,63.68886583158001,3,3,3,133,38,115,22,2,0,0,338,0,314,820,120,135,179,272,42,0.22429906542056074,31.4,4.2,collision_intent:135;pi_clear_path:2;pi_entry:40;state:137,0.25,0.05869565217391304,known_visit_horizon,commitment_horizon,2,h2,10,4
54,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,44.12244533142708,44.12244533142708,2,2,2,101,26,98,7,1,2,2,231,0,253,643,113,104,149,209,44,0.2545045045045045,25.3,4.4,collision_intent:104;pi_clear_path:3;pi_entry:41;state:105,0.10000000000000009,0.061224489795918435,known_visit_horizon,commitment_horizon,2,h2,10,4
55,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,43.627835786770824,43.627835786770824,1,1,1,89,26,87,6,3,2,2,244,0,226,580,95,91,135,184,42,0.236318407960199,22.6,4.2,collision_intent:91;pi_clear_path:1;pi_entry:41;state:93,0.1499999999999999,0.1408045977011494,known_visit_horizon,commitment_horizon,2,h2,10,4
56,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,176.28742608669577,176.28742608669577,4,4,4,103,31,97,10,3,140,2,1131,3,375,911,214,112,263,219,156,0.27122940430925224,37.5,15.6,collision_intent:112;pi_clear_path:7;pi_entry:149;state:107,0.3999999999999999,0.13659793814432986,known_visit_horizon,commitment_horizon,2,h2,10,4
57,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,41.76821386341798,41.76821386341798,1,1,1,77,24,79,2,0,0,0,238,0,189,482,84,80,109,161,28,0.25766871165644173,18.9,2.8,collision_intent:80;pi_clear_path:3;pi_entry:25;state:81,0.25,0.08544303797468356,known_visit_horizon,commitment_horizon,2,h2,10,4
58,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,38.56849620752651,38.56849620752651,2,2,2,86,23,82,8,0,0,0,202,0,211,543,88,87,124,177,34,0.23783783783783785,21.1,3.4,collision_intent:87;pi_clear_path:2;pi_entry:32;state:90,0.25,0.09146341463414642,known_visit_horizon,commitment_horizon,2,h2,10,4
59,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,52.31479410646459,52.31479410646459,0,0,0,109,31,109,4,1,6,5,279,0,269,704,101,114,155,227,42,0.21814254859611232,26.9,4.2,collision_intent:114;pi_clear_path:1;pi_entry:41;state:113,0.1499999999999999,0.08944954128440363,known_visit_horizon,commitment_horizon,2,h2,10,4
60,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,59.36252517412072,59.36252517412072,0,0,0,80,35,84,0,2,27,1,347,0,220,558,100,83,137,167,53,0.24449877750611246,22.0,5.3,collision_intent:83;pi_clear_path:4;pi_entry:49;state:84,0.30000000000000004,0.2321428571428572,known_visit_horizon,commitment_horizon,2,h2,10,4
61,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,33.57675253672223,33.57675253672223,2,2,2,61,20,56,9,2,3,3,199,0,168,428,74,66,102,131,37,0.24342105263157895,16.8,3.7,collision_intent:66;pi_clear_path:1;pi_entry:36;state:65,0.1499999999999999,0.2053571428571428,known_visit_horizon,commitment_horizon,2,h2,10,4
62,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,51.49437081982785,51.49437081982785,8,8,8,112,30,98,18,0,0,0,268,0,271,683,129,114,157,230,41,0.274468085106383,27.1,4.1,collision_intent:114;pi_clear_path:2;pi_entry:39;state:116,0.10000000000000009,0.06632653061224492,known_visit_horizon,commitment_horizon,2,h2,10,4
63,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,79.11001393703673,79.11001393703673,4,4,4,135,45,126,13,2,6,6,465,0,329,840,144,144,185,283,46,0.2608695652173913,32.9,4.6,collision_intent:144;pi_clear_path:3;pi_entry:43;state:139,0.1499999999999999,0.09523809523809534,known_visit_horizon,commitment_horizon,2,h2,10,4
64,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,34.944461236980935,34.944461236980935,0,0,0,71,21,74,1,0,0,0,193,0,185,463,90,74,111,149,36,0.2719033232628399,18.5,3.6,collision_intent:74;pi_clear_path:1;pi_entry:35;state:75,0.25,0.11486486486486491,known_visit_horizon,commitment_horizon,2,h2,10,4
