trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status,failure_type,failure_message,debug_max_events
37,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,638,638,0,361,281,0,0,0,2868,6566,2035,644,2224,1282,1586,0,0,0.30514319988004196,7.944598337950138,0.0,2.4858934169278997,0.0,4.393351800554017,collision_intent:644;hipc_clear_bundle:1;hipc_entry:1585;state:638,161,757,0.10457063711911352,completed,,,
38,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,683,683,0,361,326,0,0,0,2975,7077,1846,694,2281,1377,1598,0,0,0.26984359011840375,8.240997229916898,0.0,2.3396778916544654,0.0,4.426592797783933,collision_intent:694;hipc_clear_bundle:2;hipc_entry:1596;state:683,172,780,0.13227146814404422,completed,,,
39,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,692,692,0,361,335,0,0,0,3074,7125,2093,707,2367,1399,1675,0,0,0.29491334366633787,8.515235457063712,0.0,2.4205202312138727,0.0,4.639889196675901,collision_intent:707;hipc_clear_bundle:1;hipc_entry:1674;state:692,175,811,0.10595567867036015,completed,,,
40,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,688,688,0,361,331,0,0,0,3061,6856,2324,695,2366,1383,1678,0,0,0.3275546159267089,8.479224376731302,0.0,2.438953488372093,0.0,4.648199445983379,collision_intent:695;hipc_clear_bundle:1;hipc_entry:1677;state:688,174,843,0.18905817174515227,completed,,,
41,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,617,617,0,361,260,0,0,0,2756,6212,2053,631,2125,1248,1508,0,0,0.3221908349026993,7.634349030470914,0.0,2.4440842787682335,0.0,4.177285318559557,collision_intent:631;hipc_clear_bundle:2;hipc_entry:1506;state:617,160,766,0.17105263157894735,completed,,,
42,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,706,706,0,361,349,0,0,0,3036,6973,2132,715,2321,1421,1615,0,0,0.3063218390804598,8.409972299168976,0.0,2.2875354107648724,0.0,4.473684210526316,collision_intent:715;hipc_entry:1615;state:706,179,804,0.17520775623268703,completed,,,
43,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,561,561,0,361,204,0,0,0,2496,5730,1756,573,1923,1134,1362,0,0,0.30449106988035374,6.914127423822714,0.0,2.427807486631016,0.0,3.772853185595568,collision_intent:573;hipc_clear_bundle:1;hipc_entry:1361;state:561,141,671,0.09764542936288079,completed,,,
44,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,722,722,0,361,365,0,0,0,3126,7163,2212,740,2386,1462,1664,0,0,0.30915443745632426,8.659279778393351,0.0,2.3047091412742384,0.0,4.609418282548477,collision_intent:740;hipc_clear_bundle:1;hipc_entry:1663;state:722,182,831,0.1350415512465375,completed,,,
45,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,612,612,0,361,255,0,0,0,2791,6426,1945,630,2161,1242,1549,0,0,0.30010800802345317,7.731301939058172,0.0,2.531045751633987,0.0,4.2908587257617725,collision_intent:630;hipc_entry:1549;state:612,156,720,0.06855955678670367,completed,,,
46,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,658,658,0,361,301,0,0,0,2947,6666,2174,669,2278,1327,1620,0,0,0.31816186155422216,8.163434903047092,0.0,2.4620060790273555,0.0,4.487534626038781,collision_intent:669;hipc_clear_bundle:3;hipc_entry:1617;state:658,167,753,0.05747922437673125,completed,,,
47,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,605,605,0,361,248,0,0,0,3104,7175,2136,624,2480,1229,1875,0,0,0.28713536765694314,8.598337950138504,0.0,3.0991735537190084,0.0,5.193905817174516,collision_intent:624;hipc_entry:1875;state:605,180,802,0.08518005540166196,completed,,,
48,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,702,702,0,361,345,0,0,0,2980,7079,1860,718,2262,1420,1560,0,0,0.2741341193809875,8.254847645429363,0.0,2.2222222222222223,0.0,4.321329639889196,collision_intent:718;hipc_entry:1560;state:702,179,770,0.09626038781163437,completed,,,
