scenario,metric,comm_model,comm_level_pct,eligible_paired_trials
Coverage area search,max_agent_steps,rayleigh_style,5,100
Coverage area search,max_agent_steps,rayleigh_style,10,100
Coverage area search,max_agent_steps,rayleigh_style,20,100
Coverage area search,max_agent_steps,rayleigh_style,30,100
Coverage area search,max_agent_steps,rayleigh_style,40,100
Coverage area search,max_agent_steps,rayleigh_style,50,100
Coverage area search,max_agent_steps,rayleigh_style,60,100
Coverage area search,max_agent_steps,rayleigh_style,70,100
Coverage area search,total_team_steps,bernoulli,5,100
Coverage area search,total_team_steps,bernoulli,10,100
Coverage area search,total_team_steps,bernoulli,20,100
Coverage area search,total_team_steps,bernoulli,30,100
Coverage area search,total_team_steps,bernoulli,40,100
Coverage area search,total_team_steps,bernoulli,50,100
Coverage area search,total_team_steps,bernoulli,60,100
Coverage area search,total_team_steps,bernoulli,70,100
Coverage area search,total_team_steps,gilbert_elliott,5,100
Coverage area search,total_team_steps,gilbert_elliott,10,100
Coverage area search,total_team_steps,gilbert_elliott,20,94
Coverage area search,total_team_steps,gilbert_elliott,30,85
Coverage area search,total_team_steps,gilbert_elliott,40,77
Coverage area search,total_team_steps,gilbert_elliott,50,41
Coverage area search,total_team_steps,gilbert_elliott,60,24
Coverage area search,total_team_steps,gilbert_elliott,70,17
Coverage area search,total_team_steps,rayleigh_style,5,100
Coverage area search,total_team_steps,rayleigh_style,10,100
Coverage area search,total_team_steps,rayleigh_style,20,100
Coverage area search,total_team_steps,rayleigh_style,30,100
Coverage area search,total_team_steps,rayleigh_style,40,100
Coverage area search,total_team_steps,rayleigh_style,50,100
Coverage area search,total_team_steps,rayleigh_style,60,100
Coverage area search,total_team_steps,rayleigh_style,70,100
Coverage area search,team_messages_per_step,bernoulli,5,100
Coverage area search,team_messages_per_step,bernoulli,10,100
Coverage area search,team_messages_per_step,bernoulli,20,100
Coverage area search,team_messages_per_step,bernoulli,30,100
Coverage area search,team_messages_per_step,bernoulli,40,100
Coverage area search,team_messages_per_step,bernoulli,50,100
Coverage area search,team_messages_per_step,bernoulli,60,100
Coverage area search,team_messages_per_step,bernoulli,70,100
Coverage area search,team_messages_per_step,gilbert_elliott,5,100
Coverage area search,team_messages_per_step,gilbert_elliott,10,100
Coverage area search,team_messages_per_step,gilbert_elliott,20,94
Coverage area search,team_messages_per_step,gilbert_elliott,30,85
Coverage area search,team_messages_per_step,gilbert_elliott,40,77
Coverage area search,team_messages_per_step,gilbert_elliott,50,41
Coverage area search,team_messages_per_step,gilbert_elliott,60,24
Coverage area search,team_messages_per_step,gilbert_elliott,70,17
Coverage area search,team_messages_per_step,rayleigh_style,5,100
Coverage area search,team_messages_per_step,rayleigh_style,10,100
Coverage area search,team_messages_per_step,rayleigh_style,20,100
Coverage area search,team_messages_per_step,rayleigh_style,30,100
Coverage area search,team_messages_per_step,rayleigh_style,40,100
Coverage area search,team_messages_per_step,rayleigh_style,50,100
Coverage area search,team_messages_per_step,rayleigh_style,60,100
Coverage area search,team_messages_per_step,rayleigh_style,70,100
Collaborative known-target visit,max_agent_steps,bernoulli,5,500
Collaborative known-target visit,max_agent_steps,bernoulli,10,500
Collaborative known-target visit,max_agent_steps,bernoulli,20,500
Collaborative known-target visit,max_agent_steps,bernoulli,30,500
Collaborative known-target visit,max_agent_steps,bernoulli,40,500
Collaborative known-target visit,max_agent_steps,bernoulli,50,500
Collaborative known-target visit,max_agent_steps,bernoulli,60,500
Collaborative known-target visit,max_agent_steps,bernoulli,70,500
Collaborative known-target visit,max_agent_steps,gilbert_elliott,5,500
Collaborative known-target visit,max_agent_steps,gilbert_elliott,10,500
Collaborative known-target visit,max_agent_steps,gilbert_elliott,20,500
Collaborative known-target visit,max_agent_steps,gilbert_elliott,30,500
Collaborative known-target visit,max_agent_steps,gilbert_elliott,40,500
Collaborative known-target visit,max_agent_steps,gilbert_elliott,50,500
Collaborative known-target visit,max_agent_steps,gilbert_elliott,60,500
Collaborative known-target visit,max_agent_steps,gilbert_elliott,70,500
Collaborative known-target visit,max_agent_steps,rayleigh_style,5,500
Collaborative known-target visit,max_agent_steps,rayleigh_style,10,500
Collaborative known-target visit,max_agent_steps,rayleigh_style,20,500
Collaborative known-target visit,max_agent_steps,rayleigh_style,30,500
Collaborative known-target visit,max_agent_steps,rayleigh_style,40,500
Collaborative known-target visit,max_agent_steps,rayleigh_style,50,500
Collaborative known-target visit,max_agent_steps,rayleigh_style,60,500
Collaborative known-target visit,max_agent_steps,rayleigh_style,70,500
Collaborative known-target visit,total_team_steps,bernoulli,5,500
Collaborative known-target visit,total_team_steps,bernoulli,10,500
Collaborative known-target visit,total_team_steps,bernoulli,20,500
Collaborative known-target visit,total_team_steps,bernoulli,30,500
Collaborative known-target visit,total_team_steps,bernoulli,40,500
Collaborative known-target visit,total_team_steps,bernoulli,50,500
Collaborative known-target visit,total_team_steps,bernoulli,60,500
Collaborative known-target visit,total_team_steps,bernoulli,70,500
Collaborative known-target visit,total_team_steps,gilbert_elliott,5,500
Collaborative known-target visit,total_team_steps,gilbert_elliott,10,500
Collaborative known-target visit,total_team_steps,gilbert_elliott,20,500
Collaborative known-target visit,total_team_steps,gilbert_elliott,30,500
Collaborative known-target visit,total_team_steps,gilbert_elliott,40,500
Collaborative known-target visit,total_team_steps,gilbert_elliott,50,500
Collaborative known-target visit,total_team_steps,gilbert_elliott,60,500
Collaborative known-target visit,total_team_steps,gilbert_elliott,70,500
Collaborative known-target visit,total_team_steps,rayleigh_style,5,500
Collaborative known-target visit,total_team_steps,rayleigh_style,10,500
Collaborative known-target visit,total_team_steps,rayleigh_style,20,500
Collaborative known-target visit,total_team_steps,rayleigh_style,30,500
Collaborative known-target visit,total_team_steps,rayleigh_style,40,500
Collaborative known-target visit,total_team_steps,rayleigh_style,50,500
Collaborative known-target visit,total_team_steps,rayleigh_style,60,500
Collaborative known-target visit,total_team_steps,rayleigh_style,70,500
Collaborative known-target visit,team_messages_per_step,bernoulli,5,500
Collaborative known-target visit,team_messages_per_step,bernoulli,10,500
Collaborative known-target visit,team_messages_per_step,bernoulli,20,500
Collaborative known-target visit,team_messages_per_step,bernoulli,30,500
Collaborative known-target visit,team_messages_per_step,bernoulli,40,500
Collaborative known-target visit,team_messages_per_step,bernoulli,50,500
Collaborative known-target visit,team_messages_per_step,bernoulli,60,500
Collaborative known-target visit,team_messages_per_step,bernoulli,70,500
Collaborative known-target visit,team_messages_per_step,gilbert_elliott,5,500
Collaborative known-target visit,team_messages_per_step,gilbert_elliott,10,500
Collaborative known-target visit,team_messages_per_step,gilbert_elliott,20,500
Collaborative known-target visit,team_messages_per_step,gilbert_elliott,30,500
Collaborative known-target visit,team_messages_per_step,gilbert_elliott,40,500
Collaborative known-target visit,team_messages_per_step,gilbert_elliott,50,500
Collaborative known-target visit,team_messages_per_step,gilbert_elliott,60,500
Collaborative known-target visit,team_messages_per_step,gilbert_elliott,70,500
Collaborative known-target visit,team_messages_per_step,rayleigh_style,5,500
Collaborative known-target visit,team_messages_per_step,rayleigh_style,10,500
Collaborative known-target visit,team_messages_per_step,rayleigh_style,20,500
Collaborative known-target visit,team_messages_per_step,rayleigh_style,30,500
Collaborative known-target visit,team_messages_per_step,rayleigh_style,40,500
Collaborative known-target visit,team_messages_per_step,rayleigh_style,50,500
Collaborative known-target visit,team_messages_per_step,rayleigh_style,60,500
Collaborative known-target visit,team_messages_per_step,rayleigh_style,70,500
