mission,comm_model,comm_label,degradation_pct,algorithm,attempted_trials,completed_trials,failed_trials,completion_rate,failure_rate,completion_ci95_wilson_low,completion_ci95_wilson_high,failure_reasons,six_way_paired_n_continuous_metrics,continuous_metric_scope
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_60_rho_0_8,60,CBAA,100,62,38,0.62,0.38,0.522097552955111,0.709024007475213,RuntimeError: scheduler-event safety cap before 361-cell coverage (n=38),24,conditional on completion and six-way paired eligibility
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_60_rho_0_8,60,ACBBA,100,99,1,0.99,0.01,0.945513803821295,0.998232567935859,RuntimeError: scheduler-event safety cap before 361-cell coverage (n=1),24,conditional on completion and six-way paired eligibility
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_60_rho_0_8,60,PI,100,53,47,0.53,0.47,0.432888569700994,0.624891820406587,RuntimeError: scheduler-event safety cap before 361-cell coverage (n=47),24,conditional on completion and six-way paired eligibility
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_60_rho_0_8,60,HIPC,100,87,13,0.87,0.13,0.790196485599236,0.922428325727595,RuntimeError: scheduler-event safety cap before 361-cell coverage (n=13),24,conditional on completion and six-way paired eligibility
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_60_rho_0_8,60,DMCHBA,100,82,18,0.82,0.18,0.733326416136993,0.882997745010536,RuntimeError: scheduler-event safety cap before 361-cell coverage (n=18),24,conditional on completion and six-way paired eligibility
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_60_rho_0_8,60,DGA,100,84,16,0.84,0.16,0.755797306107298,0.899047115111952,RuntimeError: scheduler-event safety cap before 361-cell coverage (n=16),24,conditional on completion and six-way paired eligibility
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_70_rho_0_8,70,CBAA,100,70,30,0.7,0.3,0.604151453666533,0.781051147050672,RuntimeError: scheduler-event safety cap before 361-cell coverage (n=30),17,conditional on completion and six-way paired eligibility
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_70_rho_0_8,70,ACBBA,100,91,9,0.91,0.09,0.837737871472837,0.951927459997435,RuntimeError: scheduler-event safety cap before 361-cell coverage (n=9),17,conditional on completion and six-way paired eligibility
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_70_rho_0_8,70,PI,100,45,55,0.45,0.55,0.35614537979512,0.547553970025579,RuntimeError: scheduler-event safety cap before 361-cell coverage (n=55),17,conditional on completion and six-way paired eligibility
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_70_rho_0_8,70,HIPC,100,71,29,0.71,0.29,0.614611088244289,0.789851642508777,RuntimeError: scheduler-event safety cap before 361-cell coverage (n=29),17,conditional on completion and six-way paired eligibility
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_70_rho_0_8,70,DMCHBA,100,78,22,0.78,0.22,0.689296464850142,0.849987176153946,RuntimeError: scheduler-event safety cap before 361-cell coverage (n=22),17,conditional on completion and six-way paired eligibility
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_70_rho_0_8,70,DGA,100,77,23,0.77,0.23,0.678456169771262,0.841567341196965,RuntimeError: scheduler-event safety cap before 361-cell coverage (n=23),17,conditional on completion and six-way paired eligibility
