scenario,grid_size,target_cells_per_robot,comm_label,attempted_block_n,common_block_eligible_n,excluded_block_n,algorithm_count,algorithm_order,friedman_chi_square,df,p_value,kendall_w,eligibility_rule
CV,25,85,bernoulli_025,50,50,0,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",190.868405453468,5,0,0.76347362181387,Friedman ranks use only common complete finite six-algorithm trial blocks
CV,25,140,ideal,50,50,0,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",178.135233474833,5,0,0.712540933899333,Friedman ranks use only common complete finite six-algorithm trial blocks
CV,25,140,bernoulli_025,50,50,0,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",179.213317619328,5,0,0.716853270477313,Friedman ranks use only common complete finite six-algorithm trial blocks
CV,25,220,ideal,50,50,0,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",134.092017062767,5,0,0.536368068251066,Friedman ranks use only common complete finite six-algorithm trial blocks
CV,25,220,bernoulli_025,50,50,0,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",93.1656804733727,5,0,0.372662721893491,Friedman ranks use only common complete finite six-algorithm trial blocks
CV,34,50,ideal,50,26,24,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",111.288598574822,5,0,0.856066142883245,Friedman ranks use only common complete finite six-algorithm trial blocks
CV,34,50,bernoulli_025,50,28,22,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",118.479692645444,5,0,0.846283518896032,Friedman ranks use only common complete finite six-algorithm trial blocks
CV,34,85,ideal,50,50,0,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",219.968789013733,5,0,0.879875156054932,Friedman ranks use only common complete finite six-algorithm trial blocks
CV,34,85,bernoulli_025,50,44,6,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",179.064427690199,5,0,0.813929216773631,Friedman ranks use only common complete finite six-algorithm trial blocks
CV,34,140,ideal,50,50,0,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",206.615194564546,5,0,0.826460778258184,Friedman ranks use only common complete finite six-algorithm trial blocks
CV,34,140,bernoulli_025,50,50,0,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",193.381915526472,5,0,0.773527662105889,Friedman ranks use only common complete finite six-algorithm trial blocks
CV,34,220,ideal,50,50,0,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",196.612038140644,5,0,0.786448152562575,Friedman ranks use only common complete finite six-algorithm trial blocks
CV,34,220,bernoulli_025,50,50,0,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",157.312905126694,5,0,0.629251620506777,Friedman ranks use only common complete finite six-algorithm trial blocks
