scenario,metric,algorithm_key,comm_label,horizon,mean_delta_from_trial_baseline,selected_for_main_benchmark
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,hipc,ideal,12,-21.6819105691057,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,hipc,bernoulli_025,1,22.4766260162602,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,hipc,bernoulli_025,2,21.5660569105691,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,hipc,bernoulli_025,3,20.7123983739837,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,hipc,bernoulli_025,5,18.8140243902439,1
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,hipc,bernoulli_025,8,30.744918699187,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,hipc,bernoulli_025,12,19.2042682926829,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,pi,ideal,1,-26.7668690958165,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,pi,ideal,2,-24.8114035087719,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,pi,ideal,3,-15.4186909581646,1
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,pi,ideal,5,-15.4024966261808,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,pi,ideal,8,-16.7790148448043,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,pi,ideal,12,-5.13124156545209,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,pi,bernoulli_025,1,28.7594466936572,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,pi,bernoulli_025,2,17.3019568151147,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,pi,bernoulli_025,3,18.9740215924426,1
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,pi,bernoulli_025,5,11.8161268556005,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,pi,bernoulli_025,8,13.0064102564103,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,pi,bernoulli_025,12,14.4517543859649,0
Full Grid Search (FGS),total_team_steps,acbba,ideal,1,-122.718333333333,0
Full Grid Search (FGS),total_team_steps,acbba,ideal,2,-131.078333333333,0
Full Grid Search (FGS),total_team_steps,acbba,ideal,3,-91.3783333333333,1
Full Grid Search (FGS),total_team_steps,acbba,ideal,5,-122.278333333333,0
Full Grid Search (FGS),total_team_steps,acbba,ideal,8,-121.038333333333,0
Full Grid Search (FGS),total_team_steps,acbba,ideal,12,-103.578333333333,0
Full Grid Search (FGS),total_team_steps,acbba,bernoulli_025,1,93.2216666666667,0
Full Grid Search (FGS),total_team_steps,acbba,bernoulli_025,2,123.081666666667,0
Full Grid Search (FGS),total_team_steps,acbba,bernoulli_025,3,97.7416666666667,1
Full Grid Search (FGS),total_team_steps,acbba,bernoulli_025,5,94.7416666666667,0
Full Grid Search (FGS),total_team_steps,acbba,bernoulli_025,8,138.641666666667,0
Full Grid Search (FGS),total_team_steps,acbba,bernoulli_025,12,144.641666666667,0
Full Grid Search (FGS),total_team_steps,dga,ideal,1,-99.6816666666667,0
Full Grid Search (FGS),total_team_steps,dga,ideal,2,-117.001666666667,0
Full Grid Search (FGS),total_team_steps,dga,ideal,3,-116.961666666667,0
Full Grid Search (FGS),total_team_steps,dga,ideal,5,-118.661666666667,1
Full Grid Search (FGS),total_team_steps,dga,ideal,8,-100.941666666667,0
Full Grid Search (FGS),total_team_steps,dga,ideal,12,-118.461666666667,0
Full Grid Search (FGS),total_team_steps,dga,bernoulli_025,1,118.038333333333,0
Full Grid Search (FGS),total_team_steps,dga,bernoulli_025,2,117.098333333333,0
Full Grid Search (FGS),total_team_steps,dga,bernoulli_025,3,110.018333333333,0
Full Grid Search (FGS),total_team_steps,dga,bernoulli_025,5,108.118333333333,1
Full Grid Search (FGS),total_team_steps,dga,bernoulli_025,8,107.898333333333,0
Full Grid Search (FGS),total_team_steps,dga,bernoulli_025,12,110.538333333333,0
Full Grid Search (FGS),total_team_steps,dmchba,ideal,1,-124.215,0
Full Grid Search (FGS),total_team_steps,dmchba,ideal,2,-97.275,0
Full Grid Search (FGS),total_team_steps,dmchba,ideal,3,-91.295,0
Full Grid Search (FGS),total_team_steps,dmchba,ideal,5,-78.235,0
Full Grid Search (FGS),total_team_steps,dmchba,ideal,8,-63.815,1
Full Grid Search (FGS),total_team_steps,dmchba,ideal,12,-50.895,0
Full Grid Search (FGS),total_team_steps,dmchba,bernoulli_025,1,84.425,0
Full Grid Search (FGS),total_team_steps,dmchba,bernoulli_025,2,80.145,0
Full Grid Search (FGS),total_team_steps,dmchba,bernoulli_025,3,77.965,0
Full Grid Search (FGS),total_team_steps,dmchba,bernoulli_025,5,80.265,0
Full Grid Search (FGS),total_team_steps,dmchba,bernoulli_025,8,85.685,1
Full Grid Search (FGS),total_team_steps,dmchba,bernoulli_025,12,97.245,0
Full Grid Search (FGS),total_team_steps,hipc,ideal,1,-119.451086956522,0
Full Grid Search (FGS),total_team_steps,hipc,ideal,2,-118.08152173913,0
Full Grid Search (FGS),total_team_steps,hipc,ideal,3,-122.58152173913,1
Full Grid Search (FGS),total_team_steps,hipc,ideal,5,-120.472826086957,0
Full Grid Search (FGS),total_team_steps,hipc,ideal,8,-116.429347826087,0
Full Grid Search (FGS),total_team_steps,hipc,ideal,12,-103.58152173913,0
Full Grid Search (FGS),total_team_steps,hipc,bernoulli_025,1,101.896739130435,0
Full Grid Search (FGS),total_team_steps,hipc,bernoulli_025,2,107.092391304348,0
Full Grid Search (FGS),total_team_steps,hipc,bernoulli_025,3,107.505434782609,1
Full Grid Search (FGS),total_team_steps,hipc,bernoulli_025,5,121.657608695652,0
Full Grid Search (FGS),total_team_steps,hipc,bernoulli_025,8,120.070652173913,0
Full Grid Search (FGS),total_team_steps,hipc,bernoulli_025,12,142.375,0
Full Grid Search (FGS),total_team_steps,pi,ideal,1,-172.673333333333,0
Full Grid Search (FGS),total_team_steps,pi,ideal,2,-151.293333333333,0
Full Grid Search (FGS),total_team_steps,pi,ideal,3,-127.313333333333,1
Full Grid Search (FGS),total_team_steps,pi,ideal,5,-132.773333333333,0
Full Grid Search (FGS),total_team_steps,pi,ideal,8,-124.233333333333,0
Full Grid Search (FGS),total_team_steps,pi,ideal,12,-111.233333333333,0
Full Grid Search (FGS),total_team_steps,pi,bernoulli_025,1,57.0866666666667,0
Full Grid Search (FGS),total_team_steps,pi,bernoulli_025,2,119.086666666667,0
Full Grid Search (FGS),total_team_steps,pi,bernoulli_025,3,151.386666666667,1
Full Grid Search (FGS),total_team_steps,pi,bernoulli_025,5,168.026666666667,0
Full Grid Search (FGS),total_team_steps,pi,bernoulli_025,8,148.226666666667,0
Full Grid Search (FGS),total_team_steps,pi,bernoulli_025,12,175.706666666667,0
