scenario,trial_id,algorithm,comm_model,comm_level_raw,system_trial_status,trial_summary_status,first_clue_robot,total_team_steps,system_revisits,revisits_per_team_step,base_eligible,rate_metric_eligible,common_six_algorithm_block_eligible
Clue-Informed Probabilistic Search (CLIPS),10,HIPC,bernoulli,0.05,completed,completed,2,283,43,0.151943462897526,1,1,1
Clue-Informed Probabilistic Search (CLIPS),10,PI,bernoulli,0.05,completed,completed,2,299,34,0.11371237458194,1,1,1
Clue-Informed Probabilistic Search (CLIPS),100,ACBBA,bernoulli,0.05,completed,completed,2,22,0,0,1,1,1
Clue-Informed Probabilistic Search (CLIPS),100,CBAA,bernoulli,0.05,completed,completed,2,32,0,0,1,1,1
Clue-Informed Probabilistic Search (CLIPS),100,DGA,bernoulli,0.05,completed,completed,2,65,7,0.107692307692308,1,1,1
Clue-Informed Probabilistic Search (CLIPS),100,DMCHBA,bernoulli,0.05,completed,completed,2,31,1,0.032258064516129,1,1,1
Clue-Informed Probabilistic Search (CLIPS),100,HIPC,bernoulli,0.05,completed,completed,2,30,2,0.0666666666666667,1,1,1
Clue-Informed Probabilistic Search (CLIPS),100,PI,bernoulli,0.05,completed,completed,2,31,0,0,1,1,1
Clue-Informed Probabilistic Search (CLIPS),101,ACBBA,bernoulli,0.05,completed,completed,3,427,97,0.227166276346604,1,1,1
Clue-Informed Probabilistic Search (CLIPS),101,CBAA,bernoulli,0.05,completed,completed,3,388,69,0.177835051546392,1,1,1
Clue-Informed Probabilistic Search (CLIPS),101,DGA,bernoulli,0.05,completed,completed,3,385,86,0.223376623376623,1,1,1
Clue-Informed Probabilistic Search (CLIPS),101,DMCHBA,bernoulli,0.05,completed,completed,3,256,22,0.0859375,1,1,1
Clue-Informed Probabilistic Search (CLIPS),101,HIPC,bernoulli,0.05,completed,completed,3,407,108,0.265356265356265,1,1,1
Clue-Informed Probabilistic Search (CLIPS),101,PI,bernoulli,0.05,completed,completed,3,415,107,0.257831325301205,1,1,1
Clue-Informed Probabilistic Search (CLIPS),102,ACBBA,bernoulli,0.05,completed,completed,,45,0,0,0,0,0
Clue-Informed Probabilistic Search (CLIPS),102,CBAA,bernoulli,0.05,completed,completed,,45,0,0,0,0,0
Clue-Informed Probabilistic Search (CLIPS),102,DGA,bernoulli,0.05,completed,completed,,45,0,0,0,0,0
Clue-Informed Probabilistic Search (CLIPS),102,DMCHBA,bernoulli,0.05,completed,completed,,45,0,0,0,0,0
Clue-Informed Probabilistic Search (CLIPS),102,HIPC,bernoulli,0.05,completed,completed,,45,0,0,0,0,0
Clue-Informed Probabilistic Search (CLIPS),102,PI,bernoulli,0.05,completed,completed,,45,0,0,0,0,0
Clue-Informed Probabilistic Search (CLIPS),103,ACBBA,bernoulli,0.05,completed,completed,2,132,4,0.0303030303030303,1,1,1
Clue-Informed Probabilistic Search (CLIPS),103,CBAA,bernoulli,0.05,completed,completed,2,147,16,0.108843537414966,1,1,1
Clue-Informed Probabilistic Search (CLIPS),103,DGA,bernoulli,0.05,completed,completed,2,192,29,0.151041666666667,1,1,1
Clue-Informed Probabilistic Search (CLIPS),103,DMCHBA,bernoulli,0.05,completed,completed,2,79,0,0,1,1,1
Clue-Informed Probabilistic Search (CLIPS),103,HIPC,bernoulli,0.05,completed,completed,2,104,1,0.00961538461538462,1,1,1
Clue-Informed Probabilistic Search (CLIPS),103,PI,bernoulli,0.05,completed,completed,2,125,10,0.08,1,1,1
Clue-Informed Probabilistic Search (CLIPS),104,ACBBA,bernoulli,0.05,completed,completed,1,408,76,0.186274509803922,1,1,1
Clue-Informed Probabilistic Search (CLIPS),104,CBAA,bernoulli,0.05,completed,completed,1,335,42,0.125373134328358,1,1,1
Clue-Informed Probabilistic Search (CLIPS),104,DGA,bernoulli,0.05,completed,completed,1,383,61,0.159268929503916,1,1,1
Clue-Informed Probabilistic Search (CLIPS),104,DMCHBA,bernoulli,0.05,completed,completed,1,318,37,0.116352201257862,1,1,1
Clue-Informed Probabilistic Search (CLIPS),104,HIPC,bernoulli,0.05,completed,completed,1,321,48,0.149532710280374,1,1,1
Clue-Informed Probabilistic Search (CLIPS),104,PI,bernoulli,0.05,completed,completed,1,247,21,0.0850202429149798,1,1,1
Clue-Informed Probabilistic Search (CLIPS),105,ACBBA,bernoulli,0.05,completed,completed,,9,0,0,0,0,0
Clue-Informed Probabilistic Search (CLIPS),105,CBAA,bernoulli,0.05,completed,completed,,9,0,0,0,0,0
Clue-Informed Probabilistic Search (CLIPS),105,DGA,bernoulli,0.05,completed,completed,,9,0,0,0,0,0
Clue-Informed Probabilistic Search (CLIPS),105,DMCHBA,bernoulli,0.05,completed,completed,,9,0,0,0,0,0
Clue-Informed Probabilistic Search (CLIPS),105,HIPC,bernoulli,0.05,completed,completed,,9,0,0,0,0,0
Clue-Informed Probabilistic Search (CLIPS),105,PI,bernoulli,0.05,completed,completed,,9,0,0,0,0,0
Clue-Informed Probabilistic Search (CLIPS),106,ACBBA,bernoulli,0.05,completed,completed,0,257,34,0.132295719844358,1,1,1
Clue-Informed Probabilistic Search (CLIPS),106,CBAA,bernoulli,0.05,completed,completed,0,275,65,0.236363636363636,1,1,1
Clue-Informed Probabilistic Search (CLIPS),106,DGA,bernoulli,0.05,completed,completed,0,353,55,0.155807365439093,1,1,1
Clue-Informed Probabilistic Search (CLIPS),106,DMCHBA,bernoulli,0.05,completed,completed,0,243,17,0.0699588477366255,1,1,1
Clue-Informed Probabilistic Search (CLIPS),106,HIPC,bernoulli,0.05,completed,completed,0,341,107,0.313782991202346,1,1,1
Clue-Informed Probabilistic Search (CLIPS),106,PI,bernoulli,0.05,completed,completed,0,221,31,0.14027149321267,1,1,1
Clue-Informed Probabilistic Search (CLIPS),107,ACBBA,bernoulli,0.05,completed,completed,2,63,0,0,1,1,1
Clue-Informed Probabilistic Search (CLIPS),107,CBAA,bernoulli,0.05,completed,completed,2,63,0,0,1,1,1
Clue-Informed Probabilistic Search (CLIPS),107,DGA,bernoulli,0.05,completed,completed,2,80,1,0.0125,1,1,1
Clue-Informed Probabilistic Search (CLIPS),107,DMCHBA,bernoulli,0.05,completed,completed,2,63,0,0,1,1,1
Clue-Informed Probabilistic Search (CLIPS),107,HIPC,bernoulli,0.05,completed,completed,2,63,0,0,1,1,1
Clue-Informed Probabilistic Search (CLIPS),107,PI,bernoulli,0.05,completed,completed,2,63,0,0,1,1,1
Clue-Informed Probabilistic Search (CLIPS),108,ACBBA,bernoulli,0.05,completed,completed,0,271,10,0.03690036900369,1,1,1
Clue-Informed Probabilistic Search (CLIPS),108,CBAA,bernoulli,0.05,completed,completed,0,299,17,0.0568561872909699,1,1,1
Clue-Informed Probabilistic Search (CLIPS),108,DGA,bernoulli,0.05,completed,completed,0,263,14,0.0532319391634981,1,1,1
Clue-Informed Probabilistic Search (CLIPS),108,DMCHBA,bernoulli,0.05,completed,completed,0,366,50,0.136612021857924,1,1,1
Clue-Informed Probabilistic Search (CLIPS),108,HIPC,bernoulli,0.05,completed,completed,0,300,23,0.0766666666666667,1,1,1
Clue-Informed Probabilistic Search (CLIPS),108,PI,bernoulli,0.05,completed,completed,0,371,44,0.118598382749326,1,1,1
Clue-Informed Probabilistic Search (CLIPS),109,ACBBA,bernoulli,0.05,completed,completed,,57,0,0,0,0,0
Clue-Informed Probabilistic Search (CLIPS),109,CBAA,bernoulli,0.05,completed,completed,,57,0,0,0,0,0
Clue-Informed Probabilistic Search (CLIPS),109,DGA,bernoulli,0.05,completed,completed,,57,0,0,0,0,0
Clue-Informed Probabilistic Search (CLIPS),109,DMCHBA,bernoulli,0.05,completed,completed,,57,0,0,0,0,0
Clue-Informed Probabilistic Search (CLIPS),109,HIPC,bernoulli,0.05,completed,completed,,57,0,0,0,0,0
Clue-Informed Probabilistic Search (CLIPS),109,PI,bernoulli,0.05,completed,completed,,57,0,0,0,0,0
Clue-Informed Probabilistic Search (CLIPS),11,ACBBA,bernoulli,0.05,completed,completed,3,197,23,0.116751269035533,1,1,1
Clue-Informed Probabilistic Search (CLIPS),11,CBAA,bernoulli,0.05,completed,completed,3,255,40,0.156862745098039,1,1,1
Clue-Informed Probabilistic Search (CLIPS),11,DGA,bernoulli,0.05,completed,completed,3,165,11,0.0666666666666667,1,1,1
Clue-Informed Probabilistic Search (CLIPS),11,DMCHBA,bernoulli,0.05,completed,completed,3,152,5,0.0328947368421053,1,1,1
Clue-Informed Probabilistic Search (CLIPS),11,HIPC,bernoulli,0.05,completed,completed,3,267,50,0.187265917602996,1,1,1
Clue-Informed Probabilistic Search (CLIPS),11,PI,bernoulli,0.05,completed,completed,3,258,33,0.127906976744186,1,1,1
Clue-Informed Probabilistic Search (CLIPS),110,ACBBA,bernoulli,0.05,completed,completed,0,107,2,0.0186915887850467,1,1,1
Clue-Informed Probabilistic Search (CLIPS),110,CBAA,bernoulli,0.05,completed,completed,0,184,22,0.119565217391304,1,1,1
Clue-Informed Probabilistic Search (CLIPS),110,DGA,bernoulli,0.05,completed,completed,0,98,3,0.0306122448979592,1,1,1
Clue-Informed Probabilistic Search (CLIPS),110,DMCHBA,bernoulli,0.05,completed,completed,0,141,6,0.0425531914893617,1,1,1
Clue-Informed Probabilistic Search (CLIPS),110,HIPC,bernoulli,0.05,completed,completed,0,162,24,0.148148148148148,1,1,1
Clue-Informed Probabilistic Search (CLIPS),110,PI,bernoulli,0.05,completed,completed,0,117,0,0,1,1,1
Clue-Informed Probabilistic Search (CLIPS),111,ACBBA,bernoulli,0.05,completed,completed,2,51,4,0.0784313725490196,1,1,1
Clue-Informed Probabilistic Search (CLIPS),111,CBAA,bernoulli,0.05,completed,completed,2,59,6,0.101694915254237,1,1,1
Clue-Informed Probabilistic Search (CLIPS),111,DGA,bernoulli,0.05,completed,completed,2,189,42,0.222222222222222,1,1,1
Clue-Informed Probabilistic Search (CLIPS),111,DMCHBA,bernoulli,0.05,completed,completed,2,74,10,0.135135135135135,1,1,1
Clue-Informed Probabilistic Search (CLIPS),111,HIPC,bernoulli,0.05,completed,completed,2,60,8,0.133333333333333,1,1,1
Clue-Informed Probabilistic Search (CLIPS),111,PI,bernoulli,0.05,completed,completed,2,52,6,0.115384615384615,1,1,1
Clue-Informed Probabilistic Search (CLIPS),112,ACBBA,bernoulli,0.05,completed,completed,2,139,27,0.194244604316547,1,1,1
Clue-Informed Probabilistic Search (CLIPS),112,CBAA,bernoulli,0.05,completed,completed,2,106,8,0.0754716981132075,1,1,1
Clue-Informed Probabilistic Search (CLIPS),112,DGA,bernoulli,0.05,completed,completed,2,42,1,0.0238095238095238,1,1,1
Clue-Informed Probabilistic Search (CLIPS),112,DMCHBA,bernoulli,0.05,completed,completed,2,28,0,0,1,1,1
Clue-Informed Probabilistic Search (CLIPS),112,HIPC,bernoulli,0.05,completed,completed,2,28,0,0,1,1,1
Clue-Informed Probabilistic Search (CLIPS),112,PI,bernoulli,0.05,completed,completed,2,27,0,0,1,1,1
Clue-Informed Probabilistic Search (CLIPS),113,ACBBA,bernoulli,0.05,completed,completed,1,17,0,0,1,1,1
Clue-Informed Probabilistic Search (CLIPS),113,CBAA,bernoulli,0.05,completed,completed,1,17,0,0,1,1,1
Clue-Informed Probabilistic Search (CLIPS),113,DGA,bernoulli,0.05,completed,completed,1,216,37,0.171296296296296,1,1,1
Clue-Informed Probabilistic Search (CLIPS),113,DMCHBA,bernoulli,0.05,completed,completed,1,17,0,0,1,1,1
Clue-Informed Probabilistic Search (CLIPS),113,HIPC,bernoulli,0.05,completed,completed,1,17,0,0,1,1,1
Clue-Informed Probabilistic Search (CLIPS),113,PI,bernoulli,0.05,completed,completed,1,18,0,0,1,1,1
Clue-Informed Probabilistic Search (CLIPS),114,ACBBA,bernoulli,0.05,completed,completed,3,226,8,0.0353982300884956,1,1,1
Clue-Informed Probabilistic Search (CLIPS),114,CBAA,bernoulli,0.05,completed,completed,3,225,15,0.0666666666666667,1,1,1
Clue-Informed Probabilistic Search (CLIPS),114,DGA,bernoulli,0.05,completed,completed,3,543,190,0.349907918968692,1,1,1
Clue-Informed Probabilistic Search (CLIPS),114,DMCHBA,bernoulli,0.05,completed,completed,3,420,75,0.178571428571429,1,1,1
Clue-Informed Probabilistic Search (CLIPS),114,HIPC,bernoulli,0.05,completed,completed,3,224,12,0.0535714285714286,1,1,1
Clue-Informed Probabilistic Search (CLIPS),114,PI,bernoulli,0.05,completed,completed,3,225,12,0.0533333333333333,1,1,1
Clue-Informed Probabilistic Search (CLIPS),115,ACBBA,bernoulli,0.05,completed,completed,1,280,67,0.239285714285714,1,1,1
Clue-Informed Probabilistic Search (CLIPS),115,CBAA,bernoulli,0.05,completed,completed,1,235,68,0.28936170212766,1,1,1
Clue-Informed Probabilistic Search (CLIPS),115,DGA,bernoulli,0.05,completed,completed,1,339,126,0.371681415929204,1,1,1
Clue-Informed Probabilistic Search (CLIPS),115,DMCHBA,bernoulli,0.05,completed,completed,1,332,47,0.141566265060241,1,1,1
Clue-Informed Probabilistic Search (CLIPS),115,HIPC,bernoulli,0.05,completed,completed,1,377,88,0.23342175066313,1,1,1
Clue-Informed Probabilistic Search (CLIPS),115,PI,bernoulli,0.05,completed,completed,1,217,48,0.221198156682028,1,1,1
Clue-Informed Probabilistic Search (CLIPS),116,ACBBA,bernoulli,0.05,completed,completed,1,254,5,0.0196850393700787,1,1,1
Clue-Informed Probabilistic Search (CLIPS),116,CBAA,bernoulli,0.05,completed,completed,1,267,30,0.112359550561798,1,1,1
Clue-Informed Probabilistic Search (CLIPS),116,DGA,bernoulli,0.05,completed,completed,1,310,37,0.119354838709677,1,1,1
Clue-Informed Probabilistic Search (CLIPS),116,DMCHBA,bernoulli,0.05,completed,completed,1,278,17,0.0611510791366906,1,1,1
Clue-Informed Probabilistic Search (CLIPS),116,HIPC,bernoulli,0.05,completed,completed,1,307,36,0.117263843648208,1,1,1
Clue-Informed Probabilistic Search (CLIPS),116,PI,bernoulli,0.05,completed,completed,1,380,65,0.171052631578947,1,1,1
Clue-Informed Probabilistic Search (CLIPS),117,ACBBA,bernoulli,0.05,completed,completed,0,303,22,0.0726072607260726,1,1,1
Clue-Informed Probabilistic Search (CLIPS),117,CBAA,bernoulli,0.05,completed,completed,0,163,0,0,1,1,1
Clue-Informed Probabilistic Search (CLIPS),117,DGA,bernoulli,0.05,completed,completed,0,193,7,0.0362694300518135,1,1,1
Clue-Informed Probabilistic Search (CLIPS),117,DMCHBA,bernoulli,0.05,completed,completed,0,179,2,0.0111731843575419,1,1,1
Clue-Informed Probabilistic Search (CLIPS),117,HIPC,bernoulli,0.05,completed,completed,0,176,5,0.0284090909090909,1,1,1
Clue-Informed Probabilistic Search (CLIPS),117,PI,bernoulli,0.05,completed,completed,0,162,2,0.0123456790123457,1,1,1
Clue-Informed Probabilistic Search (CLIPS),118,ACBBA,bernoulli,0.05,completed,completed,1,198,32,0.161616161616162,1,1,1
Clue-Informed Probabilistic Search (CLIPS),118,CBAA,bernoulli,0.05,completed,completed,1,286,87,0.304195804195804,1,1,1
Clue-Informed Probabilistic Search (CLIPS),118,DGA,bernoulli,0.05,completed,completed,1,148,28,0.189189189189189,1,1,1
Clue-Informed Probabilistic Search (CLIPS),118,DMCHBA,bernoulli,0.05,completed,completed,1,154,16,0.103896103896104,1,1,1
Clue-Informed Probabilistic Search (CLIPS),118,HIPC,bernoulli,0.05,completed,completed,1,207,28,0.135265700483092,1,1,1
Clue-Informed Probabilistic Search (CLIPS),118,PI,bernoulli,0.05,completed,completed,1,335,70,0.208955223880597,1,1,1
Clue-Informed Probabilistic Search (CLIPS),119,ACBBA,bernoulli,0.05,completed,completed,2,319,32,0.100313479623824,1,1,1
Clue-Informed Probabilistic Search (CLIPS),119,CBAA,bernoulli,0.05,completed,completed,2,459,119,0.259259259259259,1,1,1
Clue-Informed Probabilistic Search (CLIPS),119,DGA,bernoulli,0.05,completed,completed,2,477,125,0.262054507337526,1,1,1
Clue-Informed Probabilistic Search (CLIPS),119,DMCHBA,bernoulli,0.05,completed,completed,2,452,96,0.212389380530973,1,1,1
Clue-Informed Probabilistic Search (CLIPS),119,HIPC,bernoulli,0.05,completed,completed,2,487,140,0.287474332648871,1,1,1
Clue-Informed Probabilistic Search (CLIPS),119,PI,bernoulli,0.05,completed,completed,2,317,52,0.16403785488959,1,1,1
Clue-Informed Probabilistic Search (CLIPS),12,ACBBA,bernoulli,0.05,completed,completed,0,160,1,0.00625,1,1,1
Clue-Informed Probabilistic Search (CLIPS),12,CBAA,bernoulli,0.05,completed,completed,0,151,1,0.00662251655629139,1,1,1
Clue-Informed Probabilistic Search (CLIPS),12,DGA,bernoulli,0.05,completed,completed,0,353,63,0.178470254957507,1,1,1
Clue-Informed Probabilistic Search (CLIPS),12,DMCHBA,bernoulli,0.05,completed,completed,0,351,47,0.133903133903134,1,1,1
Clue-Informed Probabilistic Search (CLIPS),12,HIPC,bernoulli,0.05,completed,completed,0,151,0,0,1,1,1
Clue-Informed Probabilistic Search (CLIPS),12,PI,bernoulli,0.05,completed,completed,0,150,1,0.00666666666666667,1,1,1
Clue-Informed Probabilistic Search (CLIPS),120,ACBBA,bernoulli,0.05,completed,completed,,4,0,0,0,0,0
Clue-Informed Probabilistic Search (CLIPS),120,CBAA,bernoulli,0.05,completed,completed,,4,0,0,0,0,0
Clue-Informed Probabilistic Search (CLIPS),120,DGA,bernoulli,0.05,completed,completed,,4,0,0,0,0,0
Clue-Informed Probabilistic Search (CLIPS),120,DMCHBA,bernoulli,0.05,completed,completed,,4,0,0,0,0,0
Clue-Informed Probabilistic Search (CLIPS),120,HIPC,bernoulli,0.05,completed,completed,,4,0,0,0,0,0
Clue-Informed Probabilistic Search (CLIPS),120,PI,bernoulli,0.05,completed,completed,,4,0,0,0,0,0
Clue-Informed Probabilistic Search (CLIPS),121,ACBBA,bernoulli,0.05,completed,completed,,38,0,0,0,0,0
Clue-Informed Probabilistic Search (CLIPS),121,CBAA,bernoulli,0.05,completed,completed,,38,0,0,0,0,0
Clue-Informed Probabilistic Search (CLIPS),121,DGA,bernoulli,0.05,completed,completed,,38,0,0,0,0,0
Clue-Informed Probabilistic Search (CLIPS),121,DMCHBA,bernoulli,0.05,completed,completed,,38,0,0,0,0,0
Clue-Informed Probabilistic Search (CLIPS),121,HIPC,bernoulli,0.05,completed,completed,,38,0,0,0,0,0
Clue-Informed Probabilistic Search (CLIPS),121,PI,bernoulli,0.05,completed,completed,,38,0,0,0,0,0
Clue-Informed Probabilistic Search (CLIPS),122,ACBBA,bernoulli,0.05,completed,completed,0,355,60,0.169014084507042,1,1,1
Clue-Informed Probabilistic Search (CLIPS),122,CBAA,bernoulli,0.05,completed,completed,0,368,48,0.130434782608696,1,1,1
Clue-Informed Probabilistic Search (CLIPS),122,DGA,bernoulli,0.05,completed,completed,0,405,136,0.335802469135802,1,1,1
Clue-Informed Probabilistic Search (CLIPS),122,DMCHBA,bernoulli,0.05,completed,completed,0,363,43,0.118457300275482,1,1,1
Clue-Informed Probabilistic Search (CLIPS),122,HIPC,bernoulli,0.05,completed,completed,0,377,76,0.20159151193634,1,1,1
Clue-Informed Probabilistic Search (CLIPS),122,PI,bernoulli,0.05,completed,completed,0,435,101,0.232183908045977,1,1,1
Clue-Informed Probabilistic Search (CLIPS),123,ACBBA,bernoulli,0.05,completed,completed,2,253,29,0.114624505928854,1,1,1
Clue-Informed Probabilistic Search (CLIPS),123,CBAA,bernoulli,0.05,completed,completed,2,228,13,0.0570175438596491,1,1,1
Clue-Informed Probabilistic Search (CLIPS),123,DGA,bernoulli,0.05,completed,completed,2,292,62,0.212328767123288,1,1,1
Clue-Informed Probabilistic Search (CLIPS),123,DMCHBA,bernoulli,0.05,completed,completed,2,154,1,0.00649350649350649,1,1,1
Clue-Informed Probabilistic Search (CLIPS),123,HIPC,bernoulli,0.05,completed,completed,2,221,21,0.0950226244343891,1,1,1
Clue-Informed Probabilistic Search (CLIPS),123,PI,bernoulli,0.05,completed,completed,2,179,8,0.0446927374301676,1,1,1
Clue-Informed Probabilistic Search (CLIPS),124,ACBBA,bernoulli,0.05,completed,completed,3,125,13,0.104,1,1,1
Clue-Informed Probabilistic Search (CLIPS),124,CBAA,bernoulli,0.05,completed,completed,3,153,36,0.235294117647059,1,1,1
Clue-Informed Probabilistic Search (CLIPS),124,DGA,bernoulli,0.05,completed,completed,3,80,3,0.0375,1,1,1
Clue-Informed Probabilistic Search (CLIPS),124,DMCHBA,bernoulli,0.05,completed,completed,3,172,13,0.0755813953488372,1,1,1
Clue-Informed Probabilistic Search (CLIPS),124,HIPC,bernoulli,0.05,completed,completed,3,213,41,0.192488262910798,1,1,1
Clue-Informed Probabilistic Search (CLIPS),124,PI,bernoulli,0.05,completed,completed,3,150,20,0.133333333333333,1,1,1
Clue-Informed Probabilistic Search (CLIPS),125,ACBBA,bernoulli,0.05,completed,completed,2,29,0,0,1,1,1
Clue-Informed Probabilistic Search (CLIPS),125,CBAA,bernoulli,0.05,completed,completed,2,30,3,0.1,1,1,1
Clue-Informed Probabilistic Search (CLIPS),125,DGA,bernoulli,0.05,completed,completed,2,84,19,0.226190476190476,1,1,1
Clue-Informed Probabilistic Search (CLIPS),125,DMCHBA,bernoulli,0.05,completed,completed,2,176,12,0.0681818181818182,1,1,1
Clue-Informed Probabilistic Search (CLIPS),125,HIPC,bernoulli,0.05,completed,completed,2,28,0,0,1,1,1
Clue-Informed Probabilistic Search (CLIPS),125,PI,bernoulli,0.05,completed,completed,2,29,2,0.0689655172413793,1,1,1
Clue-Informed Probabilistic Search (CLIPS),126,ACBBA,bernoulli,0.05,completed,completed,3,436,106,0.243119266055046,1,1,1
Clue-Informed Probabilistic Search (CLIPS),126,CBAA,bernoulli,0.05,completed,completed,3,353,63,0.178470254957507,1,1,1
Clue-Informed Probabilistic Search (CLIPS),126,DGA,bernoulli,0.05,completed,completed,3,420,122,0.29047619047619,1,1,1
Clue-Informed Probabilistic Search (CLIPS),126,DMCHBA,bernoulli,0.05,completed,completed,3,306,34,0.111111111111111,1,1,1
Clue-Informed Probabilistic Search (CLIPS),126,HIPC,bernoulli,0.05,completed,completed,3,414,104,0.251207729468599,1,1,1
Clue-Informed Probabilistic Search (CLIPS),126,PI,bernoulli,0.05,completed,completed,3,522,182,0.348659003831418,1,1,1
Clue-Informed Probabilistic Search (CLIPS),127,ACBBA,bernoulli,0.05,completed,completed,2,145,0,0,1,1,1
Clue-Informed Probabilistic Search (CLIPS),127,CBAA,bernoulli,0.05,completed,completed,2,154,0,0,1,1,1
Clue-Informed Probabilistic Search (CLIPS),127,DGA,bernoulli,0.05,completed,completed,2,145,0,0,1,1,1
Clue-Informed Probabilistic Search (CLIPS),127,DMCHBA,bernoulli,0.05,completed,completed,2,153,0,0,1,1,1
Clue-Informed Probabilistic Search (CLIPS),127,HIPC,bernoulli,0.05,completed,completed,2,155,0,0,1,1,1
Clue-Informed Probabilistic Search (CLIPS),127,PI,bernoulli,0.05,completed,completed,2,146,0,0,1,1,1
Clue-Informed Probabilistic Search (CLIPS),128,ACBBA,bernoulli,0.05,completed,completed,,17,0,0,0,0,0
Clue-Informed Probabilistic Search (CLIPS),128,CBAA,bernoulli,0.05,completed,completed,,17,0,0,0,0,0
Clue-Informed Probabilistic Search (CLIPS),128,DGA,bernoulli,0.05,completed,completed,,17,0,0,0,0,0
Clue-Informed Probabilistic Search (CLIPS),128,DMCHBA,bernoulli,0.05,completed,completed,,17,0,0,0,0,0
Clue-Informed Probabilistic Search (CLIPS),128,HIPC,bernoulli,0.05,completed,completed,,17,0,0,0,0,0
Clue-Informed Probabilistic Search (CLIPS),128,PI,bernoulli,0.05,completed,completed,,17,0,0,0,0,0
Clue-Informed Probabilistic Search (CLIPS),129,ACBBA,bernoulli,0.05,completed,completed,0,169,1,0.00591715976331361,1,1,1
Clue-Informed Probabilistic Search (CLIPS),129,CBAA,bernoulli,0.05,completed,completed,0,166,1,0.00602409638554217,1,1,1
Clue-Informed Probabilistic Search (CLIPS),129,DGA,bernoulli,0.05,completed,completed,0,205,16,0.0780487804878049,1,1,1
Clue-Informed Probabilistic Search (CLIPS),129,DMCHBA,bernoulli,0.05,completed,completed,0,161,2,0.0124223602484472,1,1,1
Clue-Informed Probabilistic Search (CLIPS),129,HIPC,bernoulli,0.05,completed,completed,0,193,3,0.0155440414507772,1,1,1
Clue-Informed Probabilistic Search (CLIPS),129,PI,bernoulli,0.05,completed,completed,0,167,1,0.00598802395209581,1,1,1
Clue-Informed Probabilistic Search (CLIPS),13,ACBBA,bernoulli,0.05,completed,completed,3,152,25,0.164473684210526,1,1,1
Clue-Informed Probabilistic Search (CLIPS),13,CBAA,bernoulli,0.05,completed,completed,3,100,22,0.22,1,1,1
Clue-Informed Probabilistic Search (CLIPS),13,DGA,bernoulli,0.05,completed,completed,3,116,5,0.0431034482758621,1,1,1
Clue-Informed Probabilistic Search (CLIPS),13,DMCHBA,bernoulli,0.05,completed,completed,3,66,5,0.0757575757575758,1,1,1
Clue-Informed Probabilistic Search (CLIPS),13,HIPC,bernoulli,0.05,completed,completed,3,59,4,0.0677966101694915,1,1,1
Clue-Informed Probabilistic Search (CLIPS),13,PI,bernoulli,0.05,completed,completed,3,67,12,0.17910447761194,1,1,1
Clue-Informed Probabilistic Search (CLIPS),130,ACBBA,bernoulli,0.05,completed,completed,3,47,0,0,1,1,1
Clue-Informed Probabilistic Search (CLIPS),130,CBAA,bernoulli,0.05,completed,completed,3,217,37,0.170506912442396,1,1,1
