scenario,grid_size,grid_cells,target_cells_per_robot,robot_count,comm_label,algorithm,attempted_block_n,raw_completed_n,raw_failed_n,finite_max_agent_step_n,common_block_eligible_n,excluded_from_continuous_n,condition_mean_max_agent_steps,condition_median_max_agent_steps,condition_sd_max_agent_steps,condition_ci95_low,condition_ci95_high,eligibility_rule,condition_rank,condition_best_mean,percent_above_condition_best,is_leader,is_top_two
CLIPS,14,196,220,1,bernoulli_025,DMCHBA,50,50,0,50,50,0,104.92,107,64.1754101296293,86.6815502410106,123.158449758989,all six named algorithms completed with finite maximum-agent steps,4,100.32,4.58532695374802,0,0
CLIPS,14,196,220,1,bernoulli_025,DGA,50,50,0,50,50,0,106.44,118,64.9185235035236,87.990359756873,124.889640243127,all six named algorithms completed with finite maximum-agent steps,5.5,100.32,6.10047846889953,0,0
CLIPS,19,361,50,8,ideal,CBAA,50,50,0,50,50,0,24.96,21,15.8705991811068,20.4496256178964,29.4703743821036,all six named algorithms completed with finite maximum-agent steps,1,24.96,0,1,1
CLIPS,19,361,50,8,ideal,ACBBA,50,50,0,50,50,0,25.4,22.5,16.337011941713,20.757072577969,30.042927422031,all six named algorithms completed with finite maximum-agent steps,2,24.96,1.7628205128205,0,1
CLIPS,19,361,50,8,ideal,PI,50,50,0,50,50,0,25.7,23,14.7748407222327,21.5010367262912,29.8989632737088,all six named algorithms completed with finite maximum-agent steps,4,24.96,2.96474358974358,0,0
CLIPS,19,361,50,8,ideal,HIPC,50,50,0,50,50,0,26.12,19,18.7525671711956,20.7905793774738,31.4494206225262,all six named algorithms completed with finite maximum-agent steps,5,24.96,4.6474358974359,0,0
CLIPS,19,361,50,8,ideal,DMCHBA,50,50,0,50,50,0,25.56,23.5,14.7373743957882,21.3716845384537,29.7483154615463,all six named algorithms completed with finite maximum-agent steps,3,24.96,2.40384615384615,0,0
CLIPS,19,361,50,8,ideal,DGA,50,50,0,50,50,0,26.66,21,16.9074431139975,21.854957832529,31.465042167471,all six named algorithms completed with finite maximum-agent steps,6,24.96,6.81089743589743,0,0
CLIPS,19,361,50,8,bernoulli_025,CBAA,50,50,0,50,50,0,37.64,24,33.0866271771419,28.2368845972967,47.0431154027033,all six named algorithms completed with finite maximum-agent steps,6,29.32,28.3765347885402,0,0
CLIPS,19,361,50,8,bernoulli_025,ACBBA,50,50,0,50,50,0,33.6,29.5,25.387607454128,26.3849217929769,40.8150782070231,all six named algorithms completed with finite maximum-agent steps,2,29.32,14.5975443383356,0,1
CLIPS,19,361,50,8,bernoulli_025,PI,50,50,0,50,50,0,37.32,26.5,29.9744380894039,28.80135894974,45.83864105026,all six named algorithms completed with finite maximum-agent steps,5,29.32,27.2851296043656,0,0
CLIPS,19,361,50,8,bernoulli_025,HIPC,50,50,0,50,50,0,34.98,22,31.6617905304144,25.9818186918918,43.9781813081082,all six named algorithms completed with finite maximum-agent steps,3,29.32,19.3042291950887,0,0
CLIPS,19,361,50,8,bernoulli_025,DMCHBA,50,50,0,50,50,0,29.32,28.5,17.5562536099342,24.3305679297712,34.3094320702288,all six named algorithms completed with finite maximum-agent steps,1,29.32,0,1,1
CLIPS,19,361,50,8,bernoulli_025,DGA,50,50,0,50,50,0,35.24,25,28.8759203404879,27.0335542396882,43.4464457603118,all six named algorithms completed with finite maximum-agent steps,4,29.32,20.1909959072306,0,0
CLIPS,19,361,85,5,ideal,CBAA,50,50,0,50,50,0,32.98,31.5,19.697187202072,27.3821213350604,38.5778786649396,all six named algorithms completed with finite maximum-agent steps,4,30.78,7.14749837556854,0,0
CLIPS,19,361,85,5,ideal,ACBBA,50,50,0,50,50,0,30.78,25.5,20.1162843974523,25.0630152299863,36.4969847700138,all six named algorithms completed with finite maximum-agent steps,1,30.78,0,1,1
CLIPS,19,361,85,5,ideal,PI,50,50,0,50,50,0,32.44,30.5,19.9408922486801,26.772861127146,38.107138872854,all six named algorithms completed with finite maximum-agent steps,3,30.78,5.39311241065626,0,0
CLIPS,19,361,85,5,ideal,HIPC,50,50,0,50,50,0,33.08,29.5,20.3378003345735,27.3000610972142,38.8599389027858,all six named algorithms completed with finite maximum-agent steps,5,30.78,7.47238466536711,0,0
CLIPS,19,361,85,5,ideal,DMCHBA,50,50,0,50,50,0,32.06,27.5,20.6629017856661,26.1876682870966,37.9323317129034,all six named algorithms completed with finite maximum-agent steps,2,30.78,4.15854450942171,0,1
CLIPS,19,361,85,5,ideal,DGA,50,50,0,50,50,0,38.7,31,27.2735575012779,30.9489407199549,46.4510592800451,all six named algorithms completed with finite maximum-agent steps,6,30.78,25.7309941520468,0,0
CLIPS,19,361,85,5,bernoulli_025,CBAA,50,50,0,50,50,0,40.08,33.5,33.7153994973411,30.4981894810734,49.6618105189266,all six named algorithms completed with finite maximum-agent steps,5,32.66,22.7189222290263,0,0
CLIPS,19,361,85,5,bernoulli_025,ACBBA,50,50,0,50,50,0,35.6,29,23.3779941878019,28.9560475640293,42.2439524359707,all six named algorithms completed with finite maximum-agent steps,3,32.66,9.00183710961422,0,0
CLIPS,19,361,85,5,bernoulli_025,PI,50,50,0,50,50,0,37.9,32,27.1881201547849,30.1732217451701,45.6267782548299,all six named algorithms completed with finite maximum-agent steps,4,32.66,16.044090630741,0,0
CLIPS,19,361,85,5,bernoulli_025,HIPC,50,50,0,50,50,0,40.96,34.5,33.2123409568903,31.5211571363998,50.3988428636003,all six named algorithms completed with finite maximum-agent steps,6,32.66,25.4133496631966,0,0
CLIPS,19,361,85,5,bernoulli_025,DMCHBA,50,50,0,50,50,0,32.66,29,23.5498689280984,25.9672013032979,39.3527986967021,all six named algorithms completed with finite maximum-agent steps,1,32.66,0,1,1
CLIPS,19,361,85,5,bernoulli_025,DGA,50,50,0,50,50,0,33.84,26,26.9734260761534,26.1742371272107,41.5057628727893,all six named algorithms completed with finite maximum-agent steps,2,32.66,3.61298224127375,0,1
CLIPS,19,361,140,3,ideal,CBAA,50,50,0,50,50,0,53.56,42,34.3280452964854,43.8040774714239,63.3159225285761,all six named algorithms completed with finite maximum-agent steps,3,50.58,5.89165678133651,0,0
CLIPS,19,361,140,3,ideal,ACBBA,50,50,0,50,50,0,50.58,44,32.1648115499037,41.4388616999047,59.7211383000953,all six named algorithms completed with finite maximum-agent steps,1,50.58,0,1,1
CLIPS,19,361,140,3,ideal,PI,50,50,0,50,50,0,55.28,42,39.1788364361398,44.1454978828676,66.4145021171324,all six named algorithms completed with finite maximum-agent steps,4,50.58,9.29221035982602,0,0
CLIPS,19,361,140,3,ideal,HIPC,50,50,0,50,50,0,57.04,40,49.671147129323,42.9236161769807,71.1563838230193,all six named algorithms completed with finite maximum-agent steps,5,50.58,12.7718465796758,0,0
CLIPS,19,361,140,3,ideal,DMCHBA,50,50,0,50,50,0,52.14,46.5,33.203767919946,42.7035935665414,61.5764064334586,all six named algorithms completed with finite maximum-agent steps,2,50.58,3.08422301304864,0,1
CLIPS,19,361,140,3,ideal,DGA,50,50,0,50,50,0,60.76,50.5,44.4699210427792,48.1217882754988,73.3982117245012,all six named algorithms completed with finite maximum-agent steps,6,50.58,20.1265322261764,0,0
CLIPS,19,361,140,3,bernoulli_025,CBAA,50,50,0,50,50,0,62.96,43.5,53.7423786718277,47.6865849746058,78.2334150253942,all six named algorithms completed with finite maximum-agent steps,3,54.16,16.248153618907,0,0
CLIPS,19,361,140,3,bernoulli_025,ACBBA,50,50,0,50,50,0,54.16,45.5,35.2601758362037,44.1391689031244,64.1808310968756,all six named algorithms completed with finite maximum-agent steps,1,54.16,0,1,1
CLIPS,19,361,140,3,bernoulli_025,PI,50,50,0,50,50,0,62.28,49.5,48.2722043653044,48.5611913115333,75.9988086884667,all six named algorithms completed with finite maximum-agent steps,2,54.16,14.9926144756278,0,1
CLIPS,19,361,140,3,bernoulli_025,HIPC,50,50,0,50,50,0,72.26,51.5,63.5490522416844,54.1995591831795,90.3204408168205,all six named algorithms completed with finite maximum-agent steps,6,54.16,33.4194977843427,0,0
CLIPS,19,361,140,3,bernoulli_025,DMCHBA,50,50,0,50,50,0,63.22,49.5,46.935600691212,49.8810498727544,76.5589501272456,all six named algorithms completed with finite maximum-agent steps,4,54.16,16.7282127031019,0,0
CLIPS,19,361,140,3,bernoulli_025,DGA,50,50,0,50,50,0,67.54,48,58.1718811377287,51.0077343023862,84.0722656976138,all six named algorithms completed with finite maximum-agent steps,5,54.16,24.7045790251108,0,0
CLIPS,19,361,220,2,ideal,CBAA,50,50,0,50,50,0,72.7,56.5,50.0894098546972,58.4647472256583,86.9352527743417,all six named algorithms completed with finite maximum-agent steps,2,70.5,3.12056737588653,0,1
CLIPS,19,361,220,2,ideal,ACBBA,50,50,0,50,50,0,74.62,64,49.1585896743948,60.6492833939322,88.5907166060678,all six named algorithms completed with finite maximum-agent steps,4,70.5,5.84397163120568,0,0
CLIPS,19,361,220,2,ideal,PI,50,50,0,50,50,0,72.74,59,47.9582343805311,59.1104205939259,86.3695794060741,all six named algorithms completed with finite maximum-agent steps,3,70.5,3.177304964539,0,0
CLIPS,19,361,220,2,ideal,HIPC,50,50,0,50,50,0,70.5,61.5,48.2431130751704,56.7894589647117,84.2105410352883,all six named algorithms completed with finite maximum-agent steps,1,70.5,0,1,1
CLIPS,19,361,220,2,ideal,DMCHBA,50,50,0,50,50,0,81.18,78.5,48.6489675205582,67.3541164075435,95.0058835924565,all six named algorithms completed with finite maximum-agent steps,6,70.5,15.1489361702128,0,0
CLIPS,19,361,220,2,ideal,DGA,50,50,0,50,50,0,75.18,64.5,50.6249474678488,60.7925491200009,89.5674508799991,all six named algorithms completed with finite maximum-agent steps,5,70.5,6.63829787234044,0,0
CLIPS,19,361,220,2,bernoulli_025,CBAA,50,50,0,50,49,1,82.2244897959184,64,64.8010626540062,63.6114513811854,100.837528210651,all six named algorithms completed with finite maximum-agent steps,4,79.3061224489796,3.67987647967062,0,0
CLIPS,19,361,220,2,bernoulli_025,ACBBA,50,50,0,50,49,1,79.3061224489796,61,53.3862513830546,63.9718006475461,94.6404442504131,all six named algorithms completed with finite maximum-agent steps,1,79.3061224489796,0,1,1
CLIPS,19,361,220,2,bernoulli_025,PI,50,50,0,50,49,1,81.8163265306122,74,59.3084007081444,64.780964833055,98.8516882281695,all six named algorithms completed with finite maximum-agent steps,3,79.3061224489796,3.16520844055584,0,0
CLIPS,19,361,220,2,bernoulli_025,HIPC,50,49,1,49,49,1,79.3469387755102,66,55.8892323486108,63.2936768987883,95.4002006522322,all six named algorithms completed with finite maximum-agent steps,2,79.3061224489796,0.0514668039114833,0,1
CLIPS,19,361,220,2,bernoulli_025,DMCHBA,50,50,0,50,49,1,84.6326530612245,86,51.2943685495587,69.8991901646345,99.3661159578145,all six named algorithms completed with finite maximum-agent steps,6,79.3061224489796,6.71641791044776,0,0
CLIPS,19,361,220,2,bernoulli_025,DGA,50,50,0,50,49,1,83.9591836734694,61,67.4845535362456,64.575356681651,103.343010665288,all six named algorithms completed with finite maximum-agent steps,5,79.3061224489796,5.86721564590838,0,0
CLIPS,25,625,50,13,ideal,CBAA,50,50,0,50,50,0,23.7,21.5,17.7904468746572,18.6440109403586,28.7559890596414,all six named algorithms completed with finite maximum-agent steps,2,21.34,11.0590440487348,0,1
CLIPS,25,625,50,13,ideal,ACBBA,50,50,0,50,50,0,23.74,23,17.0423362391955,18.8966216305197,28.5833783694803,all six named algorithms completed with finite maximum-agent steps,3,21.34,11.2464854732896,0,0
CLIPS,25,625,50,13,ideal,PI,50,50,0,50,50,0,24.22,22,18.204383863145,19.046371349857,29.393628650143,all six named algorithms completed with finite maximum-agent steps,4,21.34,13.4957825679475,0,0
CLIPS,25,625,50,13,ideal,HIPC,50,50,0,50,50,0,25.94,24.5,19.918620147275,20.2791907883306,31.6008092116694,all six named algorithms completed with finite maximum-agent steps,6,21.34,21.5557638238051,0,0
CLIPS,25,625,50,13,ideal,DMCHBA,50,50,0,50,50,0,21.34,21.5,14.9660977423192,17.0866820825911,25.5933179174089,all six named algorithms completed with finite maximum-agent steps,1,21.34,0,1,1
CLIPS,25,625,50,13,ideal,DGA,50,50,0,50,50,0,25.26,21,19.7461543659746,19.6482050210568,30.8717949789432,all six named algorithms completed with finite maximum-agent steps,5,21.34,18.369259606373,0,0
CLIPS,25,625,50,13,bernoulli_025,CBAA,50,50,0,50,50,0,33.5,26.5,30.1474268709417,24.9321960819909,42.0678039180091,all six named algorithms completed with finite maximum-agent steps,6,23.74,41.1120471777591,0,0
CLIPS,25,625,50,13,bernoulli_025,ACBBA,50,50,0,50,50,0,27.92,25.5,23.477162155106,21.2478643395555,34.5921356604445,all six named algorithms completed with finite maximum-agent steps,3,23.74,17.6074136478517,0,0
CLIPS,25,625,50,13,bernoulli_025,PI,50,50,0,50,50,0,31.86,22.5,29.0678376160572,23.5990119534561,40.1209880465439,all six named algorithms completed with finite maximum-agent steps,4,23.74,34.2038753159225,0,0
CLIPS,25,625,50,13,bernoulli_025,HIPC,50,50,0,50,50,0,33.2,30,28.76789593861,25.0242544350187,41.3757455649813,all six named algorithms completed with finite maximum-agent steps,5,23.74,39.8483572030329,0,0
CLIPS,25,625,50,13,bernoulli_025,DMCHBA,50,50,0,50,50,0,23.74,20.5,18.9691586421706,18.3490247624955,29.1309752375045,all six named algorithms completed with finite maximum-agent steps,1,23.74,0,1,1
CLIPS,25,625,50,13,bernoulli_025,DGA,50,50,0,50,50,0,26.4,18.5,24.2689017435222,19.5028544381562,33.2971455618438,all six named algorithms completed with finite maximum-agent steps,2,23.74,11.2047177759056,0,1
CLIPS,25,625,85,8,ideal,CBAA,50,50,0,50,50,0,29.82,26,22.8345334606895,23.33049739376,36.30950260624,all six named algorithms completed with finite maximum-agent steps,1,29.82,0,1,1
CLIPS,25,625,85,8,ideal,ACBBA,50,50,0,50,50,0,31.52,26.5,25.6676084286982,24.2253463964683,38.8146536035317,all six named algorithms completed with finite maximum-agent steps,2,29.82,5.700871898055,0,1
CLIPS,25,625,85,8,ideal,PI,50,50,0,50,50,0,31.82,30.5,24.1244139190733,24.963917423522,38.676082576478,all six named algorithms completed with finite maximum-agent steps,4,29.82,6.70690811535882,0,0
CLIPS,25,625,85,8,ideal,HIPC,50,50,0,50,50,0,31.6,30,23.244046856899,24.9941149742739,38.2058850257261,all six named algorithms completed with finite maximum-agent steps,3,29.82,5.96914822266935,0,0
CLIPS,25,625,85,8,ideal,DMCHBA,50,50,0,50,50,0,33.12,28,24.6664607456012,26.1098694198913,40.1301305801087,all six named algorithms completed with finite maximum-agent steps,5,29.82,11.066398390342,0,0
CLIPS,25,625,85,8,ideal,DGA,50,50,0,50,50,0,33.82,28.5,29.0310811625986,25.5694580219482,42.0705419780518,all six named algorithms completed with finite maximum-agent steps,6,29.82,13.4138162307176,0,0
CLIPS,25,625,85,8,bernoulli_025,CBAA,50,50,0,50,50,0,46.12,32,45.345224530871,33.2330297765787,59.0069702234213,all six named algorithms completed with finite maximum-agent steps,6,37.44,23.1837606837607,0,0
CLIPS,25,625,85,8,bernoulli_025,ACBBA,50,50,0,50,50,0,37.44,28.5,32.9118550689813,28.0865542808643,46.7934457191357,all six named algorithms completed with finite maximum-agent steps,1,37.44,0,1,1
CLIPS,25,625,85,8,bernoulli_025,PI,50,50,0,50,50,0,39.14,31.5,36.6951089439473,28.711365426057,49.568634573943,all six named algorithms completed with finite maximum-agent steps,3,37.44,4.5405982905983,0,0
CLIPS,25,625,85,8,bernoulli_025,HIPC,50,50,0,50,50,0,43.42,33,41.3131841386436,31.6789229772815,55.1610770227185,all six named algorithms completed with finite maximum-agent steps,5,37.44,15.9722222222222,0,0
CLIPS,25,625,85,8,bernoulli_025,DMCHBA,50,50,0,50,50,0,42.18,29,38.512489360397,31.2348716264624,53.1251283735376,all six named algorithms completed with finite maximum-agent steps,4,37.44,12.6602564102564,0,0
CLIPS,25,625,85,8,bernoulli_025,DGA,50,50,0,50,50,0,37.68,24.5,36.8357856172611,27.2113855578596,48.1486144421404,all six named algorithms completed with finite maximum-agent steps,2,37.44,0.641025641025646,0,1
CLIPS,25,625,140,5,ideal,CBAA,50,50,0,50,50,0,50.16,45.5,37.6332245739949,39.464755913906,60.855244086094,all six named algorithms completed with finite maximum-agent steps,2,49.16,2.03417412530513,0,1
CLIPS,25,625,140,5,ideal,ACBBA,50,50,0,50,50,0,50.46,44,36.7630082489206,40.0120686570932,60.9079313429068,all six named algorithms completed with finite maximum-agent steps,3,49.16,2.64442636289667,0,0
CLIPS,25,625,140,5,ideal,PI,50,50,0,50,50,0,51.74,44,38.1323206420881,40.9029143807637,62.5770856192363,all six named algorithms completed with finite maximum-agent steps,4,49.16,5.24816924328724,0,0
CLIPS,25,625,140,5,ideal,HIPC,50,50,0,50,50,0,49.16,42.5,38.4199990438653,38.2411570835845,60.0788429164154,all six named algorithms completed with finite maximum-agent steps,1,49.16,0,1,1
CLIPS,25,625,140,5,ideal,DMCHBA,50,50,0,50,50,0,54.08,45,39.0106421900695,42.9932981587132,65.1667018412868,all six named algorithms completed with finite maximum-agent steps,6,49.16,10.0081366965012,0,0
CLIPS,25,625,140,5,ideal,DGA,50,50,0,50,50,0,54.04,47,39.9397301044502,42.6892542949671,65.3907457050329,all six named algorithms completed with finite maximum-agent steps,5,49.16,9.92676973148902,0,0
CLIPS,25,625,140,5,bernoulli_025,CBAA,50,48,2,48,48,2,66.0208333333333,42.5,65.9156422798346,46.8809259640761,85.1607407025906,all six named algorithms completed with finite maximum-agent steps,3.5,53.0208333333333,24.5186640471513,0,0
