mission,scenario,comm_model,metric,method,algorithm_a,algorithm_b,previous_eligibility_n,common_six_eligible_n,trajectories_excluded_by_common_six
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,PRDS,ACBBA,,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,PRDS,PI,,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,PRDS,HIPC,,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,PRDS,DMCHBA,,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,PRDS,DGA,,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,PRDA,CBAA,ACBBA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,PRDA,CBAA,PI,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,PRDA,CBAA,HIPC,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,PRDA,CBAA,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,PRDA,CBAA,DGA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,PRDA,ACBBA,PI,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,PRDA,ACBBA,HIPC,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,PRDA,ACBBA,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,PRDA,ACBBA,DGA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,PRDA,PI,HIPC,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,PRDA,PI,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,PRDA,PI,DGA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,PRDA,HIPC,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,PRDA,HIPC,DGA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,PRDA,DMCHBA,DGA,383,383,0
