mission,scenario,comm_model,metric,method,algorithm_a,algorithm_b,legacy_six_way_complete_n,revised_complete_n,additional_trajectories
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,PRDS,DGA,,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,PRDA,CBAA,ACBBA,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,PRDA,CBAA,PI,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,PRDA,CBAA,HIPC,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,PRDA,CBAA,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,PRDA,CBAA,DGA,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,PRDA,ACBBA,PI,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,PRDA,ACBBA,HIPC,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,PRDA,ACBBA,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,PRDA,ACBBA,DGA,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,PRDA,PI,HIPC,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,PRDA,PI,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,PRDA,PI,DGA,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,PRDA,HIPC,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,PRDA,HIPC,DGA,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,PRDA,DMCHBA,DGA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_path_replans,PRDS,CBAA,,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_path_replans,PRDS,ACBBA,,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_path_replans,PRDS,PI,,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_path_replans,PRDS,HIPC,,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_path_replans,PRDS,DMCHBA,,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_path_replans,PRDS,DGA,,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_path_replans,PRDA,CBAA,ACBBA,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_path_replans,PRDA,CBAA,PI,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_path_replans,PRDA,CBAA,HIPC,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_path_replans,PRDA,CBAA,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_path_replans,PRDA,CBAA,DGA,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_path_replans,PRDA,ACBBA,PI,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_path_replans,PRDA,ACBBA,HIPC,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_path_replans,PRDA,ACBBA,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_path_replans,PRDA,ACBBA,DGA,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_path_replans,PRDA,PI,HIPC,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_path_replans,PRDA,PI,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_path_replans,PRDA,PI,DGA,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_path_replans,PRDA,HIPC,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_path_replans,PRDA,HIPC,DGA,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_path_replans,PRDA,DMCHBA,DGA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,system_cell_revisits,PRDS,CBAA,,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,system_cell_revisits,PRDS,ACBBA,,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,system_cell_revisits,PRDS,PI,,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,system_cell_revisits,PRDS,HIPC,,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,system_cell_revisits,PRDS,DMCHBA,,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,system_cell_revisits,PRDS,DGA,,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,system_cell_revisits,PRDA,CBAA,ACBBA,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,system_cell_revisits,PRDA,CBAA,PI,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,system_cell_revisits,PRDA,CBAA,HIPC,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,system_cell_revisits,PRDA,CBAA,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,system_cell_revisits,PRDA,CBAA,DGA,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,system_cell_revisits,PRDA,ACBBA,PI,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,system_cell_revisits,PRDA,ACBBA,HIPC,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,system_cell_revisits,PRDA,ACBBA,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,system_cell_revisits,PRDA,ACBBA,DGA,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,system_cell_revisits,PRDA,PI,HIPC,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,system_cell_revisits,PRDA,PI,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,system_cell_revisits,PRDA,PI,DGA,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,system_cell_revisits,PRDA,HIPC,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,system_cell_revisits,PRDA,HIPC,DGA,383,384,1
