mission,scenario,comm_model,comm_label,degradation_pct,metric,algorithm,attempted_trial_n,six_way_paired_n,eligible_n,mean,median,sd,ci95_low,ci95_high,source_column,scope,ci_method
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_05,5,post_clue_steps_to_find,DMCHBA,500,385,385,137.046753246753,115,106.728397970932,126.352051081469,147.741455412037,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_05,5,post_clue_steps_to_find,DGA,500,385,385,158.020779220779,121,133.610946347095,144.632315565651,171.409242875908,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_1,10,post_clue_steps_to_find,CBAA,500,385,385,157.012987012987,120,132.708335966754,143.714969287644,170.31100473833,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_1,10,post_clue_steps_to_find,ACBBA,500,385,385,151.145454545455,124,121.969214167123,138.923548814176,163.367360276733,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_1,10,post_clue_steps_to_find,PI,500,385,385,154.111688311688,117,134.351453338136,140.649022271149,167.574354352228,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_1,10,post_clue_steps_to_find,HIPC,500,385,385,156.605194805195,123,130.441737369385,143.534301232261,169.676088378129,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_1,10,post_clue_steps_to_find,DMCHBA,500,385,385,146.662337662338,121,111.704177125251,135.469038337278,157.855636987397,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_1,10,post_clue_steps_to_find,DGA,500,385,385,175.223376623377,127,151.179914802233,160.074417274964,190.37233597179,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_2,20,post_clue_steps_to_find,CBAA,500,385,385,188.742857142857,150,158.117222658351,172.898745962686,204.586968323028,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_2,20,post_clue_steps_to_find,ACBBA,500,385,385,173.249350649351,137,144.804196661115,158.73926912451,187.759432174191,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_2,20,post_clue_steps_to_find,PI,500,385,385,184.794805194805,151,159.101896640519,168.852024914663,200.737585474948,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_2,20,post_clue_steps_to_find,HIPC,500,385,385,181.324675324675,137,154.160448204409,165.877052100143,196.772298549207,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_2,20,post_clue_steps_to_find,DMCHBA,500,385,385,152.34025974026,125,128.596292005799,139.454288726842,165.226230753677,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_2,20,post_clue_steps_to_find,DGA,500,385,385,179.745454545455,130,158.297312688957,163.883297472373,195.607611618536,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_3,30,post_clue_steps_to_find,CBAA,500,386,386,208.790155440415,160,179.121492561999,190.864726804911,226.715584075918,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_3,30,post_clue_steps_to_find,ACBBA,500,386,386,180.69689119171,138.5,159.05290744571,164.779808875636,196.613973507784,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_3,30,post_clue_steps_to_find,PI,500,386,386,205.777202072539,150.5,180.333866699809,187.730446142494,223.823958002584,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_3,30,post_clue_steps_to_find,HIPC,500,386,386,204.79792746114,156,174.855400284579,187.299424325071,222.296430597209,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_3,30,post_clue_steps_to_find,DMCHBA,500,386,386,167.373056994819,125.5,139.925622912723,153.370121155435,181.375992834203,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_3,30,post_clue_steps_to_find,DGA,500,386,386,198.049222797927,147.5,178.187294318471,180.217283244646,215.881162351209,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_4,40,post_clue_steps_to_find,CBAA,500,386,386,210.650259067358,156,189.370795379831,191.699140306136,229.601377828579,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_4,40,post_clue_steps_to_find,ACBBA,500,386,386,196.489637305699,152,175.157416832849,178.960910124457,214.018364486942,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_4,40,post_clue_steps_to_find,PI,500,386,386,212.018134715026,153.5,190.220329345346,192.981999576069,231.054269853983,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_4,40,post_clue_steps_to_find,HIPC,500,386,386,209.572538860104,161.5,193.812377266235,190.176932628425,228.968145091782,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_4,40,post_clue_steps_to_find,DMCHBA,500,386,386,171.616580310881,134,149.379889238126,156.667516935973,186.565643685789,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_4,40,post_clue_steps_to_find,DGA,500,386,386,203.29274611399,139,184.284082785312,184.85067572155,221.734816506429,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_5,50,post_clue_steps_to_find,CBAA,500,386,386,229.766839378238,171,202.927528587316,209.459042252151,250.074636504325,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_5,50,post_clue_steps_to_find,ACBBA,500,386,386,208.427461139896,160,181.971558138078,190.216814653873,226.63810762592,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_5,50,post_clue_steps_to_find,PI,500,386,386,225.243523316062,154,214.493127119076,203.778308907757,246.708737724367,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_5,50,post_clue_steps_to_find,HIPC,500,386,386,230.422279792746,173.5,210.332625677519,209.37342397219,251.471135613302,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_5,50,post_clue_steps_to_find,DMCHBA,500,386,386,173.647668393782,136,152.801799157334,158.356160339699,188.939176447866,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_5,50,post_clue_steps_to_find,DGA,500,386,386,214.725388601036,148.5,195.031578469995,195.207771862088,234.243005339984,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_6,60,post_clue_steps_to_find,CBAA,500,386,386,220.974093264249,161,205.413701922455,200.417494489308,241.530692039189,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_6,60,post_clue_steps_to_find,ACBBA,500,386,386,216.204663212435,160.5,199.44819222243,196.245057667468,236.164268757403,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_6,60,post_clue_steps_to_find,PI,500,386,386,229.492227979275,158.5,218.374874135567,207.63855109151,251.345904867039,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_6,60,post_clue_steps_to_find,HIPC,500,386,386,226.963730569948,157,212.619967616317,205.685970980768,248.241490159128,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_6,60,post_clue_steps_to_find,DMCHBA,500,386,386,174.489637305699,128.5,157.046262176991,158.773368281468,190.205906329931,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_6,60,post_clue_steps_to_find,DGA,500,386,386,213.681347150259,156.5,199.588861866181,193.70766421221,233.655030088308,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_7,70,post_clue_steps_to_find,CBAA,500,385,385,228.735064935065,165,216.720892512982,207.018582326077,250.451547544053,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_7,70,post_clue_steps_to_find,ACBBA,500,385,385,229.384415584416,150,222.13717553911,207.12519519515,251.643635973681,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_7,70,post_clue_steps_to_find,PI,500,385,385,235.244155844156,169,223.909981501534,212.807291715029,257.681019973283,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_7,70,post_clue_steps_to_find,HIPC,500,385,385,233.111688311688,166,226.533548135229,210.411930104776,255.811446518601,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_7,70,post_clue_steps_to_find,DMCHBA,500,385,385,193.693506493507,156,169.734595473147,176.685278315804,210.701734671209,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_7,70,post_clue_steps_to_find,DGA,500,385,385,227.745454545455,159,213.36653624193,206.365094673781,249.125814417128,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,rayleigh_style_sens_neg32_58,70,post_clue_steps_to_find,CBAA,500,385,385,177.776623376623,115,182.799389056994,159.459239633143,196.094007120104,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,rayleigh_style_sens_neg32_58,70,post_clue_steps_to_find,ACBBA,500,385,385,176.981818181818,121,170.115362762236,159.935435278396,194.028201085241,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,rayleigh_style_sens_neg32_58,70,post_clue_steps_to_find,PI,500,385,385,187.815584415584,139,184.108549746683,169.367016433149,206.26415239802,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,rayleigh_style_sens_neg32_58,70,post_clue_steps_to_find,HIPC,500,385,385,185.496103896104,123,189.2237311425,166.534969974427,204.45723781778,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,rayleigh_style_sens_neg32_58,70,post_clue_steps_to_find,DMCHBA,500,385,385,176.353246753247,129,172.366599674768,159.081279012604,193.625214493889,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,rayleigh_style_sens_neg32_58,70,post_clue_steps_to_find,DGA,500,385,385,216.8,135,217.49343620364,195.006104773205,238.593895226795,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,rayleigh_style_sens_neg37_79,60,post_clue_steps_to_find,CBAA,500,386,386,190.567357512953,138,177.937408729044,172.760425044172,208.374289981735,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,rayleigh_style_sens_neg37_79,60,post_clue_steps_to_find,ACBBA,500,386,386,184.59067357513,129,172.609275205065,167.316949466096,201.864397684163,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,rayleigh_style_sens_neg37_79,60,post_clue_steps_to_find,PI,500,386,386,196.562176165803,141.5,186.185154371928,177.929857676558,215.194494655048,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,rayleigh_style_sens_neg37_79,60,post_clue_steps_to_find,HIPC,500,386,386,189.121761658031,124.5,180.712912001775,171.037073096827,207.206450219235,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,rayleigh_style_sens_neg37_79,60,post_clue_steps_to_find,DMCHBA,500,386,386,161.002590673575,123,150.424291674379,145.949009627058,176.056171720092,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,rayleigh_style_sens_neg37_79,60,post_clue_steps_to_find,DGA,500,386,386,192.313471502591,149,183.456149047237,173.954255863785,210.672687141396,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,rayleigh_style_sens_neg42_16,50,post_clue_steps_to_find,CBAA,500,386,386,175.163212435233,127,158.764030713366,159.275039208605,191.051385661862,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,rayleigh_style_sens_neg42_16,50,post_clue_steps_to_find,ACBBA,500,386,386,165.512953367876,122,147.154344585798,150.786609451531,180.23929728422,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,rayleigh_style_sens_neg42_16,50,post_clue_steps_to_find,PI,500,386,386,180.588082901554,130,161.100303555474,164.466109188422,196.710056614687,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,rayleigh_style_sens_neg42_16,50,post_clue_steps_to_find,HIPC,500,386,386,175.284974093264,126,157.065977144107,159.56673211073,191.003216075799,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,rayleigh_style_sens_neg42_16,50,post_clue_steps_to_find,DMCHBA,500,386,386,159.829015544041,120.5,147.718464364997,145.046217828104,174.611813259979,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,rayleigh_style_sens_neg42_16,50,post_clue_steps_to_find,DGA,500,386,386,185.220207253886,151,163.420645045141,168.866027370583,201.574387137189,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,rayleigh_style_sens_neg46_04,40,post_clue_steps_to_find,CBAA,500,385,385,158.680519480519,121,135.83487700966,145.069207206611,172.291831754428,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,rayleigh_style_sens_neg46_04,40,post_clue_steps_to_find,ACBBA,500,385,385,149.062337662338,108,126.458537588002,136.390579990781,161.734095333894,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,rayleigh_style_sens_neg46_04,40,post_clue_steps_to_find,PI,500,385,385,154.901298701299,121,135.130918862724,141.360526441683,168.442070960914,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,rayleigh_style_sens_neg46_04,40,post_clue_steps_to_find,HIPC,500,385,385,166.74025974026,133,143.196179770879,152.391309292478,181.089210188041,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,rayleigh_style_sens_neg46_04,40,post_clue_steps_to_find,DMCHBA,500,385,385,142.397402597403,122,112.879547220637,131.086325498638,153.708479696167,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,rayleigh_style_sens_neg46_04,40,post_clue_steps_to_find,DGA,500,385,385,171.041558441558,135,146.841142685097,156.327365063946,185.755751819171,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,rayleigh_style_sens_neg49_17,30,post_clue_steps_to_find,CBAA,500,386,386,153.878238341969,121,127.665098376111,141.102263904433,166.654212779505,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,rayleigh_style_sens_neg49_17,30,post_clue_steps_to_find,ACBBA,500,386,386,140.49481865285,108,121.023883975703,128.383458009475,152.606179296224,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,rayleigh_style_sens_neg49_17,30,post_clue_steps_to_find,PI,500,386,386,148.414507772021,113.5,128.042907568472,135.600724405926,161.228291138115,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,rayleigh_style_sens_neg49_17,30,post_clue_steps_to_find,HIPC,500,386,386,148.09585492228,116.5,125.061849149306,135.58039840232,160.611311442239,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,rayleigh_style_sens_neg49_17,30,post_clue_steps_to_find,DMCHBA,500,386,386,144.411917098446,125,111.67198610659,133.236439555762,155.587394641129,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,rayleigh_style_sens_neg49_17,30,post_clue_steps_to_find,DGA,500,386,386,174.075129533679,137,141.794939015829,159.88512350007,188.265135567288,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,rayleigh_style_sens_neg52_15,20,post_clue_steps_to_find,CBAA,500,386,386,140.880829015544,105.5,117.469095334864,129.125210774626,152.636447256462,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,rayleigh_style_sens_neg52_15,20,post_clue_steps_to_find,ACBBA,500,386,386,131.841968911917,108,105.315473636509,121.302613863656,142.381323960179,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,rayleigh_style_sens_neg52_15,20,post_clue_steps_to_find,PI,500,386,386,143.103626943005,113.5,118.298059121889,131.265050867195,154.942203018816,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,rayleigh_style_sens_neg52_15,20,post_clue_steps_to_find,HIPC,500,386,386,136.626943005181,112.5,112.022426787487,125.416395414082,147.83749059628,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,rayleigh_style_sens_neg52_15,20,post_clue_steps_to_find,DMCHBA,500,386,386,137.466321243523,121,100.984916736361,127.360342936128,147.572299550919,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,rayleigh_style_sens_neg52_15,20,post_clue_steps_to_find,DGA,500,386,386,165.220207253886,130,133.603175582286,151.849984869501,178.590429638271,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,rayleigh_style_sens_neg56_04,10,post_clue_steps_to_find,CBAA,500,385,385,137.161038961039,111,107.917865367994,126.347146404175,147.974931517903,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,rayleigh_style_sens_neg56_04,10,post_clue_steps_to_find,ACBBA,500,385,385,130.727272727273,105,104.566918909869,120.24916122796,141.205384226585,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean
