mission,scenario,comm_model,comm_label,degradation_pct,metric,algorithm,attempted_trial_n,six_way_paired_n,eligible_n,mean,median,sd,ci95_low,ci95_high,source_column,scope,ci_method,panel_model
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_4,40,total_team_steps,HIPC,500,386,386,273.062176165803,226,189.777439764488,254.070362819064,292.053989512542,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_4,40,total_team_steps,DMCHBA,500,386,386,235.10621761658,208.5,150.357622562142,220.059308423879,250.153126809282,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_4,40,total_team_steps,DGA,500,386,386,266.782383419689,217.5,185.474286523974,248.22120441625,285.343562423128,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_5,50,total_team_steps,CBAA,500,386,386,293.204663212435,245,202.236731744037,272.9659969837,313.44332944117,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_5,50,total_team_steps,ACBBA,500,386,386,271.865284974093,235.5,183.254056809641,253.526293541389,290.204276406797,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_5,50,total_team_steps,PI,500,386,386,288.681347150259,234.5,212.869997554751,267.378566030977,309.984128269541,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_5,50,total_team_steps,HIPC,500,386,386,293.860103626943,255,210.07104825091,272.837424941393,314.882782312493,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_5,50,total_team_steps,DMCHBA,500,386,386,237.085492227979,202,155.379871155843,221.535985845691,252.634998610267,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_5,50,total_team_steps,DGA,500,386,386,278.163212435233,216.5,200.043428516186,258.144039132358,298.182385738108,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_6,60,total_team_steps,CBAA,500,386,386,284.396373056995,232,205.898060485004,263.791302517316,305.001443596673,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_6,60,total_team_steps,ACBBA,500,386,386,279.626943005181,227.5,200.533744155232,259.558701788284,299.695184222079,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_6,60,total_team_steps,PI,500,386,386,292.914507772021,242,219.261405862195,270.972111987537,314.856903556505,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_6,60,total_team_steps,HIPC,500,386,386,290.386010362694,240,213.834803846916,268.986677087164,311.785343638225,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_6,60,total_team_steps,DMCHBA,500,386,386,237.911917098446,196,161.776782284064,221.72224536092,254.101588835971,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_6,60,total_team_steps,DGA,500,386,386,277.103626943005,221,201.340416358809,256.954658702172,297.252595183838,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_7,70,total_team_steps,CBAA,500,385,385,291.644155844156,229,217.92294993342,269.807221262295,313.481090426017,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_7,70,total_team_steps,ACBBA,500,385,385,292.293506493506,228,224.199454505208,269.827635768028,314.759377218985,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_7,70,total_team_steps,PI,500,385,385,298.153246753247,241,226.235979989424,275.483306315117,320.823187191377,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_7,70,total_team_steps,HIPC,500,385,385,296.020779220779,230,229.01588505771,273.072278836859,318.9692796047,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_7,70,total_team_steps,DMCHBA,500,385,385,256.602597402597,219,173.736646649661,239.193344322462,274.011850482732,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_7,70,total_team_steps,DGA,500,385,385,290.654545454545,227,217.748355897839,268.835106040287,312.473984868804,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,ideal,ideal_1_0,0,total_team_steps,CBAA,500,385,385,196.52987012987,173,112.273010662225,185.279570930595,207.780169329145,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,gilbert_elliott
Clue-Informed Probabilistic Search (CLIPS),CLIPS,ideal,ideal_1_0,0,total_team_steps,ACBBA,500,385,385,198.285714285714,173,114.104057171931,186.851935361789,209.719493209639,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,gilbert_elliott
Clue-Informed Probabilistic Search (CLIPS),CLIPS,ideal,ideal_1_0,0,total_team_steps,PI,500,385,385,200.031168831169,184,112.957721925686,188.712258248503,211.350079413835,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,gilbert_elliott
Clue-Informed Probabilistic Search (CLIPS),CLIPS,ideal,ideal_1_0,0,total_team_steps,HIPC,500,385,385,192.251948051948,179,105.714342898077,181.658859114161,202.845036989735,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,gilbert_elliott
Clue-Informed Probabilistic Search (CLIPS),CLIPS,ideal,ideal_1_0,0,total_team_steps,DMCHBA,500,385,385,195.114285714286,184,103.598571361266,184.733207327262,205.495364101309,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,gilbert_elliott
Clue-Informed Probabilistic Search (CLIPS),CLIPS,ideal,ideal_1_0,0,total_team_steps,DGA,500,385,385,217.202597402597,202,124.81150576931,204.695880292809,229.709314512386,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,gilbert_elliott
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,gilbert_elliott_drop_0_05_rho_0_8,5,total_team_steps,CBAA,500,385,385,213.044155844156,194,128.314374776759,200.186434301893,225.901877386419,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,gilbert_elliott
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,gilbert_elliott_drop_0_05_rho_0_8,5,total_team_steps,ACBBA,500,385,385,206.716883116883,188,119.974412856491,194.69486613407,218.738900099696,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,gilbert_elliott
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,gilbert_elliott_drop_0_05_rho_0_8,5,total_team_steps,PI,500,385,385,209.303896103896,190,124.428646765214,196.835543319797,221.772248887995,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,gilbert_elliott
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,gilbert_elliott_drop_0_05_rho_0_8,5,total_team_steps,HIPC,500,385,385,209.703896103896,186,121.211594477684,197.557907533253,221.84988467454,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,gilbert_elliott
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,gilbert_elliott_drop_0_05_rho_0_8,5,total_team_steps,DMCHBA,500,385,385,199.555844155844,192,107.391212509919,188.794724764966,210.316963546722,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,gilbert_elliott
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,gilbert_elliott_drop_0_05_rho_0_8,5,total_team_steps,DGA,500,385,385,224.363636363636,202,130.600088243624,211.276875266503,237.45039746077,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,gilbert_elliott
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,gilbert_elliott_drop_0_10_rho_0_8,10,total_team_steps,CBAA,500,385,385,222.838961038961,204,135.736321590493,209.237524495175,236.440397582747,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,gilbert_elliott
