mission,scenario,comm_model,comm_label,degradation_pct,metric_max_steps,algorithm,attempted_trial_n_max_steps,six_way_paired_n_max_steps,eligible_n_max_steps,mean_max_steps,median_max_steps,sd_max_steps,ci95_low_max_steps,ci95_high_max_steps,source_column_max_steps,scope_max_steps,ci_method_max_steps,metric_message_rate,attempted_trial_n_message_rate,six_way_paired_n_message_rate,eligible_n_message_rate,mean_message_rate,median_message_rate,sd_message_rate,ci95_low_message_rate,ci95_high_message_rate,source_column_message_rate,scope_message_rate,ci_method_message_rate,panel_model
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_3,30,max_agent_steps,PI,500,386,386,68.5025906735751,60,45.8949816855866,63.9096900273953,73.095491319755,max_steps_any_robot (CLIPS/FGS) or max_robot_steps (CV),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,team_messages_per_step,500,386,386,3.41719955210294,3.58549298789431,0.535866186030438,3.36357320643957,3.4708258977663,messages_sent_total / total_team_steps (publications per team step),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_3,30,max_agent_steps,HIPC,500,386,386,68.2849740932643,60,44.2470823119018,63.8569855533815,72.712962633147,max_steps_any_robot (CLIPS/FGS) or max_robot_steps (CV),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,team_messages_per_step,500,386,386,4.32567551222829,4.59957548911037,0.888342405247569,4.23677541341048,4.41457561104611,messages_sent_total / total_team_steps (publications per team step),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_3,30,max_agent_steps,DMCHBA,500,386,386,58.660621761658,52,36.1697491975685,55.0409653556539,62.2802781676622,max_steps_any_robot (CLIPS/FGS) or max_robot_steps (CV),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,team_messages_per_step,500,386,386,2.06678955625713,2.05050505050505,0.0503529363260908,2.06175052965127,2.07182858286299,messages_sent_total / total_team_steps (publications per team step),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_3,30,max_agent_steps,DGA,500,386,386,66.4715025906736,55,45.2586846520936,61.9422788204605,71.0007263608866,max_steps_any_robot (CLIPS/FGS) or max_robot_steps (CV),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,team_messages_per_step,500,386,386,2.94868300310686,2.83943957968476,0.495071743078854,2.89913912608193,2.99822688013179,messages_sent_total / total_team_steps (publications per team step),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_4,40,max_agent_steps,CBAA,500,386,386,70.2538860103627,58,48.2584793483544,65.4244603772695,75.0833116434559,max_steps_any_robot (CLIPS/FGS) or max_robot_steps (CV),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,team_messages_per_step,500,386,386,4.07866587640137,4.32775530954747,0.921290671855856,3.98646850826482,4.17086324453792,messages_sent_total / total_team_steps (publications per team step),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_4,40,max_agent_steps,ACBBA,500,386,386,66.3031088082902,59,44.8804917059155,61.811732370467,70.7944852461133,max_steps_any_robot (CLIPS/FGS) or max_robot_steps (CV),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,team_messages_per_step,500,386,386,10.4197294447774,11.1006696865475,3.66268799512708,10.0531891076482,10.7862697819067,messages_sent_total / total_team_steps (publications per team step),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_4,40,max_agent_steps,PI,500,386,386,70.2461139896373,57.5,48.1193219061102,65.4306144173667,75.0616135619079,max_steps_any_robot (CLIPS/FGS) or max_robot_steps (CV),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,team_messages_per_step,500,386,386,3.38326589387734,3.5107057890563,0.539517365318459,3.32927415960077,3.43725762815391,messages_sent_total / total_team_steps (publications per team step),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_4,40,max_agent_steps,HIPC,500,386,386,69.6813471502591,58,48.1840035345967,64.8593746198923,74.5033196806258,max_steps_any_robot (CLIPS/FGS) or max_robot_steps (CV),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,team_messages_per_step,500,386,386,4.24635578921057,4.47888553962307,0.942252424872904,4.15206069174848,4.34065088667266,messages_sent_total / total_team_steps (publications per team step),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_4,40,max_agent_steps,DMCHBA,500,386,386,59.759067357513,53,38.0110234613916,55.9551470201265,63.5629876948995,max_steps_any_robot (CLIPS/FGS) or max_robot_steps (CV),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,team_messages_per_step,500,386,386,2.0626424445207,2.04989626556017,0.0416400265361806,2.05847535483549,2.06680953420591,messages_sent_total / total_team_steps (publications per team step),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_4,40,max_agent_steps,DGA,500,386,386,67.8341968911917,56,47.0095151628566,63.1297602700547,72.5386335123287,max_steps_any_robot (CLIPS/FGS) or max_robot_steps (CV),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,team_messages_per_step,500,386,386,2.91270174511076,2.84715851172273,0.43335617474507,2.86933400027434,2.95606948994718,messages_sent_total / total_team_steps (publications per team step),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
