mission,scenario,comm_model,metric,algorithm,total_trial_count,eligible_n,mean,median,sd,ci95_low,ci95_high,wilcoxon_nonzero_n,wilcoxon_w_positive,wilcoxon_w_negative,wilcoxon_p_two_sided,rank_biserial,log_offset_c,units,source_column,eligibility_rule,ci_method,wilcoxon_method
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,max_agent_steps,CBAA,500,383,0.413675849443182,0.403074512921942,0.776757051035206,0.33563678130959,0.491714917576775,357,52259,11644,2.30529834530243e-25,0.635572664820118,0,percent metric change per +1 percentage point degradation,max_steps_any_robot (CLIPS/FGS) or max_robot_steps (CV),common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,total_team_steps,DGA,500,383,0.293131446199803,0.304330426193911,0.979059584114461,0.194767488653839,0.391495403745767,383,50237,23299,5.21682786174879e-10,0.366323977371628,0,percent metric change per +1 percentage point degradation,total_team_steps,common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_messages_per_step,CBAA,500,383,-0.577561628343664,-0.564531378241517,0.349617751782437,-0.612686952942522,-0.542436303744807,383,622,72914,2.08196055334859e-62,-0.983083115752829,0,percent metric change per +1 percentage point degradation,messages_sent_total / total_team_steps (publications per team step),common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_messages_per_step,ACBBA,500,383,-0.887312767025638,-0.884131939122512,0.575094447421935,-0.945091238049234,-0.829534296002042,383,1247,72289,2.48508044689262e-60,-0.966084638816362,0,percent metric change per +1 percentage point degradation,messages_sent_total / total_team_steps (publications per team step),common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_messages_per_step,PI,500,383,-0.166398839667898,-0.142912567010522,0.202515608620878,-0.186745136310095,-0.146052543025701,383,8214,65322,1.29734198352265e-39,-0.776599216710183,0,percent metric change per +1 percentage point degradation,messages_sent_total / total_team_steps (publications per team step),common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_messages_per_step,HIPC,500,383,-0.20065015945352,-0.162344060731068,0.295133321881844,-0.230301553520861,-0.170998765386178,383,10978,62558,1.24773268473295e-32,-0.701425152306353,0,percent metric change per +1 percentage point degradation,messages_sent_total / total_team_steps (publications per team step),common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_messages_per_step,DMCHBA,500,383,-0.0140757536555553,-0.0113142670872146,0.0241371574331018,-0.0165007606393512,-0.0116507466717594,383,10168,63368,1.32548844241402e-34,-0.723455178416014,0,percent metric change per +1 percentage point degradation,messages_sent_total / total_team_steps (publications per team step),common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_messages_per_step,DGA,500,383,-0.243076857113049,-0.227158971750319,0.177475473232723,-0.260907426567413,-0.225246287658685,383,1437,72099,1.04611670571427e-59,-0.960917101827676,0,percent metric change per +1 percentage point degradation,messages_sent_total / total_team_steps (publications per team step),common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,max_agent_messages,CBAA,500,383,-0.0687853977669038,0.000564567384442327,0.949298720441676,-0.164159346963694,0.0265885514298866,383,36019,37517,0.729905800649773,-0.0203709747606614,0,percent metric change per +1 percentage point degradation,max_messages_any_robot or max(robot_performance.messages_sent),common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,max_agent_messages,ACBBA,500,383,-0.234694571103037,-0.157948434144095,1.08160688650328,-0.343361229998634,-0.126027912207439,383,27554,45982,2.13969998494254e-05,-0.250598346388164,0,percent metric change per +1 percentage point degradation,max_messages_any_robot or max(robot_performance.messages_sent),common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,max_agent_messages,PI,500,383,0.358878614974922,0.364503461484222,0.922386255445019,0.266208501793161,0.451548728156683,379,52982,19028,1.79627670143588e-15,0.471517844743786,0,percent metric change per +1 percentage point degradation,max_messages_any_robot or max(robot_performance.messages_sent),common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,max_agent_messages,HIPC,500,383,0.330810400651131,0.315897668182763,0.954527039014622,0.234911173815992,0.42670962748627,379,52344,19666,1.92246107507998e-14,0.4537980835995,0,percent metric change per +1 percentage point degradation,max_messages_any_robot or max(robot_performance.messages_sent),common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,max_agent_messages,DMCHBA,500,383,0.229909026016375,0.216703253647688,0.738676628746421,0.155695813941109,0.304122238091642,363,46640,19426,1.03804397352487e-11,0.411921411921412,0,percent metric change per +1 percentage point degradation,max_messages_any_robot or max(robot_performance.messages_sent),common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,max_agent_messages,DGA,500,383,0.104605433090997,0.140034308233328,0.924347611326447,0.0117382668087059,0.197472599373287,383,42657,30879,0.00660536372181134,0.160166449086162,0,percent metric change per +1 percentage point degradation,max_messages_any_robot or max(robot_performance.messages_sent),common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,messages_per_unique_cell,CBAA,500,383,-0.214135472732823,-0.151539979307613,0.533623141826255,-0.267747413129298,-0.160523532336348,383,21622,51914,2.8289975397027e-12,-0.411934290687554,0,percent metric change per +1 percentage point degradation,messages_per_unique_cell or messages_sent_total / unique_cells_visited,common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,messages_per_unique_cell,ACBBA,500,383,-0.511015728794402,-0.49614268114353,0.750012218578787,-0.586367802584645,-0.435663655004158,383,12258,61278,1.23703551754747e-29,-0.66661227154047,0,percent metric change per +1 percentage point degradation,messages_per_unique_cell or messages_sent_total / unique_cells_visited,common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,messages_per_unique_cell,PI,500,383,0.226312260225163,0.191989311723328,0.479774534819877,0.178110370636041,0.274514149814285,383,54316,19220,5.77809809824141e-16,0.477262837249782,0,percent metric change per +1 percentage point degradation,messages_per_unique_cell or messages_sent_total / unique_cells_visited,common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,messages_per_unique_cell,HIPC,500,383,0.177369171178086,0.168275251069661,0.551254365680375,0.121985860598622,0.23275248175755,383,49730,23806,2.2508804294253e-09,0.352534812880766,0,percent metric change per +1 percentage point degradation,messages_per_unique_cell or messages_sent_total / unique_cells_visited,common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,messages_per_unique_cell,DMCHBA,500,383,0.191883969481822,0.144880287101357,0.227103690643061,0.169067362456672,0.214700576506971,383,65853,7683,4.91087859757065e-41,0.791041122715405,0,percent metric change per +1 percentage point degradation,messages_per_unique_cell or messages_sent_total / unique_cells_visited,common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,messages_per_unique_cell,DGA,500,383,-0.0472988039020469,-0.0429177411043202,0.347447203292458,-0.0822060582802726,-0.0123915495238212,383,31097,42439,0.00890818852963662,-0.154237380330722,0,percent metric change per +1 percentage point degradation,messages_per_unique_cell or messages_sent_total / unique_cells_visited,common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,unique_cell_contribution_gini,CBAA,500,383,0.0512875778843456,0.0497006210047113,0.0524270277055505,0.0460203500147015,0.0565548057539897,382,67172,5981,1.45519528908431e-45,0.836479706915643,1,percent metric change per +1 percentage point degradation,workload_gini_unique_cells_contributed,common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,unique_cell_contribution_gini,ACBBA,500,383,0.0552228336553255,0.0492681770876358,0.0499482135063611,0.0502046467823782,0.0602410205282728,383,70255,3281,8.04206466693339e-54,0.910764795474326,1,percent metric change per +1 percentage point degradation,workload_gini_unique_cells_contributed,common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,unique_cell_contribution_gini,PI,500,383,0.0543889942265677,0.0502247355343544,0.0505881948656354,0.0493065098376415,0.0594714786154939,383,69619,3917,7.29140106960905e-52,0.893467145343777,1,percent metric change per +1 percentage point degradation,workload_gini_unique_cells_contributed,common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,unique_cell_contribution_gini,HIPC,500,383,0.0541274025198903,0.0502480907321523,0.0538621284044246,0.0487159932474913,0.0595388117922893,380,67281,5109,1.07330562207684e-47,0.858847907169499,1,percent metric change per +1 percentage point degradation,workload_gini_unique_cells_contributed,common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,unique_cell_contribution_gini,DMCHBA,500,383,0.0438047283683696,0.0375643440442941,0.0446946551590404,0.0393143549182473,0.0482951018184919,382,68357,4796,5.06861499810801e-49,0.868877557994887,1,percent metric change per +1 percentage point degradation,workload_gini_unique_cells_contributed,common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,unique_cell_contribution_gini,DGA,500,383,0.0127991361747903,0.0126816877588753,0.0415301652311246,0.00862669204988438,0.0169715802996962,383,49421,24115,5.3451647637913e-09,0.344130765883377,1,percent metric change per +1 percentage point degradation,workload_gini_unique_cells_contributed,common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,CBAA,500,383,0.224028816722151,0.22795255894914,1.09132049664458,0.114386252834601,0.333671380609702,365,41536,25259,5.47447950973028e-05,0.24368590463358,1,percent metric change per +1 percentage point degradation,task_cell_replans_total,common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,ACBBA,500,383,-0.00621758207366542,0,1.13291375547746,-0.120038928961166,0.107603764813835,372,34352,35026,0.871196633187826,-0.00971489521173859,1,percent metric change per +1 percentage point degradation,task_cell_replans_total,common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,PI,500,383,1.18119711879594,1.14962181569198,1.18986197108879,1.06165431025932,1.30073992733256,350,57469,3956,2.67400002898058e-45,0.871192511192511,1,percent metric change per +1 percentage point degradation,task_cell_replans_total,common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,HIPC,500,383,1.11815784779201,0.993065733195442,1.14176322407564,1.00344741430792,1.2328682812761,344,56343,2997,2.50284503143611e-47,0.898988877654196,1,percent metric change per +1 percentage point degradation,task_cell_replans_total,common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,DMCHBA,500,383,0.692022814424565,0.595052885619363,0.689096257706415,0.62279083290076,0.76125479594837,309,46606,1289,4.13346049307702e-47,0.946173922121307,1,percent metric change per +1 percentage point degradation,task_cell_replans_total,common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,DGA,500,383,-0.18982282387767,-0.10973896972013,1.17270506414555,-0.307641915805444,-0.0720037319498957,381,29979,42792,0.00290061842102706,-0.176072886177186,1,percent metric change per +1 percentage point degradation,task_cell_replans_total,common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_path_replans,CBAA,500,383,1.13635373894461,1.07027209136579,1.53237011256372,0.982399892679725,1.2903075852095,348,52558,8168,3.16293835279294e-32,0.730988374007838,1,percent metric change per +1 percentage point degradation,path_replans_total,common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_path_replans,ACBBA,500,383,1.86180643171654,1.78098902213635,1.52220967887206,1.70887338182045,2.01473948161264,361,63602,1739,8.6265451513179e-55,0.94677155231784,1,percent metric change per +1 percentage point degradation,path_replans_total,common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_path_replans,PI,500,383,1.7626886151586,1.69965517025401,1.50160740935313,1.61182542985215,1.91355180046505,355,61228,1962,6.12710097163311e-53,0.937901566703592,1,percent metric change per +1 percentage point degradation,path_replans_total,common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_path_replans,HIPC,500,383,1.45528972173309,1.41842851097289,1.50301736904397,1.30428488088553,1.60629456258066,339,54337,3293,2.37434937313479e-45,0.885719243449592,1,percent metric change per +1 percentage point degradation,path_replans_total,common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_path_replans,DMCHBA,500,383,1.04349297696207,0.911789744879421,1.14350216177266,0.928607836242002,1.15837811768215,334,52093,3852,1.81868605160727e-42,0.862293323800161,1,percent metric change per +1 percentage point degradation,path_replans_total,common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_path_replans,DGA,500,383,0.341170716290189,0.326898035506629,1.51419403772109,0.189042980185686,0.493298452394692,378,45279,26352,8.52129332781811e-06,0.264229174519412,1,percent metric change per +1 percentage point degradation,path_replans_total,common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,system_cell_revisits,CBAA,500,383,1.41428018807301,1.66889311762743,2.01507532874032,1.21183001312537,1.61673036302064,366,56799,10362,2.01975872596867e-30,0.691428060928217,1,percent metric change per +1 percentage point degradation,system_revisits,common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,system_cell_revisits,ACBBA,500,383,1.72122831637375,1.87814504215136,2.04566184132099,1.51570518195175,1.92675145079574,375,62469,8031,2.1150426487869e-38,0.772170212765957,1,percent metric change per +1 percentage point degradation,system_revisits,common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,system_cell_revisits,PI,500,383,1.60932513654479,1.79023261597266,2.01880061355233,1.40650069044651,1.81214958264307,372,60705,8673,4.78713773493093e-36,0.749978379313327,1,percent metric change per +1 percentage point degradation,system_revisits,common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,system_cell_revisits,HIPC,500,383,1.53174554910609,1.80449706334043,2.02620117680737,1.32817758473615,1.73531351347604,370,59236,9399,1.00827603701815e-33,0.726116412908866,1,percent metric change per +1 percentage point degradation,system_revisits,common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,system_cell_revisits,DMCHBA,500,383,1.14162551618883,1.27698883792735,1.82082728987448,0.95869101338046,1.3245600189972,365,54949,11846,1.2115385141249e-26,0.645302792125159,1,percent metric change per +1 percentage point degradation,system_revisits,common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,system_cell_revisits,DGA,500,383,0.843467484056836,1.04765834361638,2.28362795454827,0.614036418964783,1.07289854914889,383,52201,21335,1.09228180396297e-12,0.41973999129678,1,percent metric change per +1 percentage point degradation,system_revisits,common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,post_clue_steps_to_find,CBAA,500,383,0.552537378483367,0.602682588130277,1.15143310723579,0.436855433160703,0.66821932380603,382,57734,15419,1.1585452340434e-22,0.578445176547783,1,percent metric change per +1 percentage point degradation,post_clue_steps_to_find,common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,post_clue_steps_to_find,ACBBA,500,383,0.578260914557374,0.617743430422912,1.19468647525925,0.458233398724997,0.698288430389751,383,56874,16662,1.79626272243581e-20,0.546834203655353,1,percent metric change per +1 percentage point degradation,post_clue_steps_to_find,common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
