trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,target_x,target_y,clue_locations,first_clue_robot,first_clue_x,first_clue_y,robot_start_locations,robot_end_locations,clues_detected_by_robot,target_found_by_robot,trial_status
10,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,6,220.0,192.666667,pi_g34_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,4,22,"(3,9);(12,29);(12,14);(5,22)",02,12,14,"00:(0,0);01:(0,7);02:(0,13);03:(0,20);04:(0,26);05:(0,33)","00:(11,3);01:(11,9);02:(14,1);03:(4,22);04:(17,0);05:(3,27)",00:0;01:0;02:1;03:1;04:0;05:1,03,completed
11,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,6,220.0,192.666667,pi_g34_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,24,14,"(20,14);(3,3);(29,11);(3,22)",02,20,14,"00:(0,0);01:(0,7);02:(0,13);03:(0,20);04:(0,26);05:(0,33)","00:(15,12);01:(14,13);02:(21,8);03:(24,14);04:(15,15);05:(9,27)",00:0;01:0;02:1;03:0;04:0;05:0,03,completed
12,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,6,220.0,192.666667,pi_g34_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,19,32,"(21,28);(2,31);(30,30);(2,23)",04,21,28,"00:(0,0);01:(0,7);02:(0,13);03:(0,20);04:(0,26);05:(0,33)","00:(26,4);01:(29,10);02:(28,16);03:(21,22);04:(19,32);05:(13,32)",00:0;01:0;02:0;03:0;04:2;05:1,04,completed
13,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,6,220.0,192.666667,pi_g34_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,33,26,"(3,14);(26,33);(23,29);(17,8)",02,3,14,"00:(0,0);01:(0,7);02:(0,13);03:(0,20);04:(0,26);05:(0,33)","00:(33,30);01:(30,33);02:(33,32);03:(33,29);04:(29,33);05:(33,26)",00:1;01:2;02:2;03:0;04:0;05:0,05,completed
14,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,6,220.0,192.666667,pi_g34_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,5,33,"(14,32);(8,6);(4,33);(9,0)",05,4,33,"00:(0,0);01:(0,7);02:(0,13);03:(0,20);04:(0,26);05:(0,33)","00:(4,0);01:(2,9);02:(2,15);03:(4,20);04:(4,26);05:(5,33)",00:0;01:0;02:0;03:0;04:0;05:1,05,completed
15,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,6,220.0,192.666667,pi_g34_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,31,21,"(29,24);(7,24);(27,21);(28,29)",,,,"00:(0,0);01:(0,7);02:(0,13);03:(0,20);04:(0,26);05:(0,33)","00:(32,1);01:(33,9);02:(33,15);03:(31,21);04:(31,27);05:(33,31)",00:0;01:0;02:0;03:0;04:0;05:0,03,completed
16,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,6,220.0,192.666667,pi_g34_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,6,24,"(16,20);(27,23);(6,26);(9,10)",04,6,26,"00:(0,0);01:(0,7);02:(0,13);03:(0,20);04:(0,26);05:(0,33)","00:(6,4);01:(4,12);02:(4,18);03:(6,24);04:(7,26);05:(6,30)",00:0;01:0;02:0;03:0;04:1;05:0,03,completed
17,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,6,220.0,192.666667,pi_g34_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,7,21,"(2,15);(8,27);(27,32);(5,29)",04,8,27,"00:(0,0);01:(0,7);02:(0,13);03:(0,20);04:(0,26);05:(0,33)","00:(6,7);01:(6,13);02:(7,21);03:(7,24);04:(6,29);05:(12,28)",00:0;01:0;02:0;03:0;04:1;05:0,02,completed
18,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,6,220.0,192.666667,pi_g34_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,29,0,"(32,7);(33,24);(33,1);(17,20)",03,17,20,"00:(0,0);01:(0,7);02:(0,13);03:(0,20);04:(0,26);05:(0,33)","00:(31,18);01:(29,0);02:(32,30);03:(32,27);04:(31,24);05:(32,25)",00:0;01:0;02:0;03:1;04:0;05:0,01,completed
19,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,6,220.0,192.666667,pi_g34_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,14,20,"(13,20);(15,8);(14,23);(19,33)",03,13,20,"00:(0,0);01:(0,7);02:(0,13);03:(0,20);04:(0,26);05:(0,33)","00:(12,4);01:(11,11);02:(13,15);03:(14,20);04:(13,23);05:(12,29)",00:0;01:0;02:0;03:1;04:0;05:0,03,completed
20,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,6,220.0,192.666667,pi_g34_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,26,1,"(15,4);(19,5);(14,1);(27,7)",,,,"00:(0,0);01:(0,7);02:(0,13);03:(0,20);04:(0,26);05:(0,33)","00:(26,1);01:(28,9);02:(28,15);03:(26,21);04:(27,27);05:(30,29)",00:0;01:0;02:0;03:0;04:0;05:0,00,completed
21,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,6,220.0,192.666667,pi_g34_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,14,8,"(2,7);(21,7);(14,20);(23,25)",03,14,20,"00:(0,0);01:(0,7);02:(0,13);03:(0,20);04:(0,26);05:(0,33)","00:(14,8);01:(14,13);02:(12,19);03:(14,18);04:(13,21);05:(13,27)",00:0;01:0;02:0;03:1;04:0;05:0,00,completed
22,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,6,220.0,192.666667,pi_g34_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,26,18,"(30,21);(19,32);(27,25);(27,16)",03,30,21,"00:(0,0);01:(0,7);02:(0,13);03:(0,20);04:(0,26);05:(0,33)","00:(0,7);01:(33,13);02:(11,18);03:(2,21);04:(26,18);05:(6,22)",00:0;01:0;02:0;03:1;04:1;05:0,04,completed
23,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,6,220.0,192.666667,pi_g34_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,2,11,"(23,18);(23,22);(18,29);(1,16)",05,18,29,"00:(0,0);01:(0,7);02:(0,13);03:(0,20);04:(0,26);05:(0,33)","00:(2,11);01:(19,5);02:(14,13);03:(0,13);04:(9,15);05:(22,4)",00:0;01:0;02:2;03:1;04:0;05:1,00,completed
24,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,6,220.0,192.666667,pi_g34_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,1,9,"(22,2);(26,22);(14,20);(29,19)",03,14,20,"00:(0,0);01:(0,7);02:(0,13);03:(0,20);04:(0,26);05:(0,33)","00:(1,9);01:(2,10);02:(28,14);03:(28,17);04:(4,11);05:(28,23)",00:0;01:0;02:0;03:2;04:0;05:1,00,completed
25,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,6,220.0,192.666667,pi_g34_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,15,13,"(17,19);(13,19);(15,22);(21,5)",03,15,22,"00:(0,0);01:(0,7);02:(0,13);03:(0,20);04:(0,26);05:(0,33)","00:(14,7);01:(15,13);02:(14,19);03:(14,23);04:(15,24);05:(15,31)",00:0;01:0;02:1;03:1;04:0;05:0,01,completed
26,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,6,220.0,192.666667,pi_g34_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,32,32,"(28,32);(32,3);(32,9);(20,27)",01,32,9,"00:(0,0);01:(0,7);02:(0,13);03:(0,20);04:(0,26);05:(0,33)","00:(23,7);01:(13,9);02:(23,19);03:(33,22);04:(30,31);05:(32,32)",00:1;01:1;02:0;03:0;04:2;05:0,05,completed
27,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,6,220.0,192.666667,pi_g34_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,14,28,"(15,27);(3,16);(14,31);(17,12)",04,15,27,"00:(0,0);01:(0,7);02:(0,13);03:(0,20);04:(0,26);05:(0,33)","00:(15,2);01:(15,9);02:(15,16);03:(15,23);04:(14,28);05:(16,29)",00:0;01:0;02:0;03:0;04:1;05:0,04,completed
28,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,6,220.0,192.666667,pi_g34_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,13,28,"(22,28);(29,33);(15,28);(19,6)",05,29,33,"00:(0,0);01:(0,7);02:(0,13);03:(0,20);04:(0,26);05:(0,33)","00:(7,6);01:(31,26);02:(26,28);03:(16,29);04:(20,30);05:(13,28)",00:0;01:0;02:0;03:0;04:0;05:1,05,completed
29,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,6,220.0,192.666667,pi_g34_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,4,29,"(24,27);(10,23);(21,15);(10,30)",04,24,27,"00:(0,0);01:(0,7);02:(0,13);03:(0,20);04:(0,26);05:(0,33)","00:(6,6);01:(7,12);02:(2,28);03:(0,25);04:(4,29);05:(16,30)",00:0;01:0;02:0;03:0;04:1;05:0,04,completed
30,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,6,220.0,192.666667,pi_g34_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,5,18,"(20,18);(14,19);(10,18);(22,27)",04,22,27,"00:(0,0);01:(0,7);02:(0,13);03:(0,20);04:(0,26);05:(0,33)","00:(12,2);01:(5,18);02:(24,11);03:(21,16);04:(19,16);05:(9,17)",00:0;01:0;02:0;03:2;04:1;05:1,01,completed
31,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,6,220.0,192.666667,pi_g34_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,20,16,"(30,8);(16,1);(14,6);(22,15)",01,30,8,"00:(0,0);01:(0,7);02:(0,13);03:(0,20);04:(0,26);05:(0,33)","00:(0,4);01:(0,8);02:(29,2);03:(32,11);04:(18,11);05:(20,16)",00:1;01:1;02:1;03:0;04:1;05:0,05,completed
32,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,6,220.0,192.666667,pi_g34_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,11,33,"(22,23);(1,24);(20,20);(15,10)",,,,"00:(0,0);01:(0,7);02:(0,13);03:(0,20);04:(0,26);05:(0,33)","00:(10,0);01:(9,8);02:(9,14);03:(11,20);04:(10,26);05:(11,33)",00:0;01:0;02:0;03:0;04:0;05:0,05,completed
33,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,6,220.0,192.666667,pi_g34_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,17,11,"(12,11);(6,8);(20,13);(31,6)",01,6,8,"00:(0,0);01:(0,7);02:(0,13);03:(0,20);04:(0,26);05:(0,33)","00:(16,27);01:(17,11);02:(14,31);03:(13,30);04:(15,27);05:(11,30)",00:1;01:1;02:1;03:0;04:0;05:0,01,completed
34,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,6,220.0,192.666667,pi_g34_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,27,6,"(17,17);(25,9);(20,10);(10,2)",01,25,9,"00:(0,0);01:(0,7);02:(0,13);03:(0,20);04:(0,26);05:(0,33)","00:(27,6);01:(19,9);02:(29,12);03:(3,21);04:(3,27);05:(7,28)",00:0;01:1;02:0;03:0;04:0;05:0,00,completed
35,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,6,220.0,192.666667,pi_g34_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,29,2,"(28,5);(16,23);(18,17);(18,9)",01,18,9,"00:(0,0);01:(0,7);02:(0,13);03:(0,20);04:(0,26);05:(0,33)","00:(29,2);01:(21,18);02:(31,3);03:(32,19);04:(26,30);05:(32,28)",00:1;01:2;02:0;03:1;04:0;05:0,00,completed
36,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,6,220.0,192.666667,pi_g34_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,17,13,"(12,14);(14,7);(18,10);(23,18)",02,12,14,"00:(0,0);01:(0,7);02:(0,13);03:(0,20);04:(0,26);05:(0,33)","00:(11,7);01:(17,13);02:(10,15);03:(17,14);04:(12,18);05:(10,27)",00:0;01:0;02:1;03:0;04:0;05:0,01,completed
37,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,6,220.0,192.666667,pi_g34_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,15,4,"(33,3);(12,12);(3,18);(15,3)",00,33,3,"00:(0,0);01:(0,7);02:(0,13);03:(0,20);04:(0,26);05:(0,33)","00:(15,4);01:(24,4);02:(10,17);03:(9,23);04:(11,24);05:(9,31)",00:2;01:0;02:0;03:0;04:0;05:0,00,completed
38,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,6,220.0,192.666667,pi_g34_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,31,30,"(11,20);(9,23);(13,4);(32,29)",03,11,20,"00:(0,0);01:(0,7);02:(0,13);03:(0,20);04:(0,26);05:(0,33)","00:(29,18);01:(30,24);02:(31,30);03:(31,32);04:(29,14);05:(29,19)",00:1;01:0;02:0;03:2;04:0;05:0,02,completed
39,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,6,220.0,192.666667,pi_g34_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,14,2,"(13,16);(17,31);(14,3);(30,8)",01,30,8,"00:(0,0);01:(0,7);02:(0,13);03:(0,20);04:(0,26);05:(0,33)","00:(14,2);01:(3,2);02:(27,10);03:(29,3);04:(22,15);05:(22,22)",00:1;01:1;02:0;03:0;04:0;05:0,00,completed
40,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,6,220.0,192.666667,pi_g34_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,32,4,"(15,3);(33,2);(32,2);(5,6)",00,32,2,"00:(0,0);01:(0,7);02:(0,13);03:(0,20);04:(0,26);05:(0,33)","00:(32,4);01:(33,11);02:(33,17);03:(29,23);04:(33,25);05:(32,31)",00:2;01:0;02:0;03:0;04:0;05:0,00,completed
41,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,6,220.0,192.666667,pi_g34_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,2,11,"(2,7);(15,7);(22,14);(7,33)",05,7,33,"00:(0,0);01:(0,7);02:(0,13);03:(0,20);04:(0,26);05:(0,33)","00:(24,25);01:(26,16);02:(19,17);03:(23,26);04:(18,16);05:(2,11)",00:0;01:1;02:1;03:1;04:0;05:2,05,completed
