trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status,stage,environment,algorithm_key,commitment_horizon,dga_iterations,comm_label,out_dir,run_id
28,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,186,9,177,167,20,0,0,0,377,0,0,187,190,377,0,359,0,0.0,2.2574850299401197,2.0282485875706215,0.0,0.0,0.0,clue:4;collision_intent:186;state:186;target:1,186,377,0.0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
29,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,87,80,7,88,0,0,0,0,177,0,0,88,89,177,0,17,0,0.0,2.0113636363636362,2.4285714285714284,0.0,0.0,0.0,clue:2;collision_intent:87;state:87;target:1,87,177,0.0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
30,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,25,25,0,26,0,0,0,0,51,0,0,26,25,51,0,0,0,0.0,1.9615384615384615,0.0,0.0,0.0,0.0,collision_intent:25;state:25;target:1,25,51,0.0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
31,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,124,30,94,123,2,0,0,0,252,0,0,125,127,252,0,192,0,0.0,2.048780487804878,2.0425531914893615,0.0,0.0,0.0,clue:3;collision_intent:124;state:124;target:1,124,252,0.0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
32,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,154,57,97,144,11,0,0,0,312,0,0,155,157,312,0,198,0,0.0,2.1666666666666665,2.0412371134020617,0.0,0.0,0.0,clue:3;collision_intent:154;state:154;target:1,154,312,0.0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
33,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,66,65,1,67,0,0,0,0,134,0,0,67,67,134,0,4,0,0.0,2.0,4.0,0.0,0.0,0.0,clue:1;collision_intent:66;state:66;target:1,66,134,0.0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
34,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,144,46,98,138,7,0,0,0,292,0,0,145,147,292,0,200,0,0.0,2.1159420289855073,2.0408163265306123,0.0,0.0,0.0,clue:3;collision_intent:144;state:144;target:1,144,292,0.0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
35,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,160,37,123,150,11,0,0,0,323,0,0,161,162,323,0,249,0,0.0,2.1533333333333333,2.024390243902439,0.0,0.0,0.0,clue:2;collision_intent:160;state:160;target:1,160,323,0.0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
36,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,203,45,158,184,20,0,0,0,411,0,0,204,207,411,0,321,0,0.0,2.233695652173913,2.0316455696202533,0.0,0.0,0.0,clue:4;collision_intent:203;state:203;target:1,203,411,0.0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
37,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,46,2,44,45,2,0,0,0,96,0,0,47,49,96,0,92,0,0.0,2.1333333333333333,2.090909090909091,0.0,0.0,0.0,clue:3;collision_intent:46;state:46;target:1,46,96,0.0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
38,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,74,18,56,75,0,0,0,0,153,0,0,75,78,153,0,117,0,0.0,2.04,2.0892857142857144,0.0,0.0,0.0,clue:4;collision_intent:74;state:74;target:1,74,153,0.0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
39,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,199,5,194,190,10,0,0,0,403,0,0,200,203,403,0,393,0,0.0,2.1210526315789475,2.0257731958762886,0.0,0.0,0.0,clue:4;collision_intent:199;state:199;target:1,199,403,0.0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
