trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,benchmark_suite,num_targets,num_robots,commitment_horizon
0,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,59.148064066343714,59.148064066343714,3,3,3,115,34,103,16,10,3,3,331,0,634,1803,96,124,510,243,391,0.06286836935166994,63.4,39.1,acbba_entry:391;collision_intent:124;state:119,0.10000000000000009,0.14320388349514568,known_visit_core_500,10,4,8
41,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,40.18553044139765,40.18553044139765,2,2,2,85,24,81,8,7,0,0,217,0,602,1718,85,92,510,181,421,0.05566470203012443,60.2,42.1,acbba_entry:421;collision_intent:92;state:89,0.30000000000000004,0.10185185185185186,known_visit_core_500,10,4,8
42,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,64.0691411819013,64.0691411819013,2,2,2,102,37,92,14,10,0,0,383,0,596,1727,58,108,488,214,382,0.03969883641341547,59.6,38.2,acbba_entry:382;collision_intent:108;state:106,0.3500000000000001,0.09239130434782616,known_visit_core_500,10,4,8
43,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,48.748395457537015,48.748395457537015,2,2,2,76,29,76,4,7,0,0,293,0,501,1436,64,80,421,160,341,0.050793650793650794,50.1,34.1,acbba_entry:341;collision_intent:80;state:80,0.25,0.2171052631578947,known_visit_core_500,10,4,8
44,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,59.079680616509236,59.079680616509236,1,1,1,69,34,70,3,6,0,0,390,0,418,1189,62,77,341,150,268,0.060784313725490195,41.8,26.8,acbba_entry:268;collision_intent:77;state:73,0.5,0.37857142857142856,known_visit_core_500,10,4,8
45,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,80.47864821190264,80.47864821190264,0,0,0,61,35,65,0,0,0,0,567,0,301,872,29,66,235,131,170,0.041251778093883355,30.1,17.0,acbba_entry:170;collision_intent:66;state:65,0.44999999999999996,0.3730769230769231,known_visit_core_500,10,4,8
46,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,56.95380010488268,56.95380010488268,2,2,2,90,30,90,4,6,3,3,347,0,560,1605,73,99,461,193,367,0.05286024619840695,56.0,36.7,acbba_entry:367;collision_intent:99;state:94,0.25,0.2055555555555555,known_visit_core_500,10,4,8
47,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,54.41427135789072,54.41427135789072,0,0,0,76,32,80,0,10,0,0,339,0,638,1837,74,85,553,165,473,0.04468599033816425,63.8,47.3,acbba_entry:473;collision_intent:85;state:80,0.3999999999999999,0.2250000000000001,known_visit_core_500,10,4,8
48,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,50.53769375402898,50.53769375402898,1,1,1,97,29,97,4,3,15,1,270,0,541,1565,55,102,439,203,338,0.04185692541856925,54.1,33.8,acbba_entry:338;collision_intent:102;state:101,0.3999999999999999,0.11082474226804129,known_visit_core_500,10,4,8
49,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,48.722083878529936,48.722083878529936,0,0,0,66,25,69,1,4,0,0,307,0,327,933,45,74,253,144,183,0.05952380952380952,32.7,18.3,acbba_entry:183;collision_intent:74;state:70,0.3500000000000001,0.23550724637681153,known_visit_core_500,10,4,8
50,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,53.370819390873194,53.370819390873194,0,0,0,75,31,79,0,12,0,0,332,0,511,1461,69,82,429,161,350,0.053738317757009345,51.1,35.0,acbba_entry:350;collision_intent:82;state:79,0.1499999999999999,0.231012658227848,known_visit_core_500,10,4,8
51,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,64.75408700889083,64.75408700889083,0,0,0,77,26,81,0,3,2,1,416,0,370,1055,52,85,285,166,204,0.06103286384976526,37.0,20.4,acbba_entry:204;collision_intent:85;state:81,0.10000000000000009,0.1635802469135803,known_visit_core_500,10,4,8
52,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,56.464781540523525,56.464781540523525,0,0,0,88,28,91,1,11,2,2,341,0,642,1839,84,98,544,190,452,0.05156537753222836,64.2,45.2,acbba_entry:452;collision_intent:98;state:92,0.30000000000000004,0.06868131868131866,known_visit_core_500,10,4,8
53,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,46.05186702927928,46.05186702927928,1,1,1,83,27,83,4,2,0,0,271,0,423,1230,36,87,336,174,249,0.03582089552238806,42.3,24.9,acbba_entry:249;collision_intent:87;state:87,0.10000000000000009,0.1837349397590362,known_visit_core_500,10,4,8
54,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,77.2062457214587,77.2062457214587,1,1,1,78,45,77,5,1,0,0,520,0,348,1003,38,82,266,164,184,0.04779874213836478,34.8,18.4,acbba_entry:184;collision_intent:82;state:82,0.6000000000000001,0.47077922077922074,known_visit_core_500,10,4,8
55,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,55.103791756843776,55.103791756843776,1,1,1,92,32,88,8,7,6,1,323,0,598,1732,59,99,499,195,403,0.039491298527443104,59.8,40.3,acbba_entry:403;collision_intent:99;state:96,0.25,0.20454545454545459,known_visit_core_500,10,4,8
56,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,63.37754527537772,63.37754527537772,1,1,1,93,26,93,4,9,3,1,381,0,577,1650,78,108,469,205,372,0.05555555555555555,57.7,37.2,acbba_entry:372;collision_intent:108;state:97,0.1499999999999999,0.06182795698924726,known_visit_core_500,10,4,8
57,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,49.866314529165436,49.866314529165436,0,0,0,55,29,59,0,4,0,0,333,0,353,1013,45,59,294,118,235,0.0510783200908059,35.3,23.5,acbba_entry:235;collision_intent:59;state:59,0.25,0.2838983050847457,known_visit_core_500,10,4,8
58,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,43.16464446595645,43.16464446595645,0,0,0,58,25,62,0,6,0,0,272,0,348,1011,30,64,284,126,222,0.0353356890459364,34.8,22.2,acbba_entry:222;collision_intent:64;state:62,0.3500000000000001,0.25806451612903225,known_visit_core_500,10,4,8
59,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,34.02659163440732,34.02659163440732,1,1,1,68,20,70,2,6,0,0,187,0,456,1310,55,72,384,144,312,0.047867711053089644,45.6,31.2,acbba_entry:312;collision_intent:72;state:72,0.25,0.08571428571428563,known_visit_core_500,10,4,8
60,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,54.23831713878151,54.23831713878151,1,1,1,99,28,98,5,10,0,0,306,0,616,1774,71,104,512,207,409,0.046314416177429873,61.6,40.9,acbba_entry:409;collision_intent:104;state:103,0.25,0.05102040816326525,known_visit_core_500,10,4,8
61,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,58.18796018078203,58.18796018078203,0,0,0,81,33,84,1,10,0,0,360,0,541,1542,78,93,448,178,363,0.058165548098434,54.1,36.3,acbba_entry:363;collision_intent:93;state:85,0.30000000000000004,0.17261904761904767,known_visit_core_500,10,4,8
62,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,74.37652334129407,74.37652334129407,1,1,1,73,43,72,5,2,0,0,503,0,382,1090,53,77,305,154,228,0.0581140350877193,38.2,22.8,acbba_entry:228;collision_intent:77;state:77,0.6000000000000001,0.4305555555555556,known_visit_core_500,10,4,8
63,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,48.04194483335527,48.04194483335527,1,1,1,97,28,94,7,9,0,0,260,0,547,1578,60,103,444,204,343,0.045146726862302484,54.7,34.3,acbba_entry:343;collision_intent:103;state:101,0.25,0.09042553191489366,known_visit_core_500,10,4,8
64,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,52.602440115448054,52.602440115448054,0,0,0,70,30,74,0,21,0,0,336,0,606,1719,97,74,532,148,458,0.06085319949811794,60.6,45.8,acbba_entry:458;collision_intent:74;state:74,0.10000000000000009,0.18243243243243246,known_visit_core_500,10,4,8
65,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,52.38886392442539,52.38886392442539,0,0,0,85,28,83,6,9,0,0,309,0,450,1291,56,96,354,185,265,0.05288007554296506,45.0,26.5,acbba_entry:265;collision_intent:96;state:89,0.1499999999999999,0.1475903614457832,known_visit_core_500,10,4,8
66,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,55.598857550654195,55.598857550654195,1,1,1,68,33,71,1,7,3,1,359,0,523,1496,70,76,447,148,375,0.052316890881913304,52.3,37.5,acbba_entry:375;collision_intent:76;state:72,0.44999999999999996,0.28521126760563376,known_visit_core_500,10,4,8
