trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,benchmark_suite,num_targets,num_robots,commitment_horizon
0,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,36.961299855234195,36.961299855234195,1,1,1,82,22,78,8,9,0,0,192,0,388,899,264,85,303,171,217,0.2907488986784141,38.8,21.7,collision_intent:85;dga_entry:217;state:86,0.1499999999999999,0.07692307692307687,known_visit_core_500,10,4,8
11,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,35.153964822135954,35.153964822135954,0,0,0,73,21,75,2,0,0,0,186,0,306,716,200,77,229,154,152,0.291970802919708,30.6,15.2,collision_intent:77;dga_entry:152;state:77,0.1499999999999999,0.06333333333333324,known_visit_core_500,10,4,8
12,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,68.79102486619136,68.79102486619136,5,5,5,147,40,138,13,5,0,0,355,0,473,1114,299,149,324,300,173,0.30856553147574817,47.3,17.3,collision_intent:149;dga_entry:173;state:151,0.30000000000000004,0.10144927536231885,known_visit_core_500,10,4,8
13,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,32.0742444097439,32.0742444097439,0,0,0,70,19,74,0,4,0,0,167,0,304,696,213,72,232,146,158,0.30735930735930733,30.4,15.8,collision_intent:72;dga_entry:158;state:74,0.1499999999999999,0.054054054054053946,known_visit_core_500,10,4,8
14,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,43.813058919055315,43.813058919055315,2,2,2,87,26,88,3,5,2,2,244,0,388,878,283,90,298,181,207,0.3176206509539843,38.8,20.7,collision_intent:90;dga_entry:207;state:91,0.10000000000000009,0.11363636363636354,known_visit_core_500,10,4,8
15,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,39.01502249821289,39.01502249821289,0,0,0,75,23,79,0,3,0,0,216,0,324,765,205,78,246,157,167,0.27853260869565216,32.4,16.7,collision_intent:78;dga_entry:167;state:79,0.10000000000000009,0.12341772151898733,known_visit_core_500,10,4,8
16,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,41.43687165574536,41.43687165574536,2,2,2,78,24,68,14,7,0,0,235,0,361,815,267,82,279,164,197,0.319377990430622,36.1,19.7,collision_intent:82;dga_entry:197;state:82,0.25,0.125,known_visit_core_500,10,4,8
17,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,43.84024534956997,43.84024534956997,1,1,1,98,26,99,3,5,0,0,227,0,354,831,230,101,253,203,151,0.3034300791556728,35.4,15.1,collision_intent:101;dga_entry:151;state:102,0.25,0.05303030303030298,known_visit_core_500,10,4,8
18,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,31.136850325607003,31.136850325607003,0,0,0,60,19,64,0,1,0,0,175,0,237,545,164,62,175,126,111,0.3135755258126195,23.7,11.1,collision_intent:62;dga_entry:111;state:64,0.1499999999999999,0.125,known_visit_core_500,10,4,8
19,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,45.90810708094058,45.90810708094058,2,2,2,90,27,85,9,2,0,0,251,0,382,879,266,93,289,187,195,0.3071593533487298,38.2,19.5,collision_intent:93;dga_entry:195;state:94,0.10000000000000009,0.038235294117647145,known_visit_core_500,10,4,8
20,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,30.50005358304878,30.50005358304878,0,0,0,71,18,75,0,4,0,0,159,0,278,640,192,72,206,147,131,0.3116883116883117,27.8,13.1,collision_intent:72;dga_entry:131;state:75,0.3500000000000001,0.010000000000000009,known_visit_core_500,10,4,8
21,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,39.41059579894323,39.41059579894323,1,1,1,90,23,85,9,11,0,0,205,0,394,918,264,92,302,186,208,0.2913907284768212,39.4,20.8,collision_intent:92;dga_entry:208;state:94,0.3999999999999999,0.09117647058823519,known_visit_core_500,10,4,8
22,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,44.857748001983566,44.857748001983566,0,0,0,89,26,91,2,8,0,0,246,0,370,848,259,92,278,185,185,0.31167268351383876,37.0,18.5,collision_intent:92;dga_entry:185;state:93,0.1499999999999999,0.04670329670329676,known_visit_core_500,10,4,8
23,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,38.43628139667283,38.43628139667283,0,0,0,80,23,83,1,3,0,0,208,0,288,676,186,82,206,166,122,0.30194805194805197,28.8,12.2,collision_intent:82;dga_entry:122;state:84,0.1499999999999999,0.09337349397590367,known_visit_core_500,10,4,8
24,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,36.84364174600705,36.84364174600705,1,1,1,85,22,88,1,2,0,0,190,0,335,786,216,87,248,176,159,0.291497975708502,33.5,15.9,collision_intent:87;dga_entry:159;state:89,0.10000000000000009,0.02840909090909083,known_visit_core_500,10,4,8
25,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,34.67081577207317,34.67081577207317,2,2,2,59,21,59,4,3,0,0,204,0,280,630,208,62,218,125,155,0.31901840490797545,28.0,15.5,collision_intent:62;dga_entry:155;state:63,0.1499999999999999,0.17372881355932202,known_visit_core_500,10,4,8
26,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,36.635056671978376,36.635056671978376,0,0,0,84,22,88,0,5,0,0,192,0,350,803,245,86,264,174,176,0.310126582278481,35.0,17.6,collision_intent:86;dga_entry:176;state:88,0.3500000000000001,0.02840909090909083,known_visit_core_500,10,4,8
27,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,28.87732960468996,28.87732960468996,0,0,0,45,17,49,0,4,0,0,179,0,344,797,233,47,297,96,248,0.26209223847019125,34.4,24.8,collision_intent:47;dga_entry:248;state:49,0.55,0.27040816326530615,known_visit_core_500,10,4,8
28,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,39.15567228329691,39.15567228329691,0,0,0,79,23,81,2,4,0,0,215,0,322,743,222,82,240,165,157,0.3087621696801113,32.2,15.7,collision_intent:82;dga_entry:157;state:83,0.10000000000000009,0.10185185185185186,known_visit_core_500,10,4,8
29,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,37.16290409763162,37.16290409763162,1,1,1,72,22,71,5,1,1,1,210,0,297,685,205,77,220,153,144,0.3110773899848255,29.7,14.4,collision_intent:77;dga_entry:144;state:76,0.25,0.130281690140845,known_visit_core_500,10,4,8
30,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,41.16656519879774,41.16656519879774,2,2,2,70,24,70,4,2,3,2,237,0,290,672,198,75,215,149,141,0.30697674418604654,29.0,14.1,collision_intent:75;dga_entry:141;state:74,0.30000000000000004,0.19285714285714284,known_visit_core_500,10,4,8
31,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,48.32180682842309,48.32180682842309,1,1,1,96,28,96,4,4,1,1,266,0,313,765,171,100,213,200,113,0.2688679245283019,31.3,11.3,collision_intent:100;dga_entry:113;state:100,0.25,0.10416666666666674,known_visit_core_500,10,4,8
32,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,37.254427342192216,37.254427342192216,0,0,0,79,22,83,0,2,0,0,199,0,351,789,258,80,271,163,188,0.31970260223048325,35.1,18.8,collision_intent:80;dga_entry:188;state:83,0.25,0.05722891566265065,known_visit_core_500,10,4,8
33,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,36.748315461932336,36.748315461932336,1,1,1,78,22,78,4,7,0,0,200,0,343,793,235,80,263,162,181,0.2982233502538071,34.3,18.1,collision_intent:80;dga_entry:181;state:82,0.10000000000000009,0.05128205128205132,known_visit_core_500,10,4,8
34,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,34.13973358497604,34.13973358497604,2,2,2,60,20,59,5,4,0,0,203,0,268,629,173,65,203,129,139,0.28500823723228996,26.8,13.9,collision_intent:65;dga_entry:139;state:64,0.1499999999999999,0.17372881355932202,known_visit_core_500,10,4,8
35,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,42.66841441040199,42.66841441040199,1,1,1,80,26,83,1,5,0,0,243,0,374,862,257,82,292,166,208,0.2943871706758305,37.4,20.8,collision_intent:82;dga_entry:208;state:84,0.30000000000000004,0.1837349397590362,known_visit_core_500,10,4,8
36,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,43.73939439488295,43.73939439488295,0,0,0,76,26,80,0,3,0,0,254,0,305,707,207,79,226,159,146,0.30576070901033975,30.5,14.6,collision_intent:79;dga_entry:146;state:80,0.1499999999999999,0.15625,known_visit_core_500,10,4,8
37,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,34.1922469554352,34.1922469554352,0,0,0,65,21,69,0,5,0,0,195,0,312,700,234,67,245,136,176,0.31923601637107774,31.2,17.6,collision_intent:67;dga_entry:176;state:69,0.1499999999999999,0.13405797101449268,known_visit_core_500,10,4,8
38,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,34.10952266896646,34.10952266896646,0,0,0,71,20,75,0,3,0,0,184,0,291,691,179,72,219,147,144,0.27370030581039756,29.1,14.4,collision_intent:72;dga_entry:144;state:75,0.25,0.09000000000000008,known_visit_core_500,10,4,8
39,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,32.63312626952455,32.63312626952455,0,0,0,77,20,81,0,0,0,0,166,0,293,673,203,78,215,159,134,0.3161993769470405,29.3,13.4,collision_intent:78;dga_entry:134;state:81,0.25,0.021604938271605034,known_visit_core_500,10,4,8
40,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,55.17980822377394,55.17980822377394,0,0,0,116,33,120,0,8,1,1,295,0,406,949,266,118,288,238,168,0.3089430894308943,40.6,16.8,collision_intent:118;dga_entry:168;state:120,0.10000000000000009,0.08749999999999991,known_visit_core_500,10,4,8
41,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,33.24101716105142,33.24101716105142,1,1,1,77,20,80,1,1,0,0,169,0,298,714,179,78,220,159,139,0.2716236722306525,29.8,13.9,collision_intent:78;dga_entry:139;state:81,0.10000000000000009,0.018750000000000044,known_visit_core_500,10,4,8
42,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,45.87356964869399,45.87356964869399,1,1,1,79,27,80,3,1,15,1,240,0,313,725,213,82,231,165,148,0.3078034682080925,31.3,14.8,collision_intent:82;dga_entry:148;state:83,0.3999999999999999,0.1499999999999999,known_visit_core_500,10,4,8
43,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,48.749986428430105,48.749986428430105,3,3,3,94,29,93,5,7,2,1,263,0,390,905,263,98,292,196,194,0.3009153318077803,39.0,19.4,collision_intent:98;dga_entry:194;state:98,0.1499999999999999,0.163978494623656,known_visit_core_500,10,4,8
44,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,43.732596994309255,43.732596994309255,0,0,0,88,26,91,1,5,0,0,240,0,405,894,318,90,315,182,223,0.3375796178343949,40.5,22.3,collision_intent:90;dga_entry:223;state:92,0.25,0.09065934065934056,known_visit_core_500,10,4,8
45,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,33.51331270191382,33.51331270191382,0,0,0,64,20,68,0,3,0,0,189,0,291,654,216,66,225,134,157,0.32142857142857145,29.1,15.7,collision_intent:66;dga_entry:157;state:68,0.25,0.16176470588235303,known_visit_core_500,10,4,8
46,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,42.60955545322069,42.60955545322069,2,2,2,88,25,87,5,3,0,0,232,0,303,719,187,90,213,182,121,0.2940251572327044,30.3,12.1,collision_intent:90;dga_entry:121;state:92,0.25,0.08333333333333326,known_visit_core_500,10,4,8
47,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,40.357509109352634,40.357509109352634,2,2,2,91,24,90,5,6,5,1,208,0,401,940,261,97,304,192,209,0.2868131868131868,40.1,20.9,collision_intent:97;dga_entry:209;state:95,0.30000000000000004,0.05555555555555558,known_visit_core_500,10,4,8
48,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,38.70796557785313,38.70796557785313,0,0,0,84,23,85,3,8,2,2,212,0,385,927,225,88,297,176,209,0.2533783783783784,38.5,20.9,collision_intent:88;dga_entry:209;state:88,0.25,0.09117647058823519,known_visit_core_500,10,4,8
49,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,35.20037119315462,35.20037119315462,1,1,1,81,21,84,1,2,0,0,180,0,268,611,191,82,186,167,101,0.3435251798561151,26.8,10.1,collision_intent:82;dga_entry:101;state:85,0.10000000000000009,0.017857142857142794,known_visit_core_500,10,4,8
50,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,32.202513126193864,32.202513126193864,1,1,1,65,19,62,7,2,0,0,176,0,277,639,191,68,209,137,140,0.305111821086262,27.7,14.0,collision_intent:68;dga_entry:140;state:69,0.30000000000000004,0.12903225806451624,known_visit_core_500,10,4,8
51,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,40.110507940685984,40.110507940685984,1,1,1,82,24,82,4,5,1,1,220,0,327,769,210,88,239,174,153,0.2937062937062937,32.7,15.3,collision_intent:88;dga_entry:153;state:86,0.10000000000000009,0.10365853658536595,known_visit_core_500,10,4,8
52,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,38.01088802042333,38.01088802042333,0,0,0,87,22,81,10,4,2,1,195,0,295,688,194,90,205,181,114,0.31699346405228757,29.5,11.4,collision_intent:90;dga_entry:114;state:91,0.1499999999999999,0.08950617283950613,known_visit_core_500,10,4,8
53,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,46.65469506381676,46.65469506381676,2,2,2,91,27,89,6,4,4,2,258,0,388,932,228,93,295,188,200,0.25879682179341656,38.8,20.0,collision_intent:93;dga_entry:200;state:95,0.25,0.1601123595505618,known_visit_core_500,10,4,8
54,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,39.64466595198301,39.64466595198301,0,0,0,71,24,75,0,1,0,0,230,0,289,662,202,72,217,147,142,0.3117283950617284,28.9,14.2,collision_intent:72;dga_entry:142;state:75,0.30000000000000004,0.22999999999999998,known_visit_core_500,10,4,8
55,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,39.163986715800405,39.163986715800405,3,3,3,75,23,76,3,8,0,0,220,0,348,808,236,76,272,155,193,0.28921568627450983,34.8,19.3,collision_intent:76;dga_entry:193;state:79,0.30000000000000004,0.17105263157894735,known_visit_core_500,10,4,8
56,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,39.095737104272686,39.095737104272686,1,1,1,83,23,82,5,3,0,0,209,0,323,747,219,85,238,172,151,0.3080168776371308,32.3,15.1,collision_intent:85;dga_entry:151;state:87,0.1499999999999999,0.04878048780487809,known_visit_core_500,10,4,8
57,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,32.170704631922234,32.170704631922234,0,0,0,67,19,70,1,2,0,0,178,0,262,601,182,68,194,139,123,0.3143350604490501,26.2,12.3,collision_intent:68;dga_entry:123;state:71,0.10000000000000009,0.10000000000000009,known_visit_core_500,10,4,8
58,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,31.619068923298943,31.619068923298943,0,0,0,72,19,76,0,8,0,0,163,0,350,814,233,74,276,150,200,0.2824242424242424,35.0,20.0,collision_intent:74;dga_entry:200;state:76,0.30000000000000004,0.026315789473684292,known_visit_core_500,10,4,8
59,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,32.59346485136593,32.59346485136593,1,1,1,62,20,65,1,2,0,0,187,0,307,715,204,63,244,129,178,0.27945205479452057,30.7,17.8,collision_intent:63;dga_entry:178;state:66,0.25,0.18846153846153846,known_visit_core_500,10,4,8
60,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,36.37137863626536,36.37137863626536,0,0,0,72,22,76,0,7,0,0,197,0,361,827,253,74,287,150,211,0.2948717948717949,36.1,21.1,collision_intent:74;dga_entry:211;state:76,0.30000000000000004,0.13815789473684204,known_visit_core_500,10,4,8
61,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,35.75324942775565,35.75324942775565,2,2,2,82,21,78,8,1,0,0,186,0,227,544,133,84,143,170,57,0.3107476635514019,22.7,5.7,collision_intent:84;dga_entry:57;state:86,0.25,0.0641025641025641,known_visit_core_500,10,4,8
62,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,40.67175475165853,40.67175475165853,2,2,2,89,24,89,4,2,0,0,214,0,286,671,185,91,195,184,102,0.31732418524871353,28.6,10.2,collision_intent:91;dga_entry:102;state:93,0.30000000000000004,0.0589887640449438,known_visit_core_500,10,4,8
63,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,40.1646134240159,40.1646134240159,1,1,1,91,24,93,2,3,1,1,209,0,332,789,205,95,237,190,142,0.28913963328631875,33.2,14.2,collision_intent:95;dga_entry:142;state:95,0.1499999999999999,0.034946236559139754,known_visit_core_500,10,4,8
64,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,41.7893439532449,41.7893439532449,1,1,1,84,25,84,4,13,12,1,221,0,435,985,317,87,348,175,260,0.3045148895292987,43.5,26.0,collision_intent:87;dga_entry:260;state:88,0.25,0.04166666666666674,known_visit_core_500,10,4,8
65,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,30.216704333702925,30.216704333702925,1,1,1,64,18,66,2,1,0,0,170,0,275,633,190,66,209,134,141,0.304,27.5,14.1,collision_intent:66;dga_entry:141;state:68,0.10000000000000009,0.06060606060606055,known_visit_core_500,10,4,8
66,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,45.99192554037868,45.99192554037868,3,3,3,103,27,101,6,11,3,3,239,0,484,1117,333,107,377,214,270,0.2949512843224092,48.4,27.0,collision_intent:107;dga_entry:270;state:107,0.44999999999999996,0.03712871287128716,known_visit_core_500,10,4,8
67,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,42.24694119256912,42.24694119256912,2,2,2,94,25,85,13,6,0,0,221,0,391,926,244,98,293,196,195,0.2785388127853881,39.1,19.5,collision_intent:98;dga_entry:195;state:98,0.3999999999999999,0.09117647058823519,known_visit_core_500,10,4,8
68,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,33.00081788661701,33.00081788661701,1,1,1,61,20,61,4,0,0,0,189,0,233,550,146,64,169,129,104,0.2896825396825397,23.3,10.4,collision_intent:64;dga_entry:104;state:65,0.10000000000000009,0.17622950819672134,known_visit_core_500,10,4,8
