scenario,grid_size,target_cells_per_robot,robot_count,comm_label,algorithm,mean_max_agent_steps,condition_rank,percent_above_condition_best,attempted_n,completed_n,eligible_n,failed_n
CLIPS,19,85,5,bernoulli_025,HIPC,40.96,6,25.4133496631966,50,50,50,0
CLIPS,19,85,5,bernoulli_025,DMCHBA,32.66,1,0,50,50,50,0
CLIPS,19,85,5,bernoulli_025,DGA,33.84,2,3.61298224127375,50,50,50,0
CLIPS,19,140,3,ideal,CBAA,53.56,3,5.89165678133651,50,50,50,0
CLIPS,19,140,3,ideal,ACBBA,50.58,1,0,50,50,50,0
CLIPS,19,140,3,ideal,PI,55.28,4,9.29221035982602,50,50,50,0
CLIPS,19,140,3,ideal,HIPC,57.04,5,12.7718465796758,50,50,50,0
CLIPS,19,140,3,ideal,DMCHBA,52.14,2,3.08422301304864,50,50,50,0
CLIPS,19,140,3,ideal,DGA,60.76,6,20.1265322261764,50,50,50,0
CLIPS,19,140,3,bernoulli_025,CBAA,62.96,3,16.248153618907,50,50,50,0
CLIPS,19,140,3,bernoulli_025,ACBBA,54.16,1,0,50,50,50,0
CLIPS,19,140,3,bernoulli_025,PI,62.28,2,14.9926144756278,50,50,50,0
CLIPS,19,140,3,bernoulli_025,HIPC,72.26,6,33.4194977843427,50,50,50,0
CLIPS,19,140,3,bernoulli_025,DMCHBA,63.22,4,16.7282127031019,50,50,50,0
CLIPS,19,140,3,bernoulli_025,DGA,67.54,5,24.7045790251108,50,50,50,0
CLIPS,19,220,2,ideal,CBAA,72.7,2,3.12056737588653,50,50,50,0
CLIPS,19,220,2,ideal,ACBBA,74.62,4,5.84397163120568,50,50,50,0
CLIPS,19,220,2,ideal,PI,72.74,3,3.177304964539,50,50,50,0
CLIPS,19,220,2,ideal,HIPC,70.5,1,0,50,50,50,0
CLIPS,19,220,2,ideal,DMCHBA,81.18,6,15.1489361702128,50,50,50,0
CLIPS,19,220,2,ideal,DGA,75.18,5,6.63829787234044,50,50,50,0
CLIPS,19,220,2,bernoulli_025,CBAA,82.2244897959184,4,3.67987647967065,50,50,49,0
CLIPS,19,220,2,bernoulli_025,ACBBA,79.3061224489796,1,0,50,50,49,0
CLIPS,19,220,2,bernoulli_025,PI,81.8163265306122,3,3.16520844055578,50,50,49,0
CLIPS,19,220,2,bernoulli_025,HIPC,79.3469387755102,2,0.0514668039114654,50,49,49,1
CLIPS,19,220,2,bernoulli_025,DMCHBA,84.6326530612245,6,6.71641791044777,50,50,49,0
CLIPS,19,220,2,bernoulli_025,DGA,83.9591836734694,5,5.8672156459084,50,50,49,0
CLIPS,25,50,13,ideal,CBAA,23.7,2,11.0590440487348,50,50,50,0
CLIPS,25,50,13,ideal,ACBBA,23.74,3,11.2464854732896,50,50,50,0
CLIPS,25,50,13,ideal,PI,24.22,4,13.4957825679475,50,50,50,0
CLIPS,25,50,13,ideal,HIPC,25.94,6,21.5557638238051,50,50,50,0
CLIPS,25,50,13,ideal,DMCHBA,21.34,1,0,50,50,50,0
CLIPS,25,50,13,ideal,DGA,25.26,5,18.369259606373,50,50,50,0
CLIPS,25,50,13,bernoulli_025,CBAA,33.5,6,41.1120471777591,50,50,50,0
CLIPS,25,50,13,bernoulli_025,ACBBA,27.92,3,17.6074136478517,50,50,50,0
CLIPS,25,50,13,bernoulli_025,PI,31.86,4,34.2038753159225,50,50,50,0
CLIPS,25,50,13,bernoulli_025,HIPC,33.2,5,39.8483572030329,50,50,50,0
CLIPS,25,50,13,bernoulli_025,DMCHBA,23.74,1,0,50,50,50,0
CLIPS,25,50,13,bernoulli_025,DGA,26.4,2,11.2047177759056,50,50,50,0
CLIPS,25,85,8,ideal,CBAA,29.82,1,0,50,50,50,0
CLIPS,25,85,8,ideal,ACBBA,31.52,2,5.700871898055,50,50,50,0
CLIPS,25,85,8,ideal,PI,31.82,4,6.70690811535882,50,50,50,0
CLIPS,25,85,8,ideal,HIPC,31.6,3,5.96914822266935,50,50,50,0
CLIPS,25,85,8,ideal,DMCHBA,33.12,5,11.066398390342,50,50,50,0
CLIPS,25,85,8,ideal,DGA,33.82,6,13.4138162307176,50,50,50,0
CLIPS,25,85,8,bernoulli_025,CBAA,46.12,6,23.1837606837607,50,50,50,0
CLIPS,25,85,8,bernoulli_025,ACBBA,37.44,1,0,50,50,50,0
CLIPS,25,85,8,bernoulli_025,PI,39.14,3,4.5405982905983,50,50,50,0
CLIPS,25,85,8,bernoulli_025,HIPC,43.42,5,15.9722222222222,50,50,50,0
CLIPS,25,85,8,bernoulli_025,DMCHBA,42.18,4,12.6602564102564,50,50,50,0
CLIPS,25,85,8,bernoulli_025,DGA,37.68,2,0.641025641025646,50,50,50,0
CLIPS,25,140,5,ideal,CBAA,50.16,2,2.03417412530513,50,50,50,0
CLIPS,25,140,5,ideal,ACBBA,50.46,3,2.64442636289667,50,50,50,0
CLIPS,25,140,5,ideal,PI,51.74,4,5.24816924328724,50,50,50,0
CLIPS,25,140,5,ideal,HIPC,49.16,1,0,50,50,50,0
CLIPS,25,140,5,ideal,DMCHBA,54.08,6,10.0081366965012,50,50,50,0
CLIPS,25,140,5,ideal,DGA,54.04,5,9.92676973148902,50,50,50,0
CLIPS,25,140,5,bernoulli_025,CBAA,66.0208333333333,3.5,24.5186640471513,50,48,48,2
CLIPS,25,140,5,bernoulli_025,ACBBA,58.875,2,11.0412573673871,50,50,48,0
