trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
20,known_visit,HIPC,ideal,1.0,25,625,3,10,hipc_g25_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(24,7);(10,3);(21,19);(8,3);(12,12);(22,21);(22,4);(16,12);(19,12);(13,14)",10,True,52.694453064335804,52.694453064335804,00:4;01:4;02:2,"(0,0);(0,12);(0,24)","(24,7);(19,12);(21,19)",209,0,completed
21,known_visit,HIPC,ideal,1.0,25,625,3,10,hipc_g25_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(1,6);(8,14);(14,12);(21,0);(2,0);(23,6);(6,20);(1,3);(6,1);(16,19)",10,True,73.81418126553166,73.81418126553166,00:6;01:3;02:1,"(0,0);(0,12);(0,24)","(23,6);(16,19);(6,12)",329,0,completed
22,known_visit,HIPC,ideal,1.0,25,625,3,10,hipc_g25_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(5,24);(13,19);(22,5);(17,23);(18,16);(6,6);(23,8);(12,8);(11,11);(1,5)",10,True,57.54311654503558,57.54311654503558,00:2;01:4;02:4,"(0,0);(0,12);(0,24)","(11,6);(22,5);(18,16)",240,0,completed
23,known_visit,HIPC,ideal,1.0,25,625,3,10,hipc_g25_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(7,9);(17,17);(21,11);(24,6);(7,15);(15,9);(18,0);(13,12);(12,23);(3,13)",10,True,63.757516205524176,63.757516205524176,00:3;01:5;02:2,"(0,0);(0,12);(0,24)","(21,11);(13,12);(17,17)",263,0,completed
24,known_visit,HIPC,ideal,1.0,25,625,3,10,hipc_g25_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(19,14);(14,3);(19,23);(22,23);(6,15);(18,24);(20,16);(2,16);(9,4);(4,16)",10,True,49.14707451989728,49.14707451989728,00:2;01:5;02:3,"(0,0);(0,12);(0,24)","(18,3);(20,16);(22,23)",196,0,completed
25,known_visit,HIPC,ideal,1.0,25,625,3,10,hipc_g25_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(12,11);(23,9);(9,19);(17,21);(21,8);(5,4);(21,11);(2,10);(18,22);(17,9)",10,True,58.782287987561986,58.782287987561986,00:1;01:6;02:3,"(0,0);(0,12);(0,24)","(18,9);(23,9);(18,22)",242,0,completed
26,known_visit,HIPC,ideal,1.0,25,625,3,10,hipc_g25_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(22,7);(4,6);(1,13);(7,8);(20,21);(13,6);(17,3);(14,1);(14,5);(14,13)",10,True,75.81688742269586,75.81688742269586,00:4;01:5;02:1,"(0,0);(0,12);(0,24)","(22,7);(14,1);(20,21)",332,0,completed
27,known_visit,HIPC,ideal,1.0,25,625,3,10,hipc_g25_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(3,4);(2,11);(21,7);(5,3);(3,19);(3,10);(20,8);(7,0);(4,19);(2,15)",10,True,65.20868261880659,65.20868261880659,00:5;01:3;02:2,"(0,0);(0,12);(0,24)","(21,7);(4,16);(5,19)",316,0,completed
28,known_visit,HIPC,ideal,1.0,25,625,3,10,hipc_g25_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(5,21);(20,18);(20,23);(23,3);(12,14);(20,19);(0,9);(4,4);(5,3);(13,8)",10,True,65.94917568932766,65.94917568932766,00:3;01:2;02:5,"(0,0);(0,12);(0,24)","(23,3);(21,16);(20,23)",266,0,completed
29,known_visit,HIPC,ideal,1.0,25,625,3,10,hipc_g25_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(20,20);(2,17);(23,18);(11,20);(1,21);(19,18);(10,19);(16,20);(8,16);(16,0)",10,True,52.28852784430084,52.28852784430084,00:1;01:5;02:4,"(0,0);(0,12);(0,24)","(19,0);(20,20);(23,18)",211,0,completed
30,known_visit,HIPC,ideal,1.0,25,625,3,10,hipc_g25_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(7,1);(19,11);(2,0);(23,14);(23,17);(19,13);(9,1);(13,4);(8,1);(24,11)",10,True,57.74355613979831,57.74355613979831,00:5;01:4;02:1,"(0,0);(0,12);(0,24)","(13,7);(24,11);(23,17)",241,0,completed
31,known_visit,HIPC,ideal,1.0,25,625,3,10,hipc_g25_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(1,1);(13,22);(10,8);(2,17);(3,23);(16,15);(19,20);(12,10);(2,3);(11,9)",10,True,39.08025693431569,39.08025693431569,00:5;01:2;02:3,"(0,0);(0,12);(0,24)","(12,10);(16,15);(19,20)",151,0,completed
32,known_visit,HIPC,ideal,1.0,25,625,3,10,hipc_g25_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(8,20);(13,4);(19,14);(18,4);(11,24);(15,8);(10,10);(12,5);(2,18);(24,19)",10,True,66.12805730744688,66.12805730744688,00:4;01:3;02:3,"(0,0);(0,12);(0,24)","(15,8);(10,10);(24,19)",268,0,completed
33,known_visit,HIPC,ideal,1.0,25,625,3,10,hipc_g25_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(4,3);(4,12);(23,0);(12,7);(3,14);(8,4);(20,8);(9,24);(23,6);(5,20)",10,True,66.15343636938739,66.15343636938739,00:6;01:2;02:2,"(0,0);(0,12);(0,24)","(23,0);(20,13);(9,24)",289,0,completed
34,known_visit,HIPC,ideal,1.0,25,625,3,10,hipc_g25_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(9,4);(12,5);(19,3);(8,0);(14,6);(17,10);(10,8);(20,10);(11,24);(3,3)",10,True,71.66665588060589,71.66665588060589,00:6;01:3;02:1,"(0,0);(0,12);(0,24)","(8,0);(20,10);(17,21)",315,0,completed
35,known_visit,HIPC,ideal,1.0,25,625,3,10,hipc_g25_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(8,20);(7,3);(14,16);(17,5);(9,24);(16,11);(14,8);(22,20);(17,7);(6,3)",10,True,61.33756022841739,61.33756022841739,00:4;01:2;02:4,"(0,0);(0,12);(0,24)","(17,7);(14,8);(22,20)",263,0,completed
