trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,target_x,target_y,clue_locations,first_clue_robot,first_clue_x,first_clue_y,robot_start_locations,robot_end_locations,clues_detected_by_robot,target_found_by_robot,trial_status,stage,environment,parameter,value,setting,algorithm_key,comm_label,out_dir,run_id,failure_type,failure_message
20,ACBBA,ideal,,19,361,4,,,acbba_h1_ideal,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(16,11);01:(17,13);02:(16,18);03:(18,18)",00:0;01:0;02:0;03:0,,completed,coverage_horizon,coverage,commitment_horizon,1,h1,acbba,ideal,coverage_sensitivity_test_results/horizon_results/raw/h1/ideal/acbba_h1_ideal,acbba_h1_ideal,,
21,ACBBA,ideal,,19,361,4,,,acbba_h1_ideal,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,0);01:(16,8);02:(17,6);03:(18,6)",00:0;01:0;02:0;03:0,,completed,coverage_horizon,coverage,commitment_horizon,1,h1,acbba,ideal,coverage_sensitivity_test_results/horizon_results/raw/h1/ideal/acbba_h1_ideal,acbba_h1_ideal,,
22,ACBBA,ideal,,19,361,4,,,acbba_h1_ideal,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,1);01:(15,1);02:(17,2);03:(18,18)",00:0;01:0;02:0;03:0,,completed,coverage_horizon,coverage,commitment_horizon,1,h1,acbba,ideal,coverage_sensitivity_test_results/horizon_results/raw/h1/ideal/acbba_h1_ideal,acbba_h1_ideal,,
23,ACBBA,ideal,,19,361,4,,,acbba_h1_ideal,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(15,8);01:(16,9);02:(17,12);03:(17,18)",00:0;01:0;02:0;03:0,,completed,coverage_horizon,coverage,commitment_horizon,1,h1,acbba,ideal,coverage_sensitivity_test_results/horizon_results/raw/h1/ideal/acbba_h1_ideal,acbba_h1_ideal,,
24,ACBBA,ideal,,19,361,4,,,acbba_h1_ideal,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(16,4);01:(18,18);02:(17,7);03:(17,16)",00:0;01:0;02:0;03:0,,completed,coverage_horizon,coverage,commitment_horizon,1,h1,acbba,ideal,coverage_sensitivity_test_results/horizon_results/raw/h1/ideal/acbba_h1_ideal,acbba_h1_ideal,,
25,ACBBA,ideal,,19,361,4,,,acbba_h1_ideal,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,6);01:(18,7);02:(18,18);03:(17,5)",00:0;01:0;02:0;03:0,,completed,coverage_horizon,coverage,commitment_horizon,1,h1,acbba,ideal,coverage_sensitivity_test_results/horizon_results/raw/h1/ideal/acbba_h1_ideal,acbba_h1_ideal,,
26,ACBBA,ideal,,19,361,4,,,acbba_h1_ideal,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(5,7);01:(1,16);02:(6,10);03:(17,15)",00:0;01:0;02:0;03:0,,completed,coverage_horizon,coverage,commitment_horizon,1,h1,acbba,ideal,coverage_sensitivity_test_results/horizon_results/raw/h1/ideal/acbba_h1_ideal,acbba_h1_ideal,,
27,ACBBA,ideal,,19,361,4,,,acbba_h1_ideal,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(15,8);01:(17,12);02:(15,7);03:(18,18)",00:0;01:0;02:0;03:0,,completed,coverage_horizon,coverage,commitment_horizon,1,h1,acbba,ideal,coverage_sensitivity_test_results/horizon_results/raw/h1/ideal/acbba_h1_ideal,acbba_h1_ideal,,
28,ACBBA,ideal,,19,361,4,,,acbba_h1_ideal,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(4,2);01:(3,0);02:(18,18);03:(17,16)",00:0;01:0;02:0;03:0,,completed,coverage_horizon,coverage,commitment_horizon,1,h1,acbba,ideal,coverage_sensitivity_test_results/horizon_results/raw/h1/ideal/acbba_h1_ideal,acbba_h1_ideal,,
29,ACBBA,ideal,,19,361,4,,,acbba_h1_ideal,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,4);01:(17,0);02:(17,6);03:(18,0)",00:0;01:0;02:0;03:0,,completed,coverage_horizon,coverage,commitment_horizon,1,h1,acbba,ideal,coverage_sensitivity_test_results/horizon_results/raw/h1/ideal/acbba_h1_ideal,acbba_h1_ideal,,
