trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,trial_status,failure_type,failure_message,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,debug_max_events,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed
22,PI,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,pi_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,921,921,0,361,564,0,0,0,2943,5373,3455,,972,1971,1893,1050,0,0,0.584404600811908,8.152354570637119,0.0,1.1400651465798046,0.0,2.9085872576177287,collision_intent:972;pi_clear_path:1;pi_entry:1049;state:921,248,773,0.09072022160664828
23,PI,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,pi_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,588,588,0,361,231,0,0,0,2199,3761,2834,,606,1593,1194,1005,0,0,0.5932593678040611,6.091412742382271,0.0,1.7091836734693877,0.0,2.78393351800554,collision_intent:606;pi_entry:1005;state:588,256,765,0.4009695290858726
24,PI,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,pi_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,791,791,0,361,434,0,0,0,2575,4495,3230,,812,1763,1603,972,0,0,0.6107014558517678,7.132963988919667,0.0,1.2288242730720607,0.0,2.6925207756232687,collision_intent:812;pi_clear_path:1;pi_entry:971;state:791,260,768,0.3095567867036011
25,PI,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,pi_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,653,653,0,361,296,0,0,0,2311,3802,3129,,663,1648,1316,995,0,0,0.6331444759206799,6.401662049861496,0.0,1.5237366003062787,0.0,2.7562326869806095,collision_intent:663;pi_entry:995;state:653,324,959,0.5810249307479225
26,PI,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,pi_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,601,601,0,361,244,0,0,0,2507,4192,3327,,616,1891,1217,1290,0,0,0.5866690178099101,6.944598337950138,0.0,2.146422628951747,0.0,3.5734072022160666,collision_intent:616;pi_entry:1290;state:601,312,922,0.48130193905817165
27,PI,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,pi_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,709,709,0,361,352,0,0,0,2569,4397,3308,,735,1834,1444,1125,0,0,0.6014545454545455,7.116343490304709,0.0,1.5867418899858956,0.0,3.1163434903047094,collision_intent:735;pi_entry:1125;state:709,286,838,0.33033240997229907
28,PI,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,pi_gilbert_elliott_drop_0_60_rho_0_8,,coverage,failed,RuntimeError,Debug safety cap reached in trial 28. This usually means the allocator is stuck or returning no reachable goals.,,,,,,,,,,,,100000,,,,,,,,,,,,,,,,
29,PI,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,pi_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,613,613,0,361,256,0,0,0,2418,4042,3211,,636,1782,1249,1169,0,0,0.6007483629560336,6.698060941828255,0.0,1.9070146818923328,0.0,3.2382271468144044,collision_intent:636;pi_entry:1169;state:613,280,836,0.42174515235457055
30,PI,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,pi_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,682,682,0,361,325,0,0,0,2342,4019,3005,,695,1647,1377,965,0,0,0.6084227576432476,6.487534626038781,0.0,1.4149560117302054,0.0,2.673130193905817,collision_intent:695;pi_entry:965;state:682,293,866,0.4674515235457064
31,PI,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,pi_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,622,622,0,361,265,0,0,0,2678,4373,3660,,644,2034,1266,1412,0,0,0.599901655466317,7.418282548476454,0.0,2.270096463022508,0.0,3.9113573407202216,collision_intent:644;pi_clear_path:1;pi_entry:1411;state:622,273,892,0.43282548476454297
