trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status
31,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,437,437,0,361,80,0,0,0,1520,4144,413,445,1075,882,638,0,0,0.1281812538795779,4.2105263157894735,0.0,1.459954233409611,0.0,1.7673130193905817,collision_intent:445;pi_entry:638;state:437,162,469,0.26385041551246546,completed
32,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,406,406,0,361,49,0,0,0,1560,4362,315,415,1145,821,739,0,0,0.09178321678321678,4.321329639889196,0.0,1.8201970443349753,0.0,2.0470914127423825,collision_intent:415;pi_entry:739;state:406,172,510,0.3483379501385042,completed
33,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,449,449,0,361,92,0,0,0,1311,3731,199,461,850,910,401,0,0,0.07813113466823714,3.6315789473684212,0.0,0.8930957683741648,0.0,1.110803324099723,collision_intent:461;pi_entry:401;state:449,114,332,0.05886426592797789,completed
34,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,402,402,0,361,45,0,0,0,1218,3443,209,416,802,818,400,0,0,0.08693843594009984,3.3739612188365653,0.0,0.9950248756218906,0.0,1.10803324099723,collision_intent:416;pi_clear_path:1;pi_entry:399;state:402,102,309,0.035318559556786644,completed
35,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,444,444,0,361,87,0,0,0,1313,3641,295,453,860,897,416,0,0,0.11447419480015522,3.6371191135734073,0.0,0.9369369369369369,0.0,1.1523545706371192,collision_intent:453;pi_entry:416;state:444,113,334,0.09487534626038774,completed
36,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,507,507,0,361,150,0,0,0,1462,4102,280,520,942,1027,435,0,0,0.09922041105598867,4.049861495844875,0.0,0.8579881656804734,0.0,1.2049861495844876,collision_intent:520;pi_clear_path:2;pi_entry:433;state:507,127,373,0.0865650969529086,completed
37,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,481,481,0,361,124,0,0,0,1417,3964,284,492,925,973,444,0,0,0.10245310245310245,3.925207756232687,0.0,0.9230769230769231,0.0,1.2299168975069252,collision_intent:492;pi_entry:444;state:481,122,363,0.03393351800554023,completed
38,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,487,487,0,361,130,0,0,0,1427,4019,256,514,913,1001,426,0,0,0.09366995975118916,3.9529085872576175,0.0,0.8747433264887063,0.0,1.18005540166205,collision_intent:514;pi_clear_path:1;pi_entry:425;state:487,123,364,0.045013850415512424,completed
39,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,508,508,0,361,151,0,0,0,1456,4070,295,523,933,1031,425,0,0,0.10550786838340487,4.033240997229917,0.0,0.8366141732283464,0.0,1.1772853185595569,collision_intent:523;pi_clear_path:1;pi_entry:424;state:508,131,375,0.07132963988919672,completed
40,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,494,494,0,361,137,0,0,0,1430,3940,347,514,916,1008,422,0,0,0.12641165755919853,3.961218836565097,0.0,0.854251012145749,0.0,1.1689750692520775,collision_intent:514;pi_entry:422;state:494,128,366,0.1087257617728532,completed
41,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,457,457,0,361,100,0,0,0,1369,3846,258,482,887,939,430,0,0,0.09706546275395034,3.7922437673130194,0.0,0.9409190371991247,0.0,1.1911357340720221,collision_intent:482;pi_entry:430;state:457,119,349,0.061634349030470936,completed
42,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,438,438,0,361,81,0,0,0,1296,3641,244,453,843,891,405,0,0,0.09659540775930324,3.590027700831025,0.0,0.9246575342465754,0.0,1.1218836565096952,collision_intent:453;pi_clear_path:1;pi_entry:404;state:438,111,334,0.0865650969529086,completed
