trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,target_x,target_y,clue_locations,first_clue_robot,first_clue_x,first_clue_y,robot_start_locations,robot_end_locations,clues_detected_by_robot,target_found_by_robot,trial_status
32,ACBBA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,acbba_gilbert_elliott_drop_0_10_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(15,11);01:(7,5);02:(16,3);03:(18,17)",00:0;01:0;02:0;03:0,,completed
33,ACBBA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,acbba_gilbert_elliott_drop_0_10_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,4);01:(17,5);02:(10,16);03:(8,18)",00:0;01:0;02:0;03:0,,completed
34,ACBBA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,acbba_gilbert_elliott_drop_0_10_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,11);01:(11,0);02:(12,18);03:(16,12)",00:0;01:0;02:0;03:0,,completed
35,ACBBA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,acbba_gilbert_elliott_drop_0_10_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(6,0);01:(2,17);02:(9,0);03:(4,1)",00:0;01:0;02:0;03:0,,completed
36,ACBBA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,acbba_gilbert_elliott_drop_0_10_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,0);01:(17,9);02:(17,8);03:(14,8)",00:0;01:0;02:0;03:0,,completed
37,ACBBA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,acbba_gilbert_elliott_drop_0_10_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(6,18);01:(13,17);02:(10,1);03:(4,15)",00:0;01:0;02:0;03:0,,completed
38,ACBBA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,acbba_gilbert_elliott_drop_0_10_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,13);01:(5,9);02:(7,6);03:(5,4)",00:0;01:0;02:0;03:0,,completed
39,ACBBA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,acbba_gilbert_elliott_drop_0_10_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,16);01:(10,6);02:(13,16);03:(4,4)",00:0;01:0;02:0;03:0,,completed
40,ACBBA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,acbba_gilbert_elliott_drop_0_10_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(12,14);01:(11,9);02:(9,13);03:(18,5)",00:0;01:0;02:0;03:0,,completed
41,ACBBA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,acbba_gilbert_elliott_drop_0_10_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(13,15);01:(10,11);02:(6,12);03:(5,9)",00:0;01:0;02:0;03:0,,completed
42,ACBBA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,acbba_gilbert_elliott_drop_0_10_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(15,9);01:(8,10);02:(3,18);03:(14,10)",00:0;01:0;02:0;03:0,,completed
43,ACBBA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,acbba_gilbert_elliott_drop_0_10_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(16,3);01:(16,17);02:(18,15);03:(14,18)",00:0;01:0;02:0;03:0,,completed
44,ACBBA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,acbba_gilbert_elliott_drop_0_10_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,16);01:(18,14);02:(10,0);03:(17,15)",00:0;01:0;02:0;03:0,,completed
45,ACBBA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,acbba_gilbert_elliott_drop_0_10_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(17,13);01:(6,6);02:(18,18);03:(14,14)",00:0;01:0;02:0;03:0,,completed
46,ACBBA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,acbba_gilbert_elliott_drop_0_10_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(11,18);01:(5,3);02:(7,12);03:(11,14)",00:0;01:0;02:0;03:0,,completed
47,ACBBA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,acbba_gilbert_elliott_drop_0_10_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(7,11);01:(11,5);02:(5,1);03:(15,17)",00:0;01:0;02:0;03:0,,completed
48,ACBBA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,acbba_gilbert_elliott_drop_0_10_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,0);01:(12,11);02:(2,6);03:(15,10)",00:0;01:0;02:0;03:0,,completed
49,ACBBA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,acbba_gilbert_elliott_drop_0_10_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(9,18);01:(1,18);02:(2,13);03:(18,18)",00:0;01:0;02:0;03:0,,completed
50,ACBBA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,acbba_gilbert_elliott_drop_0_10_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(2,18);01:(6,13);02:(10,5);03:(0,6)",00:0;01:0;02:0;03:0,,completed
51,ACBBA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,acbba_gilbert_elliott_drop_0_10_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(1,12);01:(2,6);02:(15,7);03:(5,8)",00:0;01:0;02:0;03:0,,completed
52,ACBBA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,acbba_gilbert_elliott_drop_0_10_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(9,3);01:(17,17);02:(10,14);03:(13,3)",00:0;01:0;02:0;03:0,,completed
