target_count,comm_label,tuning_objective,ranking_metric,algorithm,selected_horizon,ranking_metric_mean,rank,mean_total_team_steps,mean_makespan,rank_rule,scope
5,ideal,effort_selected,total_team_steps,DMCHBA,1,57.28,5,57.28,18.96,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
5,ideal,makespan_selected,max_robot_steps,DGA,1,17.92,1,43.56,17.92,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
5,ideal,makespan_selected,max_robot_steps,DMCHBA,5,18.68,2,57.4,18.68,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
5,ideal,makespan_selected,max_robot_steps,PI,1,19.56,3,56.84,19.56,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
5,ideal,makespan_selected,max_robot_steps,HIPC,1,19.68,4,53.32,19.68,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
5,ideal,makespan_selected,max_robot_steps,ACBBA,1,20,5,58.84,20,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
10,bernoulli_025,effort_selected,total_team_steps,HIPC,12,60.88,1,60.88,34.84,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
10,bernoulli_025,effort_selected,total_team_steps,DGA,1,76.44,2,76.44,23.24,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
10,bernoulli_025,effort_selected,total_team_steps,DMCHBA,1,79.08,3,79.08,22.08,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
10,bernoulli_025,effort_selected,total_team_steps,ACBBA,8,94.52,4,94.52,29.04,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
10,bernoulli_025,effort_selected,total_team_steps,PI,5,105.08,5,105.08,34.48,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
10,bernoulli_025,makespan_selected,max_robot_steps,DGA,3,21.68,1,74.16,21.68,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
10,bernoulli_025,makespan_selected,max_robot_steps,DMCHBA,1,22.08,2,79.08,22.08,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
10,bernoulli_025,makespan_selected,max_robot_steps,HIPC,2,23.76,3,72.72,23.76,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
10,bernoulli_025,makespan_selected,max_robot_steps,ACBBA,1,25.08,4,94.52,25.08,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
10,bernoulli_025,makespan_selected,max_robot_steps,PI,1,25.8,5,100.04,25.8,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
10,ideal,effort_selected,total_team_steps,HIPC,12,52,1,52,35.28,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
10,ideal,effort_selected,total_team_steps,PI,5,62.2,2,62.2,35.16,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
10,ideal,effort_selected,total_team_steps,ACBBA,8,65.76,3,65.76,30.44,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
10,ideal,effort_selected,total_team_steps,DGA,1,67.24,4,67.24,21.2,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
10,ideal,effort_selected,total_team_steps,DMCHBA,1,75.72,5,75.72,22.24,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
10,ideal,makespan_selected,max_robot_steps,DGA,3,21.76,1,70.4,21.76,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
10,ideal,makespan_selected,max_robot_steps,DMCHBA,1,22.24,2,75.72,22.24,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
10,ideal,makespan_selected,max_robot_steps,PI,1,22.96,3,78.88,22.96,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
10,ideal,makespan_selected,max_robot_steps,HIPC,2,23.28,4,65.48,23.28,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
10,ideal,makespan_selected,max_robot_steps,ACBBA,1,23.8,5,81.8,23.8,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
20,bernoulli_025,effort_selected,total_team_steps,HIPC,8,110.84,1,110.84,40.68,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
20,bernoulli_025,effort_selected,total_team_steps,DMCHBA,12,122.32,2,122.32,32.28,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
20,bernoulli_025,effort_selected,total_team_steps,ACBBA,2,129.08,3,129.08,33.84,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
20,bernoulli_025,effort_selected,total_team_steps,DGA,5,134.96,4,134.96,34.84,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
20,bernoulli_025,effort_selected,total_team_steps,PI,3,146.04,5,146.04,39.36,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
20,bernoulli_025,makespan_selected,max_robot_steps,DMCHBA,12,32.28,1,122.32,32.28,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
20,bernoulli_025,makespan_selected,max_robot_steps,ACBBA,2,33.84,2,129.08,33.84,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
20,bernoulli_025,makespan_selected,max_robot_steps,DGA,5,34.84,3,134.96,34.84,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
20,bernoulli_025,makespan_selected,max_robot_steps,HIPC,1,35.12,4,130.32,35.12,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
20,bernoulli_025,makespan_selected,max_robot_steps,PI,1,38,5,147.52,38,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
20,ideal,effort_selected,total_team_steps,HIPC,8,79.28,1,79.28,42.12,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
20,ideal,effort_selected,total_team_steps,ACBBA,2,98.48,2,98.48,29.72,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
20,ideal,effort_selected,total_team_steps,PI,3,100.32,3,100.32,32.88,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
20,ideal,effort_selected,total_team_steps,DMCHBA,12,103.84,4,103.84,28.52,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
20,ideal,effort_selected,total_team_steps,DGA,5,117.52,5,117.52,30.92,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
20,ideal,makespan_selected,max_robot_steps,HIPC,1,27.68,1,98.36,27.68,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
20,ideal,makespan_selected,max_robot_steps,DMCHBA,12,28.52,2,103.84,28.52,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
20,ideal,makespan_selected,max_robot_steps,PI,1,29.44,3,108.28,29.44,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
20,ideal,makespan_selected,max_robot_steps,ACBBA,2,29.72,4,98.48,29.72,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
20,ideal,makespan_selected,max_robot_steps,DGA,5,30.92,5,117.52,30.92,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
