trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,trial_status,failure_type,failure_message,robot_id,steps_total,steps_after_first_clue,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,protected_messages_sent,unprotected_messages_sent,core_messages_sent,allocation_messages_sent,post_clue_messages_sent,messages_sent_by_topic
68,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,01,9,0,8,2,0,0,0,1053,2159,1424,11,1042,20,1033,0,collision_intent:11;hipc_entry:1033;state:9
68,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,02,10,0,9,2,0,0,0,990,2033,1613,12,978,22,968,0,collision_intent:12;hipc_entry:968;state:10
68,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,03,284,0,158,127,0,0,0,1277,1794,1565,286,991,570,707,0,collision_intent:286;hipc_entry:707;state:284
69,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,00,183,0,75,109,0,0,0,847,1523,1089,186,661,369,478,0,collision_intent:186;hipc_entry:478;state:183
69,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,01,188,0,113,76,0,0,0,874,1628,957,192,682,380,494,0,collision_intent:192;hipc_clear_bundle:1;hipc_entry:493;state:188
69,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,02,176,0,112,65,0,0,0,881,1672,907,180,701,356,525,0,collision_intent:180;hipc_entry:525;state:176
69,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,03,176,0,61,116,0,0,0,858,1604,998,180,678,356,502,0,collision_intent:180;hipc_entry:502;state:176
70,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,00,218,0,90,129,0,0,0,993,1894,1200,233,760,451,542,0,collision_intent:233;hipc_entry:542;state:218
70,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,01,229,0,108,122,0,0,0,1025,1856,1205,242,783,471,554,0,collision_intent:242;hipc_entry:554;state:229
70,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,02,229,0,57,173,0,0,0,1023,1792,1271,234,789,463,560,0,collision_intent:234;hipc_entry:560;state:229
70,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,03,229,0,106,124,0,0,0,1046,1799,1241,241,805,470,576,0,collision_intent:241;hipc_clear_bundle:1;hipc_entry:575;state:229
71,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,00,214,0,63,152,0,0,0,958,1761,1139,225,733,439,519,0,collision_intent:225;hipc_entry:519;state:214
71,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,01,216,0,62,155,0,0,0,943,1783,1132,221,722,437,506,0,collision_intent:221;hipc_entry:506;state:216
71,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,02,224,0,142,83,0,0,0,986,1818,1054,225,761,449,537,0,collision_intent:225;hipc_entry:537;state:224
71,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,03,217,0,94,124,0,0,0,971,1770,1117,220,751,437,534,0,collision_intent:220;hipc_entry:534;state:217
72,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,00,241,0,104,138,0,0,0,1074,1637,1483,247,827,488,586,0,collision_intent:247;hipc_entry:586;state:241
72,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,01,69,0,34,36,0,0,0,1007,2030,1157,71,936,140,867,0,collision_intent:71;hipc_entry:867;state:69
72,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,02,66,0,39,28,0,0,0,912,1994,1289,70,842,136,776,0,collision_intent:70;hipc_entry:776;state:66
72,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,03,244,0,184,61,0,0,0,1202,1718,1275,247,955,491,711,0,collision_intent:247;hipc_entry:711;state:244
73,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,00,184,0,74,111,0,0,0,860,1575,1018,189,671,373,487,0,collision_intent:189;hipc_entry:487;state:184
73,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,01,188,0,78,111,0,0,0,819,1590,1044,193,626,381,438,0,collision_intent:193;hipc_clear_bundle:1;hipc_entry:437;state:188
73,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,02,187,0,132,56,0,0,0,893,1507,1053,190,703,377,516,0,collision_intent:190;hipc_entry:516;state:187
73,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,03,186,0,77,110,0,0,0,881,1590,981,190,691,376,505,0,collision_intent:190;hipc_clear_bundle:1;hipc_entry:504;state:186
