trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,blocked_task_quarantines_total,blocked_task_quarantine_time_s_total,maximum_quarantine_level,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,allocator_calls_total,allocator_time_ms_team_total,allocator_time_ms_team_max,allocator_solve_time_ms_team_total,allocator_solve_time_ms_team_max,candidate_filter_calls_total,candidate_filter_time_ms_team_total,candidate_filter_time_ms_team_max,trial_status
10,known_visit,HIPC,bernoulli,drop_0.25,14,196,3,10,hipc_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,10,True,51.43692249252519,51.43692249252519,3,3,3,77,29,71,9,5,0,0,0,0.0,0,213,0,199,347,51,80,119,160,39,0.21428571428571427,19.9,3.9,collision_intent:80;hipc_clear_bundle:2;hipc_entry:37;state:80,0.3333333333333335,0.05633802816901423,59,16.7357,0.97,11.5632,0.8159,59,5.1725,0.2133,completed
11,known_visit,HIPC,bernoulli,drop_0.25,14,196,3,10,hipc_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,10,True,41.67133947780909,41.67133947780909,3,3,3,62,24,59,6,4,0,0,0,0.0,0,175,0,160,264,54,64,96,129,31,0.28421052631578947,16.0,3.1,collision_intent:64;hipc_clear_bundle:2;hipc_entry:29;state:65,0.4666666666666668,0.11299435028248594,54,14.7189,0.6824,10.0743,0.5578,54,4.6446,0.131,completed
12,known_visit,HIPC,bernoulli,drop_0.25,14,196,3,10,hipc_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,10,True,34.370255365376295,34.370255365376295,1,1,1,52,20,54,1,1,0,0,0,0.0,0,144,0,143,237,47,53,90,108,35,0.2640449438202247,14.3,3.5,collision_intent:53;hipc_clear_bundle:1;hipc_entry:34;state:55,0.06666666666666665,0.08641975308641991,48,17.9199,0.839,12.3672,0.689,48,5.5527,0.2217,completed
13,known_visit,HIPC,bernoulli,drop_0.25,14,196,3,10,hipc_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,10,True,32.453128491001365,32.453128491001365,2,2,2,46,19,47,2,3,0,0,0,0.0,0,139,0,130,213,46,49,81,98,32,0.2857142857142857,13.0,3.2,collision_intent:49;hipc_clear_bundle:3;hipc_entry:29;state:49,0.20000000000000018,0.14184397163120566,56,22.3652,1.1912,15.6664,1.0346,56,6.6988,0.2701,completed
14,known_visit,HIPC,bernoulli,drop_0.25,14,196,3,10,hipc_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,10,True,42.03986657412216,42.03986657412216,1,1,1,62,24,61,4,4,2,2,0,0.0,0,181,0,171,298,42,65,106,130,41,0.2,17.1,4.1,collision_intent:65;hipc_clear_bundle:1;hipc_entry:40;state:65,0.3333333333333335,0.1311475409836067,59,20.5401,1.2658,13.4086,1.0302,59,7.1315,0.2991,completed
15,known_visit,HIPC,bernoulli,drop_0.25,14,196,3,10,hipc_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,10,True,34.65100840848201,34.65100840848201,0,0,0,53,20,56,0,3,0,0,0,0.0,0,145,0,145,253,36,56,89,112,33,0.2033898305084746,14.5,3.3,collision_intent:56;hipc_clear_bundle:3;hipc_entry:30;state:56,0.20000000000000018,0.04761904761904767,44,15.5884,1.0584,11.5355,0.8957,44,4.0529,0.1704,completed
16,known_visit,HIPC,bernoulli,drop_0.25,14,196,3,10,hipc_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,10,True,28.388376080254343,28.388376080254343,0,0,0,45,17,48,0,1,0,0,0,0.0,0,117,0,120,204,35,46,74,94,26,0.23809523809523808,12.0,2.6,collision_intent:46;hipc_clear_bundle:2;hipc_entry:24;state:48,0.1333333333333333,0.06944444444444442,35,16.261,1.0818,11.8526,0.9288,35,4.4084,0.1788,completed
17,known_visit,HIPC,bernoulli,drop_0.25,14,196,3,10,hipc_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,10,True,37.344979830859636,37.344979830859636,1,1,1,65,22,66,2,6,0,0,0,0.0,0,146,0,174,291,55,65,109,133,41,0.25462962962962965,17.4,4.1,collision_intent:65;hipc_entry:41;state:68,0.26666666666666683,0.020202020202020332,27,15.7933,1.0361,11.9482,0.885,27,3.8451,0.2643,completed
18,known_visit,HIPC,bernoulli,drop_0.25,14,196,3,10,hipc_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,10,True,33.821170240964,33.821170240964,0,0,0,48,20,51,0,2,0,0,0,0.0,0,145,0,128,218,36,49,79,100,28,0.23076923076923078,12.8,2.8,collision_intent:49;hipc_clear_bundle:1;hipc_entry:27;state:51,0.26666666666666683,0.15686274509803932,60,16.1708,0.6959,11.2397,0.5895,60,4.9311,0.1474,completed
19,known_visit,HIPC,bernoulli,drop_0.25,14,196,3,10,hipc_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,10,True,34.75588622620238,34.75588622620238,0,0,0,53,20,56,0,5,0,0,0,0.0,0,147,0,153,259,46,56,97,112,41,0.23834196891191708,15.3,4.1,collision_intent:56;hipc_clear_bundle:3;hipc_entry:38;state:56,0.20000000000000018,0.04761904761904767,46,24.1384,1.1186,18.0607,0.9687,46,6.0777,0.2103,completed
20,known_visit,HIPC,bernoulli,drop_0.25,14,196,3,10,hipc_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,10,True,30.718568583156134,30.718568583156134,0,0,0,46,18,49,0,1,1,1,0,0.0,0,132,0,120,200,38,48,72,97,23,0.2676056338028169,12.0,2.3,collision_intent:48;hipc_clear_bundle:1;hipc_entry:22;state:49,0.1333333333333333,0.10884353741496611,47,20.5743,1.1568,14.854,0.9891,47,5.7203,0.1915,completed
21,known_visit,HIPC,bernoulli,drop_0.25,14,196,3,10,hipc_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,10,True,29.15534447648728,29.15534447648728,2,2,2,45,17,45,3,2,0,0,0,0.0,0,123,0,129,215,41,46,83,94,35,0.25,12.9,3.5,collision_intent:46;hipc_clear_bundle:1;hipc_entry:34;state:48,0.3333333333333335,0.08888888888888902,44,18.4195,1.1449,13.3257,0.9654,44,5.0938,0.1795,completed
22,known_visit,HIPC,bernoulli,drop_0.25,14,196,3,10,hipc_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,10,True,41.80236309096124,41.80236309096124,0,0,0,61,24,63,1,4,3,1,1,5.0,1,178,0,165,276,53,64,101,128,37,0.263681592039801,16.5,3.7,collision_intent:64;hipc_clear_bundle:4;hipc_entry:33;state:64,0.20000000000000018,0.1164021164021165,64,16.6894,0.7121,11.2853,0.6099,64,5.4041,0.122,completed
23,known_visit,HIPC,bernoulli,drop_0.25,14,196,3,10,hipc_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,10,True,30.622980824993395,30.622980824993395,0,0,0,49,18,52,0,3,0,0,0,0.0,0,126,0,132,218,45,51,81,103,29,0.2795031055900621,13.2,2.9,collision_intent:51;hipc_clear_bundle:2;hipc_entry:27;state:52,0.20000000000000018,0.03846153846153855,31,10.4173,0.7242,7.783,0.5883,31,2.6343,0.1359,completed
24,known_visit,HIPC,bernoulli,drop_0.25,14,196,3,10,hipc_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,10,True,34.760712786098736,34.760712786098736,0,0,0,48,20,51,0,0,0,0,0,0.0,0,151,0,122,201,41,50,72,101,21,0.2887323943661972,12.2,2.1,collision_intent:50;hipc_clear_bundle:2;hipc_entry:19;state:51,0.06666666666666665,0.11764705882352944,60,17.5552,0.714,12.1093,0.5971,60,5.4459,0.1926,completed
25,known_visit,HIPC,bernoulli,drop_0.25,14,196,3,10,hipc_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,10,True,28.39052680679681,28.39052680679681,0,0,0,49,17,49,3,1,0,0,0,0.0,0,112,0,131,215,45,50,81,102,29,0.28125,13.1,2.9,collision_intent:50;hipc_clear_bundle:1;hipc_entry:28;state:52,0.1333333333333333,0.04081632653061229,25,10.3439,1.0366,7.9541,0.8899,25,2.3898,0.1716,completed
26,known_visit,HIPC,bernoulli,drop_0.25,14,196,3,10,hipc_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,10,True,32.747946405739924,32.747946405739924,2,2,2,57,19,54,6,3,4,2,1,5.0,1,133,0,155,265,43,60,95,120,35,0.22872340425531915,15.5,3.5,collision_intent:60;hipc_clear_bundle:1;hipc_entry:34;state:60,0.20000000000000018,0.06172839506172845,23,8.5461,0.6281,6.4082,0.5238,23,2.1379,0.1194,completed
27,known_visit,HIPC,bernoulli,drop_0.25,14,196,3,10,hipc_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,10,True,56.623282240332024,56.623282240332024,5,5,5,62,23,54,11,3,4,3,1,5.0,1,268,0,170,293,45,69,101,134,36,0.225,17.0,3.6,collision_intent:69;hipc_clear_bundle:3;hipc_entry:33;state:65,0.1333333333333333,0.06172839506172845,143,47.3619,1.1108,30.7701,0.9311,143,16.5918,0.3096,completed
28,known_visit,HIPC,bernoulli,drop_0.25,14,196,3,10,hipc_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,10,True,42.38763958418815,42.38763958418815,1,1,1,48,25,50,1,1,0,0,0,0.0,0,196,0,127,221,32,51,76,102,25,0.2119205298013245,12.7,2.5,collision_intent:51;hipc_clear_bundle:3;hipc_entry:22;state:51,0.06666666666666665,0.2266666666666668,108,30.9163,0.8747,20.3386,0.7286,108,10.5777,0.1869,completed
29,known_visit,HIPC,bernoulli,drop_0.25,14,196,3,10,hipc_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,10,True,44.26333050498958,44.26333050498958,3,3,3,62,26,59,6,7,0,0,0,0.0,0,191,0,174,284,63,64,110,129,45,0.2876712328767123,17.4,4.5,collision_intent:64;hipc_clear_bundle:3;hipc_entry:42;state:65,0.26666666666666683,0.1694915254237288,74,24.0572,0.9349,15.7238,0.7914,74,8.3334,0.1988,completed
30,known_visit,HIPC,bernoulli,drop_0.25,14,196,3,10,hipc_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,10,True,30.786115049636187,30.786115049636187,0,0,0,50,18,53,0,2,1,1,0,0.0,0,127,0,131,214,48,52,79,105,26,0.3037974683544304,13.1,2.6,collision_intent:52;hipc_clear_bundle:1;hipc_entry:25;state:53,0.06666666666666665,0.05031446540880502,34,12.1943,0.7725,9.2169,0.6422,34,2.9774,0.1303,completed
31,known_visit,HIPC,bernoulli,drop_0.25,14,196,3,10,hipc_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,10,True,37.36044579910796,37.36044579910796,0,0,0,52,22,55,0,6,0,0,0,0.0,0,162,0,150,257,41,54,96,109,41,0.21578947368421053,15.0,4.1,collision_intent:54;hipc_clear_bundle:4;hipc_entry:37;state:55,0.26666666666666683,0.12121212121212133,70,25.6259,0.9043,17.7075,0.7579,70,7.9184,0.1715,completed
32,known_visit,HIPC,bernoulli,drop_0.25,14,196,3,10,hipc_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,10,True,24.955850570980974,24.955850570980974,0,0,0,40,15,43,0,0,0,0,0,0.0,0,103,0,110,185,33,42,68,85,25,0.2462686567164179,11.0,2.5,collision_intent:42;hipc_clear_bundle:2;hipc_entry:23;state:43,0.1333333333333333,0.04651162790697683,32,10.3013,0.6736,7.1902,0.5629,32,3.1111,0.1253,completed
33,known_visit,HIPC,bernoulli,drop_0.25,14,196,3,10,hipc_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,10,True,29.03930665841273,29.03930665841273,0,0,0,46,17,49,0,3,0,0,0,0.0,0,117,0,121,197,43,48,73,97,24,0.2986111111111111,12.1,2.4,collision_intent:48;hipc_clear_bundle:2;hipc_entry:22;state:49,0.06666666666666665,0.04081632653061229,30,13.1915,1.0082,9.4152,0.8536,30,3.7763,0.2364,completed
34,known_visit,HIPC,bernoulli,drop_0.25,14,196,3,10,hipc_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,10,True,37.30648785845236,37.30648785845236,0,0,0,52,22,54,1,2,0,0,0,0.0,0,161,0,139,232,44,54,85,109,30,0.2619047619047619,13.9,3.0,collision_intent:54;hipc_clear_bundle:2;hipc_entry:28;state:55,0.06666666666666665,0.16049382716049387,64,23.5311,1.2048,16.1182,1.0512,64,7.4129,0.1678,completed
