trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,benchmark_suite,num_targets,num_robots,commitment_horizon
0,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,34.547905545121004,34.547905545121004,0,0,0,60,21,64,0,1,0,0,202,0,203,588,18,62,141,126,77,0.04285714285714286,20.3,7.7,collision_intent:62;dga_entry:77;state:64,0.30000000000000004,0.2421875,known_visit_core_500,10,4,8
11,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,54.79779025772504,54.79779025772504,0,0,0,80,32,84,0,5,0,0,336,0,313,904,32,83,230,167,146,0.046579330422125184,31.3,14.6,collision_intent:83;dga_entry:146;state:84,0.10000000000000009,0.1785714285714286,known_visit_core_500,10,4,8
12,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,64.49636673271641,64.49636673271641,3,3,3,144,38,129,19,11,2,2,334,0,532,1525,66,148,384,296,236,0.057441253263707574,53.2,23.6,collision_intent:148;dga_entry:236;state:148,0.30000000000000004,0.04844961240310086,known_visit_core_500,10,4,8
13,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,31.65974962303487,31.65974962303487,0,0,0,70,19,74,0,2,0,0,169,0,296,854,31,71,225,145,151,0.046130952380952384,29.6,15.1,collision_intent:71;dga_entry:151;state:74,0.1499999999999999,0.054054054054053946,known_visit_core_500,10,4,8
14,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,40.10003243648123,40.10003243648123,0,0,0,64,24,68,0,4,0,0,241,0,249,711,33,67,182,135,114,0.06077348066298342,24.9,11.4,collision_intent:67;dga_entry:114;state:68,0.25,0.19117647058823528,known_visit_core_500,10,4,8
15,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,39.4916891468059,39.4916891468059,0,0,0,75,23,79,0,2,0,0,218,0,244,697,33,78,166,157,87,0.06653225806451613,24.4,8.7,collision_intent:78;dga_entry:87;state:79,0.10000000000000009,0.12341772151898733,known_visit_core_500,10,4,8
16,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,43.57078735615593,43.57078735615593,0,0,0,75,26,78,1,3,0,0,254,0,318,909,43,77,241,156,162,0.059639389736477116,31.8,16.2,collision_intent:77;dga_entry:162;state:79,0.30000000000000004,0.1858974358974359,known_visit_core_500,10,4,8
17,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,54.91564105455291,54.91564105455291,1,1,1,117,33,119,2,8,1,1,289,0,433,1248,48,121,312,242,191,0.05144694533762058,43.3,19.1,collision_intent:121;dga_entry:191;state:121,0.10000000000000009,0.09033613445378141,known_visit_core_500,10,4,8
18,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,31.333687054501816,31.333687054501816,0,0,0,65,19,69,0,1,0,0,172,0,274,792,27,66,208,135,139,0.043478260869565216,27.4,13.9,collision_intent:66;dga_entry:139;state:69,0.1499999999999999,0.09782608695652173,known_visit_core_500,10,4,8
19,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,47.637520891322104,47.637520891322104,0,0,0,96,28,98,2,4,0,0,262,0,349,1009,35,99,250,199,150,0.04685408299866131,34.9,15.0,collision_intent:99;dga_entry:150;state:100,0.30000000000000004,0.09693877551020402,known_visit_core_500,10,4,8
20,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,30.91060887217262,30.91060887217262,0,0,0,54,18,58,0,2,0,0,190,0,227,649,29,56,171,114,113,0.056862745098039215,22.7,11.3,collision_intent:56;dga_entry:113;state:58,0.3500000000000001,0.22413793103448265,known_visit_core_500,10,4,8
21,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,36.970543690817365,36.970543690817365,2,2,2,79,22,77,6,4,0,0,197,0,289,826,39,80,209,163,126,0.0624,28.9,12.6,collision_intent:80;dga_entry:126;state:83,0.30000000000000004,0.1071428571428572,known_visit_core_500,10,4,8
22,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,52.46380133627521,52.46380133627521,0,0,0,86,29,89,1,3,0,0,310,0,359,1038,37,90,269,180,179,0.04596273291925466,35.9,17.9,collision_intent:90;dga_entry:179;state:90,0.30000000000000004,0.1657303370786516,known_visit_core_500,10,4,8
23,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,49.776109919499135,49.776109919499135,1,1,1,89,29,90,3,6,2,2,293,0,383,1106,40,94,289,187,196,0.046296296296296294,38.3,19.6,collision_intent:94;dga_entry:196;state:93,0.25,0.10000000000000009,known_visit_core_500,10,4,8
24,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,37.59048044484833,37.59048044484833,0,0,0,70,22,74,0,4,0,0,215,0,323,911,55,72,251,146,177,0.07333333333333333,32.3,17.7,collision_intent:72;dga_entry:177;state:74,0.10000000000000009,0.14189189189189189,known_visit_core_500,10,4,8
25,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,34.393419434980494,34.393419434980494,0,0,0,52,21,55,1,1,0,0,211,0,243,696,30,55,188,111,132,0.053475935828877004,24.3,13.2,collision_intent:55;dga_entry:132;state:56,0.3500000000000001,0.27727272727272734,known_visit_core_500,10,4,8
26,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,37.048940848787836,37.048940848787836,0,0,0,74,22,78,0,2,0,0,201,0,306,882,33,78,228,156,150,0.048458149779735685,30.6,15.0,collision_intent:78;dga_entry:150;state:78,0.3500000000000001,0.07692307692307687,known_visit_core_500,10,4,8
27,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,24.84842913510769,24.84842913510769,0,0,0,48,15,51,1,1,0,0,142,0,243,686,40,51,192,103,140,0.06980802792321117,24.3,14.0,collision_intent:51;dga_entry:140;state:52,0.30000000000000004,0.12254901960784315,known_visit_core_500,10,4,8
28,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,34.451337209265134,34.451337209265134,1,1,1,73,21,74,3,2,0,0,185,0,285,808,44,77,208,154,131,0.07085346215780998,28.5,13.1,collision_intent:77;dga_entry:131;state:77,0.10000000000000009,0.07432432432432434,known_visit_core_500,10,4,8
29,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,33.69941677143553,33.69941677143553,1,1,1,72,20,75,1,1,0,0,177,0,305,877,35,75,230,151,154,0.050946142649199416,30.5,15.4,collision_intent:75;dga_entry:154;state:76,0.30000000000000004,0.08333333333333326,known_visit_core_500,10,4,8
30,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,37.42650832934901,37.42650832934901,2,2,2,83,22,76,11,6,1,1,199,0,360,1042,32,86,274,173,187,0.0392156862745098,36.0,18.7,collision_intent:86;dga_entry:187;state:87,0.25,0.07894736842105265,known_visit_core_500,10,4,8
31,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,43.328259943582076,43.328259943582076,1,1,1,96,25,93,7,1,0,0,227,0,334,962,37,99,235,199,135,0.05270655270655271,33.4,13.5,collision_intent:99;dga_entry:135;state:100,0.25,0.034946236559139754,known_visit_core_500,10,4,8
32,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,44.38764779313362,44.38764779313362,2,2,2,97,26,91,10,6,0,0,231,0,381,1095,45,101,280,202,179,0.053763440860215055,38.1,17.9,collision_intent:101;dga_entry:179;state:101,0.3500000000000001,0.10164835164835173,known_visit_core_500,10,4,8
33,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,36.467349739403886,36.467349739403886,0,0,0,76,22,80,0,9,0,0,200,0,394,1130,49,80,314,160,234,0.05218317358892439,39.4,23.4,collision_intent:80;dga_entry:234;state:80,0.25,0.05624999999999991,known_visit_core_500,10,4,8
34,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,29.61522418386371,29.61522418386371,0,0,0,48,18,52,0,0,0,0,180,0,157,447,21,51,106,103,54,0.06666666666666667,15.7,5.4,collision_intent:51;dga_entry:54;state:52,0.10000000000000009,0.20192307692307687,known_visit_core_500,10,4,8
35,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,33.264991434584175,33.264991434584175,0,0,0,72,20,75,1,5,0,0,174,0,296,854,31,74,222,150,146,0.04675716440422323,29.6,14.6,collision_intent:74;dga_entry:146;state:76,0.25,0.08333333333333326,known_visit_core_500,10,4,8
36,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,40.281404420918435,40.281404420918435,0,0,0,71,24,69,6,5,0,0,234,0,298,848,43,73,225,148,150,0.06398809523809523,29.8,15.0,collision_intent:73;dga_entry:150;state:75,0.25,0.17028985507246386,known_visit_core_500,10,4,8
37,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,31.689856335568194,31.689856335568194,1,1,1,62,19,65,1,2,0,0,174,0,221,635,25,65,156,131,90,0.053763440860215055,22.1,9.0,collision_intent:65;dga_entry:90;state:66,0.1499999999999999,0.10384615384615392,known_visit_core_500,10,4,8
38,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,33.537418581061,33.537418581061,0,0,0,65,20,69,0,2,0,0,189,0,244,701,28,67,177,136,108,0.05303030303030303,24.4,10.8,collision_intent:67;dga_entry:108;state:69,0.25,0.1557971014492754,known_visit_core_500,10,4,8
39,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,57.90761830874072,57.90761830874072,0,0,0,106,34,110,0,4,1,1,327,0,374,1086,33,109,265,219,155,0.041666666666666664,37.4,15.5,collision_intent:109;dga_entry:155;state:110,0.10000000000000009,0.13181818181818183,known_visit_core_500,10,4,8
40,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,32.73855620347775,32.73855620347775,0,0,0,73,20,77,0,1,0,0,169,0,231,670,20,75,156,152,79,0.043010752688172046,23.1,7.9,collision_intent:75;dga_entry:79;state:77,0.1499999999999999,0.03571428571428581,known_visit_core_500,10,4,8
41,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,33.09319779847955,33.09319779847955,0,0,0,63,20,67,0,1,0,0,187,0,250,720,27,65,185,132,118,0.04891304347826087,25.0,11.8,collision_intent:65;dga_entry:118;state:67,0.10000000000000009,0.12313432835820892,known_visit_core_500,10,4,8
42,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,35.39190308398326,35.39190308398326,0,0,0,80,21,84,0,2,0,0,180,0,260,751,27,81,179,165,95,0.05046728971962617,26.0,9.5,collision_intent:81;dga_entry:95;state:84,0.25,0.03571428571428581,known_visit_core_500,10,4,8
43,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,38.76938243435478,38.76938243435478,0,0,0,80,23,84,0,4,0,0,209,0,310,903,24,82,228,166,144,0.03524229074889868,31.0,14.4,collision_intent:82;dga_entry:144;state:84,0.1499999999999999,0.08928571428571419,known_visit_core_500,10,4,8
44,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,33.7268297007975,33.7268297007975,0,0,0,63,20,67,0,4,0,0,191,0,229,663,21,65,164,132,97,0.04294478527607362,22.9,9.7,collision_intent:65;dga_entry:97;state:67,0.30000000000000004,0.1828358208955223,known_visit_core_500,10,4,8
45,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,39.98878103302182,39.98878103302182,1,1,1,76,24,77,3,4,0,0,225,0,289,837,27,78,211,158,131,0.04285714285714286,28.9,13.1,collision_intent:78;dga_entry:131;state:80,0.25,0.13961038961038952,known_visit_core_500,10,4,8
46,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,35.26096732328576,35.26096732328576,0,0,0,74,21,77,1,3,0,0,187,0,282,813,30,77,205,155,127,0.049019607843137254,28.2,12.7,collision_intent:77;dga_entry:127;state:78,0.1499999999999999,0.06168831168831179,known_visit_core_500,10,4,8
47,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,37.71343634698099,37.71343634698099,2,2,2,82,22,84,2,1,2,1,196,0,258,750,20,86,172,172,86,0.0390625,25.8,8.6,collision_intent:86;dga_entry:86;state:86,0.1499999999999999,0.04166666666666674,known_visit_core_500,10,4,8
48,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,36.94661806767472,36.94661806767472,0,0,0,85,22,85,4,5,0,0,189,0,328,945,36,87,241,176,152,0.05,32.8,15.2,collision_intent:87;dga_entry:152;state:89,0.30000000000000004,0.032352941176470695,known_visit_core_500,10,4,8
49,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,42.529892967751984,42.529892967751984,4,4,4,90,25,80,14,5,0,0,229,0,357,1033,35,92,265,186,171,0.04419191919191919,35.7,17.1,collision_intent:92;dga_entry:171;state:94,0.3500000000000001,0.15625,known_visit_core_500,10,4,8
50,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,34.93055339920872,34.93055339920872,0,0,0,63,21,67,0,8,0,0,202,0,317,909,40,65,252,132,185,0.05305039787798409,31.7,18.5,collision_intent:65;dga_entry:185;state:67,0.25,0.15298507462686572,known_visit_core_500,10,4,8
51,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,33.23258491666574,33.23258491666574,0,0,0,72,20,76,0,2,0,0,174,0,312,900,33,75,237,151,161,0.046610169491525424,31.2,16.1,collision_intent:75;dga_entry:161;state:76,0.30000000000000004,0.03947368421052633,known_visit_core_500,10,4,8
52,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,36.55696520378423,36.55696520378423,0,0,0,84,22,88,0,7,0,0,184,0,349,990,51,87,262,175,174,0.06513409961685823,34.9,17.4,collision_intent:87;dga_entry:174;state:88,0.25,0.017045454545454586,known_visit_core_500,10,4,8
53,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,41.62843857762457,41.62843857762457,0,0,0,78,25,82,0,1,0,0,235,0,319,919,35,81,238,163,156,0.04922644163150492,31.9,15.6,collision_intent:81;dga_entry:156;state:82,0.1499999999999999,0.10975609756097571,known_visit_core_500,10,4,8
54,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,37.020930739345395,37.020930739345395,0,0,0,80,22,83,1,1,0,0,198,0,292,835,35,81,211,165,127,0.05582137161084529,29.2,12.7,collision_intent:81;dga_entry:127;state:84,0.1499999999999999,0.06325301204819267,known_visit_core_500,10,4,8
55,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,40.508838184994964,40.508838184994964,1,1,1,78,24,76,6,4,0,0,227,0,322,928,35,81,241,163,159,0.04861111111111111,32.2,15.9,collision_intent:81;dga_entry:159;state:82,0.10000000000000009,0.05263157894736836,known_visit_core_500,10,4,8
56,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,35.784094611117915,35.784094611117915,1,1,1,81,21,81,4,8,1,1,187,0,355,1007,50,83,272,168,187,0.06188118811881188,35.5,18.7,collision_intent:83;dga_entry:187;state:85,0.25,0.02777777777777768,known_visit_core_500,10,4,8
57,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,32.6321011186113,32.6321011186113,0,0,0,58,19,62,0,0,0,0,190,0,220,635,22,60,160,122,98,0.04612159329140461,22.0,9.8,collision_intent:60;dga_entry:98;state:62,0.10000000000000009,0.14516129032258074,known_visit_core_500,10,4,8
58,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,43.50747060030952,43.50747060030952,0,0,0,81,25,85,0,7,0,0,248,0,380,1087,51,83,297,168,212,0.05736782902137233,38.0,21.2,collision_intent:83;dga_entry:212;state:85,0.3500000000000001,0.12058823529411766,known_visit_core_500,10,4,8
59,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,32.896499042430236,32.896499042430236,0,0,0,56,20,60,0,1,0,0,193,0,262,754,29,59,203,119,143,0.04785478547854786,26.2,14.3,collision_intent:59;dga_entry:143;state:60,0.25,0.20833333333333326,known_visit_core_500,10,4,8
60,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,38.80920379308532,38.80920379308532,0,0,0,87,23,91,0,5,0,0,197,0,334,967,32,90,244,181,153,0.0438957475994513,33.4,15.3,collision_intent:90;dga_entry:153;state:91,0.30000000000000004,0.024725274725274637,known_visit_core_500,10,4,8
61,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,34.698787505699705,34.698787505699705,0,0,0,63,21,67,0,2,0,0,197,0,262,749,31,66,196,133,129,0.05299145299145299,26.2,12.9,collision_intent:66;dga_entry:129;state:67,0.10000000000000009,0.1977611940298507,known_visit_core_500,10,4,8
62,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,45.61881482240015,45.61881482240015,0,0,0,71,26,74,1,3,2,1,267,0,390,1112,55,75,315,150,240,0.058386411889596604,39.0,24.0,collision_intent:75;dga_entry:240;state:75,0.30000000000000004,0.25,known_visit_core_500,10,4,8
63,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,45.79995476502501,45.79995476502501,1,1,1,97,26,100,1,7,6,4,245,0,393,1134,42,105,288,206,187,0.04878048780487805,39.3,18.7,collision_intent:105;dga_entry:187;state:101,0.1499999999999999,0.02499999999999991,known_visit_core_500,10,4,8
