trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
36,known_visit,PI,ideal,1.0,34,1156,9,10,pi_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(5,4);(26,16);(29,17);(13,10);(4,1);(2,3);(15,3);(22,12);(27,4);(20,15)",10,True,72.89294114740174,72.89294114740174,00:2;01:3;02:0;03:1;04:2;05:0;06:0;07:2;08:0,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(2,3);(27,4);(2,6);(13,10);(22,12);(7,21);(1,25);(29,17);(2,33)",1127,0,completed
37,known_visit,PI,ideal,1.0,34,1156,9,10,pi_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(15,29);(6,3);(21,27);(10,13);(10,26);(2,28);(23,10);(17,23);(4,17);(29,22)",10,True,94.73621781990435,94.73621781990435,00:2;01:1;02:2;03:2;04:1;05:0;06:1;07:1;08:0,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(15,29);(6,3);(29,22);(23,10);(4,17);(2,21);(10,26);(2,27);(2,33)",1497,0,completed
38,known_visit,PI,ideal,1.0,34,1156,9,10,pi_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(33,12);(33,15);(22,7);(30,10);(5,19);(27,13);(8,8);(12,28);(15,2);(11,8)",10,True,61.66571747093524,61.66571747093524,00:2;01:0;02:2;03:2;04:2;05:1;06:0;07:1;08:0,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(22,7);(9,4);(11,8);(30,10);(33,12);(5,19);(3,25);(12,28);(2,33)",916,0,completed
39,known_visit,PI,ideal,1.0,34,1156,9,10,pi_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(16,17);(20,16);(23,6);(25,15);(29,27);(23,8);(31,13);(19,24);(9,4);(2,18)",10,True,84.87273653195263,84.87273653195263,00:3;01:2;02:0;03:3;04:0;05:1;06:1;07:0;08:0,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(31,13);(23,7);(2,8);(20,16);(2,16);(29,27);(30,22);(2,29);(2,33)",1287,0,completed
40,known_visit,PI,ideal,1.0,34,1156,9,10,pi_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(32,32);(5,25);(3,23);(6,31);(15,13);(23,16);(32,13);(22,26);(29,33);(12,11)",10,True,78.63421245003214,78.63421245003214,00:0;01:2;02:0;03:1;04:2;05:1;06:1;07:1;08:2,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(3,0);(22,26);(3,8);(12,11);(32,13);(3,23);(6,25);(6,31);(32,32)",1213,0,completed
41,known_visit,PI,ideal,1.0,34,1156,9,10,pi_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(33,3);(19,23);(29,19);(7,29);(14,33);(20,2);(30,25);(14,25);(7,1);(1,27)",10,True,91.0582082618683,91.0582082618683,00:2;01:1;02:3;03:0;04:0;05:2;06:1;07:1;08:0,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(20,2);(33,3);(29,19);(1,12);(1,17);(14,33);(1,27);(7,29);(2,33)",1441,0,completed
42,known_visit,PI,ideal,1.0,34,1156,9,10,pi_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(11,32);(21,13);(10,16);(12,22);(27,14);(2,23);(27,21);(16,7);(20,21);(8,9)",10,True,80.79142014796126,80.79142014796126,00:2;01:0;02:1;03:2;04:0;05:2;06:2;07:1;08:0,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(27,21);(2,4);(16,7);(27,14);(2,17);(8,9);(12,22);(11,32);(3,33)",1251,0,completed
43,known_visit,PI,ideal,1.0,34,1156,9,10,pi_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(7,22);(30,0);(14,3);(15,1);(10,17);(9,7);(13,30);(3,2);(15,8);(3,9)",10,True,92.60755403906255,92.60755403906255,00:1;01:2;02:1;03:1;04:0;05:2;06:2;07:1;08:0,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(3,2);(14,3);(9,7);(3,9);(2,16);(10,17);(30,0);(13,30);(3,33)",1492,0,completed
44,known_visit,PI,ideal,1.0,34,1156,9,10,pi_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(3,4);(15,1);(20,24);(31,27);(14,31);(10,3);(12,24);(10,10);(19,1);(16,16)",10,True,73.43331295806775,73.43331295806775,00:2;01:2;02:2;03:0;04:0;05:0;06:0;07:2;08:2,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(19,1);(10,3);(16,16);(1,12);(2,16);(1,21);(1,25);(12,24);(31,27)",1154,0,completed
45,known_visit,PI,ideal,1.0,34,1156,9,10,pi_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(26,4);(12,4);(11,3);(14,27);(2,22);(3,27);(23,24);(17,9);(3,17);(5,4)",10,True,50.471916819146145,50.471916819146145,00:1;01:4;02:0;03:0;04:1;05:1;06:1;07:2;08:0,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(26,4);(17,9);(5,8);(2,12);(3,17);(2,22);(3,27);(23,24);(1,33)",779,0,completed
46,known_visit,PI,ideal,1.0,34,1156,9,10,pi_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(31,2);(30,4);(6,23);(25,14);(11,33);(30,8);(24,32);(18,16);(22,3);(15,22)",10,True,62.13342874099531,62.13342874099531,00:3;01:0;02:1;03:2;04:0;05:0;06:2;07:0;08:2,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(31,2);(3,4);(30,8);(25,14);(2,16);(2,21);(15,22);(2,29);(24,32)",920,0,completed
47,known_visit,PI,ideal,1.0,34,1156,9,10,pi_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(15,14);(27,28);(25,15);(13,23);(20,25);(2,3);(4,21);(6,13);(1,2);(15,15)",10,True,67.56963989656106,67.56963989656106,00:4;01:1;02:0;03:1;04:0;05:1;06:2;07:1;08:0,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(25,15);(2,3);(1,8);(6,13);(2,16);(4,21);(21,28);(27,26);(2,33)",1065,0,completed
48,known_visit,PI,ideal,1.0,34,1156,9,10,pi_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(22,6);(6,16);(29,12);(27,23);(15,4);(4,31);(13,6);(9,23);(16,17);(20,3)",10,True,84.45468985851355,84.45468985851355,00:1;01:0;02:3;03:2;04:0;05:1;06:0;07:1;08:2,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(15,4);(3,4);(20,3);(16,17);(3,16);(9,23);(7,25);(4,31);(29,12)",1325,0,completed
49,known_visit,PI,ideal,1.0,34,1156,9,10,pi_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(13,7);(7,5);(30,25);(2,21);(18,24);(2,2);(24,30);(11,27);(11,1);(14,12)",10,True,74.00557208107166,74.00557208107166,00:1;01:3;02:0;03:1;04:1;05:1;06:0;07:0;08:3,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(2,2);(13,7);(2,8);(19,15);(18,24);(2,21);(2,25);(2,29);(30,25)",1171,0,completed
