trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,target_x,target_y,clue_locations,first_clue_robot,first_clue_x,first_clue_y,robot_start_locations,robot_end_locations,clues_detected_by_robot,target_found_by_robot,trial_status
10,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,9,140.0,128.444444,pi_g34_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,4,22,"(3,9);(12,29);(12,14);(5,22)",,,,"00:(0,0);01:(0,4);02:(0,8);03:(0,12);04:(0,16);05:(0,21);06:(0,25);07:(0,29);08:(0,33)","00:(5,0);01:(5,4);02:(5,8);03:(5,12);04:(5,16);05:(4,22);06:(3,26);07:(4,30);08:(5,33)",00:0;01:0;02:0;03:0;04:0;05:0;06:0;07:0;08:0,05,completed
11,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,9,140.0,128.444444,pi_g34_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,24,14,"(20,14);(3,3);(29,11);(3,22)",05,3,22,"00:(0,0);01:(0,4);02:(0,8);03:(0,12);04:(0,16);05:(0,21);06:(0,25);07:(0,29);08:(0,33)","00:(18,27);01:(21,16);02:(16,17);03:(24,14);04:(5,5);05:(14,9);06:(19,11);07:(21,8);08:(22,15)",00:1;01:0;02:0;03:0;04:1;05:1;06:0;07:1;08:2,03,completed
12,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,9,140.0,128.444444,pi_g34_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,19,32,"(21,28);(2,31);(30,30);(2,23)",07,30,30,"00:(0,0);01:(0,4);02:(0,8);03:(0,12);04:(0,16);05:(0,21);06:(0,25);07:(0,29);08:(0,33)","00:(33,18);01:(27,18);02:(32,23);03:(20,25);04:(25,29);05:(26,28);06:(19,32);07:(27,26);08:(29,23)",00:0;01:0;02:0;03:0;04:0;05:1;06:0;07:1;08:1,06,completed
13,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,9,140.0,128.444444,pi_g34_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,33,26,"(3,14);(26,33);(23,29);(17,8)",02,17,8,"00:(0,0);01:(0,4);02:(0,8);03:(0,12);04:(0,16);05:(0,21);06:(0,25);07:(0,29);08:(0,33)","00:(33,33);01:(33,26);02:(29,10);03:(20,33);04:(27,20);05:(32,27);06:(31,33);07:(25,26);08:(21,7)",00:2;01:2;02:1;03:1;04:0;05:2;06:1;07:0;08:0,01,completed
14,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,9,140.0,128.444444,pi_g34_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,5,33,"(14,32);(8,6);(4,33);(9,0)",08,4,33,"00:(0,0);01:(0,4);02:(0,8);03:(0,12);04:(0,16);05:(0,21);06:(0,25);07:(0,29);08:(0,33)","00:(4,0);01:(4,4);02:(4,8);03:(4,12);04:(4,16);05:(2,23);06:(2,27);07:(3,30);08:(5,33)",00:0;01:0;02:0;03:0;04:0;05:0;06:0;07:0;08:1,08,completed
15,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,9,140.0,128.444444,pi_g34_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,31,21,"(29,24);(7,24);(27,21);(28,29)",06,7,24,"00:(0,0);01:(0,4);02:(0,8);03:(0,12);04:(0,16);05:(0,21);06:(0,25);07:(0,29);08:(0,33)","00:(20,18);01:(31,21);02:(11,24);03:(0,19);04:(17,26);05:(20,19);06:(27,24);07:(1,21);08:(8,25)",00:0;01:0;02:0;03:0;04:0;05:2;06:1;07:0;08:1,01,completed
16,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,9,140.0,128.444444,pi_g34_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,6,24,"(16,20);(27,23);(6,26);(9,10)",06,6,26,"00:(0,0);01:(0,4);02:(0,8);03:(0,12);04:(0,16);05:(0,21);06:(0,25);07:(0,29);08:(0,33)","00:(6,1);01:(6,5);02:(6,9);03:(6,13);04:(6,17);05:(6,24);06:(7,27);07:(6,28);08:(7,31)",00:0;01:0;02:0;03:0;04:0;05:0;06:1;07:0;08:0,05,completed
17,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,9,140.0,128.444444,pi_g34_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,7,21,"(2,15);(8,27);(27,32);(5,29)",06,8,27,"00:(0,0);01:(0,4);02:(0,8);03:(0,12);04:(0,16);05:(0,21);06:(0,25);07:(0,29);08:(0,33)","00:(8,3);01:(8,7);02:(8,11);03:(8,15);04:(7,21);05:(8,25);06:(5,27);07:(6,28);08:(9,29)",00:0;01:0;02:0;03:0;04:0;05:0;06:1;07:0;08:0,04,completed
18,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,9,140.0,128.444444,pi_g34_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,29,0,"(32,7);(33,24);(33,1);(17,20)",,,,"00:(0,0);01:(0,4);02:(0,8);03:(0,12);04:(0,16);05:(0,21);06:(0,25);07:(0,29);08:(0,33)","00:(29,0);01:(29,4);02:(28,8);03:(29,12);04:(29,16);05:(27,22);06:(27,26);07:(27,30);08:(29,33)",00:0;01:0;02:0;03:0;04:0;05:0;06:0;07:0;08:0,00,completed
19,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,9,140.0,128.444444,pi_g34_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,14,20,"(13,20);(15,8);(14,23);(19,33)",02,15,8,"00:(0,0);01:(0,4);02:(0,8);03:(0,12);04:(0,16);05:(0,21);06:(0,25);07:(0,29);08:(0,33)","00:(14,2);01:(15,6);02:(16,9);03:(15,10);04:(16,15);05:(14,20);06:(13,24);07:(13,28);08:(15,31)",00:0;01:0;02:1;03:0;04:0;05:0;06:0;07:0;08:0,05,completed
20,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,9,140.0,128.444444,pi_g34_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,26,1,"(15,4);(19,5);(14,1);(27,7)",01,15,4,"00:(0,0);01:(0,4);02:(0,8);03:(0,12);04:(0,16);05:(0,21);06:(0,25);07:(0,29);08:(0,33)","00:(2,1);01:(8,11);02:(17,20);03:(19,15);04:(19,12);05:(26,1);06:(26,6);07:(25,2);08:(24,8)",00:0;01:1;02:1;03:1;04:0;05:1;06:1;07:1;08:0,05,completed
21,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,9,140.0,128.444444,pi_g34_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,14,8,"(2,7);(21,7);(14,20);(23,25)",,,,"00:(0,0);01:(0,4);02:(0,8);03:(0,12);04:(0,16);05:(0,21);06:(0,25);07:(0,29);08:(0,33)","00:(13,0);01:(13,4);02:(14,8);03:(13,12);04:(13,16);05:(12,22);06:(12,26);07:(12,30);08:(13,33)",00:0;01:0;02:0;03:0;04:0;05:0;06:0;07:0;08:0,02,completed
22,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,9,140.0,128.444444,pi_g34_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,26,18,"(30,21);(19,32);(27,25);(27,16)",04,27,16,"00:(0,0);01:(0,4);02:(0,8);03:(0,12);04:(0,16);05:(0,21);06:(0,25);07:(0,29);08:(0,33)","00:(27,4);01:(27,8);02:(27,11);03:(26,15);04:(28,15);05:(26,18);06:(27,23);07:(25,25);08:(27,29)",00:0;01:0;02:0;03:0;04:1;05:0;06:0;07:0;08:0,05,completed
23,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,9,140.0,128.444444,pi_g34_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,2,11,"(23,18);(23,22);(18,29);(1,16)",04,1,16,"00:(0,0);01:(0,4);02:(0,8);03:(0,12);04:(0,16);05:(0,21);06:(0,25);07:(0,29);08:(0,33)","00:(1,3);01:(1,7);02:(2,11);03:(1,15);04:(2,16);05:(1,20);06:(1,24);07:(1,28);08:(0,31)",00:0;01:0;02:0;03:0;04:1;05:0;06:0;07:0;08:0,02,completed
24,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,9,140.0,128.444444,pi_g34_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,1,9,"(22,2);(26,22);(14,20);(29,19)",05,26,22,"00:(0,0);01:(0,4);02:(0,8);03:(0,12);04:(0,16);05:(0,21);06:(0,25);07:(0,29);08:(0,33)","00:(9,31);01:(5,33);02:(12,30);03:(25,13);04:(4,33);05:(8,10);06:(1,9);07:(21,14);08:(6,13)",00:1;01:0;02:0;03:1;04:1;05:2;06:0;07:1;08:2,06,completed
25,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,9,140.0,128.444444,pi_g34_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,15,13,"(17,19);(13,19);(15,22);(21,5)",05,15,22,"00:(0,0);01:(0,4);02:(0,8);03:(0,12);04:(0,16);05:(0,21);06:(0,25);07:(0,29);08:(0,33)","00:(16,1);01:(15,5);02:(15,9);03:(15,13);04:(16,18);05:(15,23);06:(15,24);07:(14,28);08:(15,32)",00:0;01:0;02:0;03:0;04:0;05:1;06:0;07:0;08:0,03,completed
26,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,9,140.0,128.444444,pi_g34_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,32,32,"(28,32);(32,3);(32,9);(20,27)",02,32,9,"00:(0,0);01:(0,4);02:(0,8);03:(0,12);04:(0,16);05:(0,21);06:(0,25);07:(0,29);08:(0,33)","00:(25,30);01:(12,24);02:(21,33);03:(11,33);04:(20,31);05:(28,32);06:(11,20);07:(2,31);08:(32,32)",00:1;01:1;02:1;03:0;04:2;05:1;06:1;07:0;08:1,08,completed
27,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,9,140.0,128.444444,pi_g34_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,14,28,"(15,27);(3,16);(14,31);(17,12)",04,3,16,"00:(0,0);01:(0,4);02:(0,8);03:(0,12);04:(0,16);05:(0,21);06:(0,25);07:(0,29);08:(0,33)","00:(14,28);01:(16,14);02:(1,0);03:(16,9);04:(19,16);05:(14,1);06:(18,13);07:(16,29);08:(18,9)",00:0;01:0;02:0;03:0;04:2;05:1;06:0;07:1;08:0,00,completed
28,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,9,140.0,128.444444,pi_g34_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,13,28,"(22,28);(29,33);(15,28);(19,6)",08,29,33,"00:(0,0);01:(0,4);02:(0,8);03:(0,12);04:(0,16);05:(0,21);06:(0,25);07:(0,29);08:(0,33)","00:(20,29);01:(28,17);02:(21,7);03:(19,21);04:(20,27);05:(22,25);06:(13,28);07:(23,28);08:(23,29)",00:0;01:0;02:0;03:0;04:1;05:1;06:0;07:1;08:2,06,completed
29,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,9,140.0,128.444444,pi_g34_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,4,29,"(24,27);(10,23);(21,15);(10,30)",07,10,30,"00:(0,0);01:(0,4);02:(0,8);03:(0,12);04:(0,16);05:(0,21);06:(0,25);07:(0,29);08:(0,33)","00:(13,10);01:(12,11);02:(4,21);03:(6,19);04:(9,23);05:(4,29);06:(15,29);07:(7,27);08:(12,33)",00:0;01:0;02:0;03:0;04:0;05:1;06:0;07:1;08:0,05,completed
30,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,9,140.0,128.444444,pi_g34_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,5,18,"(20,18);(14,19);(10,18);(22,27)",06,22,27,"00:(0,0);01:(0,4);02:(0,8);03:(0,12);04:(0,16);05:(0,21);06:(0,25);07:(0,29);08:(0,33)","00:(32,16);01:(14,24);02:(16,25);03:(5,18);04:(8,24);05:(12,15);06:(12,14);07:(27,27);08:(32,21)",00:1;01:1;02:1;03:0;04:3;05:1;06:2;07:0;08:1,03,completed
31,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,9,140.0,128.444444,pi_g34_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,20,16,"(30,8);(16,1);(14,6);(22,15)",,,,"00:(0,0);01:(0,4);02:(0,8);03:(0,12);04:(0,16);05:(0,21);06:(0,25);07:(0,29);08:(0,33)","00:(19,0);01:(19,4);02:(19,8);03:(19,12);04:(20,16);05:(18,22);06:(18,26);07:(18,30);08:(19,33)",00:0;01:0;02:0;03:0;04:0;05:0;06:0;07:0;08:0,04,completed
32,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,9,140.0,128.444444,pi_g34_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,11,33,"(22,23);(1,24);(20,20);(15,10)",,,,"00:(0,0);01:(0,4);02:(0,8);03:(0,12);04:(0,16);05:(0,21);06:(0,25);07:(0,29);08:(0,33)","00:(10,0);01:(10,4);02:(10,8);03:(10,12);04:(10,16);05:(9,22);06:(9,26);07:(9,30);08:(11,33)",00:0;01:0;02:0;03:0;04:0;05:0;06:0;07:0;08:0,08,completed
33,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,9,140.0,128.444444,pi_g34_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,17,11,"(12,11);(6,8);(20,13);(31,6)",02,6,8,"00:(0,0);01:(0,4);02:(0,8);03:(0,12);04:(0,16);05:(0,21);06:(0,25);07:(0,29);08:(0,33)","00:(15,11);01:(13,7);02:(12,13);03:(15,12);04:(15,4);05:(16,15);06:(1,15);07:(14,12);08:(17,11)",00:0;01:0;02:2;03:0;04:0;05:0;06:0;07:1;08:2,08,completed
