trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,sensitivity_suite,sensitivity_parameter,sensitivity_value,sensitivity_label,num_targets,num_robots
283,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,03,24,3,0,25,0,0,0,0,0,59,49,10,99,0,known_visit_horizon,commitment_horizon,3,h3,10,4
284,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,00,30,5,0,31,0,0,0,0,0,73,61,12,63,0,known_visit_horizon,commitment_horizon,3,h3,10,4
284,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,01,6,1,0,7,0,0,0,0,0,20,15,5,115,0,known_visit_horizon,commitment_horizon,3,h3,10,4
284,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,02,2,2,0,3,0,0,0,0,0,11,6,5,124,0,known_visit_horizon,commitment_horizon,3,h3,10,4
284,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,03,10,2,0,11,0,1,0,0,0,32,22,10,103,0,known_visit_horizon,commitment_horizon,3,h3,10,4
285,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,00,12,2,0,13,0,0,0,0,0,35,26,9,127,0,known_visit_horizon,commitment_horizon,3,h3,10,4
285,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,01,23,3,0,24,0,3,0,0,0,64,47,17,99,0,known_visit_horizon,commitment_horizon,3,h3,10,4
285,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,02,22,4,0,23,0,0,0,0,0,56,45,11,106,0,known_visit_horizon,commitment_horizon,3,h3,10,4
285,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,03,2,1,0,3,0,0,0,0,0,8,6,2,154,0,known_visit_horizon,commitment_horizon,3,h3,10,4
286,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,00,5,1,0,6,0,0,0,0,0,14,12,2,171,0,known_visit_horizon,commitment_horizon,3,h3,10,4
286,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,01,23,4,0,24,0,0,0,0,0,60,47,13,126,0,known_visit_horizon,commitment_horizon,3,h3,10,4
286,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,02,20,2,0,21,0,3,0,0,0,58,42,16,127,0,known_visit_horizon,commitment_horizon,3,h3,10,4
286,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,03,18,3,0,19,0,0,0,0,0,54,39,15,131,0,known_visit_horizon,commitment_horizon,3,h3,10,4
287,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,00,22,5,0,23,0,0,0,0,0,59,46,13,106,0,known_visit_horizon,commitment_horizon,3,h3,10,4
287,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,01,7,1,0,8,0,0,0,0,0,23,16,7,142,0,known_visit_horizon,commitment_horizon,3,h3,10,4
287,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,02,25,3,0,26,0,0,0,0,0,63,51,12,103,0,known_visit_horizon,commitment_horizon,3,h3,10,4
287,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,03,8,1,0,9,0,1,0,0,0,21,18,3,144,0,known_visit_horizon,commitment_horizon,3,h3,10,4
288,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,00,31,5,0,32,0,0,0,0,0,75,63,12,161,0,known_visit_horizon,commitment_horizon,3,h3,10,4
288,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,01,6,3,0,7,0,0,0,0,0,21,14,7,214,0,known_visit_horizon,commitment_horizon,3,h3,10,4
288,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,02,23,1,0,24,0,0,0,0,0,86,48,38,149,0,known_visit_horizon,commitment_horizon,3,h3,10,4
288,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,03,17,1,0,18,0,1,0,0,0,54,36,18,181,0,known_visit_horizon,commitment_horizon,3,h3,10,4
289,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,00,23,3,0,24,0,0,0,0,0,59,47,12,170,0,known_visit_horizon,commitment_horizon,3,h3,10,4
289,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,01,3,1,0,4,0,0,0,0,0,12,8,4,216,0,known_visit_horizon,commitment_horizon,3,h3,10,4
289,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,02,19,2,0,20,0,1,1,1,0,91,42,49,137,0,known_visit_horizon,commitment_horizon,3,h3,10,4
289,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,03,21,4,0,22,0,1,0,0,0,67,44,23,161,0,known_visit_horizon,commitment_horizon,3,h3,10,4
290,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,00,6,1,0,7,0,0,0,0,0,22,14,8,132,0,known_visit_horizon,commitment_horizon,3,h3,10,4
290,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,01,19,3,0,20,0,1,0,0,0,55,40,15,99,0,known_visit_horizon,commitment_horizon,3,h3,10,4
290,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,02,24,5,0,25,0,0,0,0,0,67,49,18,88,0,known_visit_horizon,commitment_horizon,3,h3,10,4
290,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,03,3,1,0,4,0,1,0,0,0,11,8,3,143,0,known_visit_horizon,commitment_horizon,3,h3,10,4
291,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,00,9,2,0,10,0,1,0,0,0,30,20,10,178,0,known_visit_horizon,commitment_horizon,3,h3,10,4
291,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,01,37,6,0,38,0,3,0,0,0,95,75,20,114,0,known_visit_horizon,commitment_horizon,3,h3,10,4
291,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,02,2,0,0,3,0,1,0,0,0,18,6,12,190,0,known_visit_horizon,commitment_horizon,3,h3,10,4
291,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,03,25,2,0,26,0,0,0,0,0,66,52,14,142,0,known_visit_horizon,commitment_horizon,3,h3,10,4
292,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,00,24,3,0,25,0,0,0,0,0,58,49,9,87,0,known_visit_horizon,commitment_horizon,3,h3,10,4
292,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,01,14,3,0,15,0,1,0,0,0,40,30,10,104,0,known_visit_horizon,commitment_horizon,3,h3,10,4
292,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,02,15,3,0,16,0,0,0,0,0,39,32,7,105,0,known_visit_horizon,commitment_horizon,3,h3,10,4
292,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,03,2,1,0,3,0,0,0,0,0,8,6,2,136,0,known_visit_horizon,commitment_horizon,3,h3,10,4
293,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,00,1,0,0,2,0,0,0,0,0,6,4,2,145,0,known_visit_horizon,commitment_horizon,3,h3,10,4
293,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,01,23,3,0,24,0,0,0,0,0,55,48,7,96,0,known_visit_horizon,commitment_horizon,3,h3,10,4
293,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,02,5,2,0,6,0,1,0,0,0,21,12,9,130,0,known_visit_horizon,commitment_horizon,3,h3,10,4
293,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,03,27,5,0,28,0,0,0,0,0,70,55,15,82,0,known_visit_horizon,commitment_horizon,3,h3,10,4
294,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,00,8,2,0,9,0,0,0,0,0,28,18,10,119,0,known_visit_horizon,commitment_horizon,3,h3,10,4
294,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,01,13,4,0,14,0,0,0,0,0,41,28,13,106,0,known_visit_horizon,commitment_horizon,3,h3,10,4
294,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,02,29,4,0,30,0,1,0,0,0,71,59,12,77,0,known_visit_horizon,commitment_horizon,3,h3,10,4
294,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,03,2,0,0,3,0,0,0,0,0,8,6,2,139,0,known_visit_horizon,commitment_horizon,3,h3,10,4
295,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,00,17,2,0,18,0,0,0,0,0,48,36,12,139,0,known_visit_horizon,commitment_horizon,3,h3,10,4
295,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,01,3,1,0,4,0,0,0,0,0,16,8,8,171,0,known_visit_horizon,commitment_horizon,3,h3,10,4
295,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,02,18,2,0,19,0,2,0,0,0,47,38,9,140,0,known_visit_horizon,commitment_horizon,3,h3,10,4
295,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,03,32,5,0,33,0,0,0,0,0,77,65,12,111,0,known_visit_horizon,commitment_horizon,3,h3,10,4
296,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,00,14,2,0,15,0,0,0,0,0,40,31,9,147,0,known_visit_horizon,commitment_horizon,3,h3,10,4
