trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
25,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(12,11);(23,9);(9,19);(17,21);(21,8);(5,4);(21,11);(2,10);(18,22);(17,9)",10,True,74.59189076357652,74.59189076357652,00:2;01:1;02:1;03:3;04:3,"(0,0);(0,6);(0,12);(0,18);(0,24)","(18,22);(7,10);(21,8);(19,22);(23,9)",484,0,completed
26,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(22,7);(4,6);(1,13);(7,8);(20,21);(13,6);(17,3);(14,1);(14,5);(14,13)",10,True,66.73737646969666,66.73737646969666,00:3;01:4;02:2;03:1;04:0,"(0,0);(0,6);(0,12);(0,18);(0,24)","(22,7);(20,21);(13,6);(17,3);(17,11)",461,0,completed
27,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(3,4);(2,11);(21,7);(5,3);(3,19);(3,10);(20,8);(7,0);(4,19);(2,15)",10,True,43.85752933537684,43.85752933537684,00:1;01:2;02:4;03:3;04:0,"(0,0);(0,6);(0,12);(0,18);(0,24)","(7,0);(2,15);(21,7);(2,9);(1,6)",318,0,completed
28,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(5,21);(20,18);(20,23);(23,3);(12,14);(20,19);(0,9);(4,4);(5,3);(13,8)",10,True,47.43921777858941,47.43921777858941,00:1;01:2;02:3;03:2;04:2,"(0,0);(0,6);(0,12);(0,18);(0,24)","(1,10);(23,3);(10,14);(17,18);(20,23)",311,0,completed
29,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(20,20);(2,17);(23,18);(11,20);(1,21);(19,18);(10,19);(16,20);(8,16);(16,0)",10,True,46.456389389919316,46.456389389919316,00:1;01:1;02:1;03:5;04:2,"(0,0);(0,6);(0,12);(0,18);(0,24)","(16,12);(14,19);(9,18);(23,18);(19,18)",292,0,completed
30,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(7,1);(19,11);(2,0);(23,14);(23,17);(19,13);(9,1);(13,4);(8,1);(24,11)",10,True,51.820424725587046,51.820424725587046,00:4;01:1;02:2;03:3;04:0,"(0,0);(0,6);(0,12);(0,18);(0,24)","(12,10);(15,10);(20,7);(24,11);(18,12)",336,0,completed
31,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(1,1);(13,22);(10,8);(2,17);(3,23);(16,15);(19,20);(12,10);(2,3);(11,9)",10,True,39.03562501283181,39.03562501283181,00:2;01:2;02:2;03:1;04:3,"(0,0);(0,6);(0,12);(0,18);(0,24)","(2,18);(8,3);(16,15);(14,16);(19,20)",256,0,completed
32,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(8,20);(13,4);(19,14);(18,4);(11,24);(15,8);(10,10);(12,5);(2,18);(24,19)",10,True,62.81888809050555,62.81888809050555,00:2;01:2;02:1;03:4;04:1,"(0,0);(0,6);(0,12);(0,18);(0,24)","(8,8);(9,17);(18,4);(24,19);(17,11)",416,0,completed
33,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(4,3);(4,12);(23,0);(12,7);(3,14);(8,4);(20,8);(9,24);(23,6);(5,20)",10,True,84.07493451394625,84.07493451394625,00:2;01:1;02:2;03:2;04:3,"(0,0);(0,6);(0,12);(0,18);(0,24)","(21,13);(19,8);(8,14);(23,6);(23,0)",566,0,completed
34,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(9,4);(12,5);(19,3);(8,0);(14,6);(17,10);(10,8);(20,10);(11,24);(3,3)",10,True,56.64691466148128,56.64691466148128,00:2;01:3;02:1;03:1;04:3,"(0,0);(0,6);(0,12);(0,18);(0,24)","(3,3);(19,3);(10,7);(14,1);(20,10)",406,0,completed
35,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(8,20);(7,3);(14,16);(17,5);(9,24);(16,11);(14,8);(22,20);(17,7);(6,3)",10,True,69.1111617141503,69.1111617141503,00:4;01:2;02:1;03:2;04:1,"(0,0);(0,6);(0,12);(0,18);(0,24)","(14,16);(17,7);(17,5);(22,20);(18,12)",496,0,completed
36,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(6,11);(19,8);(15,15);(17,18);(18,8);(23,12);(18,18);(15,12);(15,13);(24,12)",10,True,47.55801558270645,47.55801558270645,00:1;01:2;02:4;03:2;04:1,"(0,0);(0,6);(0,12);(0,18);(0,24)","(15,13);(20,8);(24,12);(18,11);(15,15)",304,0,completed
37,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(8,4);(13,14);(23,2);(22,11);(13,5);(6,16);(5,11);(18,23);(19,8);(24,5)",10,True,56.228942610916945,56.228942610916945,00:3;01:1;02:3;03:2;04:1,"(0,0);(0,6);(0,12);(0,18);(0,24)","(23,2);(23,7);(24,10);(18,23);(12,14)",363,0,completed
38,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(7,18);(5,2);(14,18);(3,13);(21,11);(1,15);(24,10);(3,12);(9,15);(8,20)",10,True,61.062879234708014,61.062879234708014,00:3;01:2;02:1;03:2;04:2,"(0,0);(0,6);(0,12);(0,18);(0,24)","(24,10);(8,12);(15,19);(7,18);(3,10)",401,0,completed
39,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(23,8);(8,1);(3,22);(17,10);(19,19);(3,16);(10,17);(24,11);(13,18);(12,16)",10,True,48.87167312353189,48.87167312353189,00:2;01:2;02:3;03:2;04:1,"(0,0);(0,6);(0,12);(0,18);(0,24)","(17,10);(24,11);(22,19);(14,15);(3,16)",328,0,completed
40,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(10,10);(17,3);(11,0);(9,10);(13,12);(22,5);(5,4);(3,13);(12,21);(22,20)",10,True,87.67047478473769,87.67047478473769,00:2;01:1;02:5;03:1;04:1,"(0,0);(0,6);(0,12);(0,18);(0,24)","(22,5);(16,3);(11,0);(3,13);(13,12)",581,0,completed
41,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(7,24);(11,6);(8,12);(22,21);(11,22);(11,9);(12,17);(4,23);(12,12);(7,14)",10,True,60.599192866801296,60.599192866801296,00:1;01:2;02:2;03:1;04:4,"(0,0);(0,6);(0,12);(0,18);(0,24)","(12,13);(11,13);(10,24);(13,22);(22,21)",428,0,completed
42,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(22,22);(1,8);(3,12);(18,15);(4,21);(1,20);(18,3);(24,3);(8,20);(16,23)",10,True,56.558263821491884,56.558263821491884,00:2;01:1;02:1;03:3;04:3,"(0,0);(0,6);(0,12);(0,18);(0,24)","(24,3);(7,21);(1,20);(18,7);(22,22)",391,0,completed
43,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(5,8);(24,15);(12,20);(20,16);(15,8);(14,15);(8,19);(17,2);(8,20);(4,11)",10,True,56.111619983294595,56.111619983294595,00:1;01:2;02:2;03:1;04:4,"(0,0);(0,6);(0,12);(0,18);(0,24)","(17,16);(24,14);(16,4);(4,20);(24,15)",345,0,completed
44,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(22,11);(9,7);(22,21);(7,23);(11,21);(24,19);(16,14);(24,0);(21,0);(4,11)",10,True,66.64223815973449,66.64223815973449,00:2;01:0;02:4;03:2;04:2,"(0,0);(0,6);(0,12);(0,18);(0,24)","(24,0);(16,16);(22,11);(24,19);(11,6)",444,0,completed
45,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(2,5);(2,11);(10,7);(23,20);(2,9);(20,8);(19,12);(19,10);(2,22);(3,21)",10,True,62.08906897273126,62.08906897273126,00:1;01:2;02:5;03:0;04:2,"(0,0);(0,6);(0,12);(0,18);(0,24)","(19,12);(21,8);(23,20);(3,5);(10,7)",433,0,completed
46,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(9,6);(14,5);(17,10);(10,17);(19,6);(11,15);(15,5);(23,14);(14,2);(22,19)",10,True,63.69813818559163,63.69813818559163,00:1;01:5;02:0;03:3;04:1,"(0,0);(0,6);(0,12);(0,18);(0,24)","(15,5);(23,14);(19,13);(18,17);(22,18)",442,0,completed
47,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(24,21);(19,12);(8,23);(16,24);(15,4);(9,0);(13,4);(12,21);(14,15);(8,7)",10,True,70.52805528563033,70.52805528563033,00:3;01:1;02:1;03:2;04:3,"(0,0);(0,6);(0,12);(0,18);(0,24)","(8,18);(18,14);(19,12);(24,21);(14,15)",475,0,completed
48,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(15,1);(24,12);(22,14);(1,6);(23,6);(3,2);(19,21);(14,12);(9,9);(20,17)",10,True,47.623444662746046,47.623444662746046,00:2;01:3;02:2;03:2;04:1,"(0,0);(0,6);(0,12);(0,18);(0,24)","(23,6);(12,13);(24,12);(22,16);(19,15)",302,0,completed
49,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(3,12);(23,14);(12,1);(5,11);(20,3);(14,1);(22,13);(15,16);(16,22);(14,3)",10,True,45.71168335576756,45.71168335576756,00:2;01:2;02:4;03:0;04:2,"(0,0);(0,6);(0,12);(0,18);(0,24)","(21,2);(20,3);(23,14);(3,11);(14,15)",319,0,completed
