trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,benchmark_suite,num_targets,num_robots,commitment_horizon
0,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,174.60725245349462,174.60725245349462,5,5,5,99,32,92,11,0,141,2,1121,3,398,510,684,105,293,208,190,0.7781569965870307,39.8,19.0,collision_intent:105;hipc_entry:190;state:103,0.30000000000000004,0.20108695652173902,known_visit_core_500,10,4,8
21,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,64.07652942835713,64.07652942835713,4,4,4,89,36,81,12,0,0,0,399,0,277,392,438,93,184,186,91,0.79491833030853,27.7,9.1,collision_intent:93;hipc_entry:91;state:93,0.55,0.3302469135802468,known_visit_core_500,10,4,8
22,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,70.96158853265136,70.96158853265136,2,2,2,74,41,71,7,5,46,2,400,0,304,411,501,79,225,157,147,0.7422222222222222,30.4,14.7,collision_intent:79;hipc_entry:147;state:78,0.44999999999999996,0.369718309859155,known_visit_core_500,10,4,8
23,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,57.091830026948045,57.091830026948045,4,4,4,101,33,93,12,0,0,0,328,0,291,414,459,107,184,212,79,0.8315217391304348,29.1,7.9,collision_intent:107;hipc_entry:79;state:105,0.3999999999999999,0.174731182795699,known_visit_core_500,10,4,8
24,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,44.662622653584386,44.662622653584386,0,0,0,76,26,79,1,3,3,2,258,0,226,316,362,82,144,162,64,0.8379629629629629,22.6,6.4,collision_intent:82;hipc_entry:64;state:80,0.1499999999999999,0.21202531645569622,known_visit_core_500,10,4,8
25,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,44.123252964445605,44.123252964445605,4,4,4,82,26,73,13,4,11,2,250,0,258,359,415,87,171,173,85,0.8089668615984406,25.8,8.5,collision_intent:87;hipc_entry:85;state:86,0.30000000000000004,0.22945205479452047,known_visit_core_500,10,4,8
26,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,54.31844373061222,54.31844373061222,0,0,0,68,32,72,0,0,48,1,295,0,255,287,477,71,184,143,112,0.8656987295825771,25.5,11.2,collision_intent:71;hipc_entry:112;state:72,0.5,0.4027777777777777,known_visit_core_500,10,4,8
27,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,28.98426097748791,28.98426097748791,4,4,4,64,17,59,9,2,0,0,157,0,229,328,359,66,163,134,95,0.7341513292433538,22.9,9.5,collision_intent:66;hipc_entry:95;state:68,0.55,0.08898305084745761,known_visit_core_500,10,4,8
28,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,45.62161581197559,45.62161581197559,3,3,3,97,27,90,11,2,0,0,242,0,325,385,586,99,226,200,125,0.8655834564254062,32.5,12.5,collision_intent:99;hipc_entry:125;state:101,0.25,0.12222222222222223,known_visit_core_500,10,4,8
29,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,60.991666790748425,60.991666790748425,1,1,1,75,36,77,2,1,0,0,391,0,224,278,394,78,146,157,67,0.8995433789954338,22.4,6.7,collision_intent:78;hipc_entry:67;state:79,0.44999999999999996,0.28246753246753253,known_visit_core_500,10,4,8
30,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,146.76943762474852,146.76943762474852,4,4,4,89,29,79,14,2,1,1,1064,1,307,410,511,95,212,188,119,0.8034591194968553,30.7,11.9,collision_intent:95;hipc_entry:119;state:93,0.44999999999999996,0.22468354430379756,known_visit_core_500,10,4,8
31,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,51.920879593474524,51.920879593474524,0,0,0,79,30,83,0,0,0,0,318,0,256,403,365,84,172,167,89,0.7073643410852714,25.6,8.9,collision_intent:84;hipc_entry:89;state:83,0.10000000000000009,0.24397590361445776,known_visit_core_500,10,4,8
32,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,52.42656378465106,52.42656378465106,2,2,2,92,31,92,4,4,2,2,308,0,270,412,398,99,171,195,75,0.7758284600389863,27.0,7.5,collision_intent:99;hipc_entry:75;state:96,0.3500000000000001,0.2065217391304348,known_visit_core_500,10,4,8
33,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,51.183317161535,51.183317161535,2,2,2,86,30,86,4,4,12,1,273,0,288,381,483,89,199,179,109,0.8090452261306532,28.8,10.9,collision_intent:89;hipc_entry:109;state:90,0.44999999999999996,0.20348837209302317,known_visit_core_500,10,4,8
34,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,45.09502410484579,45.09502410484579,0,0,0,41,26,45,0,1,5,4,313,0,161,195,288,49,112,94,67,0.8571428571428571,16.1,6.7,collision_intent:49;hipc_entry:67;state:45,0.44999999999999996,0.3944444444444444,known_visit_core_500,10,4,8
35,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,54.5566873658276,54.5566873658276,0,0,0,81,32,83,2,1,39,1,287,0,261,358,424,83,178,168,93,0.7954971857410882,26.1,9.3,collision_intent:83;hipc_entry:93;state:85,0.30000000000000004,0.286144578313253,known_visit_core_500,10,4,8
36,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,39.72301671927593,39.72301671927593,2,2,2,75,20,74,5,5,0,0,221,0,252,351,405,79,173,158,94,0.7803468208092486,25.2,9.4,collision_intent:79;hipc_entry:94;state:79,0.3500000000000001,0.08108108108108114,known_visit_core_500,10,4,8
37,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,67.5120005265929,67.5120005265929,1,1,1,68,39,70,2,2,0,0,452,0,228,330,353,71,157,143,85,0.7510638297872341,22.8,8.5,collision_intent:71;hipc_entry:85;state:72,0.3999999999999999,0.3285714285714285,known_visit_core_500,10,4,8
38,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,45.98283805538908,45.98283805538908,3,3,3,77,27,77,4,1,1,1,268,0,257,304,466,82,175,163,94,0.8893129770992366,25.7,9.4,collision_intent:82;hipc_entry:94;state:81,0.44999999999999996,0.24350649350649345,known_visit_core_500,10,4,8
39,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,45.61261406576639,45.61261406576639,1,1,1,83,27,79,8,0,0,0,259,0,256,325,443,86,170,173,83,0.8686274509803922,25.6,8.3,collision_intent:86;hipc_entry:83;state:87,0.1499999999999999,0.231012658227848,known_visit_core_500,10,4,8
40,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,138.21051936904462,138.21051936904462,1,1,1,65,32,67,2,0,117,1,875,2,533,612,986,70,463,139,394,0.7103746397694525,53.3,39.4,collision_intent:70;hipc_entry:394;state:69,0.30000000000000004,0.2574626865671641,known_visit_core_500,10,4,8
41,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,52.099881718119015,52.099881718119015,2,2,2,91,31,84,11,2,0,0,299,0,280,377,463,93,187,188,92,0.8253119429590018,28.0,9.2,collision_intent:93;hipc_entry:92;state:95,0.30000000000000004,0.29166666666666674,known_visit_core_500,10,4,8
42,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,198.25835475860475,198.25835475860475,9,9,9,174,45,134,44,1,105,1,1235,3,562,787,898,181,381,359,203,0.7863397548161121,56.2,20.3,collision_intent:181;hipc_entry:203;state:178,0.44999999999999996,0.12313432835820892,known_visit_core_500,10,4,8
43,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,189.71934488977914,189.71934488977914,10,10,10,127,49,103,28,4,115,3,1220,3,674,1092,929,136,538,267,407,0.5759454432734036,67.4,40.7,collision_intent:136;hipc_entry:407;state:131,0.1499999999999999,0.26941747572815533,known_visit_core_500,10,4,8
44,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,51.121077913832956,51.121077913832956,3,3,3,99,30,91,12,3,0,0,286,0,308,431,493,102,206,205,103,0.7977346278317152,30.8,10.3,collision_intent:102;hipc_entry:103;state:103,0.30000000000000004,0.13461538461538458,known_visit_core_500,10,4,8
45,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,51.28733551513171,51.28733551513171,1,1,1,76,30,75,5,0,0,0,317,0,242,317,408,80,162,160,82,0.8412371134020619,24.2,8.2,collision_intent:80;hipc_entry:82;state:80,0.5,0.33666666666666667,known_visit_core_500,10,4,8
46,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,210.30127501621666,210.30127501621666,11,11,11,152,52,109,47,2,114,1,1340,3,743,1273,955,162,581,318,425,0.5482204362801377,74.3,42.5,collision_intent:162;hipc_entry:425;state:156,0.44999999999999996,0.29128440366972486,known_visit_core_500,10,4,8
47,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,40.43156937664491,40.43156937664491,1,1,1,69,24,72,1,0,0,0,237,0,257,292,478,71,186,144,113,0.8581687612208259,25.7,11.3,collision_intent:71;hipc_entry:113;state:73,0.44999999999999996,0.20138888888888884,known_visit_core_500,10,4,8
48,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,51.750043637151784,51.750043637151784,2,2,2,87,30,78,13,1,1,1,305,0,258,396,377,91,167,182,76,0.754,25.8,7.6,collision_intent:91;hipc_entry:76;state:91,0.44999999999999996,0.17307692307692313,known_visit_core_500,10,4,8
49,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,43.11858179882744,43.11858179882744,2,2,2,92,25,90,6,4,2,2,233,0,305,432,483,96,209,192,113,0.7703349282296651,30.5,11.3,collision_intent:96;hipc_entry:113;state:96,0.3999999999999999,0.0888888888888888,known_visit_core_500,10,4,8
50,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,40.22411355316538,40.22411355316538,0,0,0,48,23,52,0,0,0,0,264,0,166,195,303,51,115,103,63,0.8782608695652174,16.6,6.3,collision_intent:51;hipc_entry:63;state:52,0.3999999999999999,0.29807692307692313,known_visit_core_500,10,4,8
51,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,55.045859320602375,55.045859320602375,0,0,0,69,32,72,1,2,32,3,328,0,281,354,489,75,206,148,133,0.7912621359223301,28.1,13.3,collision_intent:75;hipc_entry:133;state:73,0.30000000000000004,0.29166666666666674,known_visit_core_500,10,4,8
52,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,48.39459786082945,48.39459786082945,1,1,1,65,28,65,4,3,18,1,271,0,213,280,359,68,145,137,76,0.825287356321839,21.3,7.6,collision_intent:68;hipc_entry:76;state:69,0.5,0.3038461538461539,known_visit_core_500,10,4,8
53,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,74.49200753338076,74.49200753338076,6,6,6,99,44,90,13,3,28,2,444,0,323,441,528,103,220,206,117,0.8,32.3,11.7,collision_intent:103;hipc_entry:117;state:103,0.3999999999999999,0.2944444444444445,known_visit_core_500,10,4,8
54,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,65.06059211932639,65.06059211932639,1,1,1,86,38,80,10,2,0,0,412,0,237,340,371,89,148,179,58,0.8355855855855856,23.7,5.8,collision_intent:89;hipc_entry:58;state:90,0.25,0.2124999999999999,known_visit_core_500,10,4,8
55,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,66.44919713049443,66.44919713049443,3,3,3,88,39,85,7,2,1,1,421,0,256,409,359,92,164,184,72,0.7296747967479674,25.6,7.2,collision_intent:92;hipc_entry:72;state:92,0.55,0.29117647058823537,known_visit_core_500,10,4,8
56,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,43.319438532424265,43.319438532424265,1,1,1,71,23,71,4,4,0,0,258,0,258,364,410,75,183,150,108,0.7468123861566485,25.8,10.8,collision_intent:75;hipc_entry:108;state:75,0.25,0.13732394366197176,known_visit_core_500,10,4,8
57,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,52.85427398084856,52.85427398084856,0,0,0,62,31,64,2,1,37,3,312,0,243,307,422,67,176,133,110,0.7992424242424242,24.3,11.0,collision_intent:67;hipc_entry:110;state:66,0.3999999999999999,0.2734375,known_visit_core_500,10,4,8
58,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,42.65621748146669,42.65621748146669,2,2,2,75,25,75,4,1,0,0,245,0,229,315,372,77,152,156,73,0.8157894736842105,22.9,7.3,collision_intent:77;hipc_entry:73;state:79,0.44999999999999996,0.19666666666666677,known_visit_core_500,10,4,8
59,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,192.69012119315477,192.69012119315477,12,12,12,152,44,108,48,1,122,3,1194,2,469,649,758,161,308,317,152,0.8203463203463204,46.9,15.2,collision_intent:161;hipc_entry:152;state:156,0.1499999999999999,0.17129629629629628,known_visit_core_500,10,4,8
60,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,44.860248935702344,44.860248935702344,2,2,2,81,27,79,6,2,0,0,260,0,281,324,517,84,197,169,112,0.8777589134125636,28.1,11.2,collision_intent:84;hipc_entry:112;state:85,0.30000000000000004,0.20569620253164556,known_visit_core_500,10,4,8
61,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,79.57884000566213,79.57884000566213,5,5,5,97,46,78,23,1,1,1,517,0,356,442,626,99,257,200,156,0.8119325551232166,35.6,15.6,collision_intent:99;hipc_entry:156;state:101,0.7,0.46794871794871784,known_visit_core_500,10,4,8
62,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,56.61506066616567,56.61506066616567,4,4,4,93,32,90,7,3,1,1,335,0,306,434,484,96,210,193,113,0.7682539682539683,30.6,11.3,collision_intent:96;hipc_entry:113;state:97,0.44999999999999996,0.2333333333333334,known_visit_core_500,10,4,8
63,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,43.94607677268335,43.94607677268335,1,1,1,94,26,92,6,0,0,0,233,0,283,394,455,97,186,195,88,0.8154121863799283,28.3,8.8,collision_intent:97;hipc_entry:88;state:98,0.25,0.09782608695652173,known_visit_core_500,10,4,8
64,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,35.43683766724783,35.43683766724783,2,2,2,75,21,74,5,4,3,2,193,0,227,329,350,81,146,160,67,0.8027522935779816,22.7,6.7,collision_intent:81;hipc_entry:67;state:79,0.30000000000000004,0.06756756756756754,known_visit_core_500,10,4,8
