trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status,failure_type,failure_message
10,known_visit,HIPC,bernoulli,drop_0.25,25,625,13,10,hipc_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(7,19);(19,17);(5,6);(15,7);(18,8);(10,8);(22,4);(18,0);(16,19);(4,13)",10,True,42.86361676924895,42.86361676924895,00:2;01:0;02:0;03:1;04:3;05:0;06:1;07:0;08:0;09:3;10:0;11:0;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(22,4);(0,2);(5,4);(5,6);(18,8);(1,10);(4,13);(0,14);(1,16);(19,17);(7,19);(0,22);(5,24)",990,0,completed,,
11,known_visit,HIPC,bernoulli,drop_0.25,25,625,13,10,hipc_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(20,11);(6,17);(9,3);(9,13);(12,20);(2,14);(16,16);(20,1);(20,16);(12,19)",10,True,45.547333370447994,45.547333370447994,00:0;01:2;02:0;03:0;04:0;05:0;06:1;07:4;08:1;09:0;10:2;11:0;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(0,0);(20,1);(2,4);(0,6);(0,8);(0,10);(9,13);(20,11);(12,21);(6,17);(12,19);(0,22);(0,24)",1052,0,completed,,
12,known_visit,HIPC,bernoulli,drop_0.25,25,625,13,10,hipc_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(1,15);(19,20);(4,24);(14,12);(9,13);(5,13);(14,13);(14,9);(13,3);(13,6)",10,True,49.32767979319909,49.32767979319909,00:0;01:1;02:0;03:1;04:1;05:0;06:5;07:1;08:0;09:0;10:0;11:0;12:1,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(0,0);(13,3);(0,4);(13,6);(14,9);(0,10);(19,20);(9,13);(1,15);(1,18);(2,20);(0,22);(4,24)",1157,0,completed,,
13,known_visit,HIPC,bernoulli,drop_0.25,25,625,13,10,hipc_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(22,9);(15,5);(2,20);(2,18);(23,0);(16,9);(13,16);(22,12);(2,3);(12,19)",10,True,43.58496438609616,43.58496438609616,00:1;01:1;02:1;03:0;04:3;05:0;06:0;07:0;08:2;09:2;10:0;11:0;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(23,0);(2,3);(16,9);(0,6);(22,12);(0,10);(0,12);(2,14);(12,19);(2,20);(0,20);(1,22);(0,24)",1009,0,completed,,
14,known_visit,HIPC,bernoulli,drop_0.25,25,625,13,10,hipc_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(15,19);(12,23);(23,21);(3,18);(1,5);(10,4);(12,2);(22,16);(22,11);(1,6)",10,True,44.462266959520576,44.462266959520576,00:0;01:0;02:2;03:2;04:0;05:0;06:0;07:0;08:2;09:3;10:0;11:1;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(0,0);(2,2);(12,2);(1,5);(0,8);(0,10);(0,12);(0,14);(22,11);(23,21);(0,20);(15,19);(0,24)",1042,0,completed,,
15,known_visit,HIPC,bernoulli,drop_0.25,25,625,13,10,hipc_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(5,0);(3,20);(11,15);(12,22);(12,12);(7,23);(15,0);(19,18);(23,16);(20,8)",10,True,54.032663589273106,54.032663589273106,00:3;01:0;02:0;03:0;04:0;05:0;06:2;07:0;08:0;09:0;10:1;11:4;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(20,8);(1,2);(0,4);(4,6);(0,8);(1,10);(11,15);(0,14);(1,16);(1,18);(3,20);(23,16);(1,24)",1291,0,completed,,
16,known_visit,HIPC,bernoulli,drop_0.25,25,625,13,10,hipc_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(19,8);(6,17);(5,12);(12,11);(18,17);(3,18);(16,16);(13,21);(11,3);(14,9)",10,True,38.64978480185946,38.64978480185946,00:0;01:1;02:0;03:0;04:0;05:0;06:4;07:0;08:3;09:2;10:0;11:0;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(0,0);(11,3);(0,4);(4,6);(1,8);(1,10);(19,8);(0,14);(18,17);(13,21);(2,20);(2,22);(0,24)",907,0,completed,,
17,,HIPC,bernoulli,drop_0.25,25,625,13,10,hipc_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(1,11);(4,12);(1,15);(8,10);(1,13);(22,23);(10,12);(23,16);(17,15);(17,5)",,,,,,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)",,,,failed,RuntimeError,"Stagnation detected in trial 17 after 2000 events without movement or target completion; diagnostics={""clock_s"": 119.07498993103574, ""completed_targets"": 9, ""event_reasons"": {""blocked_goal_backoff"": 1, ""intent_sync"": 96, ""moved"": 84, ""no_goal"": 2771, ""target_visited"": 9, ""turn"": 13}, ""events_processed"": 2974, ""robots"": {""00"": {""active_tasks"": 3, ""decision"": {""alg"": ""HIPC"", ""hipc_bad_prediction_count"": {""02"": 0, ""05"": 0, ""06"": 2, ""07"": 0}, ""hipc_bundle"": [], ""hipc_bundle_size"": 2, ""hipc_candidate_count"": 3, ""hipc_candidate_count_after_filter"": 3, ""hipc_candidate_count_before_filter"": 3, ""hipc_claims_known"": 1, ""hipc_dropped_peers"": [], ""hipc_max_candidate_cells"": null, ""hipc_path"": [], ""hipc_pending_snapshot"": false, ""hipc_team_size"": 10, ""hipc_trigger"": null, ""mode"": ""known_visit""}, ""goal"": null, ""last_event"": ""no_goal"", ""no_goal_since"": 0.07964179402897051, ""pos"": [0, 0], ""stall_recovery_count"": 0, ""temporary_invalid_until"": {}}, ""01"": {""active_tasks"": 5, ""decision"": {""alg"": ""HIPC"", ""hipc_bad_prediction_count"": {""02"": 0, ""03"": 1, ""05"": 2, ""06"": 0, ""07"": 0, ""08"": 2, ""12"": 0}, ""hipc_bundle"": [], ""hipc_bundle_size"": 2, ""hipc_candidate_count"": 5, ""hipc_candidate_count_after_filter"": 5, ""hipc_candidate_count_before_filter"": 5, ""hipc_claims_known"": 0, ""hipc_dropped_peers"": [], ""hipc_max_candidate_cells"": null, ""hipc_path"": [], ""hipc_pending_snapshot"": false, ""hipc_team_size"": 13, ""hipc_trigger"": null, ""mode"": ""known_visit""}, ""goal"": null, ""last_event"": ""no_goal"", ""no_goal_since"": 0.09747038648513566, ""pos"": [0, 2], ""stall_recovery_count"": 0, ""temporary_invalid_until"": {}}, ""02"": {""active_tasks"": 2, ""decision"": {""alg"": ""HIPC"", ""hipc_bad_prediction_count"": {""05"": 0, ""06"": 0, ""07"": 1, ""12"": 0}, ""hipc_bundle"": [], ""hipc_bundle_size"": 2, ""hipc_candidate_count"": 2, ""hipc_candidate_count_after_filter"": 2, ""hipc_candidate_count_before_filter"": 2, ""hipc_claims_known"": 1, ""hipc_dropped_peers"": [], ""hipc_max_candidate_cells"": null, ""hipc_path"": [], ""hipc_pending_snapshot"": false, ""hipc_team_size"": 11, ""hipc_trigger"": null, ""mode"": ""known_visit""}, ""goal"": null, ""last_event"": ""no_goal"", ""no_goal_since"": 31.61086123580582, ""pos"": [17, 5], ""stall_recovery_count"": 0, ""temporary_invalid_until"": {}}, ""03"": {""active_tasks"": 2, ""decision"": {""alg"": ""HIPC"", ""hipc_bad_prediction_count"": {""02"": 0, ""05"": 0, ""06"": 1, ""07"": 1, ""08"": 0, ""11"": 1, ""12"": 0}, ""hipc_bundle"": [], ""hipc_bundle_size"": 2, ""hipc_candidate_count"": 2, ""hipc_candidate_count_after_filter"": 2, ""hipc_candidate_count_before_filter"": 2, ""hipc_claims_known"": 1, ""hipc_dropped_peers"": [], ""hipc_max_candidate_cells"": null, ""hipc_path"": [], ""hipc_pending_snapshot"": false, ""hipc_team_size"": 12, ""hipc_trigger"": null, ""mode"": ""known_visit""}, ""goal"": null, ""last_event"": ""no_goal"", ""no_goal_since"": 3.5773800357523236, ""pos"": [2, 6], ""stall_recovery_count"": 0, ""temporary_invalid_until"": {}}, ""04"": {""active_tasks"": 2, ""decision"": {""alg"": ""HIPC"", ""hipc_bad_prediction_count"": {""02"": 0, ""05"": 0, ""06"": 0, ""07"": 0, ""08"": 0, ""12"": 0}, ""hipc_bundle"": [], ""hipc_bundle_size"": 2, ""hipc_candidate_count"": 2, ""hipc_candidate_count_after_filter"": 2, ""hipc_candidate_count_before_filter"": 2, ""hipc_claims_known"": 0, ""hipc_dropped_peers"": [], ""hipc_max_candidate_cells"": null, ""hipc_path"": [], ""hipc_pending_snapshot"": false, ""hipc_team_size"": 12, ""hipc_trigger"": null, ""mode"": ""known_visit""}, ""goal"": null, ""last_event"": ""no_goal"", ""no_goal_since"": 2.4079461074351487, ""pos"": [1, 8], ""stall_recovery_count"": 0, ""temporary_invalid_until"": {}}, ""05"": {""active_tasks"": 5, ""decision"": {""alg"": ""HIPC"", ""hipc_bad_prediction_count"": {""02"": 0, ""06"": 1, ""07"": 0, ""08"": 0, ""12"": 0}, ""hipc_bundle"": [], ""hipc_bundle_size"": 2, ""hipc_candidate_count"": 5, ""hipc_candidate_count_after_filter"": 5, ""hipc_candidate_count_before_filter"": 5, ""hipc_claims_known"": 1, ""hipc_dropped_peers"": [], ""hipc_max_candidate_cells"": null, ""hipc_path"": [], ""hipc_pending_snapshot"": false, ""hipc_team_size"": 11, ""hipc_trigger"": null, ""mode"": ""known_visit""}, ""goal"": null, ""last_event"": ""no_goal"", ""no_goal_since"": 16.441161089516616, ""pos"": [7, 10], ""stall_recovery_count"": 0, ""temporary_invalid_until"": {}}, ""06"": {""active_tasks"": 2, ""decision"": {""alg"": ""HIPC"", ""hipc_bad_prediction_count"": {""02"": 0, ""03"": 0, ""05"": 0, ""07"": 1, ""08"": 0}, ""hipc_bundle"": [], ""hipc_bundle_size"": 2, ""hipc_candidate_count"": 2, ""hipc_candidate_count_after_filter"": 2, ""hipc_candidate_count_before_filter"": 2, ""hipc_claims_known"": 0, ""hipc_dropped_peers"": [], ""hipc_max_candidate_cells"": null, ""hipc_path"": [], ""hipc_pending_snapshot"": false, ""hipc_team_size"": 13, ""hipc_trigger"": null, ""mode"": ""known_visit""}, ""goal"": null, ""last_event"": ""no_goal"", ""no_goal_since"": 17.436294585994368, ""pos"": [8, 10], ""stall_recovery_count"": 0, ""temporary_invalid_until"": {}}, ""07"": {""active_tasks"": 2, ""decision"": {""alg"": ""HIPC"", ""hipc_bad_prediction_count"": {""02"": 0, ""05"": 0, ""06"": 0, ""08"": 0, ""11"": 1, ""12"": 0}, ""hipc_bundle"": [], ""hipc_bundle_size"": 2, ""hipc_candidate_count"": 2, ""hipc_candidate_count_after_filter"": 2, ""hipc_candidate_count_before_filter"": 2, ""hipc_claims_known"": 0, ""hipc_dropped_peers"": [], ""hipc_max_candidate_cells"": null, ""hipc_path"": [], ""hipc_pending_snapshot"": false, ""hipc_team_size"": 13, ""hipc_trigger"": null, ""mode"": ""known_visit""}, ""goal"": null, ""last_event"": ""no_goal"", ""no_goal_since"": 4.872106295761519, ""pos"": [1, 13], ""stall_recovery_count"": 0, ""temporary_invalid_until"": {}}, ""08"": {""active_tasks"": 3, ""decision"": {""alg"": ""HIPC"", ""hipc_bad_prediction_count"": {""02"": 0, ""05"": 1, ""06"": 2}, ""hipc_bundle"": [], ""hipc_bundle_size"": 2, ""hipc_candidate_count"": 3, ""hipc_candidate_count_after_filter"": 3, ""hipc_candidate_count_before_filter"": 3, ""hipc_claims_known"": 0, ""hipc_dropped_peers"": [], ""hipc_max_candidate_cells"": null, ""hipc_path"": [], ""hipc_pending_snapshot"": false, ""hipc_team_size"": 13, ""hipc_trigger"": null, ""mode"": ""known_visit""}, ""goal"": null, ""last_event"": ""no_goal"", ""no_goal_since"": 43.618149368756676, ""pos"": [23, 16], ""stall_recovery_count"": 0, ""temporary_invalid_until"": {}}, ""09"": {""active_tasks"": 2, ""decision"": {""alg"": ""HIPC"", ""hipc_bad_prediction_count"": {""02"": 0, ""05"": 1, ""06"": 0, ""07"": 0, ""12"": 0}, ""hipc_bundle"": [], ""hipc_bundle_size"": 2, ""hipc_candidate_count"": 2, ""hipc_candidate_count_after_filter"": 2, ""hipc_candidate_count_before_filter"": 2, ""hipc_claims_known"": 0, ""hipc_dropped_peers"": [], ""hipc_max_candidate_cells"": null, ""hipc_path"": [], ""hipc_pending_snapshot"": false, ""hipc_team_size"": 13, ""hipc_trigger"": null, ""mode"": ""known_visit""}, ""goal"": null, ""last_event"": ""no_goal"", ""no_goal_since"": 0.14587075755047155, ""pos"": [0, 18], ""stall_recovery_count"": 0, ""temporary_invalid_until"": {}}, ""10"": {""active_tasks"": 5, ""decision"": {""alg"": ""HIPC"", ""hipc_bad_prediction_count"": {""02"": 0, ""04"": 0, ""05"": 0, ""06"": 0, ""08"": 0, ""12"": 0}, ""hipc_bundle"": [], ""hipc_bundle_size"": 2, ""hipc_candidate_count"": 5, ""hipc_candidate_count_after_filter"": 5, ""hipc_candidate_count_before_filter"": 5, ""hipc_claims_known"": 2, ""hipc_dropped_peers"": [], ""hipc_max_candidate_cells"": null, ""hipc_path"": [], ""hipc_pending_snapshot"": false, ""hipc_team_size"": 12, ""hipc_trigger"": null, ""mode"": ""known_visit""}, ""goal"": null, ""last_event"": ""no_goal"", ""no_goal_since"": 1.8079088119966107, ""pos"": [1, 20], ""stall_recovery_count"": 0, ""temporary_invalid_until"": {}}, ""11"": {""active_tasks"": 4, ""decision"": {""alg"": ""HIPC"", ""hipc_bad_prediction_count"": {""02"": 0, ""05"": 2, ""06"": 0, ""08"": 0}, ""hipc_bundle"": [], ""hipc_bundle_size"": 2, ""hipc_candidate_count"": 4, ""hipc_candidate_count_after_filter"": 4, ""hipc_candidate_count_before_filter"": 4, ""hipc_claims_known"": 1, ""hipc_dropped_peers"": [], ""hipc_max_candidate_cells"": null, ""hipc_path"": [], ""hipc_pending_snapshot"": false, ""hipc_team_size"": 11, ""hipc_trigger"": null, ""mode"": ""known_visit""}, ""goal"": null, ""last_event"": ""no_goal"", ""no_goal_since"": 3.830208691034212, ""pos"": [1, 21], ""stall_recovery_count"": 0, ""temporary_invalid_until"": {}}, ""12"": {""active_tasks"": 3, ""decision"": {""alg"": ""HIPC"", ""hipc_bad_prediction_count"": {""05"": 0, ""07"": 1}, ""hipc_bundle"": [], ""hipc_bundle_size"": 2, ""hipc_candidate_count"": 3, ""hipc_candidate_count_after_filter"": 3, ""hipc_candidate_count_before_filter"": 3, ""hipc_claims_known"": 0, ""hipc_dropped_peers"": [], ""hipc_max_candidate_cells"": null, ""hipc_path"": [], ""hipc_pending_snapshot"": false, ""hipc_team_size"": 13, ""hipc_trigger"": null, ""mode"": ""known_visit""}, ""goal"": null, ""last_event"": ""no_goal"", ""no_goal_since"": 40.074989931035745, ""pos"": [22, 23], ""stall_recovery_count"": 0, ""temporary_invalid_until"": {}}}, ""total_targets"": 10}"
18,known_visit,HIPC,bernoulli,drop_0.25,25,625,13,10,hipc_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(10,17);(24,20);(14,15);(22,23);(3,21);(17,20);(20,6);(12,10);(2,20);(16,8)",10,True,53.04548228146467,53.04548228146467,00:0;01:0;02:0;03:2;04:0;05:1;06:0;07:0;08:2;09:0;10:2;11:3;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(0,0);(0,2);(0,4);(20,6);(0,8);(12,10);(0,12);(0,14);(15,15);(1,18);(9,21);(22,23);(0,24)",1253,0,completed,,
19,known_visit,HIPC,bernoulli,drop_0.25,25,625,13,10,hipc_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(18,6);(17,8);(17,17);(20,16);(21,13);(7,17);(2,5);(24,5);(20,4);(4,24)",10,True,48.48653784060695,48.48653784060695,00:0;01:0;02:1;03:0;04:4;05:0;06:1;07:0;08:3;09:0;10:0;11:0;12:1,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(0,0);(1,2);(3,5);(3,6);(24,5);(2,10);(22,13);(0,14);(20,16);(0,18);(1,20);(0,22);(4,24)",1151,0,completed,,
20,known_visit,HIPC,bernoulli,drop_0.25,25,625,13,10,hipc_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(24,7);(10,3);(21,19);(8,3);(12,12);(22,21);(22,4);(16,12);(19,12);(13,14)",10,True,44.40629180163832,44.40629180163832,00:0;01:2;02:2;03:0;04:0;05:0;06:3;07:1;08:0;09:2;10:0;11:0;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(0,0);(10,3);(24,7);(11,6);(0,8);(12,10);(19,12);(13,14);(0,16);(22,21);(11,20);(0,22);(0,24)",983,0,completed,,
21,known_visit,HIPC,bernoulli,drop_0.25,25,625,13,10,hipc_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(1,6);(8,14);(14,12);(21,0);(2,0);(23,6);(6,20);(1,3);(6,1);(16,19)",10,True,65.96256061986541,65.96256061986541,00:2;01:1;02:0;03:1;04:0;05:0;06:0;07:4;08:0;09:0;10:2;11:0;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(6,1);(1,3);(0,4);(4,4);(0,8);(1,10);(0,12);(21,0);(0,16);(0,18);(16,19);(0,22);(1,24)",1623,0,completed,,
22,known_visit,HIPC,bernoulli,drop_0.25,25,625,13,10,hipc_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(5,24);(13,19);(22,5);(17,23);(18,16);(6,6);(23,8);(12,8);(11,11);(1,5)",10,True,59.73203711597694,59.73203711597694,00:0;01:0;02:1;03:4;04:0;05:0;06:1;07:0;08:2;09:1;10:0;11:0;12:1,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(0,0);(0,2);(7,5);(22,5);(1,5);(0,10);(11,11);(1,14);(17,23);(13,19);(0,20);(1,22);(5,24)",1421,0,completed,,
