setting,run_id,algorithm,comm_label,comm_model,comm_level,horizon,scenario_file,grid_size,num_robots,num_targets,max_trials,out_dir
h5,dga_h5_ideal,DGA,ideal,ideal,,5,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h5/ideal/dga_h5_ideal
h5,dga_h5_bernoulli_025,DGA,bernoulli_025,bernoulli,0.25,5,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h5/bernoulli/dga_h5_bernoulli_025
h5,dga_h5_ge_075,DGA,ge_075,gilbert_elliot,0.75,5,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h5/gilbert_elliot/dga_h5_ge_075
h5,dga_h5_rayleigh_m50_66,DGA,rayleigh_m50_66,rayleigh_style,-50.66,5,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h5/rayleigh_style/dga_h5_rayleigh_m50_66
h8,acbba_h8_ideal,ACBBA,ideal,ideal,,8,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h8/ideal/acbba_h8_ideal
h8,acbba_h8_bernoulli_025,ACBBA,bernoulli_025,bernoulli,0.25,8,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h8/bernoulli/acbba_h8_bernoulli_025
h8,acbba_h8_ge_075,ACBBA,ge_075,gilbert_elliot,0.75,8,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h8/gilbert_elliot/acbba_h8_ge_075
h8,acbba_h8_rayleigh_m50_66,ACBBA,rayleigh_m50_66,rayleigh_style,-50.66,8,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h8/rayleigh_style/acbba_h8_rayleigh_m50_66
h8,pi_h8_ideal,PI,ideal,ideal,,8,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h8/ideal/pi_h8_ideal
h8,pi_h8_bernoulli_025,PI,bernoulli_025,bernoulli,0.25,8,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h8/bernoulli/pi_h8_bernoulli_025
