trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
20,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,6,10,acbba_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(25,17);(12,20);(15,28);(23,12);(29,15);(14,15);(22,2);(8,23);(8,5);(6,15)",10,True,78.10398359928253,78.10398359928253,00:0;01:2;02:3;03:1;04:3;05:1,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(14,15);(23,17);(22,2);(14,24);(29,15);(14,20)",637,0,completed
21,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,6,10,acbba_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(11,8);(23,31);(2,2);(6,23);(14,22);(4,6);(4,29);(11,19);(21,7);(12,20)",10,True,61.67210454622374,61.67210454622374,00:2;01:1;02:1;03:2;04:3;05:1,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(21,7);(2,27);(6,23);(4,6);(23,31);(14,22)",487,0,completed
22,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,6,10,acbba_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(4,33);(25,14);(3,12);(29,19);(27,15);(23,6);(8,32);(20,20);(1,3);(11,6)",10,True,76.6873079216737,76.6873079216737,00:3;01:3;02:1;03:1;04:0;05:2,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(25,12);(29,19);(1,3);(8,33);(25,24);(23,15)",607,0,completed
23,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,6,10,acbba_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(10,9);(25,12);(25,5);(9,33);(21,9);(1,11);(15,22);(32,25);(21,17);(8,30)",10,True,73.74366113613952,73.74366113613952,00:1;01:4;02:2;03:0;04:1;05:2,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(21,14);(21,17);(19,22);(10,33);(16,23);(32,22)",591,0,completed
24,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,6,10,acbba_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(23,33);(33,23);(1,17);(21,0);(25,13);(27,31);(18,4);(27,17);(32,19);(3,31)",10,True,71.31287686923922,71.31287686923922,00:2;01:1;02:0;03:4;04:1;05:2,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(25,13);(20,23);(27,25);(33,23);(18,12);(29,20)",531,0,completed
25,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,6,10,acbba_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(32,21);(8,16);(30,7);(5,9);(22,7);(18,25);(29,31);(27,12);(19,0);(24,26)",10,True,72.40301218501303,72.40301218501303,00:2;01:1;02:2;03:3;04:1;05:1,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(22,21);(27,12);(30,1);(32,21);(12,7);(24,24)",558,0,completed
26,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,6,10,acbba_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(14,25);(5,4);(32,8);(33,26);(24,17);(11,21);(11,7);(10,4);(2,1);(20,3)",10,True,72.59042806355595,72.59042806355595,00:5;01:2;02:0;03:2;04:1;05:0,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(24,17);(32,8);(8,5);(33,26);(5,6);(11,4)",582,0,completed
27,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,6,10,acbba_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(15,17);(5,32);(24,32);(22,27);(2,14);(5,15);(32,12);(8,27);(25,24);(2,19)",10,True,81.32875181764632,81.32875181764632,00:0;01:1;02:1;03:2;04:4;05:2,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(5,32);(8,27);(6,28);(22,27);(32,12);(18,17)",673,0,completed
28,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,6,10,acbba_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(2,6);(25,6);(29,4);(10,13);(23,2);(8,33);(16,32);(26,14);(25,17);(25,7)",10,True,68.0453957174544,68.0453957174544,00:1;01:3;02:3;03:0;04:1;05:2,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(25,3);(25,7);(29,4);(7,5);(26,16);(16,25)",550,0,completed
29,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,6,10,acbba_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(18,19);(10,33);(7,0);(1,33);(14,31);(4,1);(7,26);(14,5);(10,12);(11,32)",10,True,62.7910233185388,62.7910233185388,00:2;01:0;02:1;03:2;04:1;05:4,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(14,3);(3,33);(7,0);(14,5);(18,19);(14,31)",545,0,completed
